578,30,2,21,11,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496606.pdf' target='_blank''>Link to FedEx Tracking</a>
3505,41,2.5,29,14,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496330.pdf' target='_blank''>Link to FedEx Tracking</a>
504,68,2.5,48,24,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496591.pdf' target='_blank''>Link to FedEx Tracking</a>
2091,63,2.5,44,22,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496812.pdf' target='_blank''>Link to FedEx Tracking</a>
5420,45,2.5,32,16,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496250.pdf' target='_blank''>Link to FedEx Tracking</a>
32,49,2.5,34,17,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496720.pdf' target='_blank''>Link to FedEx Tracking</a>
3163,86,2.5,60,30,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496205.pdf' target='_blank''>Link to FedEx Tracking</a>
2085,76,2.5,53,27,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496915.pdf' target='_blank''>Link to FedEx Tracking</a>
5480,99,2.5,69,35,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496374.pdf' target='_blank''>Link to FedEx Tracking</a>
4303,74,2.5,52,26,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496146.pdf' target='_blank''>Link to FedEx Tracking</a>
3847,98,2.5,69,34,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496341.pdf' target='_blank''>Link to FedEx Tracking</a>
931,101,2.5,71,35,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496433.pdf' target='_blank''>Link to FedEx Tracking</a>
2727,84,2.5,59,29,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496293.pdf' target='_blank''>Link to FedEx Tracking</a>
1085,105,2.5,74,37,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496639.pdf' target='_blank''>Link to FedEx Tracking</a>
5369,101,3,71,35,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496363.pdf' target='_blank''>Link to FedEx Tracking</a>
2423,103,3,72,36,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496889.pdf' target='_blank''>Link to FedEx Tracking</a>
613,102,3,71,36,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496385.pdf' target='_blank''>Link to FedEx Tracking</a>
174,115,3,81,40,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496731.pdf' target='_blank''>Link to FedEx Tracking</a>
771,117,3,82,41,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496400.pdf' target='_blank''>Link to FedEx Tracking</a>
1182,106,3,74,37,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496640.pdf' target='_blank''>Link to FedEx Tracking</a>
2814,115,3,81,40,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496043.pdf' target='_blank''>Link to FedEx Tracking</a>
4063,108,3,76,38,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496135.pdf' target='_blank''>Link to FedEx Tracking</a>
2560,117,3,82,41,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496499.pdf' target='_blank''>Link to FedEx Tracking</a>
3463,112,3,78,39,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496320.pdf' target='_blank''>Link to FedEx Tracking</a>
1901,114,3,80,40,x,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496683.pdf' target='_blank''>Link to FedEx Tracking</a>
2884,110,3,77,39,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496102.pdf' target='_blank''>Link to FedEx Tracking</a>
6397,109,3,76,38,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496179.pdf' target='_blank''>Link to FedEx Tracking</a>
5803,95,3,67,33,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496948.pdf' target='_blank''>Link to FedEx Tracking</a>
3220,94,3,66,33,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730495985.pdf' target='_blank''>Link to FedEx Tracking</a>
2067,89,3,62,31,,<a href='https://www.fedex.com/fedextrack/?trknbr=583730496926.pdf' target='_blank''>Link to FedEx Tracking</a>
