Store #,First Carrier Assigned,Fulfilment Type, Status,Weeks With Status, Trend,Directional Focus ,Max WM WK ID,OTD* %,OTP* % ,Dwell Time* ,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
284,,Scheduled Delivery Standard,At Risk,4,Degrading,Store Focus,202245,79.94%,82.79%,22.17,86.50%,83.38%,71.95%,76.64%
1455,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,77.77%,85.53%,22.48,89.67%,73.77%,66.97%,82.78%
1801,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,89.07%,55.70%,15.34,93.81%,94.39%,92.25%,74.23%
1801,,Scheduled Delivery Standard,Executive Review,41,Degrading,Store Focus,202245,53.93%,61.70%,27.38,69.61%,56.86%,50.00%,35.56%
3284,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,78.07%,71.87%,14.21,80.47%,72.90%,73.81%,84.57%
3285,,Scheduled Delivery Standard,Executive Review,15,Degrading,Store Focus,202245,67.93%,72.41%,21.58,87.22%,52.79%,47.13%,72.36%
3631,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,94.38%,77.72%,12.73,98.75%,98.44%,97.90%,80.17%
4279,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,83.05%,85.52%,14.92,89.21%,86.36%,66.74%,85.07%
5147,,Scheduled Delivery Standard,At Risk,4,Degrading,Store Focus,202245,62.16%,64.92%,22.31,70.56%,40.85%,69.03%,70.49%
265,,Scheduled Delivery Standard,Executive Review,13,Degrading,Store Focus,202245,66.08%,60.79%,21.82,69.32%,69.47%,45.87%,76.77%
2688,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,90.29%,69.17%,13.07,95.65%,98.10%,97.06%,66.67%
2688,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,82.43%,75.28%,17.03,78.39%,84.71%,83.67%,83.06%
6467,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,84.80%,89.07%,12.36,82.99%,87.36%,79.37%,89.15%
345,,Scheduled Delivery Standard,Executive Review,9,Degrading,Store Focus,202245,84.63%,69.96%,14.81,83.54%,79.68%,85.13%,91.32%
398,,Scheduled Delivery Standard,Executive Review,15,Degrading,Store Focus,202245,76.97%,68.33%,20.56,85.05%,75.32%,77.80%,68.29%
918,,Scheduled Delivery Express,At Risk,5,Degrading,Store Focus,202245,84.00%,80.25%,9.2,88.89%,88.00%,96.97%,67.50%
918,,Scheduled Delivery Standard,Active Monitoring,3,Degrading,Store Focus,202245,76.83%,73.03%,13.98,84.02%,71.97%,65.52%,85.22%
3828,,Scheduled Delivery Standard,Executive Review,16,Recovering,Store Focus,202245,88.43%,88.81%,11.07,90.42%,87.29%,86.85%,88.93%
228,,Scheduled Delivery Express,Executive Review,17,Recovering,Store Focus,202245,95.90%,76.85%,11.98,100.00%,98.11%,100.00%,84.78%
353,,Scheduled Delivery Express,Active Monitoring,3,Degrading,Store Focus,202245,30.00%,87.32%,11.84,25.00%,28.57%,33.33%,34.78%
371,,Scheduled Delivery Standard,Active Monitoring,3,Degrading,Store Focus,202245,83.47%,79.43%,12.72,86.63%,74.62%,88.45%,84.79%
590,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,84.16%,73.55%,25.02,94.51%,75.51%,96.36%,38.46%
590,,Scheduled Delivery Standard,At Risk,4,Degrading,Store Focus,202245,82.40%,82.07%,27.21,83.49%,70.17%,85.46%,90.17%
3431,,Scheduled Delivery Express,Executive Review,8,Recovering,Store Focus,202245,96.48%,76.16%,16.88,100.00%,100.00%,97.06%,80.95%
471,,Scheduled Delivery Express,Active Monitoring,1,Recovering,Store Focus,202245,87.78%,65.67%,17.53,93.98%,80.33%,88.00%,85.19%
471,,Scheduled Delivery Standard,At Risk,4,Degrading,Store Focus,202245,56.99%,75.75%,24.37,72.20%,71.17%,16.44%,9.68%
896,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,93.21%,59.68%,14.89,99.10%,95.83%,94.83%,83.20%
896,,Scheduled Delivery Standard,At Risk,4,Degrading,Store Focus,202245,66.17%,60.56%,22.19,76.41%,69.06%,66.39%,52.94%
3014,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,70.80%,70.36%,26.13,75.88%,72.06%,88.87%,45.43%
3432,,Scheduled Delivery Standard,At Risk,4,Degrading,Store Focus,202245,34.96%,71.16%,35.86,47.32%,34.17%,36.09%,23.28%
3433,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,86.44%,66.09%,16.22,97.25%,86.32%,95.38%,50.00%
3433,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,59.33%,69.33%,27.65,82.47%,68.60%,29.44%,34.38%
4503,,Scheduled Delivery Standard,Executive Review,27,Degrading,Store Focus,202245,40.26%,65.13%,31.9,29.20%,34.57%,48.70%,44.81%
5288,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,91.99%,79.71%,11.29,96.30%,98.86%,95.29%,77.11%
5288,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,78.47%,74.85%,16.43,80.65%,81.54%,80.79%,70.55%
5810,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,91.38%,89.93%,14.14,99.00%,98.89%,93.02%,76.64%
5810,,Scheduled Delivery Standard,Active Monitoring,3,Degrading,Store Focus,202245,81.92%,99.37%,14.79,88.24%,80.80%,74.41%,82.87%
