Market,Store Number,Fashion Op Model Tier,Fashion Coach?,Coach Action,Total TL Headcount,Go-Live Week,Fashion Stocking Team Hours
29,605,2,YES,MOVE EXISTING,4,WK 37,120
29,606,3,NO,-,3,WK 37,80
29,635,2,YES,MOVE EXISTING,4,WK 37,120
29,728,2,YES,HIRE,4,WK 37,120
29,1011,2,YES,MOVE EXISTING,4,WK 37,120
29,2832,2,YES,HIRE,4,WK 37,120
29,2860,1,YES,MOVE EXISTING,4,WK 37,140
29,4556,3,NO,-,3,WK 37,80
29,6395,3,NO,-,4,WK 37,80
33,628,2,YES,MOVE EXISTING,4,WK 37,120
33,795,3,NO,-,3,WK 37,80
33,1037,2,YES,MOVE EXISTING,4,WK 37,120
33,1358,2,YES,HIRE,4,WK 37,120
33,1383,2,YES,HIRE,4,WK 37,120
33,1748,2,YES,HIRE,4,WK 37,120
33,2348,3,NO,-,4,WK 37,80
33,7181,3,NO,-,4,WK 37,80
35,631,2,YES,HIRE,4,WK 37,120
35,640,2,YES,MOVE EXISTING,4,WK 37,120
35,641,2,YES,MOVE EXISTING,4,WK 37,120
35,1123,1,YES,MOVE EXISTING,4,WK 37,140
35,1244,2,YES,HIRE,4,WK 37,120
35,2265,2,YES,MOVE EXISTING,4,WK 37,120
35,2687,2,YES,HIRE,4,WK 37,120
35,3191,3,NO,-,3,WK 37,80
35,3192,3,NO,-,4,WK 37,80
35,3222,2,YES,MOVE EXISTING,4,WK 37,120
35,4583,3,NO,-,3,WK 37,80
35,5487,2,YES,HIRE,4,WK 37,120
36,625,2,YES,MOVE EXISTING,4,WK 37,120
36,632,3,NO,-,4,WK 37,80
36,1017,2,YES,HIRE,4,WK 37,120
36,1146,1,YES,MOVE EXISTING,4,WK 37,140
36,1359,2,YES,MOVE EXISTING,4,WK 37,120
36,2928,1,YES,HIRE,4,WK 37,140
36,3367,3,NO,-,4,WK 37,80
36,4384,3,NO,-,4,WK 37,80
37,574,1,YES,MOVE EXISTING,4,WK 37,140
37,586,2,YES,MOVE EXISTING,4,WK 37,120
37,643,1,YES,MOVE EXISTING,4,WK 37,140
37,1767,2,YES,HIRE,4,WK 37,120
37,2712,1,YES,MOVE EXISTING,4,WK 37,140
37,4664,2,YES,MOVE EXISTING,4,WK 37,120
37,5087,1,YES,MOVE EXISTING,4,WK 37,140
37,5705,2,YES,HIRE,4,WK 37,120
38,511,1,YES,MOVE EXISTING,4,WK 37,140
38,621,2,YES,HIRE,4,WK 37,120
38,627,3,NO,-,3,WK 37,80
38,630,2,YES,MOVE EXISTING,4,WK 37,120
38,634,2,YES,MOVE EXISTING,4,WK 37,120
38,642,3,NO,-,4,WK 37,80
38,1135,3,NO,-,4,WK 37,80
38,1829,3,NO,-,3,WK 37,80
38,2703,2,YES,HIRE,4,WK 37,120
38,4457,3,NO,-,3,WK 37,80
38,7188,3,NO,-,3,WK 37,80
39,396,2,YES,MOVE EXISTING,4,WK 37,120
39,514,2,YES,MOVE EXISTING,4,WK 37,120
39,624,3,NO,-,4,WK 37,80
39,629,3,NO,-,4,WK 37,80
39,644,2,YES,HIRE,4,WK 37,120
39,1130,2,YES,MOVE EXISTING,4,WK 37,120
39,1270,2,YES,MOVE EXISTING,4,WK 37,120
39,1382,2,YES,MOVE EXISTING,4,WK 37,120
39,1603,3,NO,-,3,WK 37,80
39,4487,2,YES,HIRE,4,WK 37,120
39,6576,3,NO,-,4,WK 37,80
39,6887,3,NO,-,3,WK 37,80
41,616,2,YES,MOVE EXISTING,4,WK 37,120
41,881,2,YES,HIRE,4,WK 37,120
41,1164,2,YES,MOVE EXISTING,4,WK 37,120
41,1183,1,YES,HIRE,4,WK 37,140
41,1286,2,YES,HIRE,4,WK 37,120
41,1339,2,YES,MOVE EXISTING,4,WK 37,120
41,2214,2,YES,MOVE EXISTING,4,WK 37,120
41,4420,2,YES,MOVE EXISTING,4,WK 37,120
41,4440,2,YES,HIRE,4,WK 37,120
41,4506,2,YES,MOVE EXISTING,4,WK 37,120
41,4521,1,YES,MOVE EXISTING,4,WK 37,140
42,585,2,YES,MOVE EXISTING,4,WK 37,120
42,638,2,YES,HIRE,4,WK 37,120
42,1030,2,YES,MOVE EXISTING,4,WK 37,120
42,1035,1,YES,MOVE EXISTING,4,WK 37,140
42,1144,2,YES,HIRE,4,WK 37,120
42,1281,2,YES,HIRE,4,WK 37,120
42,2806,1,YES,MOVE EXISTING,4,WK 37,140
42,3733,2,YES,MOVE EXISTING,4,WK 37,120
42,4237,2,YES,MOVE EXISTING,4,WK 37,120
42,4593,2,YES,HIRE,4,WK 37,120
294,1036,2,YES,HIRE,4,WK 37,120
294,1179,2,YES,MOVE EXISTING,4,WK 37,120
294,1217,2,YES,HIRE,4,WK 37,120
294,1242,1,YES,HIRE,4,WK 37,140
294,1317,3,NO,-,4,WK 37,80
294,1663,1,YES,HIRE,4,WK 37,140
294,1795,3,NO,-,3,WK 37,80
294,2440,2,YES,HIRE,4,WK 37,120
294,4334,2,YES,MOVE EXISTING,4,WK 37,120
294,4428,3,NO,-,3,WK 37,80
310,1155,1,YES,MOVE EXISTING,4,WK 37,140
310,1238,2,YES,MOVE EXISTING,4,WK 37,120
310,1261,2,YES,MOVE EXISTING,4,WK 37,120
310,1312,3,NO,-,4,WK 37,80
310,1774,2,YES,MOVE EXISTING,4,WK 37,120
310,2929,2,YES,MOVE EXISTING,4,WK 37,120
310,3595,2,YES,MOVE EXISTING,4,WK 37,120
310,5489,3,NO,-,4,WK 37,80
310,5787,3,NO,-,4,WK 37,80
310,6879,2,YES,MOVE EXISTING,4,WK 37,120
310,6958,2,YES,MOVE EXISTING,4,WK 37,120
154,1967,1,YES,MOVE EXISTING,4,WK 37,140
154,1984,3,NO,-,4,WK 37,80
154,2174,1,YES,MOVE EXISTING,4,WK 37,140
154,2228,2,YES,MOVE EXISTING,4,WK 37,120
154,2289,3,NO,-,4,WK 37,80
154,2386,2,YES,HIRE,4,WK 37,120
154,2683,3,NO,-,3,WK 37,80
154,2797,3,NO,-,3,WK 37,80
154,2901,3,NO,-,3,WK 37,80
154,5278,1,YES,MOVE EXISTING,4,WK 37,140
156,1918,1,YES,HIRE,4,WK 37,140
156,2012,2,YES,HIRE,4,WK 37,120
156,2118,2,YES,HIRE,4,WK 37,120
156,2155,2,YES,HIRE,4,WK 37,120
156,2158,2,YES,HIRE,4,WK 37,120
156,2267,2,YES,HIRE,4,WK 37,120
156,2329,3,NO,-,3,WK 37,80
156,2629,2,YES,MOVE EXISTING,4,WK 37,120
156,2964,2,YES,HIRE,4,WK 37,120
156,3409,2,YES,HIRE,4,WK 37,120
156,4387,1,YES,MOVE EXISTING,4,WK 37,140
157,1762,1,YES,MOVE EXISTING,4,WK 37,140
157,2139,1,YES,HIRE,4,WK 37,140
157,2180,1,YES,MOVE EXISTING,4,WK 37,140
157,2222,1,YES,HIRE,4,WK 37,140
157,2640,2,YES,MOVE EXISTING,4,WK 37,120
157,2660,2,YES,HIRE,4,WK 37,120
157,2903,2,YES,HIRE,4,WK 37,120
157,3114,1,YES,HIRE,4,WK 37,140
157,3535,2,YES,HIRE,4,WK 37,120
159,1970,2,YES,MOVE EXISTING,4,WK 37,120
159,2103,1,YES,MOVE EXISTING,4,WK 37,140
159,2122,2,YES,MOVE EXISTING,4,WK 37,120
159,2128,3,NO,-,3,WK 37,80
159,2227,2,YES,HIRE,4,WK 37,120
159,2336,2,YES,MOVE EXISTING,4,WK 37,120
159,2341,1,YES,HIRE,4,WK 37,140
159,2902,1,YES,MOVE EXISTING,4,WK 37,140
159,2904,2,YES,HIRE,4,WK 37,120
159,3200,2,YES,MOVE EXISTING,4,WK 37,120
160,1906,2,YES,MOVE EXISTING,4,WK 37,120
160,2021,1,YES,MOVE EXISTING,4,WK 37,140
160,2095,2,YES,HIRE,4,WK 37,120
160,2157,2,YES,HIRE,4,WK 37,120
160,2184,2,YES,MOVE EXISTING,4,WK 37,120
160,2366,1,YES,MOVE EXISTING,4,WK 37,140
160,2953,2,YES,HIRE,4,WK 37,120
160,3560,1,YES,HIRE,4,WK 37,140
