Store Number,DATE
211,7/20/2022
260,7/20/2022
551,7/20/2022
585,7/20/2022
605,7/20/2022
606,7/20/2022
629,7/20/2022
635,7/20/2022
669,7/20/2022
697,7/20/2022
728,7/20/2022
756,7/20/2022
862,7/20/2022
960,7/20/2022
1011,7/20/2022
1027,7/20/2022
1036,7/20/2022
1060,7/20/2022
1064,7/20/2022
1097,7/20/2022
1117,7/20/2022
1131,7/20/2022
1132,7/20/2022
1155,7/20/2022
1156,7/20/2022
1166,7/20/2022
1197,7/20/2022
1209,7/20/2022
1236,7/20/2022
1237,7/20/2022
1238,7/20/2022
1255,7/20/2022
1261,7/20/2022
1288,7/20/2022
1312,7/20/2022
1321,7/20/2022
1322,7/20/2022
1352,7/20/2022
1385,7/21/2022
1452,7/20/2022
1559,7/20/2022
1603,7/20/2022
1613,7/20/2022
1694,7/20/2022
1751,7/20/2022
1774,7/20/2022
1795,7/20/2022
1801,7/20/2022
1816,7/20/2022
1838,7/20/2022
1847,7/20/2022
2247,7/20/2022
2256,7/20/2022
2472,7/20/2022
2580,7/20/2022
2793,7/20/2022
2836,7/20/2022
2845,7/20/2022
2860,7/20/2022
2883,7/14/2022
2929,7/20/2022
2977,7/20/2022
3199,7/20/2022
3284,7/20/2022
3304,7/20/2022
3305,7/20/2022
3341,7/20/2022
3503,7/20/2022
3595,7/20/2022
3658,7/20/2022
3701,7/20/2022
3733,7/20/2022
4237,7/20/2022
4368,7/20/2022
4410,7/20/2022
4431,7/20/2022
4477,7/20/2022
4525,7/20/2022
4556,7/20/2022
4594,7/20/2022
5013,7/20/2022
5063,7/20/2022
5085,7/20/2022
5173,7/20/2022
5298,7/20/2022
5320,7/20/2022
5326,7/20/2022
5359,7/20/2022
5393,7/20/2022
5481,7/20/2022
5747,7/20/2022
5787,7/20/2022
6233,7/20/2022
6243,7/20/2022
6814,7/20/2022
6828,7/20/2022
6879,7/20/2022
7206,7/20/2022
7243,7/20/2022
7329,7/20/2022
