Store #, Market #,Store Type, Volume Classification
1,323,SUP,High
2,322,SUP,Low
3,21,SUP,Medium
4,323,SUP,Medium
5,326,SUP,Medium
7,326,SUP,Medium
8,326,SUP,Low
9,335,SUP,Low
10,347,SUP,Low
11,328,SUP,Low
12,347,SUP,Low
13,334,SUP,Low
14,357,SUP,Low
15,333,SUP,Low
16,321,SUP,Medium
17,334,SUP,Low
18,328,SUP,Low
19,335,SUP,Low
20,361,SUP,Low
21,336,SUP,Low
22,347,SUP,Low
23,135,SUP,Low
24,326,SUP,Medium
25,359,SUP,Low
26,411,SUP,Low
27,357,SUP,Low
28,347,SUP,Low
29,336,SUP,Medium
30,335,SUP,Low
31,351,SUP,Low
32,333,W/M,Low
33,325,SUP,Low
34,334,SUP,Low
35,407,SUP,Medium
36,329,SUP,Low
37,335,SUP,Medium
38,47,SUP,Low
39,410,SUP,Low
40,359,SUP,Low
41,345,SUP,Low
42,410,SUP,Low
43,407,SUP,Low
44,336,W/M,Low
45,329,SUP,Medium
46,357,SUP,Low
47,351,SUP,Low
48,334,SUP,Low
49,47,SUP,Low
50,347,SUP,Low
51,359,SUP,Low
52,325,SUP,Medium
54,322,SUP,High
55,321,SUP,Low
56,333,SUP,Low
58,325,SUP,Medium
59,334,SUP,Medium
60,339,SUP,Low
61,361,SUP,Low
62,329,SUP,Low
63,347,SUP,Low
64,146,SUP,Low
65,336,SUP,Low
66,321,SUP,Low
67,321,SUP,Low
68,329,SUP,Low
69,335,SUP,Medium
70,329,SUP,Medium
71,328,SUP,Low
72,410,SUP,Low
73,356,SUP,Low
74,329,SUP,Low
75,134,SUP,Medium
76,322,SUP,Low
77,83,SUP,Low
78,357,SUP,Low
79,334,SUP,Medium
80,359,SUP,Medium
81,347,SUP,Low
82,335,SUP,Low
83,327,SUP,Low
85,324,SUP,Medium
86,357,SUP,Medium
87,127,SUP,Low
88,357,SUP,Low
89,336,SUP,Low
90,347,SUP,Low
91,329,SUP,Low
92,334,SUP,Low
93,146,SUP,Low
94,145,SUP,Medium
95,335,SUP,Medium
96,361,SUP,Low
97,146,SUP,Low
98,135,SUP,Low
99,340,SUP,Medium
100,323,SUP,High
101,336,SUP,Low
102,327,SUP,Low
103,351,SUP,Medium
104,146,SUP,Medium
105,4,SUP,Low
106,146,SUP,Low
107,146,SUP,Low
108,344,SUP,Low
109,360,SUP,Low
110,89,SUP,Medium
111,410,SUP,Low
112,138,SUP,Low
113,349,SUP,Low
114,4,SUP,Low
115,138,SUP,Low
117,47,W/M,Low
118,4,SUP,Low
119,328,SUP,Low
120,146,SUP,Medium
121,351,SUP,Low
122,335,SUP,Low
123,351,SUP,Low
124,324,SUP,Medium
125,321,SUP,Medium
126,324,SUP,Medium
127,325,SUP,Low
128,329,SUP,Medium
129,350,SUP,Low
130,347,SUP,Medium
131,47,SUP,Low
132,344,SUP,Low
133,325,SUP,Low
134,344,SUP,Low
135,360,SUP,Low
136,345,W/M,Low
137,352,SUP,Medium
138,357,SUP,Medium
139,353,SUP,Low
140,503,SUP,Low
141,321,SUP,Medium
143,253,SUP,Medium
144,322,SUP,High
145,339,SUP,Low
146,46,SUP,Medium
147,350,SUP,Medium
148,47,SUP,Low
149,135,SUP,Low
150,344,SUP,Low
151,350,SUP,Low
152,335,SUP,Medium
153,4,SUP,Low
154,311,SUP,Low
155,136,SUP,Low
157,328,SUP,Medium
158,350,SUP,Low
159,359,SUP,Medium
160,328,SUP,Low
161,147,SUP,Low
163,503,SUP,Low
164,4,SUP,Low
165,46,SUP,Low
166,357,SUP,Low
167,327,SUP,Low
168,345,SUP,Medium
169,326,SUP,Low
170,134,SUP,Low
171,327,SUP,Low
172,340,SUP,Medium
173,357,SUP,Low
174,92,SUP,Medium
175,144,SUP,Medium
176,4,W/M,Low
177,146,SUP,Low
178,344,SUP,Low
179,357,SUP,Medium
180,46,SUP,Medium
181,47,SUP,Low
182,136,SUP,Low
183,138,SUP,Low
184,361,SUP,Medium
185,350,SUP,Low
186,409,SUP,Low
188,335,SUP,Medium
189,359,SUP,Low
190,329,SUP,Low
192,153,SUP,Medium
194,60,SUP,Medium
195,360,SUP,Medium
196,271,SUP,Low
197,278,SUP,Low
198,272,SUP,Low
199,278,SUP,Low
200,275,SUP,Low
201,341,SUP,Medium
202,51,SUP,Medium
203,359,SUP,Low
204,253,SUP,Low
205,138,SUP,Low
206,52,SUP,Medium
207,345,SUP,Low
210,351,SUP,Low
211,76,SUP,Low
212,353,SUP,Medium
213,272,SUP,Low
214,503,SUP,Low
216,271,SUP,Medium
217,53,SUP,Medium
218,147,SUP,Low
219,336,SUP,Low
220,48,SUP,Medium
221,344,SUP,Medium
222,271,SUP,Low
224,272,SUP,Low
225,350,SUP,Low
226,47,SUP,Low
227,344,SUP,Low
228,48,SUP,Low
229,329,SUP,Low
231,351,SUP,Low
232,350,SUP,Low
233,271,SUP,Medium
234,360,SUP,Medium
236,503,SUP,Low
237,271,SUP,Low
238,147,SUP,Low
239,138,SUP,Low
240,47,SUP,Low
242,410,SUP,Low
243,339,SUP,Medium
244,135,SUP,Low
246,345,SUP,Low
247,351,W/M,Low
248,76,SUP,Low
249,503,SUP,Low
250,357,SUP,Low
251,45,SUP,Medium
252,271,SUP,Low
253,341,SUP,Low
254,273,SUP,Low
256,341,SUP,Medium
257,254,SUP,Low
258,4,SUP,Medium
259,583,SUP,Medium
260,55,SUP,Medium
261,325,SUP,Medium
262,271,SUP,Low
264,149,SUP,Medium
265,45,SUP,Medium
266,50,SUP,High
267,334,SUP,Medium
268,147,SUP,Low
269,349,SUP,Medium
271,349,SUP,Low
272,153,SUP,Medium
273,4,SUP,Low
275,503,SUP,Low
276,351,SUP,Low
277,353,SUP,Medium
278,127,SUP,Medium
279,321,SUP,Low
280,83,SUP,Low
281,328,SUP,Low
282,253,SUP,Medium
283,66,W/M,Medium
284,49,SUP,Medium
285,503,SUP,Low
286,55,SUP,Low
287,11,SUP,Low
288,503,SUP,Low
290,77,SUP,Low
