Company,Pay Period End,Tracking #,Address,City,State,Zip Code,FedEx URL,
1610,6/20/2025,390257540075,100 Elmridge Center Dr,Greece,NY,14626,https://www.fedex.com/apps/fedextrack/?tracknumbers=390257540075,
1619,6/20/2025,390257544909,1200 Marketplace Dr,Rochester,NY,14623,https://www.fedex.com/apps/fedextrack/?tracknumbers=390257544909,
1673,6/20/2025,390257539818,4238 Recreation Dr,Canandaigua,NY,14424,https://www.fedex.com/apps/fedextrack/?tracknumbers=390257539818,
1677,6/20/2025,390257547963,4765 Commercial Dr,New Hartford,NY,13413,https://www.fedex.com/apps/fedextrack/?tracknumbers=390257547963,
1705,6/20/2025,390257545548,1860 N Road,Waterloo,NY,13165,https://www.fedex.com/apps/fedextrack/?tracknumbers=390257545548,
1731,6/20/2025,390257552675,990 State Route 5 And 20,Geneva,NY,14456,https://www.fedex.com/apps/fedextrack/?tracknumbers=390257552675,
1744,6/20/2025,390257539016,1990 Brandt Point Drive,Webster,NY,14580,https://www.fedex.com/apps/fedextrack/?tracknumbers=390257539016,
1781,6/20/2025,390257543177,819 Bennie Rd,Cortland,NY,13045,https://www.fedex.com/apps/fedextrack/?tracknumbers=390257543177,
1806,6/20/2025,390257539998,329 S Kingsboro Ave Ext,Gloversville,NY,12078,https://www.fedex.com/apps/fedextrack/?tracknumbers=390257539998,
1810,6/20/2025,390257545397,26 W Merritt Blvd,Fishkill,NY,12524,https://www.fedex.com/apps/fedextrack/?tracknumbers=390257545397,
1813,6/20/2025,390257540947,6788 State Route 31 E,Newark,NY,14513,https://www.fedex.com/apps/fedextrack/?tracknumbers=390257540947,
1830,6/20/2025,390257545000,297 Grant Ave,Auburn,NY,13021,https://www.fedex.com/apps/fedextrack/?tracknumbers=390257545000,
1831,6/20/2025,390257537837,8770 Dell Center Drive,Liverpool,NY,13090,https://www.fedex.com/apps/fedextrack/?tracknumbers=390257537837,
1835,6/20/2025,390257542034,2405 Vestal Pkwy E,Vestal,NY,13850,https://www.fedex.com/apps/fedextrack/?tracknumbers=390257542034,
1871,6/20/2025,390257540384,20823 State Route 3,Watertown,NY,13601,https://www.fedex.com/apps/fedextrack/?tracknumbers=390257540384,
1909,6/20/2025,390257545478,1540 Military Rd,Niagara Falls,NY,14304,https://www.fedex.com/apps/fedextrack/?tracknumbers=390257545478,
1926,6/20/2025,390257540741,341 State Route 104,Oswego,NY,13126,https://www.fedex.com/apps/fedextrack/?tracknumbers=390257540741,
1940,6/20/2025,390257543166,279 Troy Rd,East Greenbush,NY,12144,https://www.fedex.com/apps/fedextrack/?tracknumbers=390257543166,
1946,6/20/2025,390257545228,43 Stephenville St,Massena,NY,13662,https://www.fedex.com/apps/fedextrack/?tracknumbers=390257545228,
1949,6/20/2025,390257547106,10401 Bennett Rd,Fredonia,NY,14063,https://www.fedex.com/apps/fedextrack/?tracknumbers=390257547106,
