Store number,Group
659,Group A
688,Group A
745,Group A
839,Group A
1047,Group A
1225,Group A
1535,Group A
1557,Group A
3014,Group A
3044,Group A
3205,Group A
3285,Group A
3402,Group A
3432,Group A
3520,Group A
4108,Group A
4285,Group A
4383,Group A
5030,Group A
5449,Group A
3401,Group B
43,Group B
234,Group B
319,Group B
471,Group B
494,Group B
504,Group B
529,Group B
531,Group B
546,Group B
585,Group B
590,Group B
594,Group B
615,Group B
673,Group B
682,Group B
710,Group B
744,Group B
787,Group B
808,Group B
855,Group B
877,Group B
880,Group B
896,Group B
939,Group B
989,Group B
1040,Group B
1129,Group B
1173,Group B
1181,Group B
1188,Group B
1220,Group B
1256,Group B
1263,Group B
1279,Group B
1339,Group B
1373,Group B
1398,Group B
1424,Group B
1455,Group B
1464,Group B
1541,Group B
1554,Group B
1556,Group B
1560,Group B
1576,Group B
1631,Group B
1717,Group B
1720,Group B
1773,Group B
1801,Group B
1842,Group B
1851,Group B
1852,Group B
1864,Group B
1875,Group B
1893,Group B
1922,Group B
1938,Group B
1952,Group B
1960,Group B
1985,Group B
1998,Group B
2068,Group B
2091,Group B
2122,Group B
2134,Group B
2248,Group B
2427,Group B
2475,Group B
2583,Group B
2631,Group B
2667,Group B
2799,Group B
2817,Group B
2818,Group B
2904,Group B
2978,Group B
3035,Group B
3151,Group B
3201,Group B
3224,Group B
3292,Group B
3572,Group B
3588,Group B
3595,Group B
3609,Group B
3611,Group B
3631,Group B
3709,Group B
3741,Group B
3783,Group B
3804,Group B
4484,Group B
4558,Group B
5129,Group B
5184,Group B
5228,Group B
5293,Group B
5485,Group B
5810,Group B
5844,Group B
5968,Group B
6286,Group B
6998,Group B
23,Group C
24,Group C
62,Group C
64,Group C
74,Group C
83,Group C
87,Group C
91,Group C
97,Group C
98,Group C
102,Group C
112,Group C
115,Group C
116,Group C
124,Group C
149,Group C
155,Group C
170,Group C
182,Group C
183,Group C
184,Group C
217,Group C
239,Group C
244,Group C
269,Group C
289,Group C
303,Group C
304,Group C
305,Group C
307,Group C
311,Group C
312,Group C
323,Group C
329,Group C
332,Group C
335,Group C
347,Group C
348,Group C
355,Group C
356,Group C
375,Group C
376,Group C
391,Group C
401,Group C
402,Group C
407,Group C
411,Group C
425,Group C
428,Group C
432,Group C
459,Group C
466,Group C
468,Group C
469,Group C
483,Group C
485,Group C
488,Group C
489,Group C
495,Group C
501,Group C
511,Group C
521,Group C
530,Group C
533,Group C
539,Group C
543,Group C
548,Group C
555,Group C
588,Group C
605,Group C
606,Group C
614,Group C
616,Group C
618,Group C
621,Group C
624,Group C
625,Group C
627,Group C
629,Group C
630,Group C
635,Group C
639,Group C
641,Group C
642,Group C
644,Group C
651,Group C
674,Group C
686,Group C
707,Group C
708,Group C
714,Group C
716,Group C
723,Group C
726,Group C
730,Group C
733,Group C
754,Group C
758,Group C
762,Group C
764,Group C
772,Group C
785,Group C
795,Group C
803,Group C
816,Group C
843,Group C
848,Group C
858,Group C
862,Group C
874,Group C
875,Group C
889,Group C
903,Group C
909,Group C
911,Group C
915,Group C
916,Group C
918,Group C
932,Group C
940,Group C
951,Group C
954,Group C
955,Group C
961,Group C
969,Group C
973,Group C
976,Group C
981,Group C
1006,Group C
1010,Group C
1017,Group C
1018,Group C
1022,Group C
1024,Group C
1025,Group C
1027,Group C
1034,Group C
1035,Group C
1059,Group C
1065,Group C
1066,Group C
1069,Group C
1074,Group C
1076,Group C
1077,Group C
1083,Group C
1094,Group C
1102,Group C
1103,Group C
1106,Group C
1108,Group C
1109,Group C
1112,Group C
1118,Group C
1121,Group C
1128,Group C
1130,Group C
1135,Group C
1136,Group C
1143,Group C
1146,Group C
1158,Group C
1163,Group C
1166,Group C
1168,Group C
1169,Group C
1174,Group C
1184,Group C
1192,Group C
1193,Group C
1196,Group C
1197,Group C
1203,Group C
1206,Group C
1212,Group C
1218,Group C
1219,Group C
1227,Group C
1229,Group C
1231,Group C
1236,Group C
1238,Group C
1243,Group C
1255,Group C
1261,Group C
1266,Group C
1268,Group C
1270,Group C
1271,Group C
1284,Group C
1286,Group C
1293,Group C
1323,Group C
1340,Group C
1342,Group C
1345,Group C
1349,Group C
1352,Group C
1353,Group C
1358,Group C
1359,Group C
1379,Group C
1382,Group C
1383,Group C
1385,Group C
1387,Group C
1391,Group C
1408,Group C
1444,Group C
1465,Group C
1468,Group C
1481,Group C
1486,Group C
1488,Group C
1502,Group C
1511,Group C
1518,Group C
1521,Group C
1524,Group C
1527,Group C
1530,Group C
1559,Group C
1561,Group C
1579,Group C
1580,Group C
1586,Group C
1603,Group C
1605,Group C
1614,Group C
1618,Group C
1620,Group C
1638,Group C
1641,Group C
1658,Group C
1661,Group C
1664,Group C
1666,Group C
1687,Group C
1701,Group C
1710,Group C
1711,Group C
1730,Group C
1736,Group C
1811,Group C
1816,Group C
1821,Group C
1829,Group C
1837,Group C
1841,Group C
1849,Group C
1860,Group C
1890,Group C
1928,Group C
1934,Group C
1950,Group C
1953,Group C
2040,Group C
2045,Group C
2062,Group C
2082,Group C
2113,Group C
2123,Group C
2136,Group C
2141,Group C
2154,Group C
2160,Group C
2184,Group C
2204,Group C
2211,Group C
2214,Group C
2272,Group C
2295,Group C
2312,Group C
2322,Group C
2362,Group C
2447,Group C
2514,Group C
2555,Group C
2580,Group C
2584,Group C
2585,Group C
2615,Group C
2627,Group C
2645,Group C
2690,Group C
2703,Group C
2705,Group C
2706,Group C
2713,Group C
2717,Group C
2720,Group C
2726,Group C
2730,Group C
2754,Group C
2760,Group C
2783,Group C
2805,Group C
2811,Group C
2830,Group C
2846,Group C
2853,Group C
2860,Group C
2890,Group C
2929,Group C
2931,Group C
2946,Group C
2959,Group C
3059,Group C
3060,Group C
3163,Group C
3167,Group C
3188,Group C
3214,Group C
3235,Group C
3252,Group C
3280,Group C
3284,Group C
3296,Group C
3311,Group C
3319,Group C
3351,Group C
3367,Group C
3388,Group C
3430,Group C
3445,Group C
3447,Group C
3489,Group C
3490,Group C
3529,Group C
3612,Group C
3616,Group C
3625,Group C
3702,Group C
3720,Group C
3781,Group C
3785,Group C
3827,Group C
3831,Group C
3868,Group C
4144,Group C
4295,Group C
4298,Group C
4303,Group C
4350,Group C
4378,Group C
4407,Group C
4427,Group C
4435,Group C
4446,Group C
4459,Group C
4472,Group C
4487,Group C
4497,Group C
4506,Group C
4553,Group C
4556,Group C
4574,Group C
4623,Group C
4631,Group C
4683,Group C
4690,Group C
5022,Group C
5028,Group C
5058,Group C
5104,Group C
5144,Group C
5196,Group C
5229,Group C
5252,Group C
5298,Group C
5301,Group C
5320,Group C
5325,Group C
5344,Group C
5363,Group C
5390,Group C
5422,Group C
5447,Group C
5481,Group C
5482,Group C
5486,Group C
5495,Group C
5709,Group C
5753,Group C
5787,Group C
5797,Group C
5879,Group C
5927,Group C
5964,Group C
6469,Group C
6807,Group C
