Location ID#,Year,Wk 21,Wk 22,Wk 23,Wk 24,Wk 25,,,,,,,,
4962,2024,9,10,11,10,9,,,,,,,,
4963,2024,11,11,11,11,12,,,,,,,,
4969,2024,17,16,18,16,15,,,,,,,,
4972,2024,12,13,13,12,13,,,,,,,,
4973,2024,10,10,10,12,10,,,,,,,,
4974,2024,18,17,15,20,18,,,,,,,,
4982,2024,9,8,11,9,8,,,,,,,,
4983,2024,16,14,15,13,16,,,,,,,,
4985,2024,14,15,16,15,14,,,,,,,,
4987,2024,10,9,9,9,9,,,,,,,,
4989,2024,12,14,14,13,13,,,,,,,,
4990,2024,12,13,15,12,14,,,,,,,,
4991,2024,8,8,9,8,8,,,,,,,,
4992,2024,11,13,14,12,15,,,,,,,,
4993,2024,2,3,3,5,4,,,,,,,,
4994,2024,12,12,12,11,13,,,,,,,,
4996,2024,9,10,11,12,11,,,,,,,,
4998,2024,10,11,11,10,11,,,,,,,,
4999,2024,9,11,11,9,12,,,,,,,,
6181,2024,12,12,12,11,11,,,,,,,,
6188,2024,11,12,11,10,11,,,,,,,,
6189,2024,13,14,14,14,13,,,,,,,,
6201,2024,9,10,11,10,10,,,,,,,,
6202,2024,12,12,13,12,16,,,,,,,,
6203,2024,12,13,14,14,14,,,,,,,,
6204,2024,15,17,16,14,13,,,,,,,,
6205,2024,14,16,14,14,14,,,,,,,,
6212,2024,12,13,12,12,15,,,,,,,,
6213,2024,14,15,14,15,13,,,,,,,,
6216,2024,14,15,14,14,13,,,,,,,,
6217,2024,26,26,25,23,28,,,,,,,,
6218,2024,15,16,16,16,18,,,,,,,,
6219,2024,13,14,13,14,13,,,,,,,,
6220,2024,9,11,12,10,10,,,,,,,,
6228,2024,7,8,8,8,8,,,,,,,,
6235,2024,16,18,15,15,17,,,,,,,,
6236,2024,11,12,16,13,13,,,,,,,,
6238,2024,12,11,13,11,12,,,,,,,,
6239,2024,9,12,11,9,11,,,,,,,,
6240,2024,11,13,13,12,13,,,,,,,,
6242,2024,8,10,9,9,10,,,,,,,,
6244,2024,13,13,14,12,13,,,,,,,,
6245,2024,13,16,15,14,15,,,,,,,,
6246,2024,13,13,15,12,12,,,,,,,,
6247,2024,13,14,14,14,13,,,,,,,,
6249,2024,12,12,13,12,12,,,,,,,,
6251,2024,11,12,12,11,11,,,,,,,,
6252,2024,6,8,8,7,7,,,,,,,,
6253,2024,20,17,20,21,21,,,,,,,,
6254,2024,10,12,12,11,12,,,,,,,,
6255,2024,12,12,13,10,13,,,,,,,,
6256,2024,11,14,13,15,13,,,,,,,,
6257,2024,15,13,17,14,13,,,,,,,,
6259,2024,14,16,15,13,15,,,,,,,,
6260,2024,12,12,13,15,12,,,,,,,,
6261,2024,12,12,12,12,12,,,,,,,,
6262,2024,13,15,14,12,15,,,,,,,,
6265,2024,12,13,14,12,14,,,,,,,,
6267,2024,11,11,12,9,11,,,,,,,,
6269,2024,15,16,17,15,15,,,,,,,,
6270,2024,15,13,16,13,17,,,,,,,,
6275,2024,11,10,10,10,10,,,,,,,,
6298,2024,11,10,11,8,9,,,,,,,,
6302,2024,11,10,10,11,11,,,,,,,,
6304,2024,18,17,20,18,20,,,,,,,,
6305,2024,15,17,15,16,18,,,,,,,,
6307,2024,13,14,11,14,14,,,,,,,,
6308,2024,14,14,15,13,16,,,,,,,,
6309,2024,12,12,13,11,12,,,,,,,,
6310,2024,12,13,14,15,13,,,,,,,,
6311,2024,11,11,12,10,12,,,,,,,,
6312,2024,9,11,13,11,11,,,,,,,,
6313,2024,17,16,17,15,18,,,,,,,,
6314,2024,12,12,12,11,13,,,,,,,,
6315,2024,15,17,15,15,14,,,,,,,,
6317,2024,17,17,16,15,18,,,,,,,,
6319,2024,11,13,12,14,12,,,,,,,,
6320,2024,8,8,13,9,12,,,,,,,,
6321,2024,11,11,10,12,11,,,,,,,,
6322,2024,17,17,17,16,18,,,,,,,,
6324,2024,10,13,12,11,11,,,,,,,,
6325,2024,15,15,18,15,17,,,,,,,,
6326,2024,16,17,16,17,16,,,,,,,,
6327,2024,15,15,16,14,16,,,,,,,,
6328,2024,21,22,24,21,23,,,,,,,,
6329,2024,13,15,14,15,14,,,,,,,,
6330,2024,16,16,19,16,20,,,,,,,,
6331,2024,10,11,12,10,10,,,,,,,,
6332,2024,12,12,12,11,14,,,,,,,,
6333,2024,12,12,13,11,13,,,,,,,,
6334,2024,8,7,9,8,9,,,,,,,,
6335,2024,17,16,16,17,15,,,,,,,,
6336,2024,12,14,13,11,13,,,,,,,,
6338,2024,14,13,14,12,16,,,,,,,,
6339,2024,11,12,11,11,11,,,,,,,,
6341,2024,15,18,17,15,18,,,,,,,,
6342,2024,15,12,14,13,15,,,,,,,,
6343,2024,13,14,13,12,12,,,,,,,,
6344,2024,16,17,15,16,15,,,,,,,,
6345,2024,14,14,15,13,14,,,,,,,,
6347,2024,15,15,17,16,15,,,,,,,,
6348,2024,12,13,14,14,14,,,,,,,,
6349,2024,16,17,17,19,18,,,,,,,,
6350,2024,15,15,16,16,15,,,,,,,,
6351,2024,14,13,14,14,14,,,,,,,,
6352,2024,13,14,11,12,13,,,,,,,,
6353,2024,20,19,19,18,17,,,,,,,,
6354,2024,11,12,13,12,13,,,,,,,,
6355,2024,15,18,20,19,17,,,,,,,,
6356,2024,9,12,11,11,10,,,,,,,,
6357,2024,18,17,17,16,18,,,,,,,,
6358,2024,15,15,14,16,15,,,,,,,,
6359,2024,14,14,16,14,14,,,,,,,,
6360,2024,16,16,15,16,16,,,,,,,,
6361,2024,13,15,16,13,16,,,,,,,,
6363,2024,17,16,16,13,16,,,,,,,,
6364,2024,14,16,15,14,15,,,,,,,,
6365,2024,9,9,10,8,10,,,,,,,,
6366,2024,13,13,14,12,15,,,,,,,,
6367,2024,21,22,21,22,23,,,,,,,,
6368,2024,16,16,16,15,16,,,,,,,,
6369,2024,18,18,20,18,18,,,,,,,,
6371,2024,16,13,14,13,13,,,,,,,,
6372,2024,10,12,13,11,13,,,,,,,,
6373,2024,8,11,10,10,11,,,,,,,,
6375,2024,13,12,14,13,12,,,,,,,,
6376,2024,11,12,12,11,11,,,,,,,,
6377,2024,13,14,14,14,16,,,,,,,,
6378,2024,17,16,18,18,18,,,,,,,,
6379,2024,10,12,11,11,12,,,,,,,,
6380,2024,13,14,14,14,15,,,,,,,,
6381,2024,11,13,11,11,12,,,,,,,,
6382,2024,13,14,13,14,14,,,,,,,,
6383,2024,16,14,15,15,18,,,,,,,,
6384,2024,15,17,15,16,15,,,,,,,,
6385,2024,9,9,11,11,10,,,,,,,,
6386,2024,8,10,11,10,10,,,,,,,,
6387,2024,9,10,11,10,11,,,,,,,,
6388,2024,15,19,14,16,15,,,,,,,,
6401,2024,14,13,15,14,16,,,,,,,,
6402,2024,20,23,23,24,22,,,,,,,,
6403,2024,18,20,18,18,19,,,,,,,,
6404,2024,10,11,11,10,10,,,,,,,,
6405,2024,14,14,13,13,15,,,,,,,,
6406,2024,10,12,13,12,12,,,,,,,,
6407,2024,13,13,13,12,13,,,,,,,,
6408,2024,14,13,18,11,16,,,,,,,,
6409,2024,19,19,21,18,17,,,,,,,,
6410,2024,41,40,35,41,39,,,,,,,,
6412,2024,20,21,22,21,19,,,,,,,,
6413,2024,10,11,10,12,9,,,,,,,,
6414,2024,14,17,18,18,17,,,,,,,,
6415,2024,14,15,16,16,14,,,,,,,,
6417,2024,10,10,12,11,11,,,,,,,,
6418,2024,13,13,13,14,11,,,,,,,,
6419,2024,9,9,11,10,9,,,,,,,,
6420,2024,11,11,13,12,11,,,,,,,,
6421,2024,16,15,18,14,19,,,,,,,,
6422,2024,17,18,19,16,21,,,,,,,,
6423,2024,12,13,16,13,16,,,,,,,,
6424,2024,12,11,13,11,13,,,,,,,,
6425,2024,9,9,10,9,8,,,,,,,,
6426,2024,11,11,11,11,10,,,,,,,,
6427,2024,10,10,11,12,11,,,,,,,,
6428,2024,14,18,17,16,18,,,,,,,,
6429,2024,8,10,10,10,9,,,,,,,,
6430,2024,10,10,11,9,11,,,,,,,,
6431,2024,12,12,13,12,13,,,,,,,,
6432,2024,14,16,14,13,15,,,,,,,,
6433,2024,11,11,9,10,11,,,,,,,,
6434,2024,17,17,14,17,16,,,,,,,,
6435,2024,12,12,15,12,13,,,,,,,,
6436,2024,8,11,12,9,11,,,,,,,,
6437,2024,10,12,11,11,12,,,,,,,,
6439,2024,23,28,25,20,25,,,,,,,,
6440,2024,14,14,15,14,15,,,,,,,,
6441,2024,12,13,12,12,12,,,,,,,,
6443,2024,13,15,16,15,15,,,,,,,,
6444,2024,16,15,15,15,16,,,,,,,,
6445,2024,9,10,11,10,9,,,,,,,,
6448,2024,11,12,13,11,13,,,,,,,,
6449,2024,10,13,13,12,12,,,,,,,,
6450,2024,15,16,17,15,17,,,,,,,,
6452,2024,16,17,20,18,18,,,,,,,,
6453,2024,15,16,16,12,16,,,,,,,,
6454,2024,15,14,17,14,16,,,,,,,,
6455,2024,15,15,15,16,15,,,,,,,,
6456,2024,9,10,11,10,11,,,,,,,,
6457,2024,15,13,16,14,15,,,,,,,,
6458,2024,11,12,13,13,12,,,,,,,,
6460,2024,15,17,19,17,18,,,,,,,,
6461,2024,15,16,16,18,13,,,,,,,,
6462,2024,12,13,13,11,14,,,,,,,,
6463,2024,14,16,15,15,15,,,,,,,,
6464,2024,13,13,14,12,13,,,,,,,,
6471,2024,12,11,13,12,12,,,,,,,,
6472,2024,11,13,11,13,10,,,,,,,,
6474,2024,9,11,11,9,11,,,,,,,,
6479,2024,9,13,12,11,11,,,,,,,,
6482,2024,21,23,21,21,21,,,,,,,,
6485,2024,13,14,14,14,13,,,,,,,,
6487,2024,12,15,14,15,13,,,,,,,,
6489,2024,17,20,19,19,18,,,,,,,,
6490,2024,15,16,17,19,21,,,,,,,,
6501,2024,16,16,17,16,16,,,,,,,,
6502,2024,18,18,19,15,15,,,,,,,,
6503,2024,14,16,16,15,14,,,,,,,,
6504,2024,22,23,24,26,23,,,,,,,,
6505,2024,12,12,12,12,10,,,,,,,,
6506,2024,12,13,15,13,12,,,,,,,,
6507,2024,13,14,13,14,14,,,,,,,,
6509,2024,10,11,11,11,10,,,,,,,,
6510,2024,8,10,10,10,9,,,,,,,,
6511,2024,16,16,18,21,20,,,,,,,,
6512,2024,14,15,18,13,17,,,,,,,,
6514,2024,11,9,9,9,9,,,,,,,,
6517,2024,11,13,13,12,14,,,,,,,,
6518,2024,11,13,14,14,13,,,,,,,,
6520,2024,10,12,10,11,10,,,,,,,,
6521,2024,13,14,14,13,13,,,,,,,,
6522,2024,14,12,9,8,9,,,,,,,,
6524,2024,14,14,15,15,15,,,,,,,,
6527,2024,16,17,18,14,16,,,,,,,,
6528,2024,14,15,15,15,17,,,,,,,,
6533,2024,9,9,11,9,11,,,,,,,,
6535,2024,11,14,12,11,12,,,,,,,,
6536,2024,16,17,16,16,18,,,,,,,,
6539,2024,11,11,11,11,12,,,,,,,,
6540,2024,16,16,17,18,17,,,,,,,,
