Store,Pallet Pickup Day One,Pallet Pickup Day Two,Pallet Pickup Day Three
1330,Friday,NA,NA
1429,Friday,NA,NA
1448,Friday,NA,NA
1750,Friday,NA,NA
5203,Friday,NA,NA
5409,Friday,NA,NA
1724,Monday,NA,NA
2362,Monday,NA,NA
3580,Monday,NA,NA
3812,Monday,NA,NA
5184,Monday,NA,NA
1264,Monday,Friday,NA
2426,Monday,Friday,NA
3641,Monday,Friday,NA
5309,Monday,Friday,NA
1519,Monday,Thursday,NA
1569,Monday,Thursday,NA
2244,Monday,Thursday,NA
2576,Monday,Thursday,NA
4255,Monday,Thursday,NA
5355,Monday,Thursday,NA
3206,Monday,Wednesday,Friday
1289,Saturday,NA,NA
1463,Saturday,NA,NA
2361,Saturday,NA,NA
2542,Saturday,NA,NA
3282,Saturday,NA,NA
3809,Saturday,NA,NA
1812,Saturday,Monday,NA
2266,Saturday,Monday,NA
5296,Saturday,Monday,NA
1911,Saturday,Monday,Thursday
2115,Saturday,Monday,Thursday
1433,Saturday,Monday,Wednesday
1564,Saturday,Monday,Wednesday
2726,Saturday,Monday,Wednesday
1331,Saturday,Sunday,NA
1894,Saturday,Sunday,NA
1139,Saturday,Sunday,Thursday
2266,Saturday,Sunday,Wednesday
1407,Saturday,Thursday,NA
1782,Saturday,Thursday,NA
3581,Saturday,Thursday,NA
2610,Saturday,Tuesday,NA
3447,Saturday,Tuesday,NA
4479,Saturday,Tuesday,NA
5066,Saturday,Tuesday,NA
2914,Saturday,Tuesday,Thursday
4285,Saturday,Tuesday,Thursday
1333,Saturday,Wednesday,NA
1495,Saturday,Wednesday,NA
2036,Saturday,Wednesday,NA
2725,Saturday,Wednesday,NA
1239,Sunday,NA,NA
1368,Sunday,NA,NA
1410,Sunday,NA,NA
1427,Sunday,NA,NA
1450,Sunday,NA,NA
1986,Sunday,NA,NA
2149,Sunday,NA,NA
3515,Sunday,NA,NA
3262,Sunday,Friday,NA
1913,Sunday,Thursday,NA
2199,Sunday,Thursday,NA
2323,Sunday,Thursday,NA
2613,Sunday,Thursday,NA
2823,Sunday,Thursday,NA
2852,Sunday,Thursday,NA
3251,Sunday,Thursday,NA
3792,Sunday,Thursday,NA
2774,Sunday,Tuesday,NA
4277,Sunday,Tuesday,NA
5410,Sunday,Tuesday,NA
1426,Sunday,Tuesday,Friday
5285,Sunday,Wednesday,NA
2316,Sunday,Wednesday,Friday
2400,Sunday,Wednesday,Friday
5082,Sunday,Wednesday,Friday
5857,Sunday,Friday,NA
1478,Thursday,NA,NA
1594,Thursday,NA,NA
1839,Thursday,NA,NA
2124,Thursday,NA,NA
2572,Thursday,NA,NA
2810,Thursday,NA,NA
3486,Thursday,NA,NA
1595,Tuesday,NA,NA
1895,Tuesday,NA,NA
1990,Tuesday,NA,NA
2078,Tuesday,NA,NA
2209,Tuesday,NA,NA
2638,Tuesday,NA,NA
2684,Tuesday,NA,NA
1539,Tuesday,Thursday,NA
1622,Tuesday,Thursday,NA
1863,Tuesday,Thursday,NA
2605,Tuesday,Thursday,NA
3300,Tuesday,Thursday,NA
3765,Tuesday,Thursday,NA
1445,Wednesday,NA,NA
1503,Wednesday,NA,NA
1628,Wednesday,NA,NA
1718,Wednesday,NA,NA
2429,Wednesday,NA,NA
2471,Wednesday,NA,NA
2792,Wednesday,NA,NA
2849,Wednesday,NA,NA
4461,Wednesday,NA,NA
1937,Wednesday,Friday,NA
5471,Wednesday,Friday,NA
