BU/Network,Date,Start Time,End Time,Session,Location/Room
BU East,"August 18, 2024",8:00 AM,10:00 AM,All AP General Session,N320 (A-H)
BU Neighborhood Markets,"August 18, 2024",8:00 AM,10:00 AM,All AP General Session,N320 (A-H)
BU North,"August 18, 2024",8:00 AM,10:00 AM,All AP General Session,N320 (A-H)
BU Southeast,"August 18, 2024",8:00 AM,10:00 AM,All AP General Session,N320 (A-H)
BU Southwest,"August 18, 2024",8:00 AM,10:00 AM,All AP General Session,N320 (A-H)
BU West,"August 18, 2024",8:00 AM,10:00 AM,All AP General Session,N320 (A-H)
Network Ambient,"August 18, 2024",8:00 AM,10:00 AM,All AP General Session,N320 (A-H)
Network Fulfillment,"August 18, 2024",8:00 AM,10:00 AM,All AP General Session,N320 (A-H)
Network Grocery,"August 18, 2024",8:00 AM,10:00 AM,All AP General Session,N320 (A-H)
BU East,"August 18, 2024",10:30 AM,11:45 AM,Tabletop Exercise,S310AB 
BU Neighborhood Markets,"August 18, 2024",10:30 AM,11:45 AM,Tabletop Exercise,S330CD
BU North,"August 18, 2024",10:30 AM,11:45 AM,Tabletop Exercise,S310CD
BU Southeast,"August 18, 2024",10:30 AM,11:45 AM,Tabletop Exercise,S330AB
BU Southwest,"August 18, 2024",10:30 AM,11:45 AM,Tabletop Exercise,S310GH
BU West,"August 18, 2024",10:30 AM,11:45 AM,Tabletop Exercise,S310EF
Network Ambient,"August 18, 2024",10:30 AM,11:45 AM,Tabletop Exercise,S330EF
Network Fulfillment,"August 18, 2024",10:30 AM,11:45 AM,Tabletop Exercise,S330GH
Network Grocery,"August 18, 2024",10:30 AM,11:45 AM,Tabletop Exercise,S330GH
BU East,"August 18, 2024",12:00 PM,1:00 PM,Lunch,South Hall A - level 1
BU Neighborhood Markets,"August 18, 2024",12:00 PM,1:00 PM,Lunch,South Hall A - level 1
BU North,"August 18, 2024",12:00 PM,1:00 PM,Lunch,South Hall A - level 1
BU Southeast,"August 18, 2024",12:00 PM,1:00 PM,Lunch,South Hall A - level 1
BU Southwest,"August 18, 2024",12:00 PM,1:00 PM,Lunch,South Hall A - level 1
BU West,"August 18, 2024",12:00 PM,1:00 PM,Lunch,South Hall A - level 1
Network Ambient,"August 18, 2024",12:00 PM,1:00 PM,Lunch,South Hall A - level 1
Network Fulfillment,"August 18, 2024",12:00 PM,1:00 PM,Lunch,South Hall A - level 1
Network Grocery,"August 18, 2024",12:00 PM,1:00 PM,Lunch,South Hall A - level 1
BU East,"August 18, 2024",1:15 PM,5:30 PM,All AP General Session,N320 (A-H)
BU Neighborhood Markets,"August 18, 2024",1:15 PM,5:30 PM,All AP General Session,N320 (A-H)
BU North,"August 18, 2024",1:15 PM,5:30 PM,All AP General Session,N320 (A-H)
BU Southeast,"August 18, 2024",1:15 PM,5:30 PM,All AP General Session,N320 (A-H)
BU Southwest,"August 18, 2024",1:15 PM,5:30 PM,All AP General Session,N320 (A-H)
BU West,"August 18, 2024",1:15 PM,5:30 PM,All AP General Session,N320 (A-H)
Network Ambient,"August 18, 2024",1:15 PM,5:30 PM,All AP General Session,N320 (A-H)
Network Fulfillment,"August 18, 2024",1:15 PM,5:30 PM,All AP General Session,N320 (A-H)
Network Grocery,"August 18, 2024",1:15 PM,5:30 PM,All AP General Session,N320 (A-H)
BU East,"August 19, 2024",1:00 PM,3:30 PM,All Stores AP Breakout ,N320 (A-H)
BU Neighborhood Markets,"August 19, 2024",1:00 PM,3:30 PM,All Stores AP Breakout ,N320 (A-H)
BU North,"August 19, 2024",1:00 PM,3:30 PM,All Stores AP Breakout ,N320 (A-H)
BU Southeast,"August 19, 2024",1:00 PM,3:30 PM,All Stores AP Breakout ,N320 (A-H)
BU Southwest,"August 19, 2024",1:00 PM,3:30 PM,All Stores AP Breakout ,N320 (A-H)
BU West,"August 19, 2024",1:00 PM,3:30 PM,All Stores AP Breakout ,N320 (A-H)
BU East,"August 19, 2024",4:00 PM,5:00 PM,AP Stores BU Breakout,S330A
BU Neighborhood Markets,"August 19, 2024",4:00 PM,5:00 PM,AP Stores BU Breakout,S330F
BU North,"August 19, 2024",4:00 PM,5:00 PM,AP Stores BU Breakout,S330B
BU Southeast,"August 19, 2024",4:00 PM,5:00 PM,AP Stores BU Breakout,S330E
BU Southwest,"August 19, 2024",4:00 PM,5:00 PM,AP Stores BU Breakout,S330D
BU West,"August 19, 2024",4:00 PM,5:00 PM,AP Stores BU Breakout,S330C
Network Ambient,"August 20, 2024",12:00 PM,1:00 PM,AP Supply Chain Network Breakout,S331B
Network Fulfillment,"August 20, 2024",12:00 PM,1:00 PM,AP Supply Chain Network Breakout,S331A
Network Grocery,"August 20, 2024",12:00 PM,1:00 PM,AP Supply Chain Network Breakout,S331C
Network Ambient,"August 21, 2024",9:45 AM,11:15 AM,All Supply Chain AP Breakout,N310 (A-G)
Network Fulfillment,"August 21, 2024",9:45 AM,11:15 AM,All Supply Chain AP Breakout,N310 (A-G)
Network Grocery,"August 21, 2024",9:45 AM,11:15 AM,All Supply Chain AP Breakout,N310 (A-G)
