DC #,Wk14,Wk15,Wk16,Wk17,Wk18,Wk19,Wk20,Wk21,Wk22,Wk23,Wk24,Wk25,Wk26,Wk27,Wk28,Wk29,Wk30,Wk31,Wk32
4154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6042,1521,1521,1129,1597,1835,1917,1726,1647,2166,2133,1599,1565,1647,1499,944,930,1291,956,0
6047,2148,2148,2570,3169,3134,3153,3708,4001,3598,3533,3558,3401,2899,2419,1823,1739,1639,924,0
6055,1449,1449,1934,2114,2243,2141,2514,2651,2239,1867,1911,1821,1795,1583,1090,1083,1156,923,0
6056,1275,1628,1572,1729,1994,1620,1685,2046,1855,1790,1606,1477,1573,1447,979,1085,1148,1080,0
6057,998,1080,2207,2402,2432,2498,2585,2545,2677,2955,2915,2732,3097,2344,2681,2507,966,1014,0
6059,697,697,1398,1703,1896,2034,1788,2057,1855,1185,1454,1296,1302,1272,1205,992,895,554,0
6062,1581,1581,1838,2266,2566,2715,3064,2942,2739,2678,2713,2113,2422,2429,2136,1837,1542,1130,0
6064,2072,2072,2968,3387,2786,3129,3553,3635,3766,3326,3188,3212,3235,3291,2655,2080,1704,479,0
6065,1023,946,1618,1513,1812,2107,2662,3142,2717,2254,2089,2122,2021,1730,1151,1027,812,208,0
6071,2056,2342,3318,3054,4138,4065,4167,4505,4580,4232,4447,4003,3555,3166,2217,2034,1841,1610,0
6072,548,548,1935,1992,1797,1918,2281,2241,2471,2448,1880,1997,2095,1725,1626,1329,1229,781,0
6073,2145,2145,2751,3270,3466,3432,3439,3444,2955,2837,2596,2467,2892,2376,1874,1751,1644,1274,0
6074,2032,2149,3098,3374,2992,3769,4555,4612,4656,4192,4213,3917,3197,3019,2300,2027,1383,302,0
6077,2060,2545,2731,2785,2661,3385,4000,4146,3871,3666,3719,3697,3393,2880,2193,2004,1631,541,0
6082,2699,3105,3297,3708,3501,3608,4224,4549,4748,4841,4833,4340,4048,3324,2691,2381,2369,1833,0
6083,1826,1826,2326,3142,3168,2989,3162,3186,3219,3132,2802,2858,2895,2623,2021,1943,1730,1592,0
6084,4271,4811,5015,4955,4630,5227,6075,5220,5254,5331,5594,4990,4064,4290,3902,3781,3141,2434,0
6085,1942,2012,3958,4579,4886,4782,5058,5220,4653,4951,4903,4857,4056,3294,3198,2445,2172,1244,0
6090,1440,1460,4134,4690,3916,4393,4734,5178,5162,4790,4732,3900,3521,2967,2732,2132,1979,1287,0
6091,1078,1078,2408,2454,2768,2709,2094,2650,2273,2706,2336,2141,1906,1743,1273,1700,1691,1196,0
6095,1781,1719,3017,3107,2725,2729,3116,3094,3234,2844,2935,2392,2603,2371,1536,1624,1616,1319,0
6096,1981,1981,2707,3213,3274,3233,3835,4552,4450,4465,4211,4244,3414,3076,1990,2547,2615,1853,0
6097,1453,1453,2338,2717,2781,2861,2992,2752,2693,2716,2544,2073,2015,1791,1475,1198,1005,667,0
6099,1726,1738,3043,3004,3032,3090,3120,3296,2912,2783,2818,2756,2553,2304,1851,1588,1785,1167,0
6858,1709,1709,3219,3122,3281,3529,3537,4418,4366,3780,3662,3519,3382,2600,1914,1752,1571,1196,0
7010,2364,2381,3526,3903,4416,3904,4269,4329,4798,4615,3929,4005,3987,3710,2914,2233,2526,2277,0
7012,1048,1048,567,1378,1577,1787,1722,1964,2084,1895,1683,1721,1620,1399,1153,1240,1080,847,0
7013,3467,3429,3976,4952,4765,4528,4334,4505,4352,4219,4221,3686,3855,3597,2668,2182,2132,1957,0
7014,1496,1503,2227,3872,4242,3673,4308,5120,4382,4284,4716,4503,4154,3320,1904,2649,2669,1664,0
