Store,E-Stamp State
3,Yes
8,Yes
9,Yes
12,Yes
13,Yes
18,Yes
20,Yes
22,Yes
23,Yes
26,Yes
28,Yes
30,Yes
35,Yes
36,Yes
39,Yes
41,Yes
42,Yes
43,Yes
45,Yes
47,Yes
57,Yes
58,Yes
59,Yes
60,Yes
61,Yes
62,Yes
64,Yes
68,Yes
71,Yes
72,Yes
73,Yes
74,Yes
75,Yes
77,Yes
80,Yes
83,Yes
93,Yes
94,Yes
97,Yes
102,Yes
104,Yes
106,No
107,Yes
108,Yes
109,Yes
111,Yes
112,Yes
113,Yes
115,Yes
116,Yes
119,Yes
120,Yes
125,Yes
128,Yes
129,Yes
130,Yes
131,Yes
132,Yes
133,Yes
134,Yes
135,Yes
136,Yes
140,Yes
141,Yes
143,No
146,Yes
148,Yes
149,Yes
150,Yes
155,Yes
157,Yes
159,Yes
161,Yes
163,Yes
169,Yes
170,Yes
172,Yes
175,Yes
177,Yes
178,Yes
180,Yes
181,Yes
183,Yes
184,Yes
188,Yes
190,Yes
196,No
200,No
201,No
203,Yes
204,No
205,Yes
211,Yes
212,Yes
213,No
214,Yes
216,No
218,Yes
222,No
224,No
226,Yes
228,Yes
229,Yes
231,Yes
232,Yes
233,No
237,No
240,Yes
242,Yes
243,Yes
244,Yes
248,Yes
252,No
253,No
256,No
257,No
259,Yes
260,Yes
262,No
265,Yes
266,Yes
267,Yes
268,Yes
271,Yes
273,Yes
276,Yes
277,Yes
278,Yes
281,Yes
283,Yes
285,Yes
289,Yes
290,Yes
294,No
295,Yes
298,Yes
302,No
303,Yes
304,Yes
305,Yes
306,Yes
308,Yes
309,Yes
310,Yes
311,Yes
312,Yes
317,No
320,Yes
321,Yes
322,Yes
324,Yes
330,Yes
331,Yes
335,Yes
340,Yes
341,Yes
344,Yes
345,Yes
347,Yes
353,Yes
360,Yes
361,No
364,Yes
368,Yes
369,Yes
370,Yes
371,Yes
372,Yes
374,Yes
375,Yes
376,Yes
378,Yes
382,Yes
383,Yes
384,Yes
386,Yes
388,Yes
390,Yes
392,Yes
393,Yes
400,Yes
401,Yes
402,Yes
404,Yes
405,Yes
408,Yes
410,No
413,Yes
415,Yes
418,Yes
419,Yes
420,Yes
422,No
426,Yes
427,Yes
428,Yes
430,No
431,No
434,Yes
436,No
438,Yes
440,Yes
442,Yes
445,No
446,Yes
450,Yes
451,Yes
452,Yes
453,Yes
457,Yes
458,Yes
462,Yes
464,Yes
465,Yes
466,Yes
469,Yes
470,Yes
471,Yes
472,Yes
478,Yes
479,Yes
480,No
481,No
482,Yes
483,Yes
485,Yes
486,Yes
491,No
492,No
494,Yes
498,Yes
499,Yes
502,Yes
503,Yes
505,Yes
514,Yes
516,Yes
517,Yes
521,Yes
522,Yes
523,Yes
524,Yes
527,Yes
531,Yes
532,Yes
533,Yes
535,Yes
539,Yes
541,Yes
542,Yes
543,Yes
544,Yes
546,Yes
550,No
553,Yes
557,Yes
558,Yes
559,Yes
560,Yes
565,Yes
566,No
569,No
573,Yes
576,Yes
577,Yes
581,Yes
586,Yes
591,No
592,Yes
595,Yes
596,No
598,Yes
603,No
607,Yes
610,Yes
612,No
621,Yes
624,Yes
632,Yes
636,No
637,Yes
639,Yes
641,Yes
645,Yes
646,Yes
647,Yes
651,Yes
652,Yes
653,No
655,No
656,Yes
659,Yes
660,Yes
661,Yes
662,Yes
664,Yes
665,No
671,Yes
674,Yes
675,Yes
677,Yes
681,Yes
684,Yes
692,No
694,No
696,No
699,Yes
702,No
703,Yes
711,No
712,Yes
724,Yes
736,No
738,Yes
740,Yes
746,Yes
748,Yes
749,Yes
750,Yes
751,Yes
753,Yes
755,Yes
757,Yes
761,Yes
766,Yes
770,Yes
773,Yes
774,Yes
776,Yes
790,Yes
791,Yes
794,Yes
796,No
797,Yes
799,Yes
804,Yes
805,Yes
808,Yes
810,Yes
812,Yes
816,Yes
823,Yes
839,Yes
841,Yes
844,No
861,Yes
867,Yes
876,Yes
882,Yes
885,Yes
886,Yes
887,Yes
892,Yes
900,Yes
901,Yes
909,Yes
910,Yes
911,Yes
913,Yes
916,Yes
927,Yes
935,Yes
936,No
939,Yes
940,Yes
945,Yes
950,Yes
952,Yes
954,Yes
957,No
961,Yes
970,Yes
975,Yes
978,Yes
982,Yes
989,Yes
993,Yes
1002,No
1003,No
1005,Yes
1007,Yes
1012,Yes
1016,Yes
1017,Yes
1020,Yes
1026,No
1028,No
1037,Yes
1038,Yes
1043,Yes
1044,Yes
1046,Yes
1054,Yes
1059,Yes
1067,Yes
1071,No
1074,Yes
1075,Yes
1089,Yes
1093,No
1098,Yes
1099,Yes
1106,Yes
1107,Yes
1108,Yes
1126,Yes
1128,Yes
1136,Yes
