Store,Who can Service,START DATE
355,DFA DSD SPARTANBURG,9/19/2022
356,DFA DSD SPARTANBURG,9/19/2022
424,DFA DSD SPARTANBURG,9/26/2022
483,DFA DSD SPARTANBURG,9/26/2022
488,DFA DSD ORANGE CITY,9/20/2022
588,DFA DSD SPARTANBURG,10/4/2022
593,DFA DSD SPARTANBURG,10/4/2022
604,DFA DSD SPARTANBURG,10/3/2022
614,DFA DSD SPARTANBURG,9/20/2022
686,DFA DSD SPARTANBURG,10/4/2022
723,DFA DSD SPARTANBURG,10/3/2022
726,DFA DSD SPARTANBURG,9/26/2022
733,DFA DSD SPARTANBURG,9/27/2022
740,DFA DSD SPARTANBURG,10/3/2022
758,DFA DSD SPARTANBURG,10/3/2022
843,DFA DSD SPARTANBURG,10/3/2022
858,DFA DSD SPARTANBURG,10/3/2022
863,DFA DSD SPARTANBURG,9/20/2022
889,DFA DSD SPARTANBURG,10/3/2022
899,DFA DSD ORLANDO,9/19/2022
930,DFA DSD SPARTANBURG,9/26/2022
938,DFA DSD SPARTANBURG,9/26/2022
952,DFA DSD SPARTANBURG,10/4/2022
1006,DFA DSD SPARTANBURG,10/4/2022
1057,DFA DSD SPARTANBURG,9/26/2022
1072,DFA DSD SPARTANBURG,10/4/2022
1077,DFA DSD ORANGE CITY,9/20/2022
1101,DFA DSD SPARTANBURG,9/26/2022
1112,DFA DSD SPARTANBURG,9/20/2022
1223,DFA DSD ORANGE CITY,9/19/2022
1284,DFA DSD SPARTANBURG,9/27/2022
1311,DFA DSD SPARTANBURG,9/20/2022
1338,DFA DSD SPARTANBURG,9/20/2022
1408,DFA DSD ORANGE CITY,9/19/2022
1638,DFA DSD SPARTANBURG,10/3/2022
2534,DFA DSD SPARTANBURG,10/3/2022
2615,DFA DSD ORLANDO,9/19/2022
2773,DFA DSD SPARTANBURG,9/20/2022
2801,DFA DSD SPARTANBURG,10/3/2022
3307,DFA DSD ORANGE CITY,9/19/2022
4200,DFA DSD SPARTANBURG,9/20/2022
4283,DFA DSD SPARTANBURG,9/20/2022
4318,DFA DSD SPARTANBURG,9/26/2022
4407,DFA DSD SPARTANBURG,9/26/2022
4421,DFA DSD SPARTANBURG,9/20/2022
4426,DFA DSD SPARTANBURG,9/20/2022
4427,DFA DSD ORANGE CITY,9/19/2022
4517,DFA DSD SPARTANBURG,10/4/2022
4520,DFA DSD ORANGE CITY,9/20/2022
4672,DFA DSD SPARTANBURG,9/26/2022
4673,DFA DSD SPARTANBURG,9/19/2022
4691,DFA DSD SPARTANBURG,9/26/2022
5062,DFA DSD SPARTANBURG,9/19/2022
5198,DFA DSD SPARTANBURG,10/4/2022
5348,DFA DSD SPARTANBURG,9/26/2022
5422,DFA DSD SPARTANBURG,10/3/2022
5769,DFA DSD SPARTANBURG,10/3/2022
5797,DFA DSD SPARTANBURG,10/4/2022
5903,DFA DSD SPARTANBURG,9/27/2022
5907,DFA DSD SPARTANBURG,9/20/2022
6732,DFA DSD ORLANDO,9/19/2022
7194,DFA DSD SPARTANBURG,10/4/2022
7245,DFA DSD SPARTANBURG,10/4/2022
