BU,Region Number,Market Number,Store Number,Item Description,Over Shipped Qty
SOUTHEAST BU,42,324,126,WAL VEST PETE XL WMN BLU,80
SOUTHEAST BU,42,324,126,WAL VEST PETE 2XL WMN BLU,81
SOUTHWEST BU,44,347,130,WAL VEST PETE XL WMN BLU,88
SOUTHWEST BU,44,347,130,WAL VEST PETE 2XL WMN BLU,89
SOUTHEAST BU,11,144,175,WAL VEST PETE 2XL WMN BLU,12
SOUTHEAST BU,11,144,175,WAL VEST PETE 2XL WMN BLU,120
SOUTHWEST BU,13,503,249,WAL VEST PETE 2XL WMN BLU,141
SOUTHEAST BU,11,147,393,WAL VEST PETE XL WMN BLU,21
SOUTHEAST BU,11,147,393,WAL VEST PETE 2XL WMN BLU,20
WEST BU,47,429,637,WAL VEST PETE XL WMN BLU,52
NORTH BU,40,339,648,WAL VEST PETE 2XL WMN BLU,82
SOUTHEAST BU,12,120,658,WAL VEST PETE XS WMN BLU,103
SOUTHEAST BU,12,120,658,WAL VEST PETE XL WMN BLU,105
SOUTHEAST BU,12,120,658,WAL VEST PETE 2XL WMN BLU,104
SOUTHEAST BU,12,153,659,WAL VEST PETE XL WMN BLU,93
SOUTHEAST BU,12,153,659,WAL VEST PETE 2XL WMN BLU,94
SOUTHEAST BU,3,101,767,WAL VEST PETE XS WMN BLU,19
SOUTHEAST BU,3,101,767,WAL VEST PETE XS WMN BLU,68
SOUTHEAST BU,3,101,767,WAL VEST PETE 2XL WMN BLU,28
SOUTHEAST BU,3,101,767,WAL VEST PETE 2XL WMN BLU,58
SOUTHWEST BU,6,65,768,WAL VEST PETE XS WMN BLU,25
SOUTHWEST BU,6,65,768,WAL VEST PETE XS WMN BLU,51
SOUTHWEST BU,6,65,768,WAL VEST PETE XL WMN BLU,77
SOUTHWEST BU,6,65,768,WAL VEST PETE 2XL WMN BLU,35
SOUTHWEST BU,6,65,768,WAL VEST PETE 2XL WMN BLU,40
NORTH BU,41,482,923,WAL VEST PETE XL WMN BLU,55
NORTH BU,41,482,923,WAL VEST PETE XL WMN BLU,60
NORTH BU,40,339,1021,WAL VEST PETE XL WMN BLU,30
NORTH BU,40,339,1021,WAL VEST PETE XL WMN BLU,49
SOUTHEAST BU,42,325,1065,WAL VEST PETE XS WMN BLU,97
SOUTHEAST BU,42,325,1065,WAL VEST PETE XL WMN BLU,15
SOUTHEAST BU,42,325,1065,WAL VEST PETE XL WMN BLU,83
SOUTHEAST BU,42,325,1065,WAL VEST PETE 2XL WMN BLU,99
SOUTHEAST BU,3,101,1083,WAL VEST PETE XS WMN BLU,16
SOUTHEAST BU,3,101,1083,WAL VEST PETE XL WMN BLU,15
SOUTHEAST BU,3,101,1083,WAL VEST PETE 2XL WMN BLU,14
SOUTHEAST BU,3,104,1085,WAL VEST PETE XL WMN BLU,95
