 Store Number,"Vehicle Count
(Per Site)",Install Date,Install Time
4474,2,6/21/2025,7:00 AM
1711,1,6/20/2025,7:45 PM
4504,1,6/19/2025,9:15 PM
2713,1,6/20/2025,9:15 PM
1481,2,6/19/2025,7:30 PM
1229,1,6/20/2025,7:00 AM
4497,1,6/20/2025,6:30 PM
5262,1,6/20/2025,8:00 AM
4580,1,6/19/2025,6:30 PM
100,5,6/27/2025,6:30 PM
144,3,6/27/2025,7:00 AM
359,4,6/26/2025,6:30 PM
5260,4,6/28/2025,6:30 PM
54,3,6/26/2025,7:00 AM
4108,4,6/25/2025,6:30 PM
1381,2,6/18/2025,7:00 AM
2554,1,7/2/2025,7:00 AM
2671,1,6/27/2025,8:15 AM
4324,1,6/27/2025,7:00 AM
3360,1,6/28/2025,8:15 AM
6480,1,6/30/2025,8:15 AM
1512,1,6/30/2025,7:00 AM
4336,1,7/2/2025,9:00 PM
5186,1,6/28/2025,7:00 AM
3861,1,6/25/2025,7:00 AM
3241,1,6/25/2025,8:15 AM
3315,1,6/27/2025,9:00 PM
3465,1,7/2/2025,6:30 PM
3844,1,6/26/2025,7:30 PM
5124,1,6/26/2025,6:30 PM
1532,1,6/27/2025,7:45 PM
3845,1,6/26/2025,8:30 PM
3314,1,7/2/2025,7:45 PM
5369,1,7/2/2025,8:15 AM
3833,3,6/18/2025,7:45 PM
5428,1,6/18/2025,6:30 PM
5304,1,6/21/2025,7:00 AM
2768,1,6/21/2025,8:15 AM
3799,2,6/19/2025,7:00 AM
2767,1,6/19/2025,7:45 PM
5257,1,6/19/2025,9:00 PM
1646,1,6/23/2025,8:15 AM
5332,1,6/19/2025,6:30 PM
5349,1,6/23/2025,7:00 AM
2482,2,6/20/2025,7:00 AM
3896,2,6/28/2025,8:30 PM
4275,1,6/27/2025,6:30 PM
1533,2,6/28/2025,6:30 PM
2632,1,6/25/2025,6:30 PM
2512,1,6/21/2025,7:45 PM
1549,2,6/23/2025,8:45 PM
5190,1,6/21/2025,9:00 PM
2515,2,6/24/2025,7:00 AM
1598,1,6/21/2025,6:30 PM
4232,3,6/20/2025,6:30 PM
