Store,Store Type,Servicing DC,Top Loss,Countermeasure
9,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
30,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
37,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
60,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
65,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
69,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
82,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
95,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
99,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
122,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
145,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
152,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
172,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
173,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
188,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
196,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
198,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
200,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
201,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
204,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
213,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
216,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
222,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
224,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
233,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
237,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
243,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
252,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
253,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
254,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
256,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
257,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
262,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
294,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
295,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
302,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
313,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
317,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
328,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
333,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
334,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
337,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
343,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
352,Wal-Mart,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
354,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
361,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
422,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
431,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
435,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
436,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
445,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
454,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
480,Wal-Mart,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
481,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
491,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
492,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
506,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
550,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
566,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
596,Wal-Mart,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
612,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
617,Wal-Mart,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
648,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
653,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
655,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
673,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
694,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
701,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
760,Wal-Mart,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
798,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
805,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
833,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
870,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
895,Wal-Mart,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
922,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
936,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
996,Wal-Mart,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1002,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1013,Wal-Mart,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1021,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1026,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1071,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1075,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1093,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1142,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1161,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1162,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1177,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1188,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1263,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1265,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1310,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1341,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1395,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1418,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1451,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1514,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1602,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1629,Wal-Mart,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1676,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1690,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1734,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1761,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1783,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1991,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
2213,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
2425,Neighborhood Market,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
2491,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
2563,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
2600,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
2616,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
2694,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
2728,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
2934,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
3061,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
3210,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
3255,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
3362,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
3363,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
3495,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
3602,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
4235,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
4259,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
4469,Neighborhood Market,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
4589,Neighborhood Market,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
4591,Neighborhood Market,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
4695,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
5059,Neighborhood Market,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
5150,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
5313,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
5372,Neighborhood Market,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
5403,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
5421,Neighborhood Market,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
5427,Neighborhood Market,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
5452,Neighborhood Market,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
5728,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
5927,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
7072,Neighborhood Market,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
7087,WM Supercenter,6059,Freight Fallen Over,Retraining on loaders on top loss commodity
1448,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1522,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1544,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1568,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1628,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1653,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1656,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1707,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1714,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1724,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1739,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1770,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1782,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1812,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1820,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1839,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1857,Wal-Mart,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1863,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1883,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1885,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1894,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1895,Wal-Mart,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1909,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1911,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1927,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1937,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1948,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1949,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1973,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
1986,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2008,Wal-Mart,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
