Store,Item Nbr,Item Description,ON HAND QTY,PO NUMBER,MABD,PO EVENT CODE
1822,593986914,PR 10X30 RING POOL,10,2026980043,10/2/2022,WHS2WHWK36
1822,"585443200
593987243",PR 15X33 FRAME POOL,6,2026980043,10/2/2022,WHS2WHWK36
1822,596502782,PD 8FT QUICKET POOL,44,2026980043,10/2/2022,WHS2WHWK36
1822,596510474,PD 3 RING POOL PINK,57,2026980043,10/2/2022,WHS2WHWK36
1822,651339992,PR 10FT FRAME POOL,12,2026980043,10/2/2022,WHS2WHWK36
1822,651706227,PR  14X33 FRAME POOL,20,2026980043,10/2/2022,WHS2WHWK36
1822,585107769,PD DELUXE COMFORT PO,30,2026980043,10/2/2022,WHS2WHWK36
1822,651706220,PR 8 POOL,61,2026980043,10/2/2022,WHS2WHWK36
1822 Total,,,240,,,
1854,593986914,PR 10X30 RING POOL,9,2026980035,10/2/2022,WHS2WHWK36
1854,596510475,PD 3 RING POOL BLUE,29,2026980035,10/2/2022,WHS2WHWK36
1854,"585443200
593987243",PR 15X33 FRAME POOL,8,2026980035,10/2/2022,WHS2WHWK36
1854,593987030,"PR 120"" FAMILY POOL",75,2026980035,10/2/2022,WHS2WHWK36
1854,596502782,PD 8FT QUICKET POOL,85,2026980035,10/2/2022,WHS2WHWK36
1854,651706227,PR  14X33 FRAME POOL,24,2026980035,10/2/2022,WHS2WHWK36
1854,596510474,PD 3 RING POOL PINK,124,2026980035,10/2/2022,WHS2WHWK36
1854,651706220,PR 8 POOL,56,2026980035,10/2/2022,WHS2WHWK36
1854,651339992,PR 10FT FRAME POOL,30,2026980035,10/2/2022,WHS2WHWK36
1854,585374674,PD 3D QUICKSET POOL,119,2026980035,10/2/2022,WHS2WHWK36
1854,585107769,PD DELUXE COMFORT PO,125,2026980035,10/2/2022,WHS2WHWK36
1854 Total,,,684,,,
2026,593986914,PR 10X30 RING POOL,1,2026980038,10/2/2022,WHS2WHWK36
2026,651706227,PR  14X33 FRAME POOL,15,2026980038,10/2/2022,WHS2WHWK36
2026,596510475,PD 3 RING POOL BLUE,90,2026980038,10/2/2022,WHS2WHWK36
2026,651706220,PR 8 POOL,40,2026980038,10/2/2022,WHS2WHWK36
2026,596510474,PD 3 RING POOL PINK,181,2026980038,10/2/2022,WHS2WHWK36
2026,585374674,PD 3D QUICKSET POOL,79,2026980038,10/2/2022,WHS2WHWK36
2026,651339992,PR 10FT FRAME POOL,41,2026980038,10/2/2022,WHS2WHWK36
2026,596502782,PD 8FT QUICKET POOL,172,2026980038,10/2/2022,WHS2WHWK36
2026,"585443200
593987243",PR 15X33 FRAME POOL,117,2026980038,10/2/2022,WHS2WHWK36
2026,585107769,PD DELUXE COMFORT PO,144,2026980038,10/2/2022,WHS2WHWK36
2026 Total,,,880,,,
2067,593986914,PR 10X30 RING POOL,1,2026980042,10/2/2022,WHS2WHWK36
2067,"585443200
593987243",PR 15X33 FRAME POOL,4,2026980042,10/2/2022,WHS2WHWK36
2067,596510475,PD 3 RING POOL BLUE,56,2026980042,10/2/2022,WHS2WHWK36
2067,596510474,PD 3 RING POOL PINK,58,2026980042,10/2/2022,WHS2WHWK36
2067,651706220,PR 8 POOL,48,2026980042,10/2/2022,WHS2WHWK36
2067,651706227,PR  14X33 FRAME POOL,24,2026980042,10/2/2022,WHS2WHWK36
2067,596502782,PD 8FT QUICKET POOL,105,2026980042,10/2/2022,WHS2WHWK36
2067,651339992,PR 10FT FRAME POOL,27,2026980042,10/2/2022,WHS2WHWK36
2067,585107769,PD DELUXE COMFORT PO,56,2026980042,10/2/2022,WHS2WHWK36
2067,585374674,PD 3D QUICKSET POOL,115,2026980042,10/2/2022,WHS2WHWK36
2067 Total,,,494,,,
2072,"585443200
593987243",PR 15X33 FRAME POOL,4,2026980039,10/2/2022,WHS2WHWK36
2072,596502782,PD 8FT QUICKET POOL,35,2026980039,10/2/2022,WHS2WHWK36
2072,596510475,PD 3 RING POOL BLUE,72,2026980039,10/2/2022,WHS2WHWK36
2072,593987030,"PR 120"" FAMILY POOL",82,2026980039,10/2/2022,WHS2WHWK36
2072,651339992,PR 10FT FRAME POOL,21,2026980039,10/2/2022,WHS2WHWK36
2072,651706227,PR  14X33 FRAME POOL,22,2026980039,10/2/2022,WHS2WHWK36
2072,651706220,PR 8 POOL,52,2026980039,10/2/2022,WHS2WHWK36
2072,593986914,PR 10X30 RING POOL,58,2026980039,10/2/2022,WHS2WHWK36
2072,596510474,PD 3 RING POOL PINK,158,2026980039,10/2/2022,WHS2WHWK36
2072,585107769,PD DELUXE COMFORT PO,51,2026980039,10/2/2022,WHS2WHWK36
2072,585374674,PD 3D QUICKSET POOL,105,2026980039,10/2/2022,WHS2WHWK36
2072 Total,,,660,,,
2085,585374674,PD 3D QUICKSET POOL,4,2026980044,10/2/2022,WHS2WHWK36
2085,593986914,PR 10X30 RING POOL,12,2026980044,10/2/2022,WHS2WHWK36
2085,596510475,PD 3 RING POOL BLUE,37,2026980044,10/2/2022,WHS2WHWK36
2085,596502782,PD 8FT QUICKET POOL,33,2026980044,10/2/2022,WHS2WHWK36
