Store Nbr,Roses,Mixed BQT,Roses,Mixed BQT,Single Rose,TOTAL PROMO DISPLAYS
2070,0,0,4,4,3,11
2071,0,0,2,2,1,5
2074,0,0,3,2,2,7
2188,0,0,2,2,1,5
2722,0,0,4,4,4,12
4359,0,0,4,4,3,11
4474,0,0,1,1,2,4
2710,5,8,0,0,0,13
2711,5,8,0,0,0,13
