Store Number,Mrkt,Reg,BU,4pm-4am DC Delivery Go Live Week,Adjust Team Shift Time Week,Associate Conversation Week,Write First Schedule Week,Work First  Schedule Week
217,53,5,B,Current,16,17,18,21
807,50,5,B,Current,16,17,18,21
1004,115,9,A,Current,16,17,18,21
1058,388,54,M,Current,16,17,18,21
1242,294,4,F,Current,16,17,18,21
1280,388,54,M,Current,16,17,18,21
1385,305,26,F,Current,16,17,18,21
1387,108,9,A,Current,16,17,18,21
1511,553,9,A,Current,16,17,18,21
1517,108,9,A,Current,16,17,18,21
1699,401,54,M,Current,16,17,18,21
1708,401,54,M,Current,16,17,18,21
1827,582,54,M,Current,16,17,18,21
1845,109,9,A,Current,16,17,18,21
1888,401,54,M,Current,16,17,18,21
1905,400,56,M,Current,16,17,18,21
2243,478,60,M,Current,16,17,18,21
2455,383,47,M,Current,16,17,18,21
2463,56,5,B,Current,16,17,18,21
2492,475,60,M,Current,16,17,18,21
2539,474,60,M,Current,16,17,18,21
2550,476,60,M,Current,16,17,18,21
2727,110,9,A,Current,16,17,18,21
2883,56,5,B,Current,16,17,18,21
2921,401,54,M,Current,16,17,18,21
2926,56,5,B,Current,16,17,18,21
2963,108,9,A,Current,16,17,18,21
2976,561,64,O,Current,16,17,18,21
2995,504,64,O,Current,16,17,18,21
3094,557,61,O,Current,16,17,18,21
3349,118,9,A,Current,16,17,18,21
3392,58,64,O,Current,16,17,18,21
3417,105,9,A,Current,16,17,18,21
3530,561,64,O,Current,16,17,18,21
3568,403,54,M,Current,16,17,18,21
3594,58,64,O,Current,16,17,18,21
3628,497,59,O,Current,16,17,18,21
3728,394,57,M,Current,16,17,18,21
3757,471,60,M,Current,16,17,18,21
3801,471,60,M,Current,16,17,18,21
3847,405,57,M,Current,16,17,18,21
3848,401,54,M,Current,16,17,18,21
4100,557,61,O,Current,16,17,18,21
4161,110,9,A,Current,16,17,18,21
4182,504,64,O,Current,16,17,18,21
4208,401,54,M,Current,16,17,18,21
4249,474,60,M,Current,16,17,18,21
4272,401,54,M,Current,16,17,18,21
4354,102,72,O,Current,16,17,18,21
4474,469,60,M,Current,16,17,18,21
4498,488,72,O,Current,16,17,18,21
4583,35,4,F,Current,16,17,18,21
4706,557,61,O,Current,16,17,18,21
5021,561,64,O,Current,16,17,18,21
5078,473,60,M,Current,16,17,18,21
5099,388,54,M,Current,16,17,18,21
5109,557,61,O,Current,16,17,18,21
5205,557,61,O,Current,16,17,18,21
5206,557,61,O,Current,16,17,18,21
5234,401,54,M,Current,16,17,18,21
5235,403,54,M,Current,16,17,18,21
5264,115,9,A,Current,16,17,18,21
5306,397,61,O,Current,16,17,18,21
5321,102,72,O,Current,16,17,18,21
5368,477,60,M,Current,16,17,18,21
5461,476,60,M,Current,16,17,18,21
5462,476,60,M,Current,16,17,18,21
5494,400,56,M,Current,16,17,18,21
5602,481,61,O,Current,16,17,18,21
5624,58,64,O,Current,16,17,18,21
5628,471,60,M,Current,16,17,18,21
5632,449,57,M,Current,16,17,18,21
5673,51,5,B,Current,16,17,18,21
5763,403,54,M,Current,16,17,18,21
5807,465,57,M,Current,16,17,18,21
5854,110,9,A,Current,16,17,18,21
5882,108,9,A,Current,16,17,18,21
5889,53,5,B,Current,16,17,18,21
5912,110,9,A,Current,16,17,18,21
5932,109,9,A,Current,16,17,18,21
5993,550,61,O,Current,16,17,18,21
6967,488,72,O,Current,16,17,18,21
7004,499,59,O,Current,16,17,18,21
7043,557,61,O,Current,16,17,18,21
7168,557,61,O,Current,16,17,18,21
1026,580,41,E,Current,16,17,18,21
1180,243,41,E,Current,16,17,18,21
1294,247,21,E,Current,16,17,18,21
1307,262,25,E,Current,16,17,18,21
1331,239,21,E,Current,16,17,18,21
1371,580,41,E,Current,16,17,18,21
1378,247,21,E,Current,16,17,18,21
1548,262,25,E,Current,16,17,18,21
1566,247,21,E,Current,16,17,18,21
1655,482,41,E,Current,16,17,18,21
1718,222,21,E,Current,16,17,18,21
2275,225,21,E,Current,16,17,18,21
2311,247,21,E,Current,16,17,18,21
2542,222,21,E,Current,16,17,18,21
2787,249,41,E,Current,16,17,18,21
3765,239,21,E,Current,16,17,18,21
3809,213,19,E,Current,16,17,18,21
4053,494,59,O,Current,16,17,18,21
5025,248,21,E,Current,16,17,18,21
5408,494,59,O,Current,16,17,18,21
5443,249,41,E,Current,16,17,18,21
5767,494,59,O,Current,16,17,18,21
1183,41,4,F,Current,16,17,18,21
1767,37,4,F,Current,16,17,18,21
4273,300,4,F,Current,16,17,18,21
7179,302,26,F,Current,16,17,18,21
2340,233,22,F,Current,16,17,18,21
2445,170,22,F,Current,16,17,18,21
2637,164,17,F,Current,16,17,18,21
4404,233,22,F,Current,16,17,18,21
4570,164,17,F,Current,16,17,18,21
4687,167,22,F,Current,16,17,18,21
5881,166,22,F,Current,16,17,18,21
5944,558,22,F,Current,16,17,18,21
1705,191,76,F,Current,16,17,18,21
2351,188,16,F,Current,16,17,18,21
2355,195,76,F,Current,16,17,18,21
2370,188,16,F,Current,16,17,18,21
2424,187,16,F,Current,16,17,18,21
5293,172,17,F,Current,16,17,18,21
1045,379,54,M,Current,16,17,18,21
1199,388,54,M,Current,16,17,18,21
2608,382,47,M,Current,16,17,18,21
2923,382,47,M,Current,16,17,18,21
4377,388,54,M,Current,16,17,18,21
4471,381,47,M,Current,16,17,18,21
5137,376,54,M,Current,16,17,18,21
213,272,25,E,Current,16,17,18,21
252,271,41,E,Current,16,17,18,21
257,254,41,E,Current,16,17,18,21
334,275,25,E,Current,16,17,18,21
431,253,41,E,Current,16,17,18,21
566,580,41,E,Current,16,17,18,21
612,273,25,E,Current,16,17,18,21
1002,580,41,E,Current,16,17,18,21
1093,273,25,E,Current,16,17,18,21
1162,580,41,E,Current,16,17,18,21
1734,273,25,E,Current,16,17,18,21
1783,580,41,E,Current,16,17,18,21
366,121,12,A,Current,16,17,18,21
419,406,47,M,Current,16,17,18,21
507,260,41,E,Current,16,17,18,21
589,256,41,E,Current,16,17,18,21
610,76,5,B,Current,16,17,18,21
672,122,12,A,Current,16,17,18,21
676,121,12,A,Current,16,17,18,21
678,123,12,A,Current,16,17,18,21
861,71,7,B,Current,16,17,18,21
928,98,3,A,Current,16,17,18,21
1018,28,3,A,Current,16,17,18,21
1051,71,7,B,Current,16,17,18,21
1139,259,21,E,Current,16,17,18,21
1187,410,44,B,Current,16,17,18,21
1194,121,12,A,Current,16,17,18,21
1210,260,41,E,Current,16,17,18,21
1221,409,44,B,Current,16,17,18,21
1383,33,4,F,Current,16,17,18,21
2761,311,20,E,Current,16,17,18,21
2932,122,12,A,Current,16,17,18,21
2977,561,64,O,Current,16,17,18,21
2979,58,64,O,Current,16,17,18,21
2981,58,64,O,Current,16,17,18,21
3043,58,64,O,Current,16,17,18,21
3103,409,44,B,Current,16,17,18,21
3283,409,44,B,Current,16,17,18,21
3492,409,44,B,Current,16,17,18,21
3508,507,64,O,Current,16,17,18,21
3653,58,64,O,Current,16,17,18,21
3829,124,12,A,Current,16,17,18,21
4166,121,12,A,Current,16,17,18,21
4478,538,72,O,Current,16,17,18,21
4524,498,59,O,Current,16,17,18,21
4585,507,64,O,Current,16,17,18,21
5037,98,3,A,Current,16,17,18,21
5093,507,64,O,Current,16,17,18,21
5336,507,64,O,Current,16,17,18,21
5364,507,64,O,Current,16,17,18,21
5908,498,59,O,Current,16,17,18,21
6370,123,12,A,Current,16,17,18,21
6395,29,4,F,Current,16,17,18,21
350,433,47,M,19,16,17,18,21
418,407,47,M,19,16,17,18,21
645,433,47,M,19,16,17,18,21
664,406,47,M,19,16,17,18,21
867,429,47,M,19,16,17,18,21
882,425,53,E,19,16,17,18,21
885,433,47,M,19,16,17,18,21
965,438,53,E,19,16,17,18,21
1267,441,53,E,19,16,17,18,21
1276,444,53,E,19,16,17,18,21
1282,407,47,M,19,16,17,18,21
1394,435,53,E,19,16,17,18,21
1396,441,53,E,19,16,17,18,21
1417,364,58,M,19,16,17,18,21
1449,439,53,E,19,16,17,18,21
1460,433,47,M,19,16,17,18,21
1515,442,53,E,19,16,17,18,21
1543,429,47,M,19,16,17,18,21
1551,435,53,E,19,16,17,18,21
1608,457,56,M,19,16,17,18,21
1643,444,53,E,19,16,17,18,21
1678,442,53,E,19,16,17,18,21
1679,438,53,E,19,16,17,18,21
1683,413,52,M,19,16,17,18,21
1685,430,47,M,19,16,17,18,21
1727,439,53,E,19,16,17,18,21
1746,371,46,B,19,16,17,18,21
1776,442,53,E,19,16,17,18,21
1965,432,47,M,19,16,17,18,21
2079,196,53,E,19,16,17,18,21
2421,436,53,E,19,16,17,18,21
2453,392,56,M,19,16,17,18,21
2509,439,53,E,19,16,17,18,21
2579,429,47,M,19,16,17,18,21
2643,422,52,M,19,16,17,18,21
2784,407,47,M,19,16,17,18,21
3154,491,61,O,19,16,17,18,21
3277,392,56,M,19,16,17,18,21
3278,433,47,M,19,16,17,18,21
3324,444,53,E,19,16,17,18,21
3395,433,47,M,19,16,17,18,21
3643,440,53,E,19,16,17,18,21
3823,433,47,M,19,16,17,18,21
3845,510,61,O,19,16,17,18,21
3884,367,46,B,19,16,17,18,21
4239,392,56,M,19,16,17,18,21
4309,455,56,M,19,16,17,18,21
4600,432,47,M,19,16,17,18,21
4677,435,53,E,19,16,17,18,21
4734,585,54,M,19,16,17,18,21
4747,490,61,O,19,16,17,18,21
5127,438,53,E,19,16,17,18,21
5257,510,61,O,19,16,17,18,21
5373,438,53,E,19,16,17,18,21
5397,438,53,E,19,16,17,18,21
5669,442,53,E,19,16,17,18,21
5695,494,59,O,19,16,17,18,21
5768,371,46,B,19,16,17,18,21
5864,455,56,M,19,16,17,18,21
7320,510,61,O,19,16,17,18,21
68,329,11,A,20,16,17,18,21
91,329,11,A,20,16,17,18,21
112,138,11,A,20,16,17,18,21
875,140,11,A,20,16,17,18,21
1197,301,26,F,20,16,17,18,21
1354,301,26,F,20,16,17,18,21
1502,301,26,F,20,16,17,18,21
1513,111,3,A,20,16,17,18,21
1579,296,26,F,20,16,17,18,21
1589,108,9,A,20,16,17,18,21
1641,301,26,F,20,16,17,18,21
2081,111,3,A,20,16,17,18,21
2730,301,26,F,20,16,17,18,21
3013,548,72,O,20,16,17,18,21
3161,548,72,O,20,16,17,18,21
3370,115,9,A,20,16,17,18,21
3599,492,72,O,20,16,17,18,21
4425,96,72,O,20,16,17,18,21
4667,548,72,O,20,16,17,18,21
5301,107,9,A,20,16,17,18,21
5365,96,72,O,20,16,17,18,21
5455,92,9,A,20,16,17,18,21
5758,488,72,O,20,16,17,18,21
5831,548,72,O,20,16,17,18,21
5851,301,26,F,20,16,17,18,21
5876,548,72,O,20,16,17,18,21
7098,516,59,O,20,16,17,18,21
7218,516,59,O,20,16,17,18,21
56,333,40,E,23,18,19,20,23
96,361,40,E,23,18,19,20,23
149,135,42,A,23,18,19,20,23
170,134,13,B,23,18,19,20,23
242,410,44,B,23,18,19,20,23
248,76,5,B,23,18,19,20,23
310,132,13,B,23,18,19,20,23
395,80,6,B,23,18,19,20,23
397,80,6,B,23,18,19,20,23
404,87,7,B,23,18,19,20,23
429,80,6,B,23,18,19,20,23
452,80,6,B,23,18,19,20,23
486,362,40,E,23,18,19,20,23
573,361,40,E,23,18,19,20,23
744,59,6,B,23,18,19,20,23
781,81,7,B,23,18,19,20,23
782,88,7,B,23,18,19,20,23
1009,333,40,E,23,18,19,20,23
1014,361,40,E,23,18,19,20,23
1094,361,40,E,23,18,19,20,23
1154,506,7,B,23,18,19,20,23
