Store Nbr,Prime Item Desc,Prime Item Nbr,UPC,On Hand Qty
1,XBX SERIES S BUNDLE,597352514,0088984289319,2
2,XBX SERIES S BUNDLE,597352514,0088984289319,20
3,XBX SERIES S BUNDLE,597352514,0088984289319,2
4,XBX SERIES S BUNDLE,597352514,0088984289319,7
5,XBX SERIES S BUNDLE,597352514,0088984289319,21
7,XBX SERIES S BUNDLE,597352514,0088984289319,17
8,XBX SERIES S BUNDLE,597352514,0088984289319,10
9,XBX SERIES S BUNDLE,597352514,0088984289319,27
13,XBX SERIES S BUNDLE,597352514,0088984289319,17
14,XBX SERIES S BUNDLE,597352514,0088984289319,5
16,XBX SERIES S BUNDLE,597352514,0088984289319,27
17,XBX SERIES S BUNDLE,597352514,0088984289319,18
18,XBX SERIES S BUNDLE,597352514,0088984289319,5
19,XBX SERIES S BUNDLE,597352514,0088984289319,5
20,XBX SERIES S BUNDLE,597352514,0088984289319,2
21,XBX SERIES S BUNDLE,597352514,0088984289319,5
22,XBX SERIES S BUNDLE,597352514,0088984289319,14
24,XBX SERIES S BUNDLE,597352514,0088984289319,16
26,XBX SERIES S BUNDLE,597352514,0088984289319,15
28,XBX SERIES S BUNDLE,597352514,0088984289319,2
29,XBX SERIES S BUNDLE,597352514,0088984289319,4
30,XBX SERIES S BUNDLE,597352514,0088984289319,15
31,XBX SERIES S BUNDLE,597352514,0088984289319,17
32,XBX SERIES S BUNDLE,597352514,0088984289319,6
33,XBX SERIES S BUNDLE,597352514,0088984289319,14
34,XBX SERIES S BUNDLE,597352514,0088984289319,6
35,XBX SERIES S BUNDLE,597352514,0088984289319,12
36,XBX SERIES S BUNDLE,597352514,0088984289319,3
38,XBX SERIES S BUNDLE,597352514,0088984289319,15
39,XBX SERIES S BUNDLE,597352514,0088984289319,5
40,XBX SERIES S BUNDLE,597352514,0088984289319,4
41,XBX SERIES S BUNDLE,597352514,0088984289319,24
42,XBX SERIES S BUNDLE,597352514,0088984289319,3
43,XBX SERIES S BUNDLE,597352514,0088984289319,15
45,XBX SERIES S BUNDLE,597352514,0088984289319,2
48,XBX SERIES S BUNDLE,597352514,0088984289319,11
49,XBX SERIES S BUNDLE,597352514,0088984289319,8
50,XBX SERIES S BUNDLE,597352514,0088984289319,24
52,XBX SERIES S BUNDLE,597352514,0088984289319,18
54,XBX SERIES S BUNDLE,597352514,0088984289319,1
55,XBX SERIES S BUNDLE,597352514,0088984289319,8
57,XBX SERIES S BUNDLE,597352514,0088984289319,1
58,XBX SERIES S BUNDLE,597352514,0088984289319,23
59,XBX SERIES S BUNDLE,597352514,0088984289319,16
60,XBX SERIES S BUNDLE,597352514,0088984289319,6
61,XBX SERIES S BUNDLE,597352514,0088984289319,14
63,XBX SERIES S BUNDLE,597352514,0088984289319,15
66,XBX SERIES S BUNDLE,597352514,0088984289319,8
67,XBX SERIES S BUNDLE,597352514,0088984289319,6
68,XBX SERIES S BUNDLE,597352514,0088984289319,17
70,XBX SERIES S BUNDLE,597352514,0088984289319,6
72,XBX SERIES S BUNDLE,597352514,0088984289319,14
73,XBX SERIES S BUNDLE,597352514,0088984289319,10
76,XBX SERIES S BUNDLE,597352514,0088984289319,20
77,XBX SERIES S BUNDLE,597352514,0088984289319,11
79,XBX SERIES S BUNDLE,597352514,0088984289319,2
81,XBX SERIES S BUNDLE,597352514,0088984289319,10
83,XBX SERIES S BUNDLE,597352514,0088984289319,13
85,XBX SERIES S BUNDLE,597352514,0088984289319,5
91,XBX SERIES S BUNDLE,597352514,0088984289319,8
92,XBX SERIES S BUNDLE,597352514,0088984289319,10
93,XBX SERIES S BUNDLE,597352514,0088984289319,23
96,XBX SERIES S BUNDLE,597352514,0088984289319,2
100,XBX SERIES S BUNDLE,597352514,0088984289319,8
101,XBX SERIES S BUNDLE,597352514,0088984289319,10
102,XBX SERIES S BUNDLE,597352514,0088984289319,11
104,XBX SERIES S BUNDLE,597352514,0088984289319,12
105,XBX SERIES S BUNDLE,597352514,0088984289319,5
106,XBX SERIES S BUNDLE,597352514,0088984289319,20
107,XBX SERIES S BUNDLE,597352514,0088984289319,19
108,XBX SERIES S BUNDLE,597352514,0088984289319,23
111,XBX SERIES S BUNDLE,597352514,0088984289319,5
112,XBX SERIES S BUNDLE,597352514,0088984289319,28
114,XBX SERIES S BUNDLE,597352514,0088984289319,16
115,XBX SERIES S BUNDLE,597352514,0088984289319,10
116,XBX SERIES S BUNDLE,597352514,0088984289319,16
119,XBX SERIES S BUNDLE,597352514,0088984289319,18
120,XBX SERIES S BUNDLE,597352514,0088984289319,11
121,XBX SERIES S BUNDLE,597352514,0088984289319,11
122,XBX SERIES S BUNDLE,597352514,0088984289319,7
123,XBX SERIES S BUNDLE,597352514,0088984289319,10
124,XBX SERIES S BUNDLE,597352514,0088984289319,19
125,XBX SERIES S BUNDLE,597352514,0088984289319,32
126,XBX SERIES S BUNDLE,597352514,0088984289319,18
127,XBX SERIES S BUNDLE,597352514,0088984289319,17
128,XBX SERIES S BUNDLE,597352514,0088984289319,5
130,XBX SERIES S BUNDLE,597352514,0088984289319,15
131,XBX SERIES S BUNDLE,597352514,0088984289319,2
132,XBX SERIES S BUNDLE,597352514,0088984289319,5
133,XBX SERIES S BUNDLE,597352514,0088984289319,4
134,XBX SERIES S BUNDLE,597352514,0088984289319,19
136,XBX SERIES S BUNDLE,597352514,0088984289319,12
137,XBX SERIES S BUNDLE,597352514,0088984289319,31
139,XBX SERIES S BUNDLE,597352514,0088984289319,2
140,XBX SERIES S BUNDLE,597352514,0088984289319,45
141,XBX SERIES S BUNDLE,597352514,0088984289319,16
143,XBX SERIES S BUNDLE,597352514,0088984289319,15
146,XBX SERIES S BUNDLE,597352514,0088984289319,12
147,XBX SERIES S BUNDLE,597352514,0088984289319,12
148,XBX SERIES S BUNDLE,597352514,0088984289319,8
150,XBX SERIES S BUNDLE,597352514,0088984289319,31
151,XBX SERIES S BUNDLE,597352514,0088984289319,4
153,XBX SERIES S BUNDLE,597352514,0088984289319,2
155,XBX SERIES S BUNDLE,597352514,0088984289319,9
157,XBX SERIES S BUNDLE,597352514,0088984289319,5
158,XBX SERIES S BUNDLE,597352514,0088984289319,8
160,XBX SERIES S BUNDLE,597352514,0088984289319,6
161,XBX SERIES S BUNDLE,597352514,0088984289319,10
163,XBX SERIES S BUNDLE,597352514,0088984289319,6
164,XBX SERIES S BUNDLE,597352514,0088984289319,18
165,XBX SERIES S BUNDLE,597352514,0088984289319,4
167,XBX SERIES S BUNDLE,597352514,0088984289319,16
168,XBX SERIES S BUNDLE,597352514,0088984289319,65
169,XBX SERIES S BUNDLE,597352514,0088984289319,9
174,XBX SERIES S BUNDLE,597352514,0088984289319,14
175,XBX SERIES S BUNDLE,597352514,0088984289319,13
176,XBX SERIES S BUNDLE,597352514,0088984289319,3
177,XBX SERIES S BUNDLE,597352514,0088984289319,11
178,XBX SERIES S BUNDLE,597352514,0088984289319,15
180,XBX SERIES S BUNDLE,597352514,0088984289319,12
181,XBX SERIES S BUNDLE,597352514,0088984289319,3
184,XBX SERIES S BUNDLE,597352514,0088984289319,21
186,XBX SERIES S BUNDLE,597352514,0088984289319,20
189,XBX SERIES S BUNDLE,597352514,0088984289319,17
190,XBX SERIES S BUNDLE,597352514,0088984289319,15
192,XBX SERIES S BUNDLE,597352514,0088984289319,9
194,XBX SERIES S BUNDLE,597352514,0088984289319,4
195,XBX SERIES S BUNDLE,597352514,0088984289319,26
196,XBX SERIES S BUNDLE,597352514,0088984289319,21
197,XBX SERIES S BUNDLE,597352514,0088984289319,14
199,XBX SERIES S BUNDLE,597352514,0088984289319,6
202,XBX SERIES S BUNDLE,597352514,0088984289319,34
204,XBX SERIES S BUNDLE,597352514,0088984289319,14
206,XBX SERIES S BUNDLE,597352514,0088984289319,36
207,XBX SERIES S BUNDLE,597352514,0088984289319,2
209,XBX SERIES S BUNDLE,597352514,0088984289319,14
210,XBX SERIES S BUNDLE,597352514,0088984289319,8
211,XBX SERIES S BUNDLE,597352514,0088984289319,8
212,XBX SERIES S BUNDLE,597352514,0088984289319,4
213,XBX SERIES S BUNDLE,597352514,0088984289319,1
214,XBX SERIES S BUNDLE,597352514,0088984289319,15
216,XBX SERIES S BUNDLE,597352514,0088984289319,22
217,XBX SERIES S BUNDLE,597352514,0088984289319,1
218,XBX SERIES S BUNDLE,597352514,0088984289319,12
220,XBX SERIES S BUNDLE,597352514,0088984289319,40
221,XBX SERIES S BUNDLE,597352514,0088984289319,12
226,XBX SERIES S BUNDLE,597352514,0088984289319,1
227,XBX SERIES S BUNDLE,597352514,0088984289319,16
228,XBX SERIES S BUNDLE,597352514,0088984289319,20
229,XBX SERIES S BUNDLE,597352514,0088984289319,9
230,XBX SERIES S BUNDLE,597352514,0088984289319,5
231,XBX SERIES S BUNDLE,597352514,0088984289319,22
232,XBX SERIES S BUNDLE,597352514,0088984289319,14
233,XBX SERIES S BUNDLE,597352514,0088984289319,13
234,XBX SERIES S BUNDLE,597352514,0088984289319,26
237,XBX SERIES S BUNDLE,597352514,0088984289319,26
238,XBX SERIES S BUNDLE,597352514,0088984289319,5
