DC,Store,City,State,Banner,Commodity,Delivery Class,Delivery Saturday,Delivery Sunday,Delivery Monday,Delivery Tuesday,Delivery Wednesday,Delivery Thursday,Delivery Friday,Store Delivery Frequency,DC Order fill comments,Store Notification
6082,1,"ROGERS, AR",AR,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6082,2,HARRISON AR,AR,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6055,3,COMMERCE GA,GA,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,4,SILOAM SPRINGS AR,AR,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6082,5,CONWAY AR,AR,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,7,NORTH LITTLE ROCK AR,AR,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,8,MORRILTON AR,AR,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6072,9,SIKESTON MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
7015,10,TAHLEQUAH OK,OK,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,11,MOUNTAIN HOME AR,AR,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
7015,12,CLAREMORE OK,OK,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
7015,13,CARTHAGE MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6065,14,LEBANON MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,15,WEST PLAINS MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,16,VAN BUREN AR,AR,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
7015,17,NEOSHO MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,18,NEWPORT AR,AR,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6072,19,POPLAR BLUFF MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6065,20,CLINTON MO,MO,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6065,21,ST ROBERT MO /WAYNESVILLE,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
7015,22,PRYOR OK,OK,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6082,23,RUSTON LA,LA,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,24,JACKSONVILLE AR,AR,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6065,25,MEXICO MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6065,26,LEAVENWORTH KS,KS,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6065,27,SALEM MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
7015,28,MIAMI OK,OK,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6065,29,JEFFERSON CITY MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6072,30,DEXTER MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,31,POTEAU OK,OK,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6082,32,BRANSON MO,MO,Wal-Mart,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,Add Order fill on Wed,New delivery on Wed
6082,33,NASHVILLE AR,AR,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6065,34,NEVADA MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6065,35,MANHATTAN KS,KS,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6072,36,PARAGOULD AR,AR,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6059,37,FARMINGTON MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
