Store Nbr,Bulk Corn deactivated week 35
9,Yes
30,Yes
69,Yes
122,Yes
188,Yes
196,Yes
198,Yes
199,Yes
201,Yes
204,Yes
213,Yes
216,Yes
222,Yes
224,Yes
233,Yes
237,Yes
252,Yes
254,Yes
256,Yes
257,Yes
262,Yes
294,Yes
302,Yes
317,Yes
328,Yes
333,Yes
334,Yes
343,Yes
361,Yes
422,Yes
431,Yes
435,Yes
436,Yes
454,Yes
481,Yes
491,Yes
492,Yes
506,Yes
550,Yes
559,Yes
566,Yes
603,Yes
612,Yes
633,Yes
636,Yes
646,Yes
655,Yes
694,Yes
701,Yes
750,Yes
753,Yes
775,Yes
786,Yes
796,Yes
798,Yes
802,Yes
833,Yes
844,Yes
852,Yes
870,Yes
891,Yes
910,Yes
922,Yes
933,Yes
936,Yes
1002,Yes
1003,Yes
1026,Yes
1028,Yes
1071,Yes
1093,Yes
1125,Yes
1162,Yes
1167,Yes
1211,Yes
1228,Yes
1241,Yes
1256,Yes
1263,Yes
1310,Yes
1341,Yes
1377,Yes
1386,Yes
1388,Yes
1395,Yes
1401,Yes
1404,Yes
1413,Yes
1416,Yes
1418,Yes
1420,Yes
1421,Yes
1422,Yes
1423,Yes
1428,Yes
1429,Yes
1432,Yes
1445,Yes
1490,Yes
1496,Yes
1506,Yes
1509,Yes
1514,Yes
1528,Yes
1531,Yes
1540,Yes
1542,Yes
1553,Yes
1556,Yes
1570,Yes
1592,Yes
1593,Yes
1596,Yes
1602,Yes
1611,Yes
1628,Yes
1642,Yes
1668,Yes
1676,Yes
1681,Yes
1690,Yes
1709,Yes
1719,Yes
1721,Yes
1733,Yes
1734,Yes
1735,Yes
1737,Yes
1740,Yes
1752,Yes
1754,Yes
1771,Yes
1783,Yes
1790,Yes
1791,Yes
1798,Yes
1809,Yes
1814,Yes
1836,Yes
1848,Yes
1892,Yes
1897,Yes
1898,Yes
1913,Yes
1923,Yes
1928,Yes
1936,Yes
1938,Yes
1942,Yes
1955,Yes
1987,Yes
1998,Yes
2004,Yes
2010,Yes
2014,Yes
2061,Yes
2062,Yes
2080,Yes
2100,Yes
2102,Yes
2191,Yes
2204,Yes
2215,Yes
2231,Yes
2238,Yes
2273,Yes
2338,Yes
2350,Yes
2354,Yes
2358,Yes
2417,Yes
2425,Yes
2493,Yes
2532,Yes
2559,Yes
2563,Yes
2567,Yes
2618,Yes
2619,Yes
2620,Yes
2631,Yes
2644,Yes
2692,Yes
2693,Yes
2700,Yes
2716,Yes
2728,Yes
2827,Yes
2869,Yes
2872,Yes
2873,Yes
2889,Yes
2912,Yes
2934,Yes
2956,Yes
2959,Yes
3004,Yes
3110,Yes
3210,Yes
3247,Yes
3255,Yes
3328,Yes
3336,Yes
3363,Yes
3400,Yes
3434,Yes
3445,Yes
3453,Yes
3458,Yes
3459,Yes
3460,Yes
3476,Yes
3487,Yes
3488,Yes
3597,Yes
3601,Yes
3602,Yes
3630,Yes
3632,Yes
3725,Yes
3726,Yes
3790,Yes
3791,Yes
3837,Yes
3840,Yes
3876,Yes
3891,Yes
3893,Yes
4235,Yes
4243,Yes
4259,Yes
4286,Yes
4383,Yes
4405,Yes
4424,Yes
4439,Yes
4479,Yes
4511,Yes
4529,Yes
4531,Yes
4540,Yes
4641,Yes
4660,Yes
4695,Yes
4699,Yes
5028,Yes
5029,Yes
5030,Yes
5044,Yes
5048,Yes
5060,Yes
5064,Yes
5065,Yes
5097,Yes
5115,Yes
5157,Yes
5159,Yes
5160,Yes
5199,Yes
5280,Yes
5352,Yes
5372,Yes
5376,Yes
5385,Yes
5386,Yes
5398,Yes
5399,Yes
5402,Yes
5403,Yes
5411,Yes
5442,Yes
5452,Yes
5472,Yes
5485,Yes
5617,Yes
5728,Yes
5761,Yes
5842,Yes
5844,Yes
5893,Yes
7072,Yes
7087,Yes
