4969,39,10-23-2024,6:00 PM,Vince,Vince,Delivered
6275,41,11-07-2024,8:00 AM,418263330699,418263334570,Delivered
6320,41,11-07-2024,6:00 AM,,,
6321,41,11-07-2024,10:00 AM,,,
6324,41,11-07-2024,10:00 AM,,,
6343,41,11-07-2024,9:00 AM,,,
6360,41,11-07-2024,6:00 AM,,,
6382,41,11-07-2024,6:00 AM,,,
6388,41,11-07-2024,9:00 AM,,,
6405,41,11-07-2024,6:00 AM,,,
6410,41,11-07-2024,6:00 AM,,,
6426,41,11-07-2024,8:00 AM,418263334422,418263336778,Delivered
6450,41,11-07-2024,9:00 AM,,,
6456,41,11-07-2024,9:00 AM,,,
6457,41,11-07-2024,9:00 AM,,,
6461,41,11-07-2024,8:00 AM,,,
6464,41,11-07-2024,9:00 AM,,,
6562,41,11-07-2024,9:00 AM,,,
6614,41,11-07-2024,6:00 AM,,,
6619,41,11-07-2024,6:00 AM,,,
6672,41,11-07-2024,11:00 AM,,,
6689,41,11-07-2024,6:00 AM,,,
6979,41,11-07-2024,11:00 AM,,,
7189,41,11-07-2024,8:00 AM,418263330747,418263330508,Delivered
8102,41,11-07-2024,2:00 PM,,,
8157,41,11-07-2024,11:00 AM,,,
8174,41,11-07-2024,12:00 PM,,,
8182,41,11-07-2024,9:00 AM,,,
8184,41,11-07-2024,8:00 AM,,,
8215,41,11-07-2024,10:00 AM,,,
8218,41,11-07-2024,9:00 AM,,,
8222,41,11-07-2024,9:00 AM,,,
8228,41,11-07-2024,4:00 PM,,,
8248,41,11-07-2024,8:00 AM,,,
8257,41,11-07-2024,9:00 AM,,,
8271,41,11-07-2024,10:00 AM,,,
8284,41,11-07-2024,8:00 AM,,,
8286,41,11-07-2024,8:00 AM,,,
4712,41,11-08-2024,8:00 AM,,,
4755,41,11-08-2024,6:00 AM,,,
4819,41,11-08-2024,6:00 AM,,,
4855,41,11-08-2024,9:00 AM,,,
4878,41,11-08-2024,9:00 AM,,,
4920,41,11-08-2024,9:00 AM,418263335142,418263335304,Out for delivery
4963,41,11-08-2024,9:00 AM,,,
4992,41,11-08-2024,9:00 AM,,,
6201,41,11-08-2024,2:00 PM,,,
6305,41,11-08-2024,9:00 AM,,,
6357,41,11-08-2024,9:00 AM,,,
6371,41,11-08-2024,3:00 PM,,,
6378,41,11-08-2024,6:00 AM,,,
6408,41,11-08-2024,11:00 AM,,,
6417,41,11-08-2024,9:00 AM,,,
6454,41,11-08-2024,9:00 AM,,,
6460,41,11-08-2024,9:00 AM,,,
6482,41,11-08-2024,8:00 AM,,,
6501,41,11-08-2024,9:00 AM,,,
6502,41,11-08-2024,8:00 AM,,,
6518,41,11-08-2024,9:00 AM,,,
6524,41,11-08-2024,9:00 AM,,,
6539,41,11-08-2024,9:00 AM,,,
6549,41,11-08-2024,8:00 AM,,,
6568,41,11-08-2024,11:00 AM,,,
6569,41,11-08-2024,9:00 AM,,,
6573,41,11-08-2024,9:00 AM,,,
6575,41,11-08-2024,9:00 AM,,,
6609,41,11-08-2024,6:00 AM,,,
6617,41,11-08-2024,6:00 AM,,,
6670,41,11-08-2024,9:00 AM,,,
6867,41,11-08-2024,8:00 AM,,,
8152,41,11-08-2024,9:00 AM,,,
8176,41,11-08-2024,8:00 AM,418263334400,418263333194,Delivered
8183,41,11-08-2024,6:00 AM,,,
8223,41,11-08-2024,4:00 PM,,,
8239,41,11-08-2024,8:00 AM,418263333460,,Delivered
8263,41,11-08-2024,8:00 AM,418263330596,418263335094,Out for delivery
8264,41,11-08-2024,8:00 AM,,,
8281,41,11-08-2024,8:00 AM,,,
8289,41,11-08-2024,8:00 AM,418263330666,418263330493,Delivered
4709,42,11-11-2024,6:00 AM,,,
4710,42,11-11-2024,9:00 AM,,,
4729,42,11-11-2024,3:00 PM,,,
4783,42,11-11-2024,8:00 AM,,,
4794,42,11-11-2024,8:00 AM,,,
4831,42,11-11-2024,9:00 AM,,,
4843,42,11-11-2024,8:00 AM,,,
4846,42,11-11-2024,9:00 AM,,,
4850,42,11-11-2024,8:00 AM,,,
4973,42,11-11-2024,10:00 AM,,,
4994,42,11-11-2024,9:00 AM,,,
6257,42,11-11-2024,6:00 AM,,,
6308,42,11-11-2024,9:00 AM,,,
6311,42,11-11-2024,6:00 AM,,,
6319,42,11-11-2024,9:00 AM,,,
6353,42,11-11-2024,3:00 PM,,,
6356,42,11-11-2024,2:00 PM,,,
6365,42,11-11-2024,9:00 AM,,,
6419,42,11-11-2024,9:00 AM,,,
6422,42,11-11-2024,8:00 AM,,,
6434,42,11-11-2024,9:00 AM,,,
6440,42,11-11-2024,9:00 AM,,,
6444,42,11-11-2024,2:00 PM,,,
6452,42,11-11-2024,9:00 AM,,,
6520,42,11-11-2024,8:00 AM,,,
6533,42,11-11-2024,9:00 AM,,,
6556,42,11-11-2024,9:00 AM,,,
6572,42,11-11-2024,9:00 AM,,,
6667,42,11-11-2024,12:00 PM,,,
6679,42,11-11-2024,3:00 PM,,,
8111,42,11-11-2024,9:00 AM,,,
8117,42,11-11-2024,8:00 AM,418263330438,418263330633,Delivered
8156,42,11-11-2024,8:00 AM,,,
8189,42,11-11-2024,9:00 AM,,,
8209,42,11-11-2024,1:00 PM,,,
8243,42,11-11-2024,8:00 AM,418263330644,418263334503,Delivered
8272,42,11-11-2024,8:00 AM,,,
8274,42,11-11-2024,8:00 AM,,,
8285,42,11-11-2024,9:00 AM,,,
4041,42,11-12-2024,9:00 AM,,,
4702,42,11-12-2024,8:00 AM,,,
4711,42,11-12-2024,9:00 AM,,,
4713,42,11-12-2024,8:00 AM,,,
4768,42,11-12-2024,6:00 AM,,,
4769,42,11-12-2024,8:00 AM,,,
4830,42,11-12-2024,11:30 AM,,,
4839,42,11-12-2024,8:00 AM,418263330519,418263330552,Delivered
4870,42,11-12-2024,9:00 AM,418263330585,418263330449,Delivered
4871,42,11-12-2024,11:00 AM,,,
4914,42,11-12-2024,9:00 AM,,,
4925,42,11-12-2024,8:00 AM,,,
4936,42,11-12-2024,9:00 AM,,,
4950,42,11-12-2024,9:00 AM,,,
4952,42,11-12-2024,9:00 AM,,,
6202,42,11-12-2024,8:00 AM,,,
6245,42,11-12-2024,8:00 AM,,,
6267,42,11-12-2024,8:00 AM,418263330541,418263330530,Delivered
6302,42,11-12-2024,9:00 AM,,,
6307,42,11-12-2024,9:00 AM,,,
6336,42,11-12-2024,8:00 AM,,,
6338,42,11-12-2024,9:00 AM,,,
6350,42,11-12-2024,8:00 AM,418263330688,418263335131,Delivered
6359,42,11-12-2024,9:00 AM,,,
6412,42,11-12-2024,9:00 AM,,,
6418,42,11-12-2024,8:00 AM,418263334385,418263335381,Out for delivery
6421,42,11-12-2024,8:00 AM,,,
6423,42,11-12-2024,2:00 PM,,,
6433,42,11-12-2024,6:00 AM,,,
6445,42,11-12-2024,11:00 AM,,,
6449,42,11-12-2024,9:00 AM,,,
6471,42,11-12-2024,8:00 AM,,,
6606,42,11-12-2024,10:30 AM,,,
6621,42,11-12-2024,6:00 AM,,,
6624,42,11-12-2024,6:00 AM,,,
6637,42,11-12-2024,9:00 AM,,,
6673,42,11-12-2024,9:00 AM,,,
6976,42,11-12-2024,9:00 AM,,,
8126,42,11-12-2024,8:00 AM,,,
8135,42,11-12-2024,9:00 AM,,,
8161,42,11-12-2024,9:00 AM,,,
8163,42,11-12-2024,8:00 AM,418263336046,418263336105,Out for delivery
8177,42,11-12-2024,6:00 AM,,,
8185,42,11-12-2024,10:00 AM,,,
8224,42,11-12-2024,8:00 AM,418263330460,418263330677,Delivered
8227,42,11-12-2024,8:00 AM,,,
8241,42,11-12-2024,8:00 AM,,,
8254,42,11-12-2024,9:00 AM,418263330520,418263334396,Delivered
8256,42,11-12-2024,9:00 AM,,,
8275,42,11-12-2024,8:00 AM,,,
8276,42,11-12-2024,9:00 AM,,,
8288,42,11-12-2024,8:00 AM,,,
8293,42,11-12-2024,8:00 AM,418263330450,418263335267,Out for delivery
4764,42,11-13-2024,8:00 AM,,,
4774,42,11-13-2024,9:00 AM,,,
4791,42,11-13-2024,8:00 AM,418263333448,418263335186,On the way 10/28/2024
4847,42,11-13-2024,9:00 AM,,,
4944,42,11-13-2024,9:00 AM,,,
4982,42,11-13-2024,9:00 AM,,,
6242,42,11-13-2024,9:00 AM,,,
6269,42,11-13-2024,8:00 AM,,,
6314,42,11-13-2024,9:00 AM,,,
6351,42,11-13-2024,4:00 PM,,,
6368,42,11-13-2024,9:00 AM,,,
6372,42,11-13-2024,8:00 AM,,,
6385,42,11-13-2024,11:00 AM,,,
6406,42,11-13-2024,9:00 AM,,,
6429,42,11-13-2024,9:00 AM,,,
6570,42,11-13-2024,9:00 AM,,,
6620,42,11-13-2024,6:00 AM,,,
6657,42,11-13-2024,9:00 AM,,,
6674,42,11-13-2024,11:00 AM,,,
6779,42,11-13-2024,8:00 AM,418263334433,418263333470,Delivered
7191,42,11-13-2024,10:00 AM,,,
8125,42,11-13-2024,9:00 AM,,,
8130,42,11-13-2024,8:00 AM,,,
8139,42,11-13-2024,9:00 AM,,,
8175,42,11-13-2024,9:00 AM,,,
8207,42,11-13-2024,8:00 AM,418263330655,418263333301,Delivered
8246,42,11-13-2024,8:00 AM,,,
8262,42,11-13-2024,9:00 AM,,,
8280,42,11-13-2024,10:00 AM,,,
4718,,,,,,
4720,,,,,,
4730,,,,,,
4739,,,,,,
4780,,,,,,
4786,,,,,,
4789,,,,,,
4795,,,,,,
4797,,,,,,
4802,,,,,,
4804,,,,,,
4805,,,,,,
4818,,,,,,
4820,,,,,,
4852,,,,,,
4872,,,,,,
4873,,,,,,
4879,,,,,,
4901,,,,,,
4917,,,,,,
4948,,,,,,
4958,,,,,,
4985,,,,418263330427,418263330725,Delivered
4989,,,,,,
4998,,,,,,
