Store,Tier
2059,Tier 2
2062,Tier 2
2065,Tier 1 
2070,Tier 2
2075,Tier 2
2083,Tier 2
2084,Tier 1 
2098,Tier 1 
2103,Tier 2
2105,Tier 2
2106,Tier 1 
2111,Tier 2
2113,Tier 1 
2116,Tier 2
2118,Tier 2
2124,Tier 1 
2125,Tier 2
2133,Tier 2
2134,Tier 1 
2137,Tier 1 
2142,Tier 2
2147,Tier 2
2152,Tier 1 
2153,Tier 2
2157,Tier 1 
2158,Tier 2
2159,Tier 2
2166,Tier 1 
2167,Tier 1 
2184,Tier 1 
2188,Tier 2
2189,Tier 1 
2192,Tier 1 
2194,Tier 2
2195,Tier 2
2202,Tier 2
2210,Tier 1 
2213,Tier 2
2214,Tier 1 
2222,Tier 2
2224,Tier 1 
2230,Tier 1 
2232,Tier 2
2233,Tier 2
2244,Tier 2
2250,Tier 1 
2259,Tier 2
2261,Tier 1 
2262,Tier 1 
2266,Tier 2
2270,Tier 2
2275,Tier 1 
2277,Tier 2
2278,Tier 2
2281,Tier 2
2286,Tier 2
2294,Tier 2
2300,Tier 2
2306,Tier 1 
2307,Tier 2
2309,Tier 2
2310,Tier 2
2314,Tier 2
2315,Tier 2
2318,Tier 1 
2326,Tier 1 
2330,Tier 2
2339,Tier 1 
2341,Tier 2
2354,Tier 2
2354,Tier 2
2357,Tier 2
2362,Tier 2
2368,Tier 1 
2370,Tier 1 
2371,Tier 2
2373,Tier 2
2398,Tier 2
2420,Tier 2
2424,Tier 2
2432,Tier 2
2440,Tier 1 
2443,Tier 2
2444,Tier 2
2445,Tier 2
2447,Tier 2
2463,Tier 2
2471,Tier 2
2472,Tier 2
2476,Tier 2
2479,Tier 1 
2482,Tier 2
2490,Tier 2
2496,Tier 1 
2502,Tier 2
2506,Tier 1 
2507,Tier 2
2508,Tier 1 
2515,Tier 2
2528,Tier 1 
2531,Tier 2
2536,Tier 2
2538,Tier 2
2540,Tier 1 
2541,Tier 2
2574,Tier 2
2575,Tier 1 
2579,Tier 2
2581,Tier 2
2599,Tier 1 
2611,Tier 2
2627,Tier 1 
