Store Number,Fashion Op Model Tier,Fashion Coach?,Coach Action,Total TL Headcount,Go-Live Week,Fashion Stocking Team Hours
605,2,YES,MOVE EXISTING,4,WK 37,120
606,3,NO,-,3,WK 37,80
635,2,YES,MOVE EXISTING,4,WK 37,120
728,2,YES,HIRE,4,WK 37,120
1011,2,YES,MOVE EXISTING,4,WK 37,120
2832,2,YES,HIRE,4,WK 37,120
2860,1,YES,MOVE EXISTING,4,WK 37,140
4556,3,NO,-,3,WK 37,80
6395,3,NO,-,4,WK 37,80
628,2,YES,MOVE EXISTING,4,WK 37,120
795,3,NO,-,3,WK 37,80
1037,2,YES,MOVE EXISTING,4,WK 37,120
1358,2,YES,HIRE,4,WK 37,120
1383,2,YES,HIRE,4,WK 37,120
1748,2,YES,HIRE,4,WK 37,120
2348,3,NO,-,4,WK 37,80
7181,3,NO,-,4,WK 37,80
631,2,YES,HIRE,4,WK 37,120
640,2,YES,MOVE EXISTING,4,WK 37,120
641,2,YES,MOVE EXISTING,4,WK 37,120
1123,1,YES,MOVE EXISTING,4,WK 37,140
1244,2,YES,HIRE,4,WK 37,120
2265,2,YES,MOVE EXISTING,4,WK 37,120
2687,2,YES,HIRE,4,WK 37,120
3191,3,NO,-,3,WK 37,80
3192,3,NO,-,4,WK 37,80
3222,2,YES,MOVE EXISTING,4,WK 37,120
4583,3,NO,-,3,WK 37,80
5487,2,YES,HIRE,4,WK 37,120
625,2,YES,MOVE EXISTING,4,WK 37,120
632,3,NO,-,4,WK 37,80
1017,2,YES,HIRE,4,WK 37,120
1146,1,YES,MOVE EXISTING,4,WK 37,140
1359,2,YES,MOVE EXISTING,4,WK 37,120
2928,1,YES,HIRE,4,WK 37,140
3367,3,NO,-,4,WK 37,80
4384,3,NO,-,4,WK 37,80
574,1,YES,MOVE EXISTING,4,WK 37,140
586,2,YES,MOVE EXISTING,4,WK 37,120
643,1,YES,MOVE EXISTING,4,WK 37,140
1767,2,YES,HIRE,4,WK 37,120
2712,1,YES,MOVE EXISTING,4,WK 37,140
4664,2,YES,MOVE EXISTING,4,WK 37,120
5087,1,YES,MOVE EXISTING,4,WK 37,140
5705,2,YES,HIRE,4,WK 37,120
511,1,YES,MOVE EXISTING,4,WK 37,140
621,2,YES,HIRE,4,WK 37,120
627,3,NO,-,3,WK 37,80
630,2,YES,MOVE EXISTING,4,WK 37,120
634,2,YES,MOVE EXISTING,4,WK 37,120
642,3,NO,-,4,WK 37,80
1135,3,NO,-,4,WK 37,80
1829,3,NO,-,3,WK 37,80
2703,2,YES,HIRE,4,WK 37,120
4457,3,NO,-,3,WK 37,80
7188,3,NO,-,3,WK 37,80
396,2,YES,MOVE EXISTING,4,WK 37,120
514,2,YES,MOVE EXISTING,4,WK 37,120
624,3,NO,-,4,WK 37,80
