Market,Store_Nbr,City,State,Center Format,Format,Date,G/O Date
2,7280,CULLMAN,AL,Tenant,Customer Service Desk,1/8/2024,4/26/2024
14,1174,THOMASVILLE,AL,Tenant,Customer Service Desk,1/13/2025,5/2/2025
35,640,GREENVILLE,SC,Tenant,Customer Service Desk,1/15/2024,4/19/2024
39,624,NEWBERRY,SC,In-Lane,Customer Service Desk,4/1/2024,7/19/2024
41,4506,COLUMBIA,SC,In-Lane,Customer Service Desk,5/12/2025,8/29/2025
45,1044,TYLER,TX,Tenant,Customer Service Desk,6/3/2024,9/6/2024
87,765,SAN ANTONIO,TX,In-Lane,Customer Service Desk,1/29/2024,5/17/2024
92,771,MERRITT ISLAND,FL,Tenant,Customer Service Desk,6/24/2024,10/11/2024
119,663,ATHENS,TN,In-Lane,Customer Service Desk,6/3/2024,9/6/2024
124,599,KINGSPORT,TN,In-Lane,Customer Service Desk,7/15/2024,11/1/2024
140,365,PEARL,MS,Tenant,Customer Service Desk,1/6/2025,4/11/2025
140,2720,MADISON,MS,Tenant,Customer Service Desk,4/15/2024,8/2/2024
183,1749,SOMERSWORTH,NH,In-Lane,Customer Service Desk,5/5/2025,8/22/2025
201,5064,KALAMAZOO,MI,In-Lane,Customer Service Desk,5/6/2024,8/23/2024
227,4644,MOON TOWNSHIP,PA,In-Lane,Customer Service Desk,5/6/2024,8/23/2024
249,2787,INDIANAPOLIS,IN,Tenant,Customer Service Desk,7/15/2024,11/1/2024
249,3529,INDIANAPOLIS,IN,Tenant,Customer Service Desk,1/8/2024,4/26/2024
258,1259,CORBIN,KY,Tenant,Customer Service Desk,7/15/2024,11/1/2024
287,2295,RICHMOND,VA,In-Lane,Customer Service Desk,7/15/2024,10/18/2024
290,2160,PETERSBURG,VA,Tenant,Customer Service Desk,5/20/2024,9/6/2024
296,1288,ROXBORO,NC,Tenant,Customer Service Desk,5/20/2024,8/23/2024
296,3612,BURLINGTON,NC,Tenant,Customer Service Desk,2/12/2024,5/31/2024
299,1237,ERWIN,NC,Tenant,Customer Service Desk,5/27/2024,9/13/2024
352,3430,OKLAHOMA CITY,OK,Tenant,Customer Service Desk,1/15/2024,5/3/2024
353,7326,OKLAHOMA CITY,OK,Tenant,Customer Service Desk,2/5/2024,5/10/2024
362,2955,KANSAS CITY,MO,In-Lane,Customer Service Desk,1/29/2024,5/17/2024
364,1328,WINSLOW,AZ,Tenant,Customer Service Desk,7/15/2024,11/1/2024
373,2671,CHANDLER,AZ,Tenant,Customer Service Desk,3/18/2024,7/5/2024
410,72,PITTSBURG,KS,In-Lane,Customer Service Desk,4/8/2024,7/26/2024
411,484,LAWRENCE,KS,Tenant,Customer Service Desk,4/1/2024,7/19/2024
418,797,WEST BURLINGTON,IA,Tenant,Customer Service Desk,7/15/2024,11/1/2024
423,1855,EDEN PRAIRIE,MN,Tenant,Customer Service Desk,5/13/2024,8/30/2024
424,3088,ST CLOUD,MN,In-Lane,Customer Service Desk,3/11/2024,6/28/2024
467,2469,LONGVIEW,WA,Tenant,Customer Service Desk,6/3/2024,9/20/2024
484,2292,COVINA,CA,In-Lane,Customer Service Desk,5/8/2023,1/12/2024
