Store Number,Department Category Description ,WK05,WK06,WK07,WK08,WK09,WK10,WK11,WK12,WK13,WK14,WK15,WK16,WK17,WK18,WK19,WK20,WK21,WK22,WK23,WK24,WK25,WK26,WK27,WK28,WK29,WK30,WK31,WK32,WK33,WK34,WK35,WK36,WK37,WK38,WK39,WK40,WK41,WK42,WK43,WK44,WK45,WK46,WK47,WK48,WK49,WK50,WK51,WK52,WK01,WK02,WK03,WK04,WK05,,,
1,COMBO GRILLS,1,,,,,,1,1,2,1,2,,2,2,2,,,1,2,,,1,1,,1,3,1,,1,,,,1,1,,1,,,,,,,,,1,,,,,,,,,,,
1,FULL SIZE GAS GRILLS,3,1,2,1,7,3,7,,3,1,5,3,3,5,4,6,4,5,8,6,6,4,6,4,8,2,3,7,3,2,2,1,3,1,,,,,2,1,,,1,,,0,,2,1,,2,4,,,,
1,FULL SIZE GRIDDLES,1,3,1,1,,2,1,1,4,3,2,3,4,2,9,3,5,6,1,2,1,1,2,2,1,2,2,4,3,,,1,,3,,,,,4,1,1,2,4,,1,,,,2,4,2,2,2,,,
1,FULL SIZE PELLET GRILLS,1,,1,4,,,2,3,1,2,,2,1,2,2,3,3,5,,1,1,2,6,2,1,1,4,3,3,1,0,1,1,3,2,1,1,,2,1,1,1,2,1,3,2,1,1,,1,1,2,,,,
2,COMBO GRILLS,1,1,,,1,1,1,1,,,,2,3,,,1,,,1,,,,,,,,1,2,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,
2,FULL SIZE GAS GRILLS,3,1,2,6,1,4,2,6,4,2,4,5,3,6,3,1,5,5,9,3,5,4,4,3,4,4,9,9,6,4,6,3,1,,,1,,2,3,1,,1,1,,,1,,1,,,,3,1,,,
2,FULL SIZE GRIDDLES,1,3,5,7,3,,1,1,5,1,4,4,10,5,6,12,7,9,9,3,2,6,5,3,2,6,4,2,2,,1,6,1,1,2,1,2,,3,1,2,,4,1,2,2,,1,1,1,1,5,,,,
2,FULL SIZE PELLET GRILLS,2,1,,1,5,1,2,2,3,4,3,4,5,4,7,8,4,9,3,3,2,1,2,1,3,,4,5,5,2,,3,1,1,1,,,0,1,,3,,3,0,1,,1,1,2,1,1,4,1,,,
3,COMBO GRILLS,,1,,,,,1,,1,,1,1,,2,1,2,1,,1,1,,,,,,5,1,1,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,
3,FULL SIZE GAS GRILLS,1,5,3,1,0,2,4,3,,2,2,6,1,4,3,6,8,2,5,,1,1,2,3,5,8,10,8,5,2,1,1,,1,,,,1,1,,,1,4,,1,3,1,,1,0,3,4,1,,,
3,FULL SIZE GRIDDLES,3,2,2,1,3,9,3,,4,1,4,4,5,10,5,14,14,3,6,6,2,4,5,6,9,10,7,2,3,3,,,2,,1,1,3,1,2,,1,,5,2,1,,,1,2,,3,8,,,,
3,FULL SIZE PELLET GRILLS,3,2,,2,,4,1,1,2,,1,1,3,5,1,5,2,4,3,1,1,,2,2,2,20,2,1,3,2,,1,3,2,1,2,,1,,1,1,1,,,,,,1,1,,1,1,,,,
4,COMBO GRILLS,,,1,1,,2,,1,,1,1,2,,,1,1,3,,2,,,1,,,,2,0,1,1,,,1,1,,,1,,,,,,,1,,,,2,,,,,,,,,
4,FULL SIZE GAS GRILLS,3,1,8,6,2,4,13,4,3,3,5,11,5,10,4,4,6,6,12,5,6,2,5,2,3,1,5,9,6,6,11,4,2,1,,,,1,1,,,2,1,,,,3,6,,2,1,1,1,,,
4,FULL SIZE GRIDDLES,1,2,,,1,2,1,2,,1,2,1,7,8,3,7,12,5,3,5,1,,1,3,2,1,2,5,5,0,2,,,2,1,,1,1,4,2,,1,3,,,,3,1,1,1,,3,1,,,
4,FULL SIZE PELLET GRILLS,1,,2,3,4,2,4,1,1,2,2,2,,2,5,5,7,2,,2,1,2,1,2,2,,,1,1,3,4,,2,,2,1,2,,4,,1,3,2,0,,,,,,,1,2,,,,
5,COMBO GRILLS,1,2,,,1,,1,,2,2,1,2,2,1,,2,3,1,1,1,,,,,,,1,2,2,,,,,,,,,,,,,,,,,,1,,,1,,,,,,
5,FULL SIZE GAS GRILLS,3,2,3,3,3,4,3,3,3,5,3,2,2,4,6,5,5,7,6,1,,4,1,1,2,4,10,4,2,2,6,2,1,,,3,,3,2,,,2,3,,0,,,,,,,3,0,,,
5,FULL SIZE GRIDDLES,3,3,6,4,4,,,2,3,10,3,,6,3,4,8,12,5,8,3,1,2,3,3,1,1,9,7,5,7,,2,4,,,1,,3,1,2,1,5,3,4,3,2,5,0,4,,2,3,,,,
5,FULL SIZE PELLET GRILLS,1,,,2,1,3,1,2,2,3,1,,1,3,4,2,3,2,3,2,,2,2,1,,,4,3,1,2,2,,,2,1,,1,,,3,,2,4,1,1,1,1,1,1,1,2,5,2,,,
7,COMBO GRILLS,,1,,,1,1,,,2,,1,1,1,,1,,1,2,1,,,,,1,,1,3,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,
7,FULL SIZE GAS GRILLS,1,1,1,,1,1,2,1,,2,2,5,1,6,6,3,5,2,13,2,2,2,3,3,2,4,7,9,1,,2,1,,4,3,,3,3,4,2,3,3,5,2,1,3,1,2,2,2,1,2,,,,
