Store Number,Tracking Number,Serial # NEW,Serial # OLD,
1601,727583449784,24085524700010,K590804754,
1614,1Z38R88A0312555441,24085524700015,K591500075,
1622,727583453927,24085524700573,K591502032,
1622,727583453938,24083524701034,K591500069,
1647,727583453309,24085524700084,K591501984,
1655,727583453695,24085524700384,K591500550,
1667,740757730805,24085524700670,K591206011,
1667,740757730816,24085524700022,K590301159,
1694,740757740552,24083524701240,K591206053,
1696,740757738416,24085524700207,K592600160,
1709,1Z38R88A0312555718,24083524701646,K584903173,
1709,1Z38R88A0312555727,24083524701100,K584903811,
1712,740757745407,24085524700168,K585203295,
1720,1Z38R88A0312555469,24085524700552,K584903716,
1723,740757744157,24083524701438,K590804456,
1723,740757744168,24083524701895,K590300921,
1724,740757739000,24085524700535,K585203024,
1724,740757739011,24083524702308,K590302273,
1726,727583453802,24085524700368,K590804041,
1726,727583453813,24085524700422,K591500730,
1762,740757727956,24085524700586,K590804827,
1762,740757727967,24085524700694,K591206573,
1783,740757743323,24083524702146,K591206616,
1787,740757727500,24085524700629,K591501202,
1787,740757727511,24085524700554,K592300339,
1805,740757739787,24085524700729,K590301787,
1805,740757739798,24085524700465,K590301047,
1817,740757746686,24085524700350,K584903706,
1833,727583453651,24085524700443,K591500648,
1833,727583453662,24085524700380,K591502033,
1851,1Z38R88A0312554997,24085524700023,K590805261,
1851,1Z38R88A0312555003,24083524701638,KQ739A5859,
1878,740757736549,24085524700028,K591206035,
1878,740757736550,24083524702355,KQ82902445,
1879,727583454316,24085524700578,K590301038,
1879,727583454327,24085524700587,K590302081,
1899,1Z38R88A0312555030,24085524700619,K584904018,
1923,740757746322,24085524700797,K591205969,
1941,1Z38R88A0312555898,24085524700215,K591500507,
1943,1Z38R88A0312555389,24085524700008,K584903200,
1943,1Z38R88A0312555398,24085524700196,K584903752,
1945,740757738254,24085524700589,K590301097,
1945,740757738265,24085524700529,K590804616,
1980,1Z38R88A0312556084,24085524700338,K590804051,
1993,1Z38R88A0312555245,24085524700087,K590301090,
1994,740757743253,24085524700250,K590301876,
1994,740757743264,24085524700441,K590805041,
2002,1Z38R88A0312555549,24085524700304,K590804158,
2021,1Z38R88A0312555683,24085524700558,K590804489,
2022,740757727393,24085524700156,K590804623,
2023,1Z38R88A0312555307,24085524700216,K584903417,
2030,1Z38R88A0312555665,24083524701252,K590804134,
2036,727583453331,24085524700378,K590301322,
2064,740757731205,24083524702185,K590804787,
2064,740757731216,24085524700354,K590804480,
2064,740757731190,24085524700550,K590804957,
2083,727583455530,24083524702324,K584902753,
2083,727583455540,24085524700594,K584904253,
2084,740757729466,24085524700792,K590302212,
2084,740757729477,24085524700912,K591205981,
2095,727583453364,24085524700781,K584903478,
2117,1Z38R88A0312555352,24085524700123,KQ82904225,
2151,740757740107,24085524700500,K590804141,
2155,1Z38R88A0312555674,24085524700660,K591206068,
2174,727583452997,24085524700407,K584902959,
2192,740757735369,24085524700765,K591501435,
2192,740757735370,24085524700159,K584902689,
2209,1Z38R88A0312555254,24083524702325,K584904096,
2287,740757737431,24085524700187,K590805055,
2287,740757737442,24085524700086,K590301191,
2331,727583454040,24085524700440,K584903954,
2331,727583454051,24085524700777,K590804119,
2355,740757738313,24085524700829,K591206177,
2355,740757738324,24085524700682,K590301544,
2368,727583454923,24085524700671,K591206376,
2368,727583454934,24085524700339,K591206615,
2448,740757738688,24085524700408,K591502322,
2474,1Z38R88A0312555049,24085524700075,K590804162,
2474,1Z38R88A0312555058,24083524702175,K590804823,
2484,727583454831,24085524700603,K590301402,
2560,740757738130,24083524701512,K591501875,
2560,740757738140,24083524701335,K591500243,
2572,727583454084,24083524702332,K590301087,
2575,740757743091,24083524701710,K585202973,
2593,1Z38R88A0312555638,24085524700410,K590301285,
2596,727583455231,24085524700499,K584902679,
2596,727583455242,24085524700367,K584903566,
2607,727583449968,24085524700485,K590804267,
2614,740757730297,24083524701246,K591501430,
2641,740757739824,24085524700383,K591206360,
2692,740757735954,24085524700649,K584904236,
2697,740757744455,24085524700297,K584904236,
2717,740757745359,24083524701301,K584903830,
2717,740757745360,24083524701988,K584904139,
2734,740757728838,24085524700080,K590804979,
2734,740757728849,24085524700005,K590805316,
2761,740757740221,24083524701639,K590301100,
2761,740757740232,24083524701726,K590804960,
2765,740757730210,24085524700301,K584903111,
2771,740757739640,24085524700375,K590804647,
2774,740757738839,24085524700655,K590804131,
2807,740757740151,24083524702111,K584904043,
2807,740757740162,24085524700419,K590804095,
2811,740757736652,24083524701168,K591500234,
2845,740757744889,24083524701967,K585203289,
2845,740757744890,24083524701686,K584902995,
2846,740757729503,24085524700423,K584902573,
2871,1Z38R88A0312555647,24085524700669,K590301213,
2921,740757729308,24085524700025,K584903959,
2924,740757737545,24085524700233,K591206151,
2933,740757742783,24083524702335,K584903345,
2951,1Z38R88A0312555889,24083524701070,KQ02000230,
2985,1Z38R88A0312556100,24085524700389,K584904056,
3004,727583454496,24085524700745,K590804111,
3004,727583454500,24085524700011,K590301177,
3017,727583453180,24085524700290,K584903446,
3059,740757730610,24085524700021,K591206396,
3059,740757730621,24083524702348,K590804271,
3093,1Z38R88A0312555316,24085524700381,K585203266,
3114,740757727875,24085524700142,K584902413,
313,740757735726,24085524700430,K585203157,
3205,1Z38R88A0312555601,24085524700447,K590300934,
3205,1Z38R88A0312555610,24085524700106,K590804626,
3220,740757738081,24085524700772,KQ82904593,
3222,727583453217,24085524700623,K590301435,
3228,740757730687,24085524700806,K591206530,
3228,740757730698,24085524700591,K585203047,
3230,1Z38R88A0312556066,24085524700311,K591501952,
3267,740757739927,24083524701447,K591206397,
3278,740757739950,24085524700585,K591500039,
3310,1Z38R88A0312555432,24085524700079,K585203140,
3313,740757739890,24083524701505,K591500131,
332,1Z38R88A0312555165,24085524700083,K584903459,
332,1Z38R88A0312555174,24085524700260,K584902423,
3331,740757737475,24085524700429,K584903162,
3348,740757729536,24085524700093,K591501541,
3386,740757738942,24085524700479,K591500629,
3386,740757738953,24083524702305,K591500238,
3391,740757738883,24085524700009,K590804405,
3391,740757738894,24085524700437,K585203138,
3404,740757740070,24085524700455,K591500704,
3439,740757744374,24083524701904,KQ90803679,
3459,740757743816,24085524700769,K591500708,
3471,740757729694,24085524700845,K585203189,
3499,1Z38R88A0312555987,24085524700749,K590804122,
3499,1Z38R88A0312555996,24085524700735,K591206412,
3505,1Z38R88A0312555594,24085524700244,K590302324,
3525,740757738379,24085524700642,K590804838,
3525,740757738380,24085524700457,K590804635,
3537,740757735575,24085524700620,K591500120,
3590,1Z38R88A0312555763,24085524700152,K591501538,
360,740757730106,24085524700325,K585203001,
3616,740757746252,24085524700439,K584903934,
3627,740757743687,24085524700830,K584902369,
3658,740757738471,24083524701312,K591501922,
3709,740757739136,24083524701351,K584903732,
3742,1Z38R88A0312555736,24085524700103,K590302074,
3749,740757743356,24085524700475,K590803972,
3784,727583455139,24085524700525,K584902385,
3784,727583455140,24085524700939,K585203199,
3804,740757738059,24083524701490,K591500480,
3837,740757744320,24085524700778,K584902338,
3864,740757740405,24083524701310,K584904016,
3867,740757739240,24085524700486,K584902431,
3867,740757739250,24085524700131,K591500961,
3884,1Z38R88A0312555021,24085524700659,K584903147,
4118,1Z38R88A0312555834,24083524701258,K591500022,
4165,740757729856,24085524700588,K584903262,
4239,1Z38R88A0312555450,24085524700050,K591500545,
4352,740757744227,24085524700867,K584902883,
4352,740757744238,24085524700774,K584904187,
4365,740757736685,24083524701688,K590805018,
4392,727583450413,24085524700514,K584902917,
4392,727583450424,24083524702263,KQ722A2135,
4394,1Z38R88A0312555281,24085524700634,K584904113,
4407,740757735510,24085524700622,K585202950,
4440,740757743746,24085524700672,K584902501,
4479,1Z38R88A0312555558,24085524700601,K591501877,
4479,1Z38R88A0312555567,24083524701507,K591500805,
4487,727583454794,24085524700805,K590804547,
4487,727583454809,24085524700940,K591501233,
4509,1Z38R88A0312556057,24085524700734,K590804967,
4521,740757729639,24085524700861,K584903857,
4533,1Z38R88A0312555576,24085524700651,K590804037,
4611,740757739283,24085524700782,K584903091,
4631,740757735601,24085524700688,K591501671,
4679,740757736619,24085524700680,K591206300,
5041,740757730595,24083524701489,K584902499,
5041,740757730600,24083524701453,K584903274,
5054,740757737946,24085524700528,K591206127,
5054,740757737957,24085524700108,K591500590,
5065,727583454382,24085524700491,K591206354,
5145,1Z38R88A0312555361,24085524700390,K591500700,
5146,727583455014,24085524700542,K590301380,
5146,727583455025,24085524700259,K584902778,
5156,1Z38R88A0312555325,24085524700342,K591501256,
5162,727583449589,24085524700695,K584903391,
5162,727583449590,24085524700676,K585203221,
5214,740757738714,24083524701924,K584904052,
5234,727583455172,24085524700520,K590804513,
5264,740757739857,24083524702217,K591500512,
528,1Z38R88A0312556075,24085524700614,K590805151,
5341,1Z38R88A0312555414,24085524700577,K585203300,
5341,1Z38R88A0312555423,24085524700122,K584902829,
5358,727583453158,24085524700696,K591206332,
5385,1Z38R88A0312555692,24083524701028,K590804996,
5399,727583454740,24085524700477,K590804239,
5435,1Z38R88A0312555370,24085524700611,K590301119,
5446,1Z38R88A0312555503,24085524700352,K591501744,
5446,1Z38R88A0312555512,24085524700279,K591502272,
5460,740757743860,24085524700249,K585203233,
5462,740757740791,24085524700764,K584904074,
5462,740757740806,24085524700584,K584903676,
55,727583454647,24085524700627,K584902702,
55,727583454658,24083524702342,K584903314,
5672,740757738449,24085524700035,K590301122,
5686,727583454143,24085524700579,K590805338,
5842,1Z38R88A0312555334,24083524702190,K591500984,
5853,740757745885,24085524700566,K590302118,
5888,740757745290,24085524700030,K590805025,
5888,740757745304,24085524700019,K590301476,
591,727583453261,24083524702323,K591500372,
591,727583453272,24085524700320,K591502099,
