Store Number,Outlet Number,Asset Number,Tracking Number,Shipment Date,Received Date
5072,200003-156,51500471,5.88E+11,1/17/2023,1/20/2023
5134,200003-001,51500573,5.88E+11,1/20/2023,1/23/2023
1588,200003-010,51500567,5.88E+11,1/20/2023,1/23/2023
1630,200003-016,51500314,5.88E+11,1/20/2023,1/23/2023
1700,200003-023,51500078,5.88E+11,1/20/2023,1/23/2023
1747,200003-025,51500082,5.88E+11,1/20/2023,1/23/2023
1756,200003-027,51500065,5.88E+11,1/20/2023,1/23/2023
1760,200003-028,51500076,5.88E+11,1/20/2023,1/23/2023
1805,200003-030,51500077,5.88E+11,1/20/2023,1/23/2023
1554,200003-003,51500562,5.88E+11,1/20/2023,1/24/2023
1555,200003-004,51500564,5.88E+11,1/20/2023,1/24/2023
1563,200003-005,51500568,5.88E+11,1/20/2023,1/24/2023
1574,200003-006,51500569,5.88E+11,1/20/2023,1/24/2023
1575,200003-007,51500556,5.88E+11,1/20/2023,1/24/2023
1583,200003-008,51500557,5.88E+11,1/20/2023,1/24/2023
1587,200003-009,51500565,5.88E+11,1/20/2023,1/24/2023
1600,200003-011,51500570,5.88E+11,1/20/2023,1/24/2023
1608,200003-012,51500324,5.88E+11,1/20/2023,1/24/2023
1615,200003-013,51500329,5.88E+11,1/20/2023,1/24/2023
1645,200003-017,51500084,5.88E+11,1/20/2023,1/24/2023
1651,200003-019,51500062,5.88E+11,1/20/2023,1/24/2023
1693,200003-022,51500083,5.88E+11,1/20/2023,1/24/2023
1704,200003-024,51500075,5.88E+11,1/20/2023,1/24/2023
1755,200003-026,51500081,5.88E+11,1/20/2023,1/24/2023
1826,200003-032,51500070,5.88E+11,1/20/2023,1/24/2023
1616,200003-014,51500318,5.88E+11,1/20/2023,1/25/2023
1859,200003-036,51500216,5.88E+11,1/23/2023,1/25/2023
1832,200003-033,51500236,5.88E+11,1/23/2023,1/26/2023
1840,200003-034,51500320,5.88E+11,1/23/2023,1/26/2023
1862,200003-037,51500325,5.88E+11,1/23/2023,1/26/2023
1877,200003-038,51500308,5.88E+11,1/23/2023,1/26/2023
1879,200003-039,51500307,5.88E+11,1/23/2023,1/26/2023
1882,200003-041,51500326,5.88E+11,1/23/2023,1/26/2023
1899,200003-042,51500306,5.88E+11,1/23/2023,1/26/2023
1903,200003-043,51500321,5.88E+11,1/23/2023,1/26/2023
1912,200003-045,51500319,5.88E+11,1/23/2023,1/26/2023
1914,200003-046,51500317,5.88E+11,1/23/2023,1/26/2023
1915,200003-047,51500343,5.88E+11,1/23/2023,1/26/2023
1917,200003-048,51500315,5.88E+11,1/23/2023,1/26/2023
1922,200003-049,51500323,5.88E+11,1/23/2023,1/26/2023
1941,200003-050,51500311,5.88E+11,1/23/2023,1/26/2023
1963,200003-051,51500327,5.88E+11,1/23/2023,1/26/2023
1979,200003-053,51500234,5.88E+11,1/23/2023,1/26/2023
1983,200003-054,51500235,5.88E+11,1/23/2023,1/26/2023
1988,200003-055,51500215,5.88E+11,1/23/2023,1/26/2023
1989,200003-056,51500238,5.88E+11,1/23/2023,1/26/2023
1992,200003-057,51500212,5.88E+11,1/23/2023,1/26/2023
2001,200003-058,51500214,5.88E+11,1/23/2023,1/26/2023
2002,200003-059,51500224,5.88E+11,1/23/2023,1/26/2023
2028,200003-061,51500221,5.88E+11,1/23/2023,1/26/2023
2031,200003-063,51500240,5.88E+11,1/23/2023,1/26/2023
2032,200003-064,51500239,5.88E+11,1/23/2023,1/26/2023
2039,200003-065,51500217,5.88E+11,1/23/2023,1/26/2023
2052,200003-068,51500213,5.88E+11,1/23/2023,1/26/2023
2054,200003-070,51500226,5.88E+11,1/23/2023,1/26/2023
2077,200003-071,51500225,5.88E+11,1/23/2023,1/26/2023
2082,200003-072,51500201,5.88E+11,1/23/2023,1/26/2023
2094,200003-073,51500681,5.88E+11,1/23/2023,1/26/2023
2110,200003-075,51500678,5.88E+11,1/23/2023,1/26/2023
2117,200003-076,51500680,5.88E+11,1/23/2023,1/26/2023
2119,200003-077,51500664,5.88E+11,1/23/2023,1/26/2023
2161,200003-079,51500660,5.88E+11,1/23/2023,1/26/2023
2177,200003-080,51500656,5.88E+11,1/23/2023,1/26/2023
2189,200003-081,51500666,5.88E+11,1/23/2023,1/26/2023
2206,200003-083,51500657,5.88E+11,1/23/2023,1/26/2023
2218,200003-084,51500665,5.88E+11,1/23/2023,1/26/2023
2245,200003-086,51500679,5.88E+11,1/23/2023,1/26/2023
2280,200003-090,51500663,5.88E+11,1/23/2023,1/26/2023
2288,200003-091,51500635,5.88E+11,1/23/2023,1/26/2023
2291,200003-092,51500669,5.88E+11,1/23/2023,1/26/2023
2292,200003-093,51500658,5.88E+11,1/23/2023,1/26/2023
2297,200003-094,51500661,5.88E+11,1/23/2023,1/26/2023
2333,200003-095,51500659,5.88E+11,1/23/2023,1/26/2023
2418,200003-097,51500600,5.88E+11,1/23/2023,1/26/2023
2457,200003-098,51500611,5.88E+11,1/23/2023,1/26/2023
2458,200003-099,51500584,5.88E+11,1/23/2023,1/26/2023
2494,200003-101,51500599,5.88E+11,1/23/2023,1/26/2023
2495,200003-102,51500609,5.88E+11,1/23/2023,1/26/2023
2507,200003-103,51500610,5.88E+11,1/23/2023,1/26/2023
2517,200003-104,51500591,5.88E+11,1/23/2023,1/26/2023
2523,200003-105,51500598,5.88E+11,1/23/2023,1/26/2023
2526,200003-107,51500590,5.88E+11,1/23/2023,1/26/2023
2527,200003-108,51500597,5.88E+11,1/23/2023,1/26/2023
2536,200003-109,51500594,5.88E+11,1/23/2023,1/26/2023
2546,200003-111,51500593,5.88E+11,1/23/2023,1/26/2023
2553,200003-112,51500595,5.88E+11,1/23/2023,1/26/2023
2557,200003-114,51500587,5.88E+11,1/23/2023,1/26/2023
2568,200003-115,51500586,5.88E+11,1/23/2023,1/26/2023
2621,200003-118,51500580,5.88E+11,1/23/2023,1/26/2023
2636,200003-119,51500585,5.88E+11,1/23/2023,1/26/2023
2697,200003-121,51500583,5.88E+11,1/23/2023,1/26/2023
2708,200003-122,51500589,5.88E+11,1/23/2023,1/26/2023
2735,200003-123,51500582,5.88E+11,1/23/2023,1/26/2023
