Store Number,Address,City,State,Switch Needed?,Printer 2 Shipping Status
147,401 N US HIGHWAY 75,DENISON,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277880238656
148,3855 LAMAR AVE,PARIS,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277918253230
154,16032 FIFTEEN MILE BOULEVARD,ABINGDON,VA,No,Pending Shipment
165,2121 US HIGHWAY 79 S,HENDERSON,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277927752736
180,1311 S JACKSON ST,JACKSONVILLE,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277975320363
181,800 JAMES BOWIE DR,NEW BOSTON,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277968218921
185,1800 LAWRENCE ST,GAINESVILLE,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278008932633
194,4900 GARTH RD,BAYTOWN,TX,No,Pending Shipment
202,16066 STATE HIGHWAY 121,FRISCO,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278053111864
213,1205 W FERDON ST,LITCHFIELD,IL,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277927735847
214,800 W GIBSON ST,JASPER,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278053184675
217,801 W MAIN ST,LEWISVILLE,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278005462427
237,710 S COMMERCIAL ST,HARRISBURG,IL,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277975305455
248,1406 E MILAM ST,MEXIA,TX,No,Pending Shipment
249,831 HIGHWAY 59 S,CLEVELAND,TX,Yes,Pending Shipment
251,135 NE LOOP 564,MINEOLA,TX,No,Pending Shipment
254,1001 NORTH WEST,OLNEY,IL,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277965816320
256,400 JUNCTION DR,GLEN CARBON,IL,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278008925171
262,919 GIACONE DR,BENTON,IL,No,Pending Shipment
269,1002 NW SHERIDAN RD,LAWTON,OK,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278005477073
302,6495 COUNTRY CLUB RD,MURPHYSBORO,IL,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278053102080
317,201 NO. MATTES AVENU,VANDALIA,IL,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=278053195503
328,961 N MARKET ST,WATERLOO,IL,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278005494856
340,131 PAUL CARR DR,CHECOTAH,OK,No,Pending Shipment
342,701 HOPI ST,HIAWATHA,KS,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277880251425
344,3413 WEST LOOP,EL CAMPO,TX,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277927566255
345,2223 S LOOP 256,PALESTINE,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277927706196
360,3100 E MAIN ST,CUSHING,OK,No,Pending Shipment
361,1040 COLLINSVILLE CROSSING BLV,COLLINSVILLE,IL,No,Pending Shipment
374,11207 S STATE HIGHWAY 51,COWETA,OK,No,Pending Shipment
395,2410 E EXPRESSWAY 83,MISSION,TX,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277975288930
400,1407 N LOOP 336 W,CONROE,TX,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277968224478
404,1015 HIGHWAY 80,SAN MARCOS,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278008918592
412,1405 E TYLER ST,ATHENS,TX,No,Pending Shipment
417,1750 S BROADWAY ST,SULPHUR SPRINGS,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278053094044
420,2700 CENTRAL FWY,WICHITA FALLS,TX,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=278053214454
422,1304 E MAIN ST,ROBINSON,IL,No,Pending Shipment
426,4691 STATE HIGHWAY 121,COLONY,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278005485472
427,7401 INTERSTATE HIGHWAY 30,GREENVILLE,TX,Yes,Pending Shipment
429,1724 W UNIVERSITY DR,EDINBURG,TX,No,Pending Shipment
435,12495 STATE ROUTE 143,HIGHLAND,IL,No,Pending Shipment
437,310 OVERCREEK WAY,SEALY,TX,No,Pending Shipment
454,150 COMMERCE DRIVE,FAIRFIELD,IL,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277750528143
458,2501 W WHEELER AVE,ARANSAS PASS,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277880263680
461,496 S BIBB AVE,EAGLE PASS,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277927630864
462,400 HIGHWAY 35 BYP N,ALVIN,TX,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277927823320
464,3829 US HIGHWAY 77,CORPUS CHRISTI,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277975265528
467,1515 S LOOP 288,DENTON,TX,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=278005388240
471,150 N INTERSTATE 35 E,LANCASTER,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278008874589
473,US HWY 290/2374 E AU,GIDDINGS,TX,No,Pending Shipment
475,2701 S INTERSTATE 35,ROUND ROCK,TX,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=278053087086
476,2805 S STATE HIGHWAY 36,GATESVILLE,TX,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=278053225370
481,101 DETTRO DR,MATTOON,IL,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277784655424
492,650 KIMMELL RD,VINCENNES,IN,No,Pending Shipment
506,1540 N WORTHEY ST,FLORA,IL,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277751185215
508,1216 JUNCTION HWY,KERRVILLE,TX,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=278005380331
512,10727 GATEWAY BLVD W,EL PASO,TX,No,Pending Shipment
513,201 W MARCY DR,BIG SPRING,TX,Yes,Pending Shipment
529,6410 INTERSTATE 45,LA MARQUE,TX,No,Pending Shipment
559,3003 N HIGHWAY 61,MUSCATINE,IA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278053074351
581,2802 S CENTER ST,MARSHALLTOWN,IA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278053233232
582,1590 DUNLAWTON AVE,PORT ORANGE,FL,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277755873786
603,3320 VETERANS DR,PEKIN,IL,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277871965654
612,2250 LINCOLN AVE,CHARLESTON,IL,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277863094393
633,730 TENNEY ST,KEWANEE,IL,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277880225163
636,2111 CLAUDE BAILEY PKWY,PRINCETON,IL,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277918118800
670,626 OLIVE ST SW,CULLMAN,AL,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277750554346
748,300 IOWA SPEEDWAY DR,NEWTON,IA,Yes,Pending Shipment
753,525 BRANDILYNN BLVD,CEDAR FALLS,IA,No,Pending Shipment
755,4610 S COULTER ST,AMARILLO,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277880275000
772,3506 HIGHWAY 6 S,HOUSTON,TX,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277918264010
775,659 KNOX SQUARE DR,GALESBURG,IL,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277927834155
777,3115 EDGAR BROWN DR,WEST ORANGE,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277927848780
