Region,Store ID,First Assigned Carrier,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Week Reported,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
7,781,SPARK,Scheduled Standard Delivery,44,Executive Review,Degrading,Driver Supply Focus,202406,86.20%,97.70%,7.7,84.50%,87.70%,84.50%,88.10%
44,63,SPARK,Scheduled Standard Delivery,9,At Risk,Recovering,Driver Supply Focus,202406,90.00%,98.70%,7.3,91.70%,88.10%,91.60%,88.40%
44,894,SPARK,Scheduled Standard Delivery,7,Active Monitoring,Recovering,Driver Supply Focus,202406,93.30%,97.40%,9.2,96.30%,97.10%,95.20%,82.40%
44,111,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Degrading,Driver Supply Focus,202406,86.80%,93.80%,8.9,81.00%,90.00%,93.70%,82.80%
44,38,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202406,86.50%,99.50%,6.4,87.00%,89.60%,88.50%,81.90%
44,427,UBER,Scheduled Standard Delivery,10,Executive Review,Degrading,Driver Supply Focus,202406,84.70%,92.10%,10,87.00%,80.20%,83.10%,92.20%
13,3167,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202406,83.40%,93.20%,9.5,81.00%,88.40%,88.50%,75.80%
7,3106,UBER,Scheduled Standard Delivery,14,Executive Review,Degrading,Driver Supply Focus,202406,93.20%,91.80%,9.5,88.90%,97.30%,93.60%,93.40%
7,5145,UBER,Scheduled Standard Delivery,15,Executive Review,Degrading,Driver Supply Focus,202406,91.10%,98.80%,7.2,83.30%,92.90%,95.20%,93.00%
6,482,SPARK,Scheduled Standard Delivery,22,Executive Review,Recovering,Driver Supply Focus,202406,91.40%,100.00%,4.4,97.20%,90.70%,86.20%,90.30%
6,293,SPARK,Scheduled Standard Delivery,33,Executive Review,Recovering,Driver Supply Focus,202406,92.20%,98.90%,3.6,100.00%,90.00%,83.30%,91.30%
6,567,SPARK,Scheduled Standard Delivery,34,Executive Review,Degrading,Driver Supply Focus,202406,62.50%,100.00%,5.2,80.00%,44.40%,70.00%,54.50%
