store_nbr,whse_area,STORE_ SAT,STORE_ SUN,STORE_ MON,STORE_ TUE,STORE_ WED,STORE_ THU,STORE_ FRI,Weekly Total
183,FDD,1,1,1,1,1,,1,6
225,FDD,1,1,1,1,1,,1,6
271,FDD,1,1,1,,1,1,1,6
276,FDD,1,,1,1,1,1,1,6
296,FDD,1,1,1,1,1,1,,6
312,FDD,1,1,1,1,1,1,1,7
321,FDD,1,1,1,1,,1,1,6
330,FDD,1,1,1,1,1,,1,6
342,FDD,1,1,1,1,1,1,,6
429,FDD,1,1,1,1,,1,1,6
498,FDD,1,1,1,,1,1,1,6
646,FDD,1,1,1,,1,1,1,6
798,FDD,1,1,1,1,1,,1,6
803,FDD,1,1,1,,1,1,1,6
917,FDD,1,1,1,,1,1,1,6
1052,FDD,1,1,1,1,,1,1,6
1057,FDD,1,1,1,1,1,1,1,7
1152,FDD,1,1,1,1,1,1,1,7
1169,FDD,1,1,1,1,1,,1,6
1196,FDD,1,,1,,1,1,1,5
1205,FDD,1,1,1,1,1,1,1,7
1214,FDD,1,1,1,1,1,1,1,7
1295,FDD,1,,1,1,1,1,1,6
1296,FDD,1,1,,1,1,1,1,6
1456,FZ,1,1,1,1,,1,1,6
1475,FDD,1,1,,1,1,1,1,6
1683,FDD,1,1,1,1,1,1,1,7
1787,FDD,1,1,,1,1,1,1,6
2084,FZ,1,1,1,1,1,1,1,7
2190,FDD,1,1,1,,1,1,1,6
2493,FDD,1,,1,1,1,1,1,6
2618,FDD,1,,1,1,1,1,1,6
2866,FDD,1,,1,,1,1,,4
3060,FDD,1,1,1,,1,1,1,6
3303,FDD,1,,1,1,1,1,1,6
3354,FZ,1,1,1,1,1,1,1,7
3356,FZ,1,,1,1,1,1,,5
3758,FDD,1,1,1,1,1,,1,6
3761,FDD,1,1,1,1,1,,1,6
3809,FDD,1,1,1,,1,1,1,6
3847,FZ,1,1,,1,1,1,1,6
4339,FZ,1,1,,1,1,1,1,6
4389,FDD,,1,1,1,1,1,1,6
4459,FDD,1,1,,1,1,1,1,6
4569,FDD,1,,1,1,1,1,1,6
4692,FDD,1,1,1,1,1,1,1,7
5044,FDD,1,1,1,1,1,1,1,7
5119,FDD,1,1,1,1,1,1,1,7
5306,FZ,1,1,1,1,1,1,1,7
5332,FDD,1,1,1,1,1,1,1,7
5458,FZ,1,1,1,,1,1,1,6
5479,FDD,1,,1,1,1,1,1,6
5498,FDD,1,1,1,1,1,1,1,7
6952,FDD,,1,1,1,1,1,1,6
7249,FDD,1,1,1,1,1,1,1,7
7298,FDD,1,1,1,1,1,1,1,7
7311,FDD,1,1,1,1,1,,1,6
