Store #,City,Category,Declaration Category,Declared Items,UPC ,Cat,Sub-Cat,Change Request Action ,Store-UPC,Zahra Comments
77,TAYLOR,Refrigerated Juice,Orange 64 oz Refrigerated,GV Orange Juice 64 oz R,78742352169,4,4,No Change,77-78742352169,
77,TAYLOR,Refrigerated Juice,Orange 64 oz w/ Calcium Refrigerated,GV Orange w calc Juice 64 oz R,78742229126,4,4,No Change,77-78742229126,
131,MOUNT PLEASANT,Milk,1% Buttermilk,PRAIRIE FARMS HILAND LOWFAT BUTTERMILK HG-064OZ,72060025118,1,3,Add,131-72060025118,
131,MOUNT PLEASANT,Milk,1% Quart Milk,PRAIRIE FARMS HILAND 1% QT-032OZ,72060000559,52,1,Add,131-72060000559,
131,MOUNT PLEASANT,Milk,Skim Quart Milk,PRAIRIE FARMS HILAND SKIM QT-032OZ,72060000863,52,1,Add,131-72060000863,
131,MOUNT PLEASANT,Milk,Whole Quart Milk,PRAIRIE FARMS HILAND WHOLE QT-032OZ,72060000122,50,1,Add,131-72060000122,
131,MOUNT PLEASANT,Bread,Whole Wheat Bread,Sara Lee 100% Whole Wheat Bread,72945611030,16,1,No Change,131-72945611030,
131,MOUNT PLEASANT,Cheese,American,GV Deluxe Sliced American ,78742353272,2,12,No Change,131-78742353272,
131,MOUNT PLEASANT,Cheese,Colby Jack 1 lb,GV Colby Jack,78742079646,2,12,No Change,131-78742079646,
131,MOUNT PLEASANT,Cheese,Med Cheddar 1 lb,GV Med Cheddar 1lb,78742217307,2,12,No Change,131-78742217307,
131,MOUNT PLEASANT,Cheese,Mild Cheddar 1 lb,GV Mild Cheddar 1lb,78742374581,2,12,No Change,131-78742374581,
131,MOUNT PLEASANT,Cheese,Mild Cheddar 2 lb,GV Mild Cheddar 2lb,78742067735,2,12,No Change,131-78742067735,
131,MOUNT PLEASANT,Cheese,Monterey Jack - 1 lb,GV Mont Jack,78742430218,2,12,No Change,131-78742430218,
131,MOUNT PLEASANT,Cheese,Monterey Jack - 2 lb,GV Mont Jack,78742097473,2,12,No Change,131-78742097473,
131,MOUNT PLEASANT,Cheese,Mozzarella 1 lb,GV Mozzarella,78742430195,2,12,No Change,131-78742430195,
