Store,Offsite Storage Pickup Date,Service  Hours,Storage Vendor,Pallet  Count
1,TBD,TBD,TBD,TBD
2,11/5/2021,7 am to 6 pm,Shred It ,8
3,3/10/2022,7 am to 6 pm,Shred It ,2
4,9/10/2021,7 am to 6 pm,Shred It ,5
5,TBD,TBD,TBD,TBD
7,TBD,TBD,TBD,TBD
8,TBD,TBD,TBD,TBD
9,TBD,TBD,TBD,TBD
10,TBD,TBD,TBD,TBD
11,TBD,TBD,TBD,TBD
12,TBD,TBD,TBD,TBD
13,TBD,TBD,TBD,TBD
14,TBD,TBD,TBD,TBD
15,8/12/2021,7 am to 6 pm,Shred It ,16
16,TBD,TBD,TBD,TBD
17,TBD,TBD,TBD,TBD
18,TBD,TBD,TBD,TBD
19,TBD,TBD,TBD,TBD
20,TBD,TBD,TBD,TBD
21,TBD,TBD,TBD,TBD
22,TBD,TBD,TBD,TBD
23,2/26/2022,7 am to 6 pm,Shred It ,4
24,TBD,TBD,TBD,TBD
25,TBD,TBD,TBD,TBD
26,TBD,TBD,TBD,TBD
27,TBD,TBD,TBD,TBD
28,TBD,TBD,TBD,TBD
29,TBD,TBD,TBD,TBD
30,TBD,TBD,TBD,TBD
31,TBD,TBD,TBD,TBD
32,TBD,TBD,TBD,TBD
33,TBD,TBD,TBD,TBD
34,TBD,TBD,TBD,TBD
35,TBD,TBD,TBD,TBD
36,TBD,TBD,TBD,TBD
37,TBD,TBD,TBD,TBD
38,TBD,TBD,TBD,TBD
39,TBD,TBD,TBD,TBD
40,8/24/2021,7 am to 6 pm,Shred It ,2
41,TBD,TBD,TBD,TBD
42,TBD,TBD,TBD,TBD
43,TBD,TBD,TBD,TBD
44,TBD,TBD,TBD,TBD
45,TBD,TBD,TBD,TBD
46,TBD,TBD,TBD,TBD
47,TBD,TBD,TBD,TBD
48,7/9/2021,7 am to 6 pm,Shred It ,6
49,TBD,TBD,TBD,TBD
50,TBD,TBD,TBD,TBD
51,TBD,TBD,TBD,TBD
52,10/12/2021,7 am to 6 pm,Shred It ,6
54,TBD,TBD,TBD,TBD
55,TBD,TBD,TBD,TBD
56,9/3/2021,7 am to 6 pm,Shred It ,5
57,TBD,TBD,TBD,TBD
58,TBD,TBD,TBD,TBD
59,TBD,TBD,TBD,TBD
60,TBD,TBD,TBD,TBD
61,TBD,TBD,TBD,TBD
62,TBD,TBD,TBD,TBD
63,TBD,TBD,TBD,TBD
64,TBD,TBD,TBD,TBD
65,9/1/2021,7 am to 6 pm,Shred It ,6
66,TBD,TBD,TBD,TBD
67,TBD,TBD,TBD,TBD
68,5/5/2021,7 am to 6 pm,Shred It ,3
69,TBD,TBD,TBD,TBD
70,TBD,TBD,TBD,TBD
71,TBD,TBD,TBD,TBD
72,9/15/2021,7 am to 6 pm,Shred It ,5
73,TBD,TBD,TBD,TBD
74,TBD,TBD,TBD,TBD
75,TBD,TBD,TBD,TBD
76,TBD,TBD,TBD,TBD
77,5/19/2021,7 am to 6 pm,Shred It ,4
78,8/18/2021,7 am to 6 pm,Shred It ,5
79,TBD,TBD,TBD,TBD
80,TBD,TBD,TBD,TBD
81,9/17/2021,7 am to 6 pm,Shred It ,7
82,10/15/2021,7 am to 6 pm,Shred It ,7
83,TBD,TBD,TBD,TBD
85,TBD,TBD,TBD,TBD
86,TBD,TBD,TBD,TBD
87,2/25/2022,7 am to 6 pm,Shred It ,3
88,9/15/2021,7 am to 6 pm,Shred It ,5
89,5/14/2021,7 am to 6 pm,Shred It ,9
90,TBD,TBD,TBD,TBD
91,TBD,TBD,TBD,TBD
92,TBD,TBD,TBD,TBD
93,5/18/2021,7 am to 6 pm,Shred It ,4
94,5/31/2021,7 am to 6 pm,Shred It ,9
95,TBD,TBD,TBD,TBD
96,TBD,TBD,TBD,TBD
97,TBD,TBD,TBD,TBD
98,2/25/2022,7 am to 6 pm,Shred It ,9
99,TBD,TBD,TBD,TBD
100,TBD,TBD,TBD,TBD
101,TBD,TBD,TBD,TBD
102,TBD,TBD,TBD,TBD
103,TBD,TBD,TBD,TBD
104,TBD,TBD,TBD,TBD
105,Pending with Vendor to Schedule,7 am to 6 pm,Shred It ,4
106,TBD,TBD,TBD,TBD
107,TBD,TBD,TBD,TBD
108,TBD,TBD,TBD,TBD
109,TBD,TBD,TBD,TBD
110,3/10/2021,7 am to 6 pm,Shred It ,4
111,TBD,TBD,TBD,TBD
112,6/1/2021,7 am to 6 pm,Shred It ,7
113,TBD,TBD,TBD,TBD
114,Pending with Vendor to Schedule,7 am to 6 pm,Shred It ,3
115,5/27/2021,7 am to 6 pm,Shred It ,6
116,Pending with Vendor to Schedule,7 am to 6 pm,Shred It ,1
117,TBD,TBD,TBD,TBD
118,Pending with Vendor to Schedule,7 am to 6 pm,Shred It ,3
119,TBD,TBD,TBD,TBD
120,TBD,TBD,TBD,TBD
121,TBD,TBD,TBD,TBD
122,TBD,TBD,TBD,TBD
123,TBD,TBD,TBD,TBD
124,TBD,TBD,TBD,TBD
125,TBD,TBD,TBD,TBD
126,TBD,TBD,TBD,TBD
127,TBD,TBD,TBD,TBD
128,TBD,TBD,TBD,TBD
129,8/5/2021,7 am to 6 pm,Shred It ,22
130,TBD,TBD,TBD,TBD
131,TBD,TBD,TBD,TBD
132,TBD,TBD,TBD,TBD
133,TBD,TBD,TBD,TBD
134,TBD,TBD,TBD,TBD
135,TBD,TBD,TBD,TBD
136,TBD,TBD,TBD,TBD
137,TBD,TBD,TBD,TBD
138,TBD,TBD,TBD,TBD
139,TBD,TBD,TBD,TBD
140,TBD,TBD,TBD,TBD
141,9/17/2021,7 am to 6 pm,Shred It ,5
143,7/16/2021,7 am to 6 pm,Shred It ,2
144,TBD,TBD,TBD,TBD
145,TBD,TBD,TBD,TBD
146,TBD,TBD,TBD,TBD
147,TBD,TBD,TBD,TBD
148,9/10/2021,7 am to 6 pm,Shred It ,6
149,2/26/2022,7 am to 6 pm,Shred It ,4
150,TBD,TBD,TBD,TBD
151,TBD,TBD,TBD,TBD
152,TBD,TBD,TBD,TBD
153,Pending with Vendor to Schedule,7 am to 6 pm,Shred It ,7
154,TBD,TBD,TBD,TBD
155,Pending with Vendor to Schedule,7 am to 6 pm,Shred It ,4
157,TBD,TBD,TBD,TBD
158,TBD,TBD,TBD,TBD
159,TBD,TBD,TBD,TBD
160,TBD,TBD,TBD,TBD
161,TBD,TBD,TBD,TBD
162,TBD,TBD,TBD,TBD
163,7/8/2021,7 am to 6 pm,Shred It ,8
164,Pending with Vendor to Schedule,7 am to 6 pm,Shred It ,5
165,TBD,TBD,TBD,TBD
166,TBD,TBD,TBD,TBD
167,TBD,TBD,TBD,TBD
168,TBD,TBD,TBD,TBD
169,TBD,TBD,TBD,TBD
170,6/4/2021,7 am to 6 pm,Shred It ,9
171,10/7/2021,7 am to 6 pm,Shred It ,10
172,TBD,TBD,TBD,TBD
173,TBD,TBD,TBD,TBD
174,2/25/2021,7 am to 6 pm,Shred It ,1
175,9/23/2021,7 am to 6 pm,Shred It ,17
176,Pending with Vendor to Schedule,7 am to 6 pm,Shred It ,1
177,TBD,TBD,TBD,TBD
178,TBD,TBD,TBD,TBD
179,9/24/2021,7 am to 6 pm,Shred It ,4
180,TBD,TBD,TBD,TBD
181,TBD,TBD,TBD,TBD
182,2/25/2022,7 am to 6 pm,Shred It ,7
183,5/14/2021,7 am to 6 pm,Shred It ,5
184,TBD,TBD,TBD,TBD
185,TBD,TBD,TBD,TBD
186,TBD,TBD,TBD,TBD
188,TBD,TBD,TBD,TBD
189,TBD,TBD,TBD,TBD
190,TBD,TBD,TBD,TBD
192,6/3/2021,7 am to 6 pm,Shred It ,7
194,8/6/2021,7 am to 6 pm,Shred It ,2
195,TBD,TBD,TBD,TBD
196,TBD,TBD,TBD,TBD
197,TBD,TBD,TBD,TBD
198,10/8/2021,7 am to 6 pm,Shred It ,4
199,TBD,TBD,TBD,TBD
200,TBD,TBD,TBD,TBD
201,TBD,TBD,TBD,TBD
202,TBD,TBD,TBD,TBD
203,TBD,TBD,TBD,TBD
204,TBD,TBD,TBD,TBD
205,9/20/2021,7 am to 6 pm,Shred It ,2
206,TBD,TBD,TBD,TBD
207,TBD,TBD,TBD,TBD
209,TBD,TBD,TBD,TBD
210,TBD,TBD,TBD,TBD
211,TBD,TBD,TBD,TBD
212,TBD,TBD,TBD,TBD
213,TBD,TBD,TBD,TBD
214,7/21/2021,7 am to 6 pm,Shred It ,2
216,TBD,TBD,TBD,TBD
217,TBD,TBD,TBD,TBD
218,TBD,TBD,TBD,TBD
219,TBD,TBD,TBD,TBD
220,9/2/2021,7 am to 6 pm,Shred It ,3
221,TBD,TBD,TBD,TBD
222,TBD,TBD,TBD,TBD
224,TBD,TBD,TBD,TBD
225,TBD,TBD,TBD,TBD
226,TBD,TBD,TBD,TBD
227,TBD,TBD,TBD,TBD
228,TBD,TBD,TBD,TBD
229,TBD,TBD,TBD,TBD
230,TBD,TBD,TBD,TBD
231,TBD,TBD,TBD,TBD
232,TBD,TBD,TBD,TBD
233,TBD,TBD,TBD,TBD
234,1/13/2022,7 am to 6 pm,Shred It ,9
236,7/24/2021,7 am to 6 pm,Shred It ,6
237,TBD,TBD,TBD,TBD
238,TBD,TBD,TBD,TBD
239,5/14/2021,7 am to 6 pm,Shred It ,1
240,TBD,TBD,TBD,TBD
241,TBD,TBD,TBD,TBD
242,TBD,TBD,TBD,TBD
243,TBD,TBD,TBD,TBD
244,2/26/2022,7 am to 6 pm,Shred It ,5
245,TBD,TBD,TBD,TBD
246,TBD,TBD,TBD,TBD
247,TBD,TBD,TBD,TBD
248,TBD,TBD,TBD,TBD
249,7/24/2021,7 am to 6 pm,Shred It ,7
250,TBD,TBD,TBD,TBD
251,TBD,TBD,TBD,TBD
252,TBD,TBD,TBD,TBD
253,10/11/2021,7 am to 6 pm,Shred It ,7
254,TBD,TBD,TBD,TBD
256,TBD,TBD,TBD,TBD
257,TBD,TBD,TBD,TBD
258,Pending with Vendor to Schedule,7 am to 6 pm,Shred It ,3
259,Pending with Vendor to Schedule,7 am to 6 pm,Shred It ,4
260,TBD,TBD,TBD,TBD
261,TBD,TBD,TBD,TBD
262,TBD,TBD,TBD,TBD
264,TBD,TBD,TBD,TBD
265,TBD,TBD,TBD,TBD
266,TBD,TBD,TBD,TBD
267,TBD,TBD,TBD,TBD
268,TBD,TBD,TBD,TBD
269,TBD,TBD,TBD,TBD
271,TBD,TBD,TBD,TBD
272,5/25/2021,7 am to 6 pm,Shred It ,10
273,TBD,TBD,TBD,TBD
274,Pending with Vendor to Schedule,7 am to 6 pm,Shred It ,1
275,TBD,TBD,TBD,TBD
276,TBD,TBD,TBD,TBD
277,TBD,TBD,TBD,TBD
278,10/7/2021,7 am to 6 pm,Shred It ,2
279,TBD,TBD,TBD,TBD
