Store #:,Launch Week:,Launch Date:
1040,Week 37,10/11/2022
1156,Week 37,10/11/2022
1800,Week 37,10/11/2022
2098,Week 37,10/11/2022
2667,Week 37,10/11/2022
2695,Week 38,10/18/2022
2786,Week 37,10/11/2022
2980,Week 37,10/11/2022
5486,Week 37,10/13/2022
772,Week 37,10/11/2022
937,Week 37,10/11/2022
