STORE,Alignment Week,Alignment Date,Current DC,New DC,Freezer SD/ND,Freezer Delivery Window,Freezer First Day Comments,MPDD SD/ND,MPDD Delivery Window,MPDD First Day Comments
669,29,8/19/2025,6055,3010,Next Day Delivery,09:00:00-23:59:00,No change,Next Day Delivery,09:00:00-22:00:00,No MPDD Delivery on 8/19/25. Additional freight will be added to deliveries before alignment date
1070,29,8/19/2025,6055,3010,Next Day Delivery,09:00:00-23:59:00,No change,Next Day Delivery,09:00:00-23:59:00,No MPDD Delivery on 8/19/25. Additional freight will be added to deliveries before alignment date
2513,29,8/19/2025,6055,3010,Next Day Delivery,09:00:00-23:59:00,No Freezer Delivery on 8/19/25. Additional freight will be added to deliveries before alignment date,Next Day Delivery,09:00:00-23:59:00,No MPDD Delivery on 8/19/25. Additional freight will be added to deliveries before alignment date
3485,29,8/19/2025,6055,3010,Next Day Delivery,09:00:00-23:59:00,No change,Next Day Delivery,09:00:00-23:59:00,No MPDD Delivery on 8/19/25. Additional freight will be added to deliveries before alignment date
3874,29,8/19/2025,6055,3010,Next Day Delivery,09:00:00-23:59:00,No Freezer Delivery on 8/19/25. Additional freight will be added to deliveries before alignment date,Next Day Delivery,16:00:00-23:59:00,No MPDD Delivery on 8/19/25. Additional freight will be added to deliveries before alignment date
4528,29,8/19/2025,6055,3010,Next Day Delivery,09:00:00-23:59:00,No Freezer Delivery on 8/19/25. Additional freight will be added to deliveries before alignment date,Same Day Delivery,18:00:00-23:59:00,No Change
5786,29,8/19/2025,6055,3010,Next Day Delivery,13:00:00-22:00:00,No change,Next Day Delivery,18:00:00-23:59:00,No MPDD Delivery on 8/19/25. Additional freight will be added to deliveries before alignment date
5812,29,8/19/2025,6055,3010,Next Day Delivery,09:00:00-23:59:00,No change,Next Day Delivery,18:00:00-23:59:00,No MPDD Delivery on 8/19/25. Additional freight will be added to deliveries before alignment date
