Store,Phase 1 Signing,Phase 2 Signing,Scan and Pass Fixture Delivery,Scan and Pass Fixture Install,Transition to Reusable Only Bag,Curbside Pickup,Last Mile Delivery Bag Options
869,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
966,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
2270,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
5003,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
1492,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
1689,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
2892,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
3313,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
4639,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
5137,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
5334,Week 44,Week 48,Verified Delivered,Week 48,1/1/2023,Bagless,Paper
924,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
953,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
980,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
1008,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
2729,Week 44,Week 48,Verified Delivered,Verified Installed,1/1/2023,Bagless,Paper
3177,Week 44,Week 48,Verified Delivered,Verified Installed,1/1/2023,Bagless,Paper
4599,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
5033,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
5051,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
905,Week 44,Week 48,Verified Delivered,Week 48,1/1/2023,Bagless,Paper
1045,Week 44,Week 48,Verified Delivered,Week 48,1/1/2023,Bagless,Paper
1231,Week 44,Week 48,Verified Delivered,Week 48,1/1/2023,Bagless,Paper
1659,Week 44,Week 48,Verified Delivered,Week 48,1/1/2023,Bagless,Paper
3867,Week 44,Week 48,Verified Delivered,Week 48,1/1/2023,Bagless,Paper
4288,Week 44,Week 48,Verified Delivered,Week 48,1/1/2023,Bagless,Paper
4567,Week 44,Week 48,Verified Delivered,Week 48,1/1/2023,Bagless,Paper
5341,Week 44,Week 48,Verified Delivered,Week 48,1/1/2023,Bagless,Paper
5370,Week 44,Week 48,Verified Delivered,Week 48,1/1/2023,Bagless,Paper
1252,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
