Store,Guide,Dept,Item Description,Feature Type,Feature Order Quantity,Feature Arrival WK,Comments
1,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
1,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
4,2025 Winter,Dept 02,"EQ Jumbo Pouf, 312pcs",Full Endcap,1,2,
4,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
7,2025 Winter,Dept 13,Drano 96 units,PDQ,1,2,
7,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,2,2,
7,2025 Winter,Dept 46,Neutrogena 50ct Wipe PDQ - 100pc,Full Endcap,1,2,
7,2025 Winter,Dept 79,Assortment: Parent's Choice 4PK Electrolyte Drink,4-way,1,2,
8,2025 Winter,Dept 40,EQ No Drip Nasal Sprays 36PC,SDK,1,2,
8,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
9,2025 Winter,Dept 16,"PREM BLEND Ice Melt, 100pcs",Full Stack,1,2,
9,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
9,2025 Winter,Dept 46,Neutrogena Wipes 25 ct - 100pc,Full Endcap,1,2,
10,2025 Winter,Dept 02,"EQ Jumbo Pouf, 312pcs",Full Endcap,1,2,
10,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
10,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
10,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
10,2025 Winter,Dept 95,Carrot Cake Donettes Bag 9.5oz,Half Endcap,2,2,
10,2025 Winter,Dept 95,Strawberry Twinkies 8-count 10.86oz,Half Endcap,1,2,
11,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
11,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
11,2025 Winter,Dept 95,Strawberry Twinkies 8-count 10.86oz,Half Endcap,1,2,
12,2025 Winter,Dept 16,"PREM BLEND Ice Melt, 100pcs",Full Stack,1,2,
12,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
12,2025 Winter,Dept 40,EQ No Drip Nasal Sprays 36PC,SDK,1,2,
12,2025 Winter,Dept 95,Strawberry Twinkies 8-count 10.86oz,Half Endcap,1,2,
13,2025 Winter,Dept 02,eos Body Lotion 24pc,SDK,1,2,
13,2025 Winter,Dept 40,EQ No Drip Nasal Sprays 36PC,SDK,1,2,
13,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
14,2025 Winter,Dept 02,294 PC Working Hands Combo Pallet,Full Stack,1,2,
14,2025 Winter,Dept 02,EOS 40PC BODY MIST,SDK,1,2,
14,2025 Winter,Dept 16,"PREM BLEND Ice Melt, 100pcs",Full Stack,1,2,
14,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
14,2025 Winter,Dept 92,Ocean's Halo Half Pallet Dump Bin - 120 units,Half Stack,1,2,
14,2025 Winter,Dept 95,Carrot Cake Donettes Bag 9.5oz,Half Endcap,1,2,
15,2025 Winter,Dept 16,"18IN SNOWSHVL COMBO, 10 units",PDQ,3,2,
15,2025 Winter,Dept 16,"27IN SNOW ROLLER, 6 units",PDQ,3,2,
15,2025 Winter,Dept 16,"PREM BLEND Ice Melt, 100pcs",Full Stack,3,2,
15,2025 Winter,Dept 24,120PC BOYS WN NOVELTY 4PK BOXER BRIEF,Half Stack,1,2,
15,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
15,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
15,2025 Winter,Dept 79,Assortment: Parent's Choice 4PK Electrolyte Drink,4-way,1,2,
15,2025 Winter,Dept 92,"FL Sweethearts Half Pallet, 126ct",Half Stack,1,2,
15,2025 Winter,Dept 95,Carrot Cake Donettes Bag 9.5oz,Half Endcap,2,2,
15,2025 Winter,Dept 95,Strawberry Twinkies 8-count 10.86oz,Half Endcap,1,2,
16,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
16,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
16,2025 Winter,Dept 92,"Quaker Protein Oatmeal Half Pallet, 184ct",Half Stack,1,2,
17,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
18,2025 Winter,Dept 02,eos Body Lotion 24pc,SDK,1,2,
18,2025 Winter,Dept 95,Strawberry Twinkies 8-count 10.86oz,Half Endcap,1,2,
19,2025 Winter,Dept 02,"EQ Jumbo Pouf, 312pcs",Full Endcap,1,2,
19,2025 Winter,Dept 13,Ajax Dish 90oz Shipper 144 units,Full Stack,1,2,
19,2025 Winter,Dept 13,"Mr. Clean Magic Eraser, 20 count",SDK,1,2,
19,2025 Winter,Dept 16,"PREM BLEND Ice Melt, 100pcs",Full Stack,2,2,
19,2025 Winter,Dept 24,120PC BOYS WN NOVELTY 4PK BOXER BRIEF,Half Stack,1,2,
19,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
19,2025 Winter,Dept 40,EQ No Drip Nasal Sprays 36PC,SDK,1,2,
19,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
19,2025 Winter,Dept 46,Neutrogena Wipes 25 ct - 100pc,Full Endcap,1,2,
19,2025 Winter,Dept 71,"MS 6FT BM TABLE White, 8 units",Full Stack,1,2,
19,2025 Winter,Dept 79,Assortment: Parent's Choice 4PK Electrolyte Drink,4-way,2,2,
19,2025 Winter,Dept 79,Single Fruit 36 units,SDK,1,2,
19,2025 Winter,Dept 82,BIC 2pk Ult Ltr,Full Endcap,1,2,
19,2025 Winter,Dept 95,Carrot Cake Donettes Bag 9.5oz,Half Endcap,2,2,
19,2025 Winter,Dept 95,Strawberry Twinkies 8-count 10.86oz,Half Endcap,1,2,
20,2025 Winter,Dept 40,EQ No Drip Nasal Sprays 36PC,SDK,1,2,
21,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
21,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
21,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
21,2025 Winter,Dept 79,Assortment: Parent's Choice 4PK Electrolyte Drink,4-way,1,2,
22,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
22,2025 Winter,Dept 40,EQ No Drip Nasal Sprays 36PC,SDK,1,2,
22,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,2,2,
23,2025 Winter,Dept 13,Ajax Dish 90oz Shipper 144 units,Full Stack,1,2,
23,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
23,2025 Winter,Dept 40,EQ No Drip Nasal Sprays 36PC,SDK,1,2,
23,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
23,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
23,2025 Winter,Dept 79,Assortment: Parent's Choice 4PK Electrolyte Drink,4-way,1,2,
24,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,2,2,
25,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,2,2,
25,2025 Winter,Dept 40,EQ No Drip Nasal Sprays 36PC,SDK,1,2,
25,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
26,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
27,2025 Winter,Dept 02,EOS 40PC BODY MIST,SDK,1,2,
27,2025 Winter,Dept 13,"Mr. Clean Magic Eraser, 20 count",SDK,1,2,
27,2025 Winter,Dept 16,"ESP 26IN USA DISC, 12 units",PDQ,2,2,
27,2025 Winter,Dept 16,"PREM BLEND Ice Melt, 100pcs",Full Stack,2,2,
27,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
27,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
27,2025 Winter,Dept 95,Carrot Cake Donettes Bag 9.5oz,Half Endcap,1,2,
28,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
28,2025 Winter,Dept 40,EQ No Drip Nasal Sprays 36PC,SDK,1,2,
28,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,2,2,
28,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,2,2,
29,2025 Winter,Dept 02,"EQ Jumbo Pouf, 312pcs",Full Endcap,1,2,
29,2025 Winter,Dept 40,EQ No Drip Nasal Sprays 36PC,SDK,1,2,
29,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
30,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
31,2025 Winter,Dept 02,EOS 40PC BODY MIST,SDK,1,2,
31,2025 Winter,Dept 40,EQ No Drip Nasal Sprays 36PC,SDK,1,2,
31,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
31,2025 Winter,Dept 79,Assortment: Parent's Choice 4PK Electrolyte Drink,4-way,2,2,
31,2025 Winter,Dept 82,BIC 2pk Ult Ltr,Full Endcap,1,2,
31,2025 Winter,Dept 95,Strawberry Twinkies 8-count 10.86oz,Half Endcap,1,2,
32,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
33,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
34,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
34,2025 Winter,Dept 79,Assortment: Parent's Choice 4PK Electrolyte Drink,4-way,2,2,
35,2025 Winter,Dept 16,"27IN SNOW ROLLER, 6 units",PDQ,2,2,
35,2025 Winter,Dept 24,120PC BOYS WN NOVELTY 4PK BOXER BRIEF,Half Stack,1,2,
35,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
36,2025 Winter,Dept 02,eos Body Lotion 24pc,SDK,1,2,
36,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,2,2,
36,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
36,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
36,2025 Winter,Dept 95,Carrot Cake Donettes Bag 9.5oz,Half Endcap,1,2,
36,2025 Winter,Dept 95,Strawberry Twinkies 8-count 10.86oz,Half Endcap,1,2,
37,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
37,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
38,2025 Winter,Dept 02,eos Body Lotion 24pc,SDK,1,2,
38,2025 Winter,Dept 13,"Mr. Clean Magic Eraser, 20 count",SDK,1,2,
38,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
