Store,Commodity,SAT,SUN,MON,TUE,WED,THU,FRI
33,GM,1,1,0,1,0,1,0
47,GM,1,1,1,1,1,1,1
48,GM,1,1,0,1,1,0,1
49,GM,1,0,1,1,1,1,1
65,GM,1,1,1,1,1,1,1
77,FDD,0,1,1,1,0,1,1
77,GM,1,1,1,0,1,1,1
88,GM,0,1,1,1,1,1,1
122,GM,1,1,1,0,1,1,0
139,GM,1,1,1,1,1,0,1
150,GM,1,1,1,1,1,1,1
158,GM,1,1,1,0,1,1,1
161,GM,0,1,0,1,0,1,1
198,GM,0,1,1,1,1,1,1
222,GM,1,0,1,1,0,1,1
250,GM,1,0,1,1,1,1,1
262,GM,1,1,1,1,1,0,1
282,GM,1,1,1,1,0,1,1
300,GM,1,1,1,1,1,1,0
305,GM,0,1,1,0,1,1,1
312,GM,1,0,1,0,1,0,1
318,GM,1,1,1,1,1,1,1
321,GM,1,1,1,1,1,1,1
346,HVDC,1,1,0,1,1,1,1
346,GM,1,1,0,1,0,1,0
351,FDD,1,1,1,0,1,0,1
351,HVDC,1,1,1,1,0,1,0
351,GM,1,0,1,1,0,1,1
362,GM,0,1,0,1,0,1,1
388,GM,1,1,1,0,1,1,1
390,GM,1,1,0,1,1,0,1
401,GM,1,1,0,1,0,1,0
403,GM,1,1,1,1,1,1,1
409,FDD,0,1,1,0,1,1,1
409,GM,1,0,1,0,1,0,1
430,GM,1,1,1,1,1,1,1
432,GM,1,1,0,1,1,0,1
433,GM,1,1,1,1,1,0,1
507,GM,1,1,1,1,1,1,1
524,FDD,0,1,1,1,0,1,1
524,GM,1,1,0,1,0,1,0
584,GM,1,1,1,1,1,1,1
629,GM,1,1,1,1,1,0,1
632,GM,1,1,1,1,1,1,1
633,GM,1,0,1,1,0,1,1
667,GM,1,1,1,1,1,1,1
675,GM,0,1,1,1,1,1,1
686,FDD,1,1,1,1,1,1,1
686,GM,1,1,1,1,1,0,1
696,GM,1,0,1,1,0,1,1
728,FDD,1,1,1,1,1,1,1
728,GM,1,1,1,1,1,0,1
733,GM,1,1,1,1,1,1,1
815,GM,1,1,1,1,1,1,1
829,GM,1,1,1,1,1,1,1
858,GM,1,1,0,1,1,0,1
876,GM,0,1,1,0,1,1,1
888,GM,1,1,0,1,0,1,0
958,GM,0,1,1,1,1,1,1
978,FDD,1,1,1,1,1,0,1
978,GM,1,1,0,1,0,1,0
986,GM,1,0,1,0,1,0,1
1007,GM,1,0,1,1,0,1,1
1018,FDD,1,1,1,1,1,1,1
1018,GM,1,1,1,1,0,1,1
1037,GM,1,1,1,1,0,1,1
1056,GM,1,1,1,1,1,1,1
1059,GM,1,1,1,0,1,1,1
1061,GM,1,0,1,1,0,1,1
1069,GM,1,0,1,0,1,0,1
1077,GM,1,1,1,1,1,1,1
1098,FDD,0,1,1,1,0,1,1
1098,GM,1,1,1,0,1,1,1
1109,GM,1,1,0,1,0,1,0
1184,GM,1,1,1,1,1,1,1
1189,FDD,0,1,0,1,1,1,1
1189,GM,1,0,1,0,1,0,1
1226,GM,1,1,1,0,1,1,0
1236,GM,1,1,1,1,1,1,1
1255,GM,1,1,1,1,1,1,1
1266,GM,1,1,1,0,1,1,1
1286,GM,1,1,0,1,1,1,1
1316,GM,1,1,1,0,1,1,1
1334,GM,1,0,1,1,1,1,1
1335,GM,1,1,1,1,1,1,1
1369,GM,1,1,1,1,1,1,1
1409,GM,1,0,1,1,1,1,1
1415,GM,1,1,1,1,1,1,1
1425,GM,1,1,1,0,1,1,1
1442,GM,1,1,1,1,1,1,1
1445,GM,1,1,0,1,1,1,1
1452,GM,1,1,0,1,1,1,1
1468,GM,1,1,0,1,1,1,1
1477,GM,1,1,1,1,1,1,1
1491,GM,1,1,1,0,1,1,1
1499,GM,1,1,1,1,1,1,1
1512,GM,1,1,0,1,1,1,1
1513,GM,1,1,1,1,0,1,1
1526,GM,1,1,0,1,1,1,1
1537,GM,1,1,1,0,1,1,1
1579,GM,1,1,0,1,1,0,1
1589,GM,1,1,1,0,1,1,1
1593,GM,1,1,1,1,1,1,1
1598,GM,1,1,1,1,1,1,0
1602,GM,1,1,1,0,1,1,1
1610,GM,1,1,1,1,0,1,1
1614,GM,1,1,1,1,1,1,1
1620,GM,1,1,1,1,1,0,1
1638,GM,1,1,1,0,1,1,1
1639,GM,1,1,1,0,1,1,0
1647,GM,1,1,1,0,1,1,1
1650,GM,0,1,0,1,0,1,1
1652,GM,1,0,1,1,0,1,1
