Store,System Modular Capacity,Total Inventory,Total Replenishable Inventory,Dot.com,Mod Deleted,L52 Avg Units,4 Tire Instock,Total Valid,Total Traited,
879,662,712,651,46,15, 84 ,90.3%,100,100,
880,915,823,788,26,9, 87 ,87.6%,128,128,
881,700,636,596,37,3, 72 ,84.9%,106,106,
882,1320,1064,977,75,12, 77 ,91.7%,164,164,
884,1200,890,847,32,11, 98 ,86.9%,157,157,
886,700,752,680,48,24, 71 ,92.4%,117,117,
888,662,546,507,38,1, 52 ,84.8%,95,95,
889,662,679,633,46,0, 105 ,90.3%,102,102,
890,855,846,778,56,12, 132 ,88.4%,111,111,
891,855,935,854,70,11, 81 ,92.5%,132,132,
892,662,634,621,10,3, 59 ,96.2%,104,104,
894,1320,997,921,52,24, 90 ,91.9%,160,160,
896,1120,947,893,36,18, 139 ,93.1%,143,143,
899,1000,855,841,14,0, 88 ,94.5%,142,142,
900,1000,855,770,62,23, 81 ,91.2%,132,132,
901,915,948,741,201,6, 115 ,80.6%,140,140,
902,1320,1010,980,24,6, 94 ,91.7%,166,166,
903,616,708,641,53,14, 106 ,85.1%,112,112,
904,780,829,809,19,1, 115 ,92.4%,131,131,
906,550,660,570,87,3, 157 ,81.6%,84,84,
908,498,568,488,73,7, 89 ,82.1%,83,83,
910,1200,1184,1089,73,22, 98 ,96.9%,157,157,
911,915,929,823,88,18, 130 ,80.8%,143,143,
913,1320,905,875,28,2, 57 ,97.3%,147,147,
914,1320,950,917,33,0, 103 ,88.1%,164,164,
915,915,851,787,46,18, 85 ,87.1%,139,139,
916,1320,1035,984,49,2, 151 ,91.2%,166,166,
918,1000,851,812,38,1, 74 ,92.2%,137,137,
919,550,511,438,73,0, 111 ,67.7%,91,91,
922,915,945,866,46,33, 86 ,94.4%,140,141,
923,662,645,595,43,7, 57 ,91.8%,107,107,
924,780,796,762,25,9, 94 ,93.7%,122,122,
927,780,871,798,69,4, 113 ,88.1%,131,131,
928,1120,892,841,43,8, 95 ,81.2%,137,137,
929,1320,849,842,7,0, 107 ,82.2%,166,166,
930,662,635,589,45,1, 66 ,82.8%,99,99,
931,780,806,750,47,9, 129 ,81.7%,130,130,
932,1320,929,875,52,2, 117 ,79.8%,166,166,
934,915,885,841,41,3, 78 ,94.4%,143,143,
935,915,720,649,21,50, 58 ,78.7%,137,137,
936,915,1006,910,69,27, 105 ,93.2%,143,143,
937,855,760,727,33,0, 57 ,85.5%,122,122,
938,1320,897,826,61,10, 67 ,83.9%,156,156,
939,550,565,501,59,5, 50 ,86.0%,85,85,
940,855,739,669,55,15, 77 ,86.0%,119,119,
942,1320,1180,1085,71,24, 130 ,94.5%,161,161,
943,915,837,731,82,24, 137 ,82.1%,138,138,
944,780,878,851,25,2, 169 ,89.7%,133,133,
945,662,576,487,63,26, 52 ,78.6%,101,101,
947,780,802,670,95,37, 88 ,86.3%,121,121,
950,700,645,618,22,5, 91 ,83.5%,113,113,
952,700,749,722,22,5, 62 ,91.8%,111,111,
953,1320,883,845,17,21, 70 ,88.4%,151,151,
954,915,802,695,75,32, 74 ,69.2%,139,139,
955,700,717,648,49,20, 97 ,81.5%,106,106,
958,1320,967,955,7,5, 97 ,91.9%,159,159,
959,1320,1019,914,72,33, 110 ,87.3%,162,162,
960,1320,1146,1101,25,20, 126 ,89.3%,165,165,
961,616,654,537,110,7, 63 ,83.2%,99,99,
962,400,526,427,98,1, 54 ,91.0%,74,74,
963,780,731,630,76,25, 62 ,92.4%,115,115,
964,915,871,816,33,22, 92 ,88.9%,133,133,
965,1120,1027,979,40,8, 108 ,96.3%,157,157,
966,616,669,596,39,34, 71 ,86.9%,95,95,
967,1320,1126,1051,64,11, 146 ,90.1%,167,167,
969,1200,1210,1118,90,2, 189 ,92.3%,165,165,
970,1000,1006,930,73,3, 195 ,84.7%,159,159,
972,662,752,640,79,33, 53 ,85.9%,98,98,
973,780,836,738,67,31, 121 ,88.3%,100,120,
974,616,692,649,28,15, 107 ,89.0%,99,99,
975,915,806,787,17,2, 137 ,84.5%,144,144,
976,780,996,814,168,14, 95 ,96.8%,122,122,
978,1120,877,858,19,0, 98 ,88.3%,150,150,
979,1320,970,950,12,8, 90 ,94.9%,154,154,
980,1120,858,788,19,51, 57 ,90.3%,143,143,
981,1320,1059,1002,53,4, 145 ,93.3%,161,161,
982,855,815,746,66,3, 86 ,90.0%,127,127,
984,780,788,756,31,1, 64 ,87.6%,117,117,
987,915,1014,922,81,11, 138 ,89.4%,148,148,
990,780,921,824,56,41, 115 ,91.5%,138,138,
991,1000,745,681,70,-6, 100 ,83.0%,146,146,
992,1000,955,867,78,10, 56 ,89.0%,142,142,
993,1320,952,863,76,13, 90 ,84.7%,166,166,
994,1120,1038,967,42,29, 132 ,89.4%,148,148,
995,780,722,676,44,2, 75 ,86.3%,121,121,
999,400,416,385,29,2, 46 ,91.2%,67,67,
1000,1320,1140,1064,68,8, 201 ,90.7%,160,160,
1001,1120,847,776,41,30, 68 ,92.6%,132,132,
1002,915,844,812,25,7, 77 ,93.3%,146,146,
1003,915,783,736,20,27, 52 ,96.9%,128,128,
1004,780,720,677,35,8, 116 ,82.3%,122,122,
1005,1320,937,846,44,47, 56 ,90.7%,148,148,
1006,700,765,636,122,7, 56 ,87.5%,110,110,
1007,915,766,749,17,0, 86 ,88.1%,131,131,
1008,1320,1108,1019,47,42, 93 ,91.0%,164,164,
1009,1320,1021,915,78,28, 85 ,86.8%,164,164,
1010,1320,1152,1011,107,34, 97 ,88.8%,166,166,
1011,662,691,635,50,6, 82 ,88.9%,109,109,
1012,1320,909,874,34,1, 72 ,79.9%,162,162,
1014,780,801,757,42,2, 100 ,93.8%,129,129,
1016,780,762,701,34,27, 75 ,86.6%,123,123,
1017,662,796,748,45,3, 87 ,93.5%,105,105,
1018,1320,879,853,16,10, 73 ,84.5%,162,162,
1020,855,896,820,57,19, 74 ,97.0%,129,129,
1021,1120,862,841,21,0, 94 ,91.5%,149,149,
1022,1320,949,909,26,14, 78 ,92.8%,149,149,
1023,662,838,724,101,13, 170 ,85.8%,104,104,
1024,1200,957,876,52,29, 102 ,83.1%,154,154,
1025,855,999,938,60,1, 172 ,92.4%,128,128,
1026,1320,1094,1074,18,2, 167 ,94.7%,167,167,
1027,616,576,546,16,14, 65 ,85.4%,95,95,
1028,662,642,595,23,24, 65 ,88.5%,103,103,
1030,700,670,648,21,1, 90 ,87.7%,106,106,
1033,915,917,844,68,5, 121 ,91.9%,132,132,
1034,780,847,772,54,21, 107 ,81.8%,130,130,
1035,780,871,780,78,13, 68 ,92.4%,118,118,
1036,700,729,684,40,5, 91 ,91.0%,110,110,
1037,1320,1351,1231,83,37, 76 ,96.9%,160,160,
1039,915,967,920,31,16, 160 ,87.7%,143,143,
1040,1320,908,856,41,11, 98 ,93.6%,139,140,
1041,1320,1007,958,44,5, 128 ,89.2%,156,156,
1042,780,753,663,78,12, 122 ,79.1%,131,131,
1043,1200,965,943,14,8, 126 ,93.0%,154,154,
1044,1320,985,954,22,9, 90 ,92.2%,163,163,
1045,915,766,714,26,26, 55 ,86.3%,130,130,
1048,498,743,658,63,22, 100 ,90.0%,86,86,
1051,1120,733,654,55,24, 65 ,75.7%,137,137,
1053,780,746,701,38,7, 68 ,92.6%,118,118,
1054,915,740,673,50,17, 46 ,90.9%,119,119,
1055,1200,1040,1029,9,2, 132 ,95.5%,153,153,
1056,855,774,743,24,7, 63 ,89.0%,123,123,
1058,662,655,592,27,36, 53 ,86.4%,106,106,
1059,1320,961,913,20,28, 114 ,87.5%,157,157,
1062,1200,892,838,32,22, 65 ,87.8%,146,146,
1064,1320,1111,1050,45,16, 118 ,90.7%,160,160,
1065,1320,942,883,39,20, 89 ,88.3%,159,159,
1066,1320,1043,966,72,5, 139 ,84.5%,164,164,
1068,915,882,782,69,31, 112 ,87.0%,135,135,
1070,855,1012,947,58,7, 137 ,89.7%,144,144,
1071,1320,1123,1094,28,1, 132 ,95.9%,168,168,
1072,1320,947,877,65,5, 95 ,82.5%,164,164,
1074,915,972,837,111,24, 155 ,87.6%,141,141,
1075,1120,1069,1026,28,15, 116 ,91.1%,155,155,
1076,855,684,597,73,14, 46 ,87.2%,117,117,
1080,855,789,730,34,25, 83 ,87.3%,125,125,
1081,1000,886,793,68,25, 125 ,85.3%,133,133,
1085,915,946,880,58,8, 104 ,87.2%,146,146,
1086,780,920,809,89,22, 103 ,89.4%,83,124,
1087,616,948,710,209,29, 118 ,91.3%,100,100,
1089,662,839,750,87,2, 131 ,91.8%,106,106,
1090,915,930,892,28,10, 120 ,90.3%,142,142,
1091,1320,973,913,54,6, 104 ,83.4%,167,167,
1093,1320,1008,980,23,5, 103 ,92.1%,162,162,
1096,662,708,696,12,0, 80 ,90.0%,99,99,
1097,700,754,647,91,16, 70 ,89.6%,104,104,
1098,915,744,710,16,18, 64 ,93.1%,126,126,
1099,1320,1049,965,70,14, 122 ,84.8%,168,168,
1100,1200,1039,979,58,2, 156 ,81.7%,162,162,
1101,1320,892,861,26,5, 72 ,91.1%,155,155,
1102,915,846,694,103,49, 51 ,91.7%,120,120,
1103,915,962,743,106,113, 56 ,88.9%,125,125,
1104,780,791,756,30,5, 121 ,87.3%,130,130,
1105,1320,1017,966,33,18, 116 ,87.6%,165,165,
1107,1320,1070,1060,10,0, 103 ,95.1%,160,160,
1111,915,822,790,31,1, 84 ,87.2%,132,132,
1112,1320,994,943,43,8, 91 ,91.9%,162,162,
1113,662,817,733,80,4, 137 ,92.8%,109,109,
1114,780,723,687,36,0, 80 ,91.6%,115,115,
1116,915,929,861,62,6, 102 ,94.3%,137,137,
1117,498,586,527,45,14, 85 ,90.9%,75,75,
1118,780,892,851,31,10, 101 ,93.7%,125,125,
1120,1320,1126,1102,23,1, 154 ,93.2%,161,161,
1121,915,774,654,107,13, 53 ,82.9%,127,127,
1122,1320,970,956,14,0, 178 ,78.9%,169,169,
1123,1320,940,867,65,8, 104 ,81.0%,161,161,
1124,550,550,507,41,2, 51 ,93.2%,88,88,
1125,1000,806,779,24,3, 56 ,93.6%,138,138,
1126,1320,739,708,24,7, 54 ,77.9%,136,136,
1128,780,690,634,27,29, 64 ,85.6%,114,114,
1129,662,580,531,40,9, 77 ,86.9%,98,98,
1132,780,844,760,60,24, 111 ,84.4%,132,132,
1133,780,795,771,18,6, 88 ,84.9%,124,124,
1134,616,685,620,58,7, 108 ,90.7%,105,105,
1135,1120,1004,967,30,7, 105 ,85.1%,152,152,
1136,662,620,584,28,8, 70 ,90.7%,103,103,
1139,1320,1126,1057,51,18, 180 ,90.8%,170,170,
1140,855,1002,913,68,21, 113 ,91.5%,138,138,
1141,1120,908,863,39,6, 101 ,84.5%,151,151,
1142,780,698,647,36,15, 67 ,87.5%,117,117,
1143,855,652,564,88,0, 86 ,68.5%,125,125,
1144,616,688,620,60,8, 75 ,85.7%,98,98,
1146,1320,1108,1080,22,6, 127 ,89.4%,170,170,
1147,780,740,706,27,7, 67 ,92.7%,119,119,
1148,780,789,772,16,1, 85 ,97.6%,120,120,
1149,1320,1264,1217,32,15, 150 ,92.5%,169,169,
1150,915,706,654,42,10, 76 ,87.7%,126,126,
1151,662,919,746,165,8, 128 ,92.5%,104,104,
1153,855,645,565,47,33, 24 ,91.6%,106,106,
1154,915,737,710,21,6, 55 ,88.0%,129,129,
1155,1320,982,936,44,2, 128 ,85.5%,162,162,
1156,616,643,617,16,10, 81 ,84.1%,110,110,
1158,915,798,726,66,6, 65 ,89.5%,132,132,
1160,915,846,794,45,7, 117 ,91.4%,136,136,
1161,780,924,787,134,3, 176 ,90.2%,128,128,
1162,915,870,835,29,6, 82 ,94.0%,133,133,
1163,855,976,807,131,38, 85 ,91.6%,129,129,
1164,1000,841,799,33,9, 103 ,76.9%,146,146,
1165,1120,1119,1067,42,10, 159 ,93.8%,157,157,
1168,1320,1080,1054,26,0, 126 ,92.7%,162,162,
1173,855,779,694,74,11, 75 ,85.7%,124,124,
1174,915,934,888,35,11, 96 ,93.7%,143,143,
1177,1320,863,773,34,56, 73 ,86.0%,149,149,
1178,780,693,635,34,24, 53 ,83.0%,110,110,
1180,616,675,635,38,2, 73 ,95.2%,100,100,
1182,662,631,577,49,5, 86 ,90.3%,100,100,
1183,700,949,806,139,4, 85 ,90.0%,109,109,
1184,855,774,693,66,15, 77 ,91.1%,124,124,
1185,700,695,623,60,12, 91 ,88.9%,107,107,
1186,780,770,714,49,7, 88 ,88.6%,119,119,
1187,1000,830,791,26,13, 76 ,92.5%,143,143,
1190,700,745,690,40,15, 121 ,93.0%,110,110,
1191,700,733,665,48,20, 55 ,90.7%,107,107,
1192,780,892,814,63,15, 122 ,88.7%,120,120,
1193,1120,871,841,20,10, 82 ,93.0%,140,140,
1195,1320,1161,1125,32,4, 151 ,93.0%,167,167,
1196,700,697,525,136,36, 56 ,86.5%,93,93,
1197,662,746,682,53,11, 111 ,85.7%,101,101,
1198,616,502,481,20,1, 71 ,86.2%,86,86,
1199,1320,1247,927,296,24, 95 ,90.1%,159,159,
1200,915,854,766,61,27, 91 ,85.2%,134,134,
1201,1320,1019,973,42,4, 82 ,93.4%,165,165,
1202,1320,1107,1075,32,0, 122 ,93.1%,170,170,
1203,1120,971,814,145,12, 157 ,82.8%,154,154,
1204,915,976,862,85,29, 89 ,95.9%,141,141,
1205,1320,1051,1019,32,0, 133 ,93.5%,165,165,
1206,662,687,615,44,28, 78 ,87.0%,106,106,
1207,616,757,715,34,8, 129 ,91.3%,99,99,
1209,662,697,603,82,12, 102 ,81.1%,108,108,
1210,616,562,546,11,5, 70 ,88.2%,91,91,
1212,700,804,769,35,0, 128 ,93.0%,112,112,
1213,700,748,688,53,7, 117 ,89.4%,109,109,
1215,662,720,685,34,1, 77 ,90.1%,109,109,
1216,662,675,667,7,1, 78 ,90.5%,104,104,
1218,1320,1282,987,284,11, 81 ,94.2%,167,167,
1219,550,521,466,43,12, 66 ,86.3%,79,79,
1220,1320,944,840,64,40, 100 ,88.5%,156,156,
1221,1320,980,952,19,9, 133 ,82.3%,171,171,
1222,550,627,614,12,1, 99 ,93.3%,87,87,
1223,915,966,825,106,35, 69 ,89.8%,134,134,
1224,1120,903,838,40,25, 94 ,93.5%,150,150,
1225,855,724,696,22,6, 68 ,87.8%,120,120,
1226,1320,1110,987,99,24, 105 ,92.8%,164,164,
1227,915,956,934,18,4, 218 ,90.8%,142,142,
1229,400,530,454,73,3, 57 ,80.8%,78,78,
1230,616,701,563,118,20, 81 ,86.0%,96,96,
1231,780,823,732,70,21, 98 ,86.9%,121,121,
1232,1320,896,867,17,12, 116 ,90.4%,152,152,
1233,1320,1100,1051,45,4, 149 ,87.1%,168,168,
1234,915,765,711,43,11, 58 ,93.1%,128,128,
1235,662,586,504,55,27, 46 ,90.6%,95,95,
1237,1320,931,852,60,19, 102 ,82.4%,166,166,
1238,855,865,830,29,6, 101 ,89.1%,134,134,
1239,1320,914,853,43,18, 69 ,80.6%,154,154,
1241,1320,1049,993,15,41, 93 ,93.9%,161,161,
1242,1320,1150,1030,92,28, 119 ,86.9%,164,164,
1243,855,801,759,24,18, 68 ,94.2%,120,120,
1244,616,673,620,47,6, 54 ,83.2%,94,94,
1245,662,706,630,64,12, 89 ,88.0%,106,106,
1247,1320,1296,1257,25,14, 215 ,89.1%,172,172,
1248,1120,1037,1012,20,5, 136 ,85.9%,162,162,
1249,915,739,658,56,25, 62 ,87.0%,134,134,
1252,780,857,721,86,50, 38 ,89.5%,113,113,
1253,1320,890,850,27,13, 112 ,82.3%,155,155,
1254,1120,782,756,22,4, 86 ,85.1%,137,137,
1255,780,807,643,134,30, 63 ,81.0%,119,119,
1256,1320,940,874,40,26, 71 ,92.8%,151,151,
1259,662,942,816,120,6, 163 ,89.9%,107,107,
1260,1200,1015,997,18,0, 123 ,92.0%,160,160,
1261,1320,1086,1014,47,25, 132 ,86.6%,170,170,
1263,616,553,507,38,8, 68 ,84.4%,95,95,
1264,1200,952,945,2,5, 71 ,96.2%,155,155,
1266,662,1028,777,195,56, 35 ,83.2%,99,99,
1268,1200,872,834,14,24, 73 ,85.5%,150,150,
1270,1200,1099,1051,39,9, 126 ,92.3%,155,155,
1271,1000,887,845,33,9, 95 ,90.0%,146,146,
1275,855,674,665,9,0, 65 ,82.9%,137,137,
1276,1320,999,985,12,2, 100 ,94.4%,159,159,
1277,1320,1003,947,34,22, 93 ,93.0%,154,154,
1279,1320,1051,1009,26,16, 138 ,93.9%,163,163,
1280,1320,955,894,45,16, 94 ,87.5%,156,156,
1281,855,885,807,67,11, 87 ,87.0%,124,124,
1283,1320,1082,954,112,16, 117 ,92.3%,165,165,
1284,616,795,738,48,9, 84 ,92.0%,99,99,
1285,1200,1101,1008,89,4, 151 ,85.8%,166,166,
1286,915,860,801,49,10, 62 ,85.0%,120,120,
1288,780,867,777,66,24, 63 ,93.2%,116,116,
1289,1320,958,937,14,7, 92 ,92.6%,161,161,
1291,780,739,709,26,4, 83 ,91.5%,117,117,
1292,700,840,719,105,16, 147 ,78.4%,113,113,
1296,1320,994,967,27,0, 120 ,95.4%,149,149,
1297,498,691,579,110,2, 92 ,91.2%,87,87,
1299,1320,936,896,29,11, 75 ,94.6%,162,162,
1302,780,857,804,34,19, 116 ,89.3%,128,128,
1303,1120,784,709,64,11, 113 ,80.4%,134,134,
1304,1320,948,872,36,40, 53 ,94.0%,148,148,
1305,1320,1135,1096,25,14, 137 ,92.4%,168,168,
1306,780,708,633,63,12, 56 ,91.3%,111,111,
1307,1320,1073,1004,45,24, 87 ,93.5%,167,167,
1310,855,996,978,14,4, 91 ,93.8%,143,143,
1311,1320,1176,1132,39,5, 128 ,89.9%,168,168,
1312,1200,979,938,24,17, 110 ,89.5%,161,161,
1313,1320,923,904,19,0, 149 ,85.8%,154,154,
1314,616,628,567,52,9, 57 ,84.6%,91,91,
1315,1320,910,889,19,2, 70 ,89.4%,157,157,
1317,1320,1062,988,58,16, 125 ,92.2%,163,163,
1318,780,724,643,54,27, 87 ,76.3%,129,129,
1319,498,531,506,23,2, 65 ,88.8%,86,86,
1320,1320,1153,1122,22,9, 135 ,87.8%,169,169,
1321,662,905,812,70,23, 122 ,93.8%,109,109,
1322,1320,1118,1050,41,27, 75 ,89.8%,163,163,
1323,662,595,517,49,29, 48 ,90.2%,91,91,
1324,1320,1013,925,78,10, 92 ,89.0%,162,162,
1326,1320,826,799,12,15, 73 ,84.8%,155,155,
1327,915,759,725,18,16, 88 ,89.5%,122,122,
1328,1320,966,895,65,6, 116 ,84.5%,157,157,
1330,662,664,641,14,9, 47 ,90.1%,100,100,
1331,1320,1043,1009,21,13, 84 ,92.8%,163,163,
1332,1320,919,889,18,12, 68 ,93.6%,154,154,
1333,915,873,838,20,15, 57 ,94.6%,125,125,
1338,855,773,707,61,5, 73 ,83.2%,126,126,
1339,1320,869,850,15,4, 102 ,78.6%,157,157,
1340,1320,1037,873,130,34, 76 ,84.9%,160,160,
1341,915,802,763,39,0, 80 ,93.2%,132,132,
1342,1000,1179,1028,129,22, 118 ,93.4%,148,148,
1344,498,594,536,58,0, 76 ,84.9%,84,84,
1346,855,858,762,81,15, 128 ,83.6%,130,130,
1347,855,794,768,18,8, 80 ,91.1%,122,122,
1348,1200,913,824,64,25, 95 ,74.4%,165,165,
1351,1120,1021,943,27,51, 120 ,91.9%,157,157,
1353,1200,1096,995,77,24, 161 ,87.3%,157,157,
1354,662,844,701,116,27, 71 ,91.0%,108,108,
1355,1200,1208,1156,38,14, 210 ,89.0%,170,170,
1356,855,763,669,68,26, 69 ,87.7%,127,127,
1357,662,798,582,181,35, 80 ,76.3%,114,114,
1358,1320,1062,1030,28,4, 132 ,86.1%,171,171,
1360,1120,994,947,42,5, 111 ,89.6%,160,160,
1361,1320,904,868,35,1, 93 ,91.2%,155,155,
1362,700,897,734,127,36, 118 ,70.1%,123,123,
1363,700,687,655,27,5, 102 ,85.2%,113,113,
1367,1320,855,814,37,4, 85 ,78.8%,158,158,
1368,915,761,720,33,8, 73 ,93.4%,120,120,
1370,550,712,611,82,19, 94 ,87.5%,84,87,
1371,1320,933,895,29,9, 65 ,92.5%,160,160,
1373,855,792,679,102,11, 129 ,81.3%,122,122,
1375,915,910,886,24,0, 128 ,90.5%,133,137,
1376,1320,804,770,28,6, 71 ,77.7%,154,154,
1378,780,659,656,1,2, 78 ,90.9%,119,119,
1379,780,820,735,53,32, 77 ,89.1%,128,128,
1381,1320,981,934,44,3, 82 ,90.5%,165,165,
1383,915,976,878,84,14, 88 ,93.7%,141,141,
1384,616,641,557,69,15, 74 ,87.5%,93,93,
1386,1320,940,885,36,19, 85 ,94.4%,158,158,
1388,662,610,595,7,8, 65 ,86.0%,105,105,
1390,1120,939,862,63,14, 118 ,84.2%,155,155,
1391,855,873,789,51,33, 69 ,90.2%,122,122,
1392,662,665,648,16,1, 97 ,89.9%,107,107,
1393,780,776,705,47,24, 68 ,89.5%,121,121,
1396,1320,982,977,5,0, 89 ,93.0%,168,168,
1397,498,441,395,37,9, 51 ,83.3%,75,75,
1399,1320,1051,1004,42,5, 136 ,86.7%,170,170,
1400,1320,955,920,23,12, 82 ,87.4%,160,160,
1405,1320,1111,1044,39,28, 109 ,95.9%,168,168,
1406,662,703,662,35,6, 99 ,91.3%,100,100,
1407,1320,854,829,12,13, 86 ,87.5%,157,157,
1408,700,787,691,48,48, 102 ,90.2%,110,110,
1411,1320,1040,947,88,5, 99 ,87.6%,166,166,
1412,662,710,610,75,25, 60 ,91.6%,103,103,
1413,1320,1036,967,33,36, 80 ,95.1%,159,159,
1414,662,552,522,29,1, 59 ,76.8%,93,93,
1415,550,604,554,45,5, 56 ,98.9%,85,85,
1416,1320,881,842,24,15, 71 ,91.6%,152,152,
1417,1320,1051,1002,25,24, 86 ,89.2%,162,162,
1418,1000,967,905,51,11, 104 ,92.7%,147,147,
1421,1320,1074,960,87,27, 77 ,95.5%,154,154,
1423,915,731,661,37,33, 52 ,88.1%,122,122,
1424,700,655,605,36,14, 62 ,88.4%,110,110,
1425,662,611,561,36,14, 44 ,97.0%,97,97,
1426,1120,940,819,105,16, 145 ,76.3%,159,159,
1427,1000,1061,996,54,11, 114 ,87.7%,150,150,
1428,1320,1089,1055,27,7, 110 ,89.2%,163,163,
1429,1320,1148,1069,44,35, 108 ,90.0%,166,166,
1430,1200,1000,979,14,7, 76 ,98.7%,150,150,
1431,780,777,687,88,2, 88 ,88.0%,122,122,
1432,780,805,742,40,23, 93 ,90.5%,122,122,
1433,1320,1009,992,17,0, 105 ,89.0%,160,160,
1434,915,798,759,25,14, 77 ,89.3%,129,129,
1435,1320,857,832,11,14, 72 ,89.3%,155,155,
1437,1320,974,929,26,19, 109 ,88.4%,169,169,
1438,1320,1134,1047,78,9, 193 ,86.7%,169,169,
1439,1200,947,876,56,15, 103 ,86.0%,160,160,
1440,1200,1125,1020,84,21, 108 ,90.5%,154,154,
1441,780,736,643,59,34, 68 ,88.3%,116,116,
1442,1320,1024,994,26,4, 109 ,93.3%,160,160,
1443,780,691,647,22,22, 75 ,89.3%,120,120,
1444,780,753,686,55,12, 77 ,91.5%,116,116,
1445,1000,873,793,65,15, 82 ,93.2%,143,143,
1446,780,891,832,56,3, 134 ,88.9%,132,132,
1447,780,816,746,32,38, 111 ,89.8%,123,123,
1448,1000,881,847,23,11, 124 ,81.5%,153,153,
1450,1320,1047,1034,10,3, 164 ,88.4%,168,168,
1453,1320,1084,1046,38,0, 127 ,96.4%,165,165,
1454,700,795,741,48,6, 88 ,90.3%,110,110,
1455,700,697,648,38,11, 67 ,95.0%,100,100,
1456,1320,885,804,40,41, 59 ,90.1%,147,147,
1457,855,823,769,53,1, 88 ,90.3%,130,130,
1458,1120,929,907,22,0, 105 ,93.8%,144,144,
1459,616,603,554,32,17, 51 ,98.8%,84,84,
1460,1000,1054,942,94,18, 116 ,92.4%,153,153,
1461,1320,1115,1000,89,26, 110 ,93.3%,159,159,
1462,498,628,521,103,4, 75 ,92.0%,87,87,
1463,1320,951,932,15,4, 114 ,85.8%,165,165,
1464,1320,935,890,20,25, 88 ,82.6%,157,157,
1465,616,760,630,113,17, 94 ,84.8%,97,97,
1466,662,744,678,59,7, 96 ,87.4%,107,107,
1468,1320,1175,1056,106,13, 140 ,89.1%,161,161,
1469,780,747,694,47,6, 65 ,93.2%,116,116,
1472,700,717,627,85,5, 49 ,90.4%,112,112,
1474,616,737,716,16,5, 154 ,90.3%,99,99,
1476,1320,1064,996,57,11, 114 ,94.4%,158,158,
1479,780,812,779,21,12, 78 ,89.4%,128,128,
1480,780,703,675,14,14, 59 ,93.2%,116,116,
1483,1000,879,829,40,10, 92 ,89.5%,148,148,
1485,1000,931,866,42,23, 94 ,87.2%,144,144,
1486,780,852,779,58,15, 139 ,85.5%,128,128,
1487,1320,1229,1116,88,25, 91 ,95.3%,167,167,
1488,550,733,461,265,7, 43 ,80.7%,83,83,
1490,1000,934,902,29,3, 72 ,95.2%,144,144,
1491,700,702,618,45,39, 56 ,87.0%,105,105,
1494,780,777,729,46,2, 80 ,91.9%,119,119,
1495,780,719,633,71,15, 76 ,92.9%,112,112,
1499,915,1278,1077,178,23, 170 ,87.8%,146,146,
1500,1000,916,898,14,4, 119 ,92.7%,147,147,
1502,780,939,635,232,72, 73 ,79.8%,111,111,
1503,616,623,505,82,36, 45 ,82.6%,91,91,
1505,662,934,825,106,3, 192 ,86.5%,108,108,
1507,1000,961,868,73,20, 85 ,95.8%,142,142,
1510,1200,1172,978,166,28, 142 ,85.7%,164,164,
1514,1320,1082,984,73,25, 132 ,88.6%,165,165,
1515,780,831,766,53,12, 97 ,91.3%,125,125,
1516,662,650,602,47,1, 94 ,86.2%,106,106,
1518,780,569,497,54,18, 36 ,78.4%,101,101,
1519,662,753,695,51,7, 117 ,88.2%,108,108,
1520,1200,995,979,15,1, 94 ,90.4%,153,153,
1521,1320,924,859,58,7, 101 ,74.0%,168,168,
1525,700,764,584,170,10, 57 ,79.5%,113,113,
1526,1320,1002,845,90,67, 63 ,91.1%,156,156,
1527,1000,1253,1114,104,35, 187 ,87.9%,162,162,
1530,1320,1030,859,169,2, 108 ,80.4%,162,162,
1533,1320,1028,980,30,18, 130 ,88.5%,163,163,
1534,1320,1166,1081,71,14, 131 ,87.1%,167,167,
1535,1120,1006,961,37,8, 101 ,91.8%,155,155,
1538,1120,884,857,20,7, 75 ,88.3%,160,160,
1539,780,922,854,51,17, 102 ,90.5%,135,135,
1540,616,603,548,41,14, 71 ,74.3%,102,102,
1541,915,944,833,79,32, 144 ,87.3%,140,140,
1542,915,922,884,37,1, 80 ,92.2%,137,137,
1543,1320,1052,980,70,2, 117 ,88.6%,162,162,
1544,662,771,677,87,7, 163 ,82.2%,105,105,
1545,1000,886,876,3,7, 91 ,91.3%,148,148,
1547,780,716,669,36,11, 63 ,91.9%,121,121,
1549,780,735,672,49,14, 72 ,92.7%,109,109,
1552,915,852,766,67,19, 69 ,86.4%,129,129,
1554,1320,865,859,3,3, 71 ,87.2%,153,153,
1555,1320,1193,1133,50,10, 205 ,91.6%,162,162,
1557,780,590,535,42,13, 40 ,84.1%,106,106,
1558,662,721,625,71,25, 36 ,90.6%,84,84,
1560,1320,1020,1010,9,1, 135 ,91.9%,158,158,
1561,915,808,746,49,13, 56 ,86.7%,134,134,
1563,1320,1058,983,53,22, 94 ,95.1%,160,160,
1564,1320,966,911,52,3, 122 ,83.0%,169,169,
1565,1120,1073,976,88,9, 162 ,86.3%,156,156,
1566,662,709,607,98,4, 47 ,93.9%,98,98,
1567,1320,1134,1041,64,29, 107 ,92.2%,162,162,
1568,1320,1229,1210,16,3, 132 ,97.6%,166,166,
1569,1320,918,850,60,8, 111 ,83.6%,162,162,
1570,550,629,578,40,11, 72 ,95.7%,89,89,
