Store,System Modular Capacity,Total Inventory,Total Replenishable Inventory,Dot.com,Mod Deleted,L52 Avg Units,4 Tire Instock,Total Valid,Total Traited,
396,616,650,605,39,6, 49 ,88.7%,96,96,
397,855,847,813,27,7, 101 ,89.3%,129,129,
398,780,742,701,37,4, 59 ,95.6%,111,111,
399,855,950,924,20,6, 75 ,98.6%,143,143,
400,780,801,742,42,17, 101 ,91.0%,118,118,
402,1320,1012,967,30,15, 108 ,94.0%,163,163,
403,662,580,539,40,1, 51 ,83.5%,102,102,
404,662,669,571,93,5, 80 ,88.3%,101,101,
405,855,905,809,71,25, 105 ,89.7%,133,133,
406,700,619,565,51,3, 88 ,79.8%,103,103,
407,662,699,675,20,4, 120 ,91.6%,104,104,
408,1320,890,832,28,30, 71 ,85.7%,157,157,
410,662,706,615,57,34, 91 ,84.3%,105,105,
412,780,752,721,27,4, 77 ,88.4%,126,126,
413,915,669,629,34,6, 47 ,94.1%,114,114,
414,1320,1049,1030,16,3, 118 ,95.8%,161,161,
415,915,816,779,29,8, 73 ,90.6%,125,125,
417,915,1000,870,101,29, 106 ,91.2%,144,144,
419,498,596,520,57,19, 49 ,86.2%,90,90,
420,662,728,701,26,1, 100 ,99.1%,102,102,
421,915,794,756,32,6, 82 ,89.7%,141,141,
422,1320,842,823,15,4, 74 ,86.1%,149,149,
423,1320,1014,941,41,32, 109 ,88.4%,170,170,
424,662,779,722,57,0, 115 ,88.4%,112,112,
426,700,612,597,13,2, 88 ,85.4%,101,101,
427,915,824,782,26,16, 108 ,86.9%,133,133,
428,662,684,580,96,8, 81 ,82.0%,109,109,
429,915,825,795,27,3, 96 ,89.2%,129,129,
430,616,583,537,33,13, 43 ,93.1%,86,86,
431,498,530,488,35,7, 66 ,82.1%,82,82,
432,616,575,540,26,9, 62 ,89.0%,100,100,
433,915,802,720,75,7, 64 ,85.9%,128,128,
434,616,614,586,27,1, 78 ,87.1%,101,101,
435,1000,982,909,46,27, 99 ,94.9%,154,154,
437,1200,1009,821,155,33, 83 ,84.4%,156,156,
440,1320,827,772,38,17, 81 ,90.1%,137,137,
442,662,700,599,94,7, 75 ,83.3%,110,110,
443,1000,826,673,137,16, 57 ,90.2%,129,129,
445,1320,1184,1075,83,26, 115 ,95.4%,170,170,
447,1320,1189,1087,96,6, 200 ,92.8%,162,162,
448,700,650,583,46,21, 34 ,96.0%,98,98,
449,915,817,736,55,26, 53 ,92.1%,126,126,
450,1320,843,820,10,13, 79 ,90.4%,152,152,
451,1320,918,890,22,6, 102 ,86.7%,163,163,
452,1320,1037,940,85,12, 128 ,89.2%,155,155,
454,1200,912,882,22,8, 63 ,92.3%,154,154,
456,1200,1047,910,128,9, 116 ,93.4%,150,150,
457,498,588,548,35,5, 62 ,93.2%,85,85,
458,1320,930,883,39,8, 96 ,89.9%,154,154,
459,1320,1043,898,125,20, 78 ,86.1%,164,164,
461,1320,968,920,44,4, 130 ,90.6%,156,156,
462,855,843,772,60,11, 77 ,89.1%,134,134,
463,1320,1001,961,33,7, 114 ,92.5%,156,156,
464,915,827,785,40,2, 99 ,92.5%,129,129,
467,855,943,873,55,15, 94 ,88.1%,134,134,
468,1320,913,890,19,4, 74 ,93.7%,154,154,
469,780,743,633,79,31, 68 ,90.2%,119,119,
470,700,712,696,15,1, 99 ,91.9%,109,109,
471,662,820,812,7,1, 89 ,95.3%,106,106,
472,616,679,626,51,2, 85 ,93.3%,102,102,
473,498,460,411,47,2, 40 ,84.1%,79,79,
475,1000,773,691,51,31, 69 ,82.8%,127,127,
476,1320,941,860,72,9, 83 ,89.7%,152,152,
477,915,748,691,57,0, 63 ,91.9%,121,121,
479,915,933,885,39,9, 143 ,90.7%,146,146,
481,1000,960,899,41,20, 76 ,97.2%,140,140,
483,662,675,591,81,3, 66 ,88.1%,101,101,
484,915,884,821,31,32, 103 ,90.4%,133,133,
486,1320,1055,982,60,13, 111 ,94.1%,166,166,
489,855,782,748,24,10, 89 ,87.3%,130,130,
491,855,920,870,49,1, 84 ,89.9%,135,135,
492,616,617,607,9,1, 71 ,95.2%,103,103,
493,915,851,833,16,2, 72 ,95.2%,122,122,
494,915,786,750,34,2, 64 ,88.7%,131,131,
495,1320,1126,1045,57,24, 143 ,90.6%,166,166,
497,498,553,489,54,10, 75 ,87.7%,80,80,
499,1320,962,909,21,32, 78 ,91.3%,157,157,
500,1320,1141,1024,105,12, 111 ,85.8%,160,160,
501,1320,1211,1138,59,14, 144 ,91.1%,165,165,
502,1000,823,787,23,13, 65 ,93.4%,132,132,
504,780,674,633,21,20, 71 ,78.0%,120,120,
505,1120,954,866,73,15, 109 ,91.9%,145,145,
506,855,713,665,29,19, 43 ,92.5%,119,119,
507,1200,994,944,38,12, 107 ,95.2%,161,161,
508,1000,766,734,28,4, 84 ,87.4%,139,139,
510,780,767,729,35,3, 73 ,89.4%,123,123,
511,1320,1036,983,42,11, 124 ,76.6%,152,152,
512,1320,978,925,49,4, 108 ,88.7%,157,157,
