,,,,Action Alley,,,,Endcaps,,,,,,,,,,,Frozen Doors ,,,,
Store Nbr,Bakecenter + Trian ,Train No Bakecenter,Bakecenter No Train ,AA - Sparkling Water Pallet,AA - Tortilla Chips Pallet,AA - Potato Chips Pallet,AA - Cookies 1/2 Stack,1/2 EC - Coffee,1/2 EC - Soup,1/2 EC - Crackers,1/2 EC - Pasta,1/2 EC - Pasta Sauce,1/2 EC - Sparkling Water,1/2 EC - Fruit Juice,1/2 EC - Tortilla Chips,1/2 EC - Potato Chips,1/2 EC - Cookies,1/2 EC - Fruit Snacks,FD - Frozen Pizza,FD - Frozen Pot Pie,FD - Frozen Potatoes,FD - Frozen Smoothies,FD - Frozen Wings
870,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
872,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
874,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
875,Both ,,,YES,,,,YES,YES,,YES,YES,,,,,,,YES,,,YES,YES
876,,No Bakecenter,,YES,,,YES,,,YES,,,,,,,,,YES,YES,YES,YES,YES
877,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
878,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
879,Both ,,,,YES,YES,,YES,,,YES,YES,,,,,,,YES,,,,YES
880,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
881,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,YES,YES,,YES
882,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
884,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
885,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
886,Both ,,,YES,YES,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
887,,No Bakecenter,,YES,YES,YES,,YES,,,,,,,,,,,YES,YES,YES,YES,YES
888,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
889,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,YES,YES,,YES
891,Both ,,,YES,YES,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
892,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
894,,No Bakecenter,,YES,YES,YES,,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
896,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,YES,YES,,YES
899,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
901,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,YES,YES,,YES
902,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
903,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
904,,No Bakecenter,,YES,YES,YES,YES,YES,YES,,YES,YES,,,,,,,YES,YES,YES,YES,YES
905,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,,YES
906,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
907,Both ,,,YES,YES,YES,,YES,,,YES,YES,,,,,,,YES,YES,YES,YES,YES
909,Both ,,,YES,YES,YES,YES,,,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
910,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
911,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
912,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
913,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,YES,YES
914,Both ,,,YES,,,,YES,YES,YES,YES,YES,,,,,,,YES,YES,,YES,YES
916,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,
918,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
919,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
922,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,YES,YES,,YES
923,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
924,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,
928,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
929,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
930,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
931,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
932,Both ,,,YES,YES,YES,YES,YES,,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
933,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
934,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
935,,No Bakecenter,,,,,,,,,,,,,,,,,,YES,YES,,YES
936,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
938,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
939,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
940,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
941,Both ,,,YES,YES,YES,,YES,,YES,YES,YES,,,,,,,YES,,YES,YES,YES
942,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
943,Both ,,,YES,YES,YES,YES,YES,,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
944,Both ,,,YES,YES,YES,YES,,YES,YES,YES,YES,,,,,,,YES,,YES,,YES
945,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
947,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
948,Both ,,,YES,YES,YES,YES,,,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
950,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
952,Both ,,,YES,,,,YES,YES,,YES,YES,,,,,,,YES,YES,YES,YES,YES
953,,No Bakecenter,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
954,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
955,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
958,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
959,,No Bakecenter,,YES,YES,YES,,YES,,,,,,,,,,,YES,,YES,YES,YES
960,Both ,,,YES,YES,YES,YES,YES,YES,,YES,YES,,,,,,,YES,YES,YES,YES,YES
961,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,,YES
962,,No Bakecenter,,,,,,,,,,,,,,,,,YES,,YES,YES,YES
963,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,YES,YES,,YES
965,Both ,,,YES,YES,YES,,,,,YES,YES,,,,,,,,YES,YES,,YES
966,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
967,,No Bakecenter,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
968,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
969,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,YES,YES,,YES
970,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,
971,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
972,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
973,Both ,,,YES,YES,YES,YES,YES,,YES,YES,YES,,,,,,,YES,,YES,YES,YES
974,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
975,,No Bakecenter,,YES,YES,YES,,YES,YES,,YES,YES,,,,,,,YES,YES,YES,YES,YES
976,,No Bakecenter,,YES,,,YES,YES,,YES,YES,YES,,,,,,,YES,,YES,YES,YES
978,Both ,,,YES,,,,,,YES,YES,YES,,,,,,,YES,YES,,YES,YES
979,,No Bakecenter,,YES,,,,,YES,,YES,YES,,,,,,,YES,,YES,YES,YES
980,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
981,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
984,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
985,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
987,,No Bakecenter,,,,,,,,,,,,,,,,,YES,,YES,YES,YES
988,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
989,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
990,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
991,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
992,Both ,,,YES,YES,YES,,YES,YES,YES,YES,YES,,,,,,,,YES,YES,,YES
993,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
994,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
995,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,,YES
1001,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
1002,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,YES
1003,,No Bakecenter,,,,,,,,,,,,,,,,,YES,,YES,,
1004,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1006,,No Bakecenter,,YES,,,,YES,,,YES,YES,,,,,,,,YES,YES,,
1007,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,,YES
1008,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1009,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,YES,YES
1010,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1011,,No Bakecenter,,YES,YES,YES,YES,YES,,YES,,,,,,,,,,YES,YES,,YES
1012,,No Bakecenter,,,,,,,,,,,,,,,,,,YES,YES,,YES
1014,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,YES,YES
1016,Both ,,,YES,YES,YES,YES,,,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1017,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1018,Both ,,,YES,,,,YES,YES,,YES,YES,,,,,,,,,YES,,YES
1019,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,
1020,,No Bakecenter,,YES,YES,YES,,YES,YES,YES,YES,YES,,,,,,,,,YES,,YES
1021,,No Bakecenter,,YES,YES,YES,,YES,YES,YES,YES,YES,,,,,,,YES,YES,,YES,YES
1022,Both ,,,YES,YES,YES,YES,YES,,YES,YES,YES,,,,,,,YES,YES,YES,,YES
1023,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,
1024,,No Bakecenter,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1025,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1026,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1027,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1028,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1029,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
1030,Both ,,,YES,YES,YES,,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1032,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
1033,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1034,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1035,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1036,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1037,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1038,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
1039,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1042,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,YES
1044,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,YES,YES
1045,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1047,Both ,,,YES,,,YES,YES,YES,,YES,YES,,,,,,,YES,YES,YES,YES,YES
1048,,No Bakecenter,,YES,,,,YES,,,YES,YES,,,,,,,YES,YES,,,YES
1051,,No Bakecenter,,YES,,,,YES,YES,,YES,YES,,,,,,,YES,YES,YES,YES,YES
1052,Both ,,,YES,,,,YES,,YES,,,,,,,,,,,,,
1053,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1054,Both ,,,YES,YES,YES,,YES,,YES,YES,YES,,,,,,,YES,,,YES,YES
1055,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1056,,No Bakecenter,,YES,YES,YES,,YES,YES,YES,,,,,,,,,YES,YES,YES,YES,YES
1057,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
1058,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,,YES
1060,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1061,Both ,,,,,,,YES,YES,,,,,,,,,,,,,,
1062,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,,YES
1064,Both ,,,YES,YES,YES,,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1065,,No Bakecenter,,YES,,,,,,,YES,YES,,,,,,,YES,YES,,,YES
1066,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1068,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,YES,,YES
1070,Both ,,,YES,YES,YES,,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1071,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1072,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1074,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,,,
1075,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1076,Both ,,,YES,,,,YES,YES,,YES,YES,,,,,,,YES,YES,YES,YES,YES
1077,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1079,Both ,,,YES,YES,YES,,YES,YES,,YES,YES,,,,,,,YES,YES,YES,YES,YES
1080,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1081,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1082,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
1083,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1085,Both ,,,YES,YES,YES,YES,YES,YES,,YES,YES,,,,,,,YES,YES,YES,YES,YES
1086,,No Bakecenter,,YES,YES,YES,,,YES,YES,YES,YES,,,,,,,YES,YES,,,
1087,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
1088,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1089,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,,,YES
1090,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1091,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1093,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,,,YES,YES
1094,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1096,,No Bakecenter,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1097,Both ,,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,YES,YES,YES,YES,YES
1099,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1100,,No Bakecenter,,YES,,,,YES,YES,,,,,,,,,,,,,,
1101,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1102,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1104,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1105,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1106,,No Bakecenter,,YES,,,YES,YES,,,,,,,,,,,,,,,
1109,Both ,,,,,,YES,YES,YES,,,,,,,,,,,,,,
1110,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
1111,,No Bakecenter,,YES,YES,YES,YES,YES,,YES,,,,,,,,,YES,YES,YES,YES,YES
1112,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1113,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,
1114,Both ,,,YES,,,YES,,YES,YES,,,,,,,,,,,,,
1115,Both ,,,YES,,,YES,YES,YES,,YES,YES,,,,,,,YES,YES,,YES,YES
1116,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1117,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1120,Both ,,,YES,YES,YES,,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1121,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1122,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,YES,YES
1123,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1124,,No Bakecenter,,YES,YES,YES,YES,YES,,YES,YES,YES,,,,,,,YES,YES,,YES,YES
1125,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
1126,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
1128,Both ,,,YES,,,,,,,YES,YES,,,,,,,YES,,YES,YES,YES
1129,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
1130,,No Bakecenter,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1131,,No Bakecenter,,YES,,,,YES,,,,,,,,,,,YES,YES,,,YES
1132,,No Bakecenter,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1133,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1134,Both ,,,YES,YES,YES,,YES,YES,YES,YES,YES,,,,,,,,YES,,,YES
1135,Both ,,,YES,YES,YES,,YES,,,YES,YES,,,,,,,,YES,YES,,YES
1136,,No Bakecenter,,,,,,,,,YES,YES,,,,,,,YES,YES,YES,YES,YES
1139,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1140,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,,,YES
1141,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1142,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,,YES
1143,Both ,,,YES,,,,YES,,,YES,YES,,,,,,,YES,YES,YES,YES,YES
1144,,No Bakecenter,,YES,YES,YES,,YES,YES,,YES,YES,,,,,,,,YES,YES,,YES
1146,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1148,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1149,Both ,,,YES,YES,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,
1150,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,YES,YES
1151,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,YES,YES
1152,Both ,,,YES,YES,YES,YES,,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1154,,No Bakecenter,,YES,,,YES,YES,YES,,YES,YES,,,,,,,YES,YES,,,YES
1155,Both ,,,YES,,,YES,YES,YES,,YES,YES,,,,,,,YES,YES,YES,YES,YES
1156,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1157,Both ,,,YES,,,,YES,,,YES,YES,,,,,,,YES,YES,YES,YES,YES
1158,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1160,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1161,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1162,Both ,,,YES,YES,YES,YES,YES,,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1163,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,YES,YES
1164,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1165,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1167,Both ,,,YES,YES,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1168,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1170,Both ,,,YES,,,YES,,,YES,,,,,,,,,YES,,,,YES
1171,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
1172,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,,YES
1173,Both ,,,YES,YES,YES,YES,YES,,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1174,Both ,,,YES,,,,YES,YES,,YES,YES,,,,,,,,,,,
1176,,No Bakecenter,,,,,,,,,,,,,,,,,YES,,YES,YES,YES
1177,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
1178,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
1179,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,,YES
1180,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1182,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,
1183,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1186,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1187,Both ,,,YES,,,,,YES,YES,YES,YES,,,,,,,,,,,
1190,Both ,,,YES,YES,YES,YES,YES,,YES,YES,YES,,,,,,,YES,YES,,,YES
1191,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1192,,No Bakecenter,,,,,,,,,,,,,,,,,YES,,,YES,YES
1193,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,YES,YES
1194,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1195,Both ,,,YES,YES,YES,YES,YES,YES,,YES,YES,,,,,,,YES,YES,YES,YES,YES
1196,Both ,,,YES,,,YES,YES,YES,,YES,YES,,,,,,,YES,,YES,YES,YES
1197,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1200,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1201,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1202,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
1203,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
1204,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1205,,No Bakecenter,,YES,YES,YES,,YES,YES,YES,YES,YES,,,,,,,YES,,YES,YES,YES
1206,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1207,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,YES,YES,,YES
1209,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
1210,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,
1212,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
