Market,Region,Date,Start,End,Session,Room/Level,Room/Level
9,Central,8/27/2025,6:00 AM,7:15 AM,BREAKFAST,HOTELS,
9,Central,8/27/2025,7:30 AM,8:15 AM,Next 45 Days,Indiana Convention Center,RM 232/233
9,Central,8/27/2025,8:20 AM,9:05 AM,Membership Mastery,Indiana Convention Center,RM 234/235
9,Central,8/27/2025,9:10 AM,9:55 AM,"We Care, Safety",Indiana Convention Center,RM 236/237
9,Central,8/27/2025,10:00 AM,10:45 AM,Own It. Solve It. Together.,Indiana Convention Center,SAGAMORE 5/6/7
9,Central,8/27/2025,10:50 AM,11:50 AM,LUNCH,Indiana Convention Center,SAGAMORE
9,Central,8/27/2025,11:55 AM,12:55 PM,Own Your Business,Indiana Convention Center,
9,Central,8/27/2025,1:15 PM,2:15 PM,Listening Session,Indiana Convention Center,HALL H
9,Central,8/27/2025,2:30 PM,3:30 PM,Closing General Session,Indiana Convention Center,HALL H
16,Central,8/27/2025,6:00 AM,7:15 AM,BREAKFAST,HOTELS,
16,Central,8/27/2025,7:30 AM,8:15 AM,Next 45 Days,Indiana Convention Center,RM 232/233
16,Central,8/27/2025,8:20 AM,9:05 AM,Membership Mastery,Indiana Convention Center,RM 234/235
16,Central,8/27/2025,9:10 AM,9:55 AM,"We Care, Safety",Indiana Convention Center,RM 236/237
16,Central,8/27/2025,10:00 AM,10:45 AM,Own It. Solve It. Together.,Indiana Convention Center,SAGAMORE 5/6/7
16,Central,8/27/2025,10:50 AM,11:50 AM,LUNCH,Indiana Convention Center,SAGAMORE
16,Central,8/27/2025,11:55 AM,12:55 PM,Own Your Business,Indiana Convention Center,
16,Central,8/27/2025,1:15 PM,2:15 PM,Listening Session,Indiana Convention Center,HALL H
16,Central,8/27/2025,2:30 PM,3:30 PM,Closing General Session,Indiana Convention Center,HALL H
19,Central,8/27/2025,6:00 AM,7:15 AM,BREAKFAST,HOTELS,
19,Central,8/27/2025,7:30 AM,8:15 AM,Next 45 Days,Indiana Convention Center,RM 232/233
19,Central,8/27/2025,8:20 AM,9:05 AM,Membership Mastery,Indiana Convention Center,RM 234/235
19,Central,8/27/2025,9:10 AM,9:55 AM,"We Care, Safety",Indiana Convention Center,RM 236/237
19,Central,8/27/2025,10:00 AM,10:45 AM,Own It. Solve It. Together.,Indiana Convention Center,SAGAMORE 5/6/7
19,Central,8/27/2025,10:50 AM,11:50 AM,LUNCH,Indiana Convention Center,SAGAMORE
19,Central,8/27/2025,11:55 AM,12:55 PM,Own Your Business,Indiana Convention Center,
19,Central,8/27/2025,1:15 PM,2:15 PM,Listening Session,Indiana Convention Center,HALL H
19,Central,8/27/2025,2:30 PM,3:30 PM,Closing General Session,Indiana Convention Center,HALL H
21,Central,8/27/2025,6:00 AM,7:15 AM,BREAKFAST,HOTELS,
21,Central,8/27/2025,7:30 AM,8:15 AM,Membership Mastery,Indiana Convention Center,RM 234/235
21,Central,8/27/2025,8:20 AM,9:05 AM,"We Care, Safety",Indiana Convention Center,RM 236/237
21,Central,8/27/2025,9:10 AM,9:55 AM,Own It. Solve It. Together.,Indiana Convention Center,SAGAMORE 5/6/7
21,Central,8/27/2025,10:00 AM,10:45 AM,"Home, Apparel, Seasonal",Indiana Convention Center,"HALL I,J,K"
21,Central,8/27/2025,10:50 AM,11:50 AM,LUNCH,Indiana Convention Center,SAGAMORE
21,Central,8/27/2025,11:55 AM,12:55 PM,Own Your Business,Indiana Convention Center,
21,Central,8/27/2025,1:15 PM,2:15 PM,Listening Session,Indiana Convention Center,HALL H
21,Central,8/27/2025,2:30 PM,3:30 PM,Closing General Session,Indiana Convention Center,HALL H
22,Central,8/27/2025,6:00 AM,7:15 AM,BREAKFAST,HOTELS,
22,Central,8/27/2025,7:30 AM,8:15 AM,Membership Mastery,Indiana Convention Center,RM 234/235
22,Central,8/27/2025,8:20 AM,9:05 AM,"We Care, Safety",Indiana Convention Center,RM 236/237
22,Central,8/27/2025,9:10 AM,9:55 AM,Own It. Solve It. Together.,Indiana Convention Center,SAGAMORE 5/6/7
22,Central,8/27/2025,10:00 AM,10:45 AM,"Home, Apparel, Seasonal",Indiana Convention Center,"HALL I,J,K"
22,Central,8/27/2025,10:50 AM,11:50 AM,LUNCH,Indiana Convention Center,SAGAMORE
