Region,Store ID,First Assigned Carrier,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Week,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
25,1602,,Scheduled Delivery Standard,5,At Risk,Degrading,Store Focus,202349,78.30%,72.30%,14.6,62.50%,79.40%,84.20%,88.00%
25,1690,,Scheduled Delivery Standard,15,Executive Review,Degrading,Store Focus,202349,79.80%,90.40%,18.6,86.70%,82.60%,78.10%,68.40%
25,2728,,Scheduled Delivery Standard,42,Executive Review,Degrading,Store Focus,202349,64.20%,62.10%,21.7,64.80%,78.10%,59.20%,57.70%
25,3210,,Scheduled Delivery Standard,44,Executive Review,Degrading,Store Focus,202349,88.90%,83.90%,11.1,87.80%,93.30%,88.60%,86.40%
25,3602,,Scheduled Delivery Standard,33,Executive Review,Degrading,Store Focus,202349,85.60%,84.80%,17.9,84.40%,87.00%,81.40%,89.60%
25,603,,Scheduled Delivery Standard,18,Executive Review,Recovering,Store Focus,202349,87.20%,89.30%,18,90.90%,95.10%,76.40%,87.90%
25,1028,,Scheduled Delivery Standard,30,Executive Review,Degrading,Store Focus,202349,81.10%,78.40%,19.8,77.40%,85.40%,81.10%,81.40%
25,3459,,Scheduled Delivery Standard,11,Executive Review,Recovering,Store Focus,202349,92.10%,95.90%,14.6,92.50%,96.10%,86.50%,93.40%
25,2231,,Scheduled Delivery Standard,3,Active Monitoring,Degrading,Store Focus,202349,84.20%,91.70%,18.9,86.70%,96.70%,75.70%,80.90%
25,3601,,Scheduled Delivery Standard,5,Active Monitoring,Recovering,Store Focus,202349,88.30%,91.90%,16.3,91.30%,91.80%,86.80%,83.80%
25,4049,,Scheduled Delivery Standard,4,Active Monitoring,Recovering,Store Focus,202349,89.10%,99.00%,17.7,94.40%,90.80%,86.20%,85.60%
25,1998,,Scheduled Delivery Standard,4,Active Monitoring,Degrading,Store Focus,202349,88.20%,94.40%,16.6,88.80%,84.00%,91.40%,88.20%
25,2204,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202349,83.20%,85.40%,20.6,85.70%,89.00%,77.90%,80.80%
25,5402,,Scheduled Delivery Standard,49,Executive Review,Degrading,Store Focus,202349,79.40%,82.70%,16.6,66.00%,85.40%,83.90%,84.30%
25,5617,,Scheduled Delivery Standard,47,Executive Review,Degrading,Store Focus,202349,82.20%,89.60%,14.3,86.60%,83.90%,84.30%,74.50%
25,1892,,Scheduled Delivery Standard,4,Active Monitoring,Recovering,Store Focus,202349,91.00%,93.80%,16.1,95.70%,93.50%,89.20%,85.70%
25,1938,,Scheduled Delivery Standard,6,At Risk,Degrading,Store Focus,202349,83.30%,89.40%,19.9,87.80%,85.10%,82.60%,77.40%
25,3004,,Scheduled Delivery Standard,15,Executive Review,Degrading,Store Focus,202349,87.50%,84.40%,19.1,86.90%,91.30%,91.50%,81.10%
25,5485,,Scheduled Delivery Standard,47,Executive Review,Degrading,Store Focus,202349,85.90%,94.30%,19.6,79.80%,89.20%,88.10%,87.30%
25,1307,,Scheduled Delivery Standard,3,Active Monitoring,Recovering,Store Focus,202349,89.80%,87.40%,13,95.00%,93.80%,81.70%,85.70%
25,4323,,Scheduled Delivery Standard,3,Active Monitoring,Recovering,Store Focus,202349,92.30%,90.10%,11.1,97.90%,93.70%,88.60%,89.50%
25,1401,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202349,77.30%,74.60%,20.3,83.70%,84.60%,63.80%,76.10%
25,4286,,Scheduled Delivery Standard,6,At Risk,Degrading,Store Focus,202349,84.40%,77.60%,20.3,74.00%,88.80%,84.00%,91.00%
25,4531,,Scheduled Delivery Standard,6,At Risk,Degrading,Store Focus,202349,85.00%,84.60%,20.5,85.10%,85.70%,85.00%,84.00%
20,1948,,Scheduled Delivery Standard,3,Active Monitoring,Degrading,Store Focus,202349,85.00%,94.10%,11.7,80.70%,86.60%,84.00%,89.20%
20,2063,,Scheduled Delivery Standard,20,Executive Review,Recovering,Store Focus,202349,90.20%,93.10%,13.3,90.00%,90.00%,84.90%,96.70%
20,2193,,Scheduled Delivery Standard,4,At Risk,Degrading,Store Focus,202349,84.40%,96.10%,13.8,87.50%,85.40%,75.40%,90.00%
20,2197,,Scheduled Delivery Standard,20,Executive Review,Degrading,Store Focus,202349,83.60%,92.10%,20.5,80.10%,91.80%,73.50%,89.40%
20,2211,,Scheduled Delivery Standard,7,At Risk,Recovering,Store Focus,202349,89.60%,91.60%,15.4,91.90%,94.20%,77.00%,94.30%
20,2541,,Scheduled Delivery Standard,27,Executive Review,Degrading,Store Focus,202349,76.20%,69.00%,22.8,70.90%,60.40%,76.20%,93.60%
20,1739,,Scheduled Delivery Standard,20,Executive Review,Degrading,Store Focus,202349,89.30%,94.50%,15.1,84.20%,95.10%,87.40%,91.80%
20,2300,,Scheduled Delivery Standard,12,Executive Review,Degrading,Store Focus,202349,83.30%,71.90%,15.5,81.30%,96.40%,70.30%,86.40%
20,3838,,Scheduled Delivery Standard,22,Executive Review,Degrading,Store Focus,202349,82.70%,85.70%,17.2,79.90%,92.50%,73.20%,87.00%
20,1770,,Scheduled Delivery Standard,4,Active Monitoring,Recovering,Store Focus,202349,85.50%,84.30%,13.7,90.30%,86.30%,82.90%,82.00%
20,1883,,Scheduled Delivery Standard,30,Executive Review,Degrading,Store Focus,202349,84.20%,88.00%,20.1,81.30%,87.80%,80.70%,87.50%
20,2287,,Scheduled Delivery Standard,7,Active Monitoring,Recovering,Store Focus,202349,87.70%,94.40%,15.7,91.20%,79.10%,92.90%,86.10%
20,2588,,Scheduled Delivery Standard,47,Executive Review,Degrading,Store Focus,202349,88.30%,87.20%,14.9,89.40%,92.60%,86.30%,85.70%
20,1863,,Scheduled Delivery Standard,19,Executive Review,Degrading,Store Focus,202349,83.20%,79.30%,19.3,80.80%,88.70%,78.00%,85.30%
20,1927,,Scheduled Delivery Standard,19,Executive Review,Degrading,Store Focus,202349,70.60%,81.40%,23.4,89.20%,79.90%,47.60%,64.70%
20,2506,,Scheduled Delivery Standard,10,At Risk,Recovering,Store Focus,202349,91.30%,97.50%,13.6,93.60%,93.90%,86.40%,92.30%
20,3250,,Scheduled Delivery Standard,5,At Risk,Degrading,Store Focus,202349,84.00%,85.20%,12.3,80.30%,85.10%,81.60%,89.40%
20,5387,,Scheduled Delivery Standard,41,Executive Review,Degrading,Store Focus,202349,88.60%,91.00%,10.3,86.50%,93.40%,79.60%,96.10%
20,1839,,Scheduled Delivery Standard,20,Executive Review,Degrading,Store Focus,202349,77.60%,75.80%,20.9,77.60%,90.10%,61.20%,75.90%
20,2266,,Scheduled Delivery Standard,17,Executive Review,Degrading,Store Focus,202349,86.00%,88.40%,16.2,86.00%,85.80%,84.10%,88.10%
20,2316,,Scheduled Delivery Standard,4,Active Monitoring,Recovering,Store Focus,202349,82.40%,85.30%,19.6,90.20%,84.60%,70.70%,80.90%
20,2362,,Scheduled Delivery Standard,49,Executive Review,Degrading,Store Focus,202349,82.80%,90.30%,15.7,82.00%,82.30%,78.60%,88.40%
20,4255,,Scheduled Delivery Standard,16,Executive Review,Degrading,Store Focus,202349,89.30%,88.40%,13.4,89.40%,88.20%,85.10%,93.70%
20,4285,,Scheduled Delivery Standard,24,Executive Review,Degrading,Store Focus,202349,81.60%,85.60%,17.5,78.30%,88.40%,78.70%,80.80%
20,5066,,Scheduled Delivery Standard,5,Active Monitoring,Recovering,Store Focus,202349,89.90%,82.50%,15.7,94.20%,92.70%,83.10%,88.40%
20,1812,,Scheduled Delivery Standard,4,Active Monitoring,Degrading,Store Focus,202349,85.40%,91.00%,11.8,80.00%,94.00%,80.80%,87.00%
20,1894,,Scheduled Delivery Standard,17,Executive Review,Recovering,Store Focus,202349,88.20%,91.50%,14,93.40%,90.80%,78.30%,90.10%
20,2115,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202349,83.30%,89.80%,15.5,89.10%,85.10%,70.90%,85.10%
20,2149,,Scheduled Delivery Standard,19,Executive Review,Recovering,Store Focus,202349,86.30%,92.80%,13.2,94.50%,91.20%,73.90%,85.70%
20,3262,,Scheduled Delivery Standard,15,Executive Review,Recovering,Store Focus,202349,83.80%,88.20%,13.9,94.10%,86.50%,77.10%,77.10%
20,1247,,Scheduled Delivery Standard,5,Active Monitoring,Recovering,Store Focus,202349,88.70%,94.30%,10.9,90.60%,96.50%,77.70%,91.40%
20,2244,,Scheduled Delivery Standard,19,Executive Review,Degrading,Store Focus,202349,87.40%,92.30%,12.7,89.80%,93.30%,75.10%,93.40%
40,80,,Scheduled Delivery Standard,4,At Risk,Degrading,Store Focus,202349,85.10%,76.50%,14.8,88.80%,89.20%,85.10%,78.60%
40,159,,Scheduled Delivery Standard,8,Executive Review,Degrading,Store Focus,202349,88.20%,89.10%,13.2,86.40%,90.40%,86.20%,90.00%
40,451,,Scheduled Delivery Standard,12,At Risk,Degrading,Store Focus,202349,84.50%,76.70%,14.2,73.70%,89.70%,81.30%,92.10%
40,195,,Scheduled Delivery Standard,20,Executive Review,Degrading,Store Focus,202349,87.30%,90.70%,13.4,86.20%,90.90%,82.90%,89.60%
40,234,,Scheduled Delivery Standard,19,Executive Review,Degrading,Store Focus,202349,71.10%,72.10%,23.4,66.00%,77.20%,73.70%,69.00%
40,560,,Scheduled Delivery Standard,32,Executive Review,Recovering,Store Focus,202349,87.90%,86.60%,17,92.20%,86.30%,79.70%,91.50%
40,2857,,Scheduled Delivery Standard,19,Executive Review,Recovering,Store Focus,202349,84.80%,85.30%,17.1,90.80%,88.50%,73.70%,84.20%
40,184,,Scheduled Delivery Standard,5,At Risk,Degrading,Store Focus,202349,82.10%,68.70%,19.5,85.80%,88.40%,66.40%,88.80%
40,319,,Scheduled Delivery Standard,13,Executive Review,Degrading,Store Focus,202349,84.10%,80.20%,15.6,86.60%,88.90%,74.40%,86.90%
40,573,,Scheduled Delivery Standard,15,Executive Review,Recovering,Store Focus,202349,90.90%,93.90%,13.2,90.40%,93.30%,87.70%,92.40%
40,1014,,Scheduled Delivery Standard,20,Executive Review,Recovering,Store Focus,202349,88.30%,92.10%,13.7,91.40%,88.50%,84.50%,88.90%
40,1094,,Scheduled Delivery Standard,45,Executive Review,Recovering,Store Focus,202349,82.20%,88.80%,15.6,91.40%,81.50%,66.60%,88.80%
40,4553,,Scheduled Delivery Standard,15,Executive Review,Degrading,Store Focus,202349,80.00%,73.30%,21,79.50%,78.80%,76.40%,84.90%
40,2490,,Scheduled Delivery Standard,35,Executive Review,Degrading,Store Focus,202349,81.60%,77.50%,11.8,83.20%,80.80%,75.10%,87.70%
40,2855,,Scheduled Delivery Standard,22,Executive Review,Degrading,Store Focus,202349,81.80%,69.70%,16.5,80.70%,88.70%,75.80%,83.40%
40,2955,,Scheduled Delivery Standard,20,Executive Review,Degrading,Store Focus,202349,75.60%,94.10%,14,74.90%,80.30%,65.10%,81.90%
59,5207,,Scheduled Delivery Standard,20,Executive Review,Degrading,Store Focus,202349,80.60%,69.20%,14.3,82.90%,84.20%,63.50%,89.40%
59,6172,,Scheduled Delivery Standard,3,Active Monitoring,Degrading,Store Focus,202349,88.00%,86.20%,11.2,89.90%,88.80%,84.90%,88.50%
59,6500,,Scheduled Delivery Standard,11,Executive Review,Degrading,Store Focus,202349,86.20%,81.20%,10.3,78.70%,86.50%,91.00%,91.60%
40,379,,Scheduled Delivery Standard,17,Executive Review,Recovering,Store Focus,202349,93.80%,96.00%,10.9,96.30%,95.00%,87.00%,96.70%
40,2221,,Scheduled Delivery Standard,20,Executive Review,Degrading,Store Focus,202349,83.30%,85.20%,16.9,85.00%,73.30%,84.30%,88.30%
40,4381,,Scheduled Delivery Standard,14,Executive Review,Degrading,Store Focus,202349,85.40%,76.70%,17.5,88.90%,85.40%,82.00%,85.00%
40,5477,,Scheduled Delivery Standard,5,Active Monitoring,Recovering,Store Focus,202349,92.50%,85.00%,12.5,92.90%,97.60%,83.70%,95.00%
40,179,,Scheduled Delivery Standard,14,Executive Review,Degrading,Store Focus,202349,86.60%,73.70%,15.6,86.70%,93.50%,87.40%,80.20%
40,60,,Scheduled Delivery Standard,10,Executive Review,Degrading,Store Focus,202349,82.70%,82.90%,18.6,89.20%,81.00%,71.40%,89.10%
40,1161,,Scheduled Delivery Standard,48,Executive Review,Degrading,Store Focus,202349,80.80%,71.90%,14.6,70.20%,85.70%,79.30%,89.70%
40,1188,,Scheduled Delivery Standard,49,Executive Review,Degrading,Store Focus,202349,87.60%,83.50%,19,89.70%,85.40%,84.00%,89.60%
40,1265,,Scheduled Delivery Standard,17,Executive Review,Degrading,Store Focus,202349,89.10%,96.50%,14.4,89.70%,90.40%,85.90%,90.50%
40,2616,,Scheduled Delivery Standard,13,Executive Review,Recovering,Store Focus,202349,84.30%,81.70%,20.9,90.70%,78.60%,80.90%,85.50%
40,5313,,Scheduled Delivery Standard,14,Executive Review,Degrading,Store Focus,202349,81.40%,73.30%,17.2,85.30%,80.40%,74.40%,84.60%
40,5927,,Scheduled Delivery Standard,7,At Risk,Degrading,Store Focus,202349,87.20%,96.00%,15.6,86.70%,92.00%,78.30%,90.20%
40,172,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202349,86.60%,91.40%,13.6,86.60%,88.40%,83.30%,88.00%
40,1177,,Scheduled Delivery Standard,20,Executive Review,Recovering,Store Focus,202349,88.30%,98.20%,18,90.60%,89.40%,82.40%,90.70%
40,1514,,Scheduled Delivery Standard,17,Executive Review,Recovering,Store Focus,202349,89.20%,87.00%,14.1,92.40%,88.40%,84.40%,91.40%
40,2213,,Scheduled Delivery Standard,37,Executive Review,Recovering,Store Focus,202349,84.40%,92.00%,19.5,96.10%,92.50%,63.50%,82.50%
40,2694,,Scheduled Delivery Standard,30,Executive Review,Recovering,Store Focus,202349,89.80%,87.60%,16.5,90.30%,91.90%,90.30%,87.00%
40,3061,,Scheduled Delivery Standard,10,Executive Review,Degrading,Store Focus,202349,66.30%,75.70%,29.6,85.50%,52.50%,50.20%,78.60%
40,5150,,Scheduled Delivery Standard,48,Executive Review,Degrading,Store Focus,202349,80.70%,90.80%,17.9,80.60%,78.20%,78.20%,85.50%
40,328,,Scheduled Delivery Standard,23,Executive Review,Recovering,Store Focus,202349,90.60%,94.00%,10.2,94.00%,85.30%,86.20%,96.90%
40,1071,,Scheduled Delivery Standard,21,Executive Review,Degrading,Store Focus,202349,87.70%,90.10%,17.8,88.70%,85.00%,84.70%,92.10%
21,1407,,Scheduled Delivery Standard,43,Executive Review,Recovering,Store Focus,202349,90.10%,86.20%,11.9,91.10%,89.70%,88.20%,91.40%
21,3502,,Scheduled Delivery Standard,45,Executive Review,Recovering,Store Focus,202349,91.50%,89.10%,13.9,95.90%,94.60%,90.20%,85.50%
21,3571,,Scheduled Delivery Standard,17,Executive Review,Recovering,Store Focus,202349,82.50%,84.70%,20,92.40%,93.20%,68.40%,78.30%
21,3783,,Scheduled Delivery Standard,15,Executive Review,Degrading,Store Focus,202349,60.10%,74.50%,33.6,67.70%,68.00%,48.00%,58.80%
21,5104,,Scheduled Delivery Standard,32,Executive Review,Degrading,Store Focus,202349,83.80%,84.30%,17.5,72.00%,87.10%,84.90%,92.40%
21,5409,,Scheduled Delivery Standard,19,Executive Review,Recovering,Store Focus,202349,86.70%,90.10%,15.6,90.60%,83.20%,88.70%,83.60%
21,1443,,Scheduled Delivery Standard,4,Active Monitoring,Recovering,Store Focus,202349,92.60%,85.50%,9.5,95.40%,94.10%,92.30%,88.60%
21,1510,,Scheduled Delivery Standard,14,Executive Review,Degrading,Store Focus,202349,81.00%,80.60%,17.6,86.10%,94.00%,62.40%,85.80%
21,1521,,Scheduled Delivery Standard,5,Active Monitoring,Degrading,Store Focus,202349,83.20%,92.80%,19.6,89.20%,93.90%,59.50%,90.70%
21,2250,,Scheduled Delivery Standard,13,Executive Review,Recovering,Store Focus,202349,86.70%,91.80%,19.5,91.20%,95.20%,76.80%,86.60%
21,3749,,Scheduled Delivery Standard,6,At Risk,Degrading,Store Focus,202349,80.60%,74.10%,17.1,80.50%,81.00%,80.20%,81.00%
21,4609,,Scheduled Delivery Standard,12,Executive Review,Recovering,Store Focus,202349,86.60%,89.40%,16.6,96.30%,91.90%,76.20%,83.00%
21,702,,Scheduled Delivery Standard,4,Active Monitoring,Degrading,Store Focus,202349,83.20%,88.50%,18.5,80.40%,90.30%,74.50%,88.30%
21,1140,,Scheduled Delivery Standard,6,Active Monitoring,Recovering,Store Focus,202349,87.30%,89.00%,15.5,91.60%,90.20%,77.00%,91.60%
21,3894,,Scheduled Delivery Standard,20,Executive Review,Degrading,Store Focus,202349,77.10%,73.50%,18.7,75.80%,67.20%,78.60%,84.30%
21,1728,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202349,77.50%,82.20%,26.8,89.60%,79.60%,69.20%,72.40%
21,1294,,Scheduled Delivery Standard,24,Executive Review,Recovering,Store Focus,202349,88.70%,86.60%,17.8,92.00%,85.10%,85.30%,91.10%
21,1566,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202349,85.80%,90.30%,12,82.90%,87.60%,82.90%,90.00%
21,4231,,Scheduled Delivery Standard,6,At Risk,Degrading,Store Focus,202349,86.10%,76.30%,16,89.30%,85.80%,83.40%,85.80%
21,1595,,Scheduled Delivery Standard,5,Active Monitoring,Recovering,Store Focus,202349,87.30%,80.60%,15.3,92.20%,91.50%,82.20%,85.00%
21,1564,,Scheduled Delivery Standard,49,Executive Review,Degrading,Store Focus,202349,73.60%,89.60%,16.9,69.90%,75.80%,68.20%,80.80%
21,2400,,Scheduled Delivery Standard,6,At Risk,Recovering,Store Focus,202349,80.90%,75.70%,14.4,91.70%,89.90%,62.00%,77.70%
21,2098,,Scheduled Delivery Standard,5,Active Monitoring,Recovering,Store Focus,202349,90.60%,92.80%,15.2,92.70%,95.60%,82.80%,92.00%
21,2726,,Scheduled Delivery Standard,33,Executive Review,Recovering,Store Focus,202349,79.30%,80.40%,17.1,90.70%,90.60%,60.30%,73.50%
21,3447,,Scheduled Delivery Standard,7,Executive Review,Degrading,Store Focus,202349,82.70%,84.50%,16.4,81.10%,86.30%,73.70%,89.00%
21,5466,,Scheduled Delivery Standard,19,Executive Review,Degrading,Store Focus,202349,79.70%,65.70%,18.6,84.00%,93.90%,64.60%,77.10%
21,3206,,Scheduled Delivery Standard,3,Active Monitoring,Degrading,Store Focus,202349,78.70%,73.40%,15.9,82.30%,69.20%,74.20%,87.20%
53,1490,,Scheduled Delivery Standard,17,Executive Review,Recovering,Store Focus,202349,90.20%,88.10%,11.8,95.50%,90.80%,88.70%,85.90%
53,1955,,Scheduled Delivery Standard,19,Executive Review,Recovering,Store Focus,202349,90.50%,80.80%,15.6,90.80%,91.40%,90.90%,88.90%
53,5398,,Scheduled Delivery Standard,17,Executive Review,Degrading,Store Focus,202349,86.20%,86.70%,18.7,84.90%,92.20%,90.30%,78.60%
53,1020,,Scheduled Delivery Standard,5,At Risk,Recovering,Store Focus,202349,84.20%,79.90%,11.5,92.40%,87.20%,82.80%,74.80%
53,1971,,Scheduled Delivery Standard,16,Executive Review,Recovering,Store Focus,202349,91.20%,88.80%,13.2,94.10%,96.40%,96.10%,79.80%
53,1305,,Scheduled Delivery Standard,3,Active Monitoring,Recovering,Store Focus,202349,86.80%,81.80%,12.8,91.40%,92.10%,75.70%,89.10%
53,3857,,Scheduled Delivery Standard,15,Executive Review,Recovering,Store Focus,202349,91.70%,93.80%,10.7,93.70%,94.60%,92.20%,86.40%
53,1515,,Scheduled Delivery Standard,15,Executive Review,Degrading,Store Focus,202349,85.60%,91.80%,10.9,88.70%,86.60%,82.50%,84.90%
53,2668,,Scheduled Delivery Standard,6,At Risk,Recovering,Store Focus,202349,90.60%,89.20%,13.6,93.60%,92.00%,87.00%,89.50%
53,2452,,Scheduled Delivery Standard,29,Executive Review,Degrading,Store Focus,202349,76.40%,91.10%,24.8,81.00%,92.30%,75.70%,58.90%
53,2658,,Scheduled Delivery Standard,16,Executive Review,Recovering,Store Focus,202349,90.20%,90.90%,11.6,94.40%,95.90%,88.40%,82.90%
53,6394,,Scheduled Delivery Standard,12,Executive Review,Degrading,Store Focus,202349,90.30%,95.40%,13.6,86.70%,92.40%,89.60%,93.20%
53,1202,,Scheduled Delivery Standard,3,Active Monitoring,Recovering,Store Focus,202349,86.80%,77.00%,16.1,90.40%,90.40%,84.40%,82.70%
53,1669,,Scheduled Delivery Standard,5,At Risk,Degrading,Store Focus,202349,80.30%,68.90%,12.5,86.10%,80.20%,73.00%,81.90%
53,5127,,Scheduled Delivery Standard,30,Executive Review,Recovering,Store Focus,202349,84.50%,81.50%,12.3,92.00%,89.10%,75.70%,82.00%
53,1449,,Scheduled Delivery Standard,3,Active Monitoring,Recovering,Store Focus,202349,89.80%,85.60%,14.1,91.40%,93.20%,87.70%,87.40%
53,1453,,Scheduled Delivery Standard,20,Executive Review,Recovering,Store Focus,202349,95.70%,92.50%,11.9,98.20%,99.10%,96.10%,89.80%
53,1908,,Scheduled Delivery Standard,4,At Risk,Degrading,Store Focus,202349,85.90%,83.10%,16,88.40%,83.70%,85.40%,86.20%
53,2271,,Scheduled Delivery Standard,3,Active Monitoring,Recovering,Store Focus,202349,89.70%,85.40%,9.7,94.90%,87.70%,89.20%,86.50%
14,853,,Scheduled Delivery Standard,5,At Risk,Degrading,Store Focus,202349,75.90%,79.10%,18.1,87.20%,68.70%,67.30%,77.00%
14,991,,Scheduled Delivery Standard,6,Active Monitoring,Recovering,Store Focus,202349,92.50%,94.90%,12,94.60%,90.30%,89.80%,95.00%
14,1212,,Scheduled Delivery Standard,2,Active Monitoring,Recovering,Store Focus,202349,89.30%,89.80%,11.8,91.60%,88.90%,86.80%,89.50%
14,483,,Scheduled Delivery Standard,5,At Risk,Degrading,Store Focus,202349,74.80%,82.10%,19.5,72.50%,70.40%,64.00%,91.60%
14,930,,Scheduled Delivery Standard,15,Executive Review,Recovering,Store Focus,202349,87.60%,90.80%,12.3,91.40%,87.30%,84.60%,87.60%
14,938,,Scheduled Delivery Standard,19,Executive Review,Recovering,Store Focus,202349,88.10%,91.10%,14.2,94.00%,96.10%,74.20%,88.40%
14,5348,,Scheduled Delivery Standard,20,Executive Review,Recovering,Store Focus,202349,76.70%,79.40%,20.2,91.60%,88.90%,53.30%,71.70%
14,1229,,Scheduled Delivery Standard,13,Executive Review,Degrading,Store Focus,202349,74.10%,87.30%,21.7,87.50%,67.00%,62.60%,77.10%
14,1481,,Scheduled Delivery Standard,49,Executive Review,Recovering,Store Focus,202349,71.30%,84.10%,25.6,90.50%,70.70%,52.80%,66.60%
14,2111,,Scheduled Delivery Standard,20,Executive Review,Recovering,Store Focus,202349,88.70%,94.10%,15.4,92.80%,90.00%,81.70%,90.80%
14,4497,,Scheduled Delivery Standard,7,Executive Review,Degrading,Store Focus,202349,77.10%,88.30%,21.6,88.40%,68.80%,54.10%,89.50%
72,4504,,Scheduled Delivery Standard,15,Executive Review,Degrading,Store Focus,202349,68.00%,70.70%,21.3,37.60%,69.40%,79.90%,82.00%
14,990,,Scheduled Delivery Standard,7,Active Monitoring,Recovering,Store Focus,202349,91.80%,90.60%,16.4,90.70%,95.80%,87.20%,92.90%
14,1224,,Scheduled Delivery Standard,4,At Risk,Degrading,Store Focus,202349,76.20%,67.20%,22.8,79.30%,74.40%,67.10%,83.60%
14,919,,Scheduled Delivery Standard,2,Active Monitoring,Recovering,Store Focus,202349,78.50%,82.00%,21.9,94.40%,78.30%,77.80%,69.50%
14,1077,,Scheduled Delivery Standard,49,Executive Review,Recovering,Store Focus,202349,89.60%,88.80%,11.5,90.90%,90.40%,86.40%,90.90%
14,1223,,Scheduled Delivery Standard,35,Executive Review,Degrading,Store Focus,202349,75.30%,67.30%,14,82.80%,83.60%,53.20%,81.50%
14,4520,,Scheduled Delivery Standard,20,Executive Review,Recovering,Store Focus,202349,81.40%,76.70%,15.6,90.50%,80.90%,63.50%,88.10%
14,562,,Scheduled Delivery Standard,20,Executive Review,Recovering,Store Focus,202349,89.70%,88.60%,13.9,95.50%,87.20%,85.20%,89.80%
14,1711,,Scheduled Delivery Standard,46,Executive Review,Recovering,Store Focus,202349,83.30%,88.50%,17.5,92.20%,93.30%,72.50%,77.00%
14,301,,Scheduled Delivery Standard,6,At Risk,Recovering,Store Focus,202349,85.50%,83.30%,16.9,93.00%,88.10%,66.90%,88.70%
14,1201,,Scheduled Delivery Standard,7,At Risk,Degrading,Store Focus,202349,82.30%,90.10%,16,80.10%,88.80%,66.20%,91.50%
14,2713,,Scheduled Delivery Standard,44,Executive Review,Degrading,Store Focus,202349,81.50%,88.50%,19.2,85.40%,75.60%,71.00%,90.50%
14,355,,Scheduled Delivery Standard,19,Executive Review,Recovering,Store Focus,202349,92.40%,91.70%,11.7,96.90%,95.90%,82.00%,95.90%
14,494,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202349,83.60%,86.80%,16.2,83.70%,89.20%,77.50%,84.60%
14,1284,,Scheduled Delivery Standard,38,Executive Review,Recovering,Store Focus,202349,86.40%,90.10%,19.6,91.40%,90.00%,81.40%,83.70%
14,1311,,Scheduled Delivery Standard,5,At Risk,Recovering,Store Focus,202349,78.60%,81.80%,14.9,90.00%,74.10%,61.70%,86.90%
14,3461,,Scheduled Delivery Standard,7,At Risk,Recovering,Store Focus,202349,80.90%,77.30%,15.4,92.60%,89.40%,71.80%,70.60%
3,988,,Scheduled Delivery Standard,7,Active Monitoring,Recovering,Store Focus,202349,87.10%,90.10%,16.9,90.50%,95.70%,67.30%,94.70%
3,3372,,Scheduled Delivery Standard,5,Active Monitoring,Recovering,Store Focus,202349,92.20%,96.70%,13.3,93.80%,92.20%,89.80%,93.40%
3,5218,,Scheduled Delivery Standard,6,At Risk,Recovering,Store Focus,202349,86.60%,87.10%,19.2,92.40%,74.00%,83.30%,94.80%
3,1960,,Scheduled Delivery Standard,4,Active Monitoring,Recovering,Store Focus,202349,89.70%,93.20%,15.9,95.10%,94.90%,81.20%,88.90%
3,4681,,Scheduled Delivery Standard,3,Active Monitoring,Recovering,Store Focus,202349,86.10%,93.90%,19.3,93.60%,93.20%,76.60%,82.60%
3,718,,Scheduled Delivery Standard,3,Active Monitoring,Recovering,Store Focus,202349,87.30%,86.60%,16.4,95.70%,87.70%,79.70%,84.70%
3,3463,,Scheduled Delivery Standard,16,Executive Review,Recovering,Store Focus,202349,93.00%,91.30%,11.9,98.00%,95.90%,79.20%,98.30%
3,686,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202349,78.70%,70.30%,16.4,83.70%,73.00%,69.40%,86.40%
3,705,,Scheduled Delivery Standard,6,Active Monitoring,Recovering,Store Focus,202349,86.10%,88.20%,19.2,93.80%,94.80%,78.00%,79.60%
3,800,,Scheduled Delivery Standard,5,Active Monitoring,Recovering,Store Focus,202349,90.70%,92.30%,13.5,95.20%,96.80%,79.80%,91.90%
3,942,,Scheduled Delivery Standard,13,Executive Review,Degrading,Store Focus,202349,85.80%,82.80%,16.7,87.40%,95.30%,77.90%,85.80%
3,4262,,Scheduled Delivery Standard,5,Active Monitoring,Recovering,Store Focus,202349,92.90%,92.40%,12,95.10%,93.00%,86.10%,97.40%
3,857,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202349,85.30%,82.10%,15.4,84.70%,84.60%,81.90%,89.80%
3,1182,,Scheduled Delivery Standard,5,At Risk,Recovering,Store Focus,202349,83.20%,81.50%,23.4,91.80%,88.70%,77.40%,78.40%
3,588,,Scheduled Delivery Standard,6,At Risk,Recovering,Store Focus,202349,83.00%,94.30%,20.2,94.20%,84.00%,75.30%,79.00%
