Store Name,DSP,Go Live Launch Date
1,DoorDash,3/1/2022
4,PPUP,3/1/2022
7,DoorDash,3/1/2022
12,DoorDash,3/1/2022
13,Spark,3/1/2022
16,Spark,3/1/2022
17,Spark,3/1/2022
23,Spark,3/1/2022
24,DoorDash,3/1/2022
26,DoorDash,3/1/2022
29,PPUP,3/1/2022
35,Spark,3/1/2022
37,PPUP,3/1/2022
41,DoorDash,3/1/2022
45,PPUP,3/1/2022
52,Spark,3/1/2022
54,DoorDash,3/1/2022
59,Spark,3/1/2022
60,PPUP,3/1/2022
70,Spark,3/1/2022
73,DoorDash,3/1/2022
75,Spark,3/1/2022
79,Spark,3/1/2022
80,Spark,3/1/2022
85,DoorDash,3/1/2022
86,Spark,3/1/2022
94,Spark,3/1/2022
95,PPUP,3/1/2022
97,DoorDash,3/1/2022
100,DoorDash,3/1/2022
103,DoorDash,3/1/2022
113,PPUP,3/1/2022
122,Spark,3/1/2022
125,Spark,3/1/2022
126,Spark,3/1/2022
128,Spark,3/1/2022
129,DoorDash,3/1/2022
137,PPUP,3/1/2022
138,Spark,3/1/2022
140,DoorDash,3/1/2022
141,Spark,3/1/2022
144,DoorDash,3/1/2022
147,PPUP,3/1/2022
148,PPUP,3/1/2022
154,Spark,3/1/2022
155,Spark,3/1/2022
163,PPUP,3/1/2022
164,PPUP,3/1/2022
165,PPUP,3/1/2022
168,DoorDash,3/1/2022
169,Spark,3/1/2022
175,Spark,3/1/2022
179,Spark,3/1/2022
182,PPUP,3/1/2022
184,DoorDash,3/1/2022
188,Spark,3/1/2022
192,Spark,3/1/2022
194,Spark,3/1/2022
196,Spark,3/1/2022
201,Roadie,3/1/2022
202,Spark,3/1/2022
206,Spark,3/1/2022
216,PPUP,3/1/2022
217,Spark,3/1/2022
219,Roadie,3/1/2022
220,Spark,3/1/2022
228,Spark,3/1/2022
234,DoorDash,3/1/2022
243,DoorDash,3/1/2022
256,Spark,3/1/2022
258,PPUP,3/1/2022
259,Spark,3/1/2022
260,PPUP,3/1/2022
261,Spark,3/1/2022
264,DoorDash,3/1/2022
266,Spark,3/1/2022
267,Spark,3/1/2022
269,Spark,3/1/2022
272,Spark,3/1/2022
276,Spark,3/1/2022
278,Spark,3/1/2022
284,Spark,3/1/2022
285,PPUP,3/1/2022
290,Spark,3/1/2022
295,Roadie,3/1/2022
297,Spark,3/1/2022
298,PPUP,3/1/2022
299,PPUP,3/1/2022
300,Spark,3/1/2022
301,PPUP,3/1/2022
302,Spark,3/1/2022
304,Spark,3/1/2022
306,PPUP,3/1/2022
307,Spark,3/1/2022
309,PPUP,3/1/2022
310,PPUP,3/1/2022
313,DoorDash,3/1/2022
316,PPUP,3/1/2022
319,DoorDash,3/1/2022
322,Spark,3/1/2022
329,Spark,3/1/2022
330,Spark,3/1/2022
331,Spark,3/1/2022
332,Spark,3/1/2022
333,Roadie,3/1/2022
334,Spark,3/1/2022
335,PPUP,3/1/2022
351,Spark,3/1/2022
355,PPUP,3/1/2022
356,PPUP,3/1/2022
358,Spark,3/1/2022
359,DoorDash,3/1/2022
361,DoorDash,3/1/2022
365,PPUP,3/1/2022
371,Spark,3/1/2022
373,Spark,3/1/2022
374,PPUP,3/1/2022
375,PPUP,3/1/2022
376,Spark,3/1/2022
377,Spark,3/1/2022
378,Spark,3/1/2022
379,Spark,3/1/2022
381,Spark,3/1/2022
383,PPUP,3/1/2022
384,PPUP,3/1/2022
386,PPUP,3/1/2022
388,Spark,3/1/2022
391,PPUP,3/1/2022
393,Spark,3/1/2022
395,Spark,3/1/2022
396,DoorDash,3/1/2022
397,Spark,3/1/2022
398,Spark,3/1/2022
399,PPUP,3/1/2022
400,Spark,3/1/2022
402,PPUP,3/1/2022
404,DoorDash,3/1/2022
406,Spark,3/1/2022
407,Spark,3/1/2022
408,PPUP,3/1/2022
410,PPUP,3/1/2022
414,Spark,3/1/2022
415,PPUP,3/1/2022
416,Spark,3/1/2022
420,Spark,3/1/2022
423,DoorDash,3/1/2022
426,Spark,3/1/2022
428,DoorDash,3/1/2022
429,Spark,3/1/2022
431,PPUP,3/1/2022
433,Spark,3/22/2022
434,PPUP,3/1/2022
440,DoorDash,3/1/2022
444,Spark,3/1/2022
447,DoorDash,3/1/2022
448,Spark,3/1/2022
449,Spark,3/1/2022
450,Spark,3/1/2022
451,Spark,3/1/2022
452,DoorDash,3/1/2022
456,PPUP,3/1/2022
457,PPUP,3/1/2022
458,PPUP,3/1/2022
459,PPUP,3/1/2022
461,DoorDash,3/1/2022
462,Spark,3/1/2022
464,DoorDash,3/1/2022
467,Spark,3/1/2022
468,Spark,3/1/2022
469,Spark,3/1/2022
470,Spark,3/1/2022
471,Spark,3/1/2022
472,DoorDash,3/1/2022
475,DoorDash,3/1/2022
477,DoorDash,3/1/2022
483,Roadie,3/1/2022
484,DoorDash,3/1/2022
485,DoorDash,3/1/2022
486,DoorDash,3/1/2022
489,Roadie,3/1/2022
490,Spark,3/1/2022
491,PPUP,3/1/2022
494,PPUP,3/1/2022
495,DoorDash,3/1/2022
497,PPUP,3/1/2022
499,Spark,3/1/2022
500,Spark,3/1/2022
501,DoorDash,3/1/2022
504,Spark,3/1/2022
507,PPUP,3/1/2022
508,DoorDash,3/1/2022
510,Spark,3/1/2022
512,Spark,3/1/2022
514,Roadie,3/1/2022
518,Roadie,3/1/2022
520,DoorDash,3/1/2022
521,Spark,3/1/2022
522,Spark,3/1/2022
525,Spark,3/1/2022
526,DoorDash,3/1/2022
527,DoorDash,3/1/2022
528,Spark,3/1/2022
529,PPUP,3/1/2022
531,PPUP,3/1/2022
532,DoorDash,3/1/2022
533,PPUP,3/1/2022
535,PPUP,3/1/2022
536,PPUP,3/1/2022
537,DoorDash,3/1/2022
539,PPUP,3/1/2022
540,Spark,3/1/2022
541,Spark,3/1/2022
542,Spark,3/1/2022
546,Spark,3/1/2022
547,Spark,3/1/2022
548,DoorDash,3/1/2022
551,DoorDash,3/1/2022
553,Spark,3/1/2022
555,Roadie,3/1/2022
558,DoorDash,3/1/2022
559,DoorDash,3/1/2022
560,PPUP,3/1/2022
562,DoorDash,3/1/2022
563,DoorDash,3/1/2022
566,Spark,3/1/2022
571,PPUP,3/1/2022
572,PPUP,3/1/2022
573,DoorDash,3/1/2022
576,DoorDash,3/1/2022
577,DoorDash,3/1/2022
578,DoorDash,3/1/2022
580,Spark,3/1/2022
582,DoorDash,3/1/2022
588,Spark,3/1/2022
589,DoorDash,3/1/2022
590,Spark,3/1/2022
592,DoorDash,3/1/2022
595,PPUP,3/1/2022
599,Spark,3/1/2022
601,Spark,3/1/2022
602,Spark,3/1/2022
603,Spark,3/1/2022
604,Spark,3/1/2022
605,Roadie,3/1/2022
608,Spark,3/1/2022
611,DoorDash,3/1/2022
613,DoorDash,3/1/2022
614,Spark,3/1/2022
615,Roadie,3/1/2022
616,DoorDash,3/1/2022
618,DoorDash,3/1/2022
620,Spark,3/1/2022
623,PPUP,3/1/2022
624,PPUP,3/1/2022
625,DoorDash,3/1/2022
630,Spark,3/1/2022
631,DoorDash,3/1/2022
635,Roadie,3/1/2022
638,DoorDash,3/1/2022
639,Spark,3/1/2022
640,DoorDash,3/1/2022
641,DoorDash,3/1/2022
644,DoorDash,3/1/2022
648,Spark,3/1/2022
651,PPUP,3/1/2022
652,Spark,3/1/2022
653,PPUP,3/1/2022
657,PPUP,3/1/2022
658,PPUP,3/1/2022
659,Spark,3/1/2022
660,PPUP,3/1/2022
661,PPUP,3/1/2022
662,PPUP,3/1/2022
663,PPUP,3/1/2022
666,PPUP,3/1/2022
667,DoorDash,3/1/2022
668,PPUP,3/1/2022
669,Spark,3/1/2022
670,PPUP,3/1/2022
671,Spark,3/1/2022
673,PPUP,3/1/2022
674,Spark,3/1/2022
677,DoorDash,3/1/2022
680,DoorDash,3/1/2022
681,PPUP,3/1/2022
682,Spark,3/1/2022
685,Spark,3/1/2022
687,DoorDash,3/1/2022
688,Spark,3/1/2022
689,DoorDash,3/1/2022
692,DoorDash,3/1/2022
694,Spark,3/1/2022
695,Spark,3/1/2022
697,Spark,3/1/2022
698,Spark,3/1/2022
699,PPUP,3/1/2022
701,Spark,3/1/2022
702,PPUP,3/1/2022
703,Spark,3/1/2022
706,Spark,3/1/2022
710,Spark,3/1/2022
714,DoorDash,3/1/2022
715,Spark,3/1/2022
718,Spark,3/1/2022
719,PPUP,3/1/2022
720,PPUP,3/1/2022
721,Spark,3/1/2022
722,DoorDash,3/1/2022
724,Spark,3/1/2022
725,Spark,3/1/2022
728,DoorDash,3/1/2022
729,DoorDash,3/1/2022
734,DoorDash,3/1/2022
742,Spark,3/1/2022
744,Spark,3/1/2022
745,DoorDash,3/1/2022
746,Spark,3/1/2022
749,Roadie,3/1/2022
752,Spark,3/1/2022
753,DoorDash,3/1/2022
755,Spark,3/1/2022
761,Roadie,3/1/2022
762,Spark,3/1/2022
764,PPUP,3/1/2022
765,DoorDash,3/1/2022
766,PPUP,3/1/2022
767,DoorDash,3/1/2022
768,Spark,3/1/2022
769,Spark,3/1/2022
772,Spark,3/1/2022
777,PPUP,3/1/2022
778,Spark,3/1/2022
779,Spark,3/1/2022
780,DoorDash,3/1/2022
786,DoorDash,3/1/2022
787,Spark,3/1/2022
789,Spark,3/1/2022
793,Spark,3/1/2022
800,PPUP,3/1/2022
805,PPUP,3/1/2022
806,Spark,3/1/2022
807,Spark,3/1/2022
