Store,Week,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Total
1,42,1,2,2,1,2,1,2,11
2,42,1,2,2,1,2,1,2,11
3,42,2,1,2,2,1,2,1,11
4,42,1,2,2,1,2,2,2,12
5,42,1,2,2,2,1,2,2,12
7,42,2,1,2,2,1,2,1,11
11,42,2,2,2,2,2,2,2,14
12,42,1,2,2,1,2,1,2,11
14,42,2,1,1,2,1,2,1,10
15,42,2,1,2,2,1,2,2,12
16,42,1,2,1,1,2,1,1,9
17,42,2,1,2,1,2,1,1,10
19,42,2,2,2,2,2,2,2,14
22,42,1,2,1,1,2,1,1,9
26,42,1,2,2,2,2,1,2,12
30,42,1,1,2,1,1,2,1,9
36,42,2,1,2,2,2,1,2,12
37,42,1,2,2,2,1,2,1,11
41,42,2,1,2,2,2,1,2,12
45,42,1,1,2,1,2,2,2,11
46,42,1,2,1,2,1,2,1,10
58,42,2,2,2,3,2,2,2,15
59,42,2,1,2,2,2,1,2,12
61,42,1,2,2,2,2,2,2,13
69,42,1,2,1,2,2,2,1,11
70,42,1,2,1,2,1,2,1,10
75,42,2,1,1,2,2,2,1,11
79,42,2,1,2,1,2,1,1,10
85,42,1,2,2,2,1,2,1,11
91,42,1,1,2,1,1,1,1,8
94,42,2,2,1,2,2,2,1,12
96,42,1,2,1,2,1,2,1,10
98,42,1,1,1,1,1,1,2,8
100,42,2,2,3,2,2,2,2,15
101,42,1,2,1,2,1,2,1,10
103,42,1,2,2,2,2,3,2,14
125,42,2,1,2,2,1,2,1,11
126,42,1,2,1,1,1,2,1,9
129,42,1,2,2,2,1,2,2,12
130,42,1,2,2,2,2,1,2,12
140,42,2,2,2,2,2,2,2,14
144,42,1,2,2,2,2,1,2,12
151,42,1,1,2,2,2,1,2,11
157,42,2,2,2,2,2,2,2,14
168,42,1,2,2,1,2,2,2,12
172,42,2,1,2,1,2,2,1,11
175,42,1,2,1,1,2,1,2,10
177,42,1,1,2,2,1,2,1,10
192,42,2,1,2,2,2,1,2,12
194,42,2,1,2,2,2,2,1,12
195,42,1,2,1,1,1,2,1,9
201,42,1,1,2,1,2,1,2,10
205,42,1,2,1,2,1,2,1,10
219,42,1,2,2,2,1,2,1,11
220,42,1,2,2,2,2,2,2,13
224,42,2,1,2,1,2,1,1,10
228,42,1,2,2,2,2,2,2,13
234,42,1,2,2,1,2,2,2,12
258,42,2,2,1,2,2,2,1,12
261,42,2,2,1,2,2,2,1,12
264,42,2,2,2,2,2,2,2,14
265,42,1,1,2,2,1,2,1,10
272,42,1,2,2,2,2,1,2,12
284,42,2,1,2,2,1,2,2,12
286,42,2,1,2,1,2,2,1,11
287,42,2,1,2,2,2,2,2,13
297,42,2,2,1,2,2,2,2,13
298,42,1,1,2,2,2,1,2,11
299,42,2,2,1,2,2,2,1,12
301,42,1,2,2,2,2,2,2,13
306,42,2,1,1,2,1,1,1,9
308,42,1,1,2,2,1,1,1,9
314,42,1,1,2,1,1,2,1,9
316,42,1,2,1,2,1,2,1,10
319,42,1,2,1,2,1,2,1,10
322,42,1,2,1,2,1,2,2,11
330,42,1,2,1,2,1,2,1,10
355,42,2,1,2,1,2,2,1,11
359,42,2,1,2,2,2,1,2,12
365,42,2,2,2,1,2,2,2,13
371,42,2,1,2,2,2,2,1,12
382,42,1,2,1,1,1,2,1,9
389,42,2,1,2,1,2,1,1,10
395,42,2,2,2,2,2,2,2,14
397,42,2,1,2,2,2,2,2,13
400,42,2,2,2,2,2,2,2,14
407,42,2,2,2,3,2,2,2,15
416,42,2,1,1,2,1,2,1,10
421,42,2,1,2,2,1,2,2,12
423,42,2,1,2,1,2,1,2,11
444,42,1,2,1,2,1,2,1,10
447,42,2,2,2,2,2,2,2,14
452,42,2,2,1,2,2,2,1,12
456,42,2,2,3,2,2,2,2,15
458,42,1,1,2,1,1,2,1,9
459,42,2,2,2,1,2,2,2,13
461,42,2,2,3,2,3,3,3,18
463,42,2,1,1,1,2,1,1,9
465,42,1,1,2,2,1,2,1,10
468,42,1,2,1,1,1,2,1,9
475,42,1,2,2,2,1,2,1,11
479,42,1,1,1,2,1,2,1,9
483,42,1,2,2,2,1,2,1,11
489,42,1,2,2,2,2,2,1,12
491,42,2,1,2,2,2,2,2,13
495,42,2,1,2,1,2,1,2,11
499,42,2,1,2,1,2,1,2,11
500,42,2,2,3,2,2,2,2,15
501,42,2,2,2,2,2,2,2,14
511,42,2,2,2,2,2,2,1,13
512,42,2,2,3,2,3,2,2,16
513,42,2,1,2,1,2,2,1,11
529,42,2,1,2,2,1,2,1,11
533,42,2,1,2,2,1,2,1,11
535,42,2,2,2,2,2,1,2,13
536,42,1,2,2,2,2,1,2,12
537,42,2,2,2,3,2,3,2,16
541,42,2,3,2,2,3,2,2,16
544,42,1,2,2,1,2,1,2,11
546,42,2,1,2,2,1,2,1,11
548,42,2,1,2,1,2,2,1,11
549,42,2,2,3,2,3,2,3,17
551,42,1,2,2,1,2,2,2,12
