Store Nbr,Spring 23 Layout,Link,SET Tool Status
32,No Indoor Mod,,TBD
33,D,https://one.walmart.com/content/dam/us-wire-wm1/documents/work/merchandise/seasonal/lawn-and-garden/spring-modular/lookup-tools/foliage/Foliage-Layout-D.pdf,Live
34,D,https://one.walmart.com/content/dam/us-wire-wm1/documents/work/merchandise/seasonal/lawn-and-garden/spring-modular/lookup-tools/foliage/Foliage-Layout-D.pdf,Live
35,B,https://one.walmart.com/content/dam/us-wire-wm1/documents/work/merchandise/seasonal/lawn-and-garden/spring-modular/lookup-tools/foliage/Foliage-Layout-B.pdf,Live
36,D,https://one.walmart.com/content/dam/us-wire-wm1/documents/work/merchandise/seasonal/lawn-and-garden/spring-modular/lookup-tools/foliage/Foliage-Layout-D.pdf,Live
37,C,https://one.walmart.com/content/dam/us-wire-wm1/documents/work/merchandise/seasonal/lawn-and-garden/spring-modular/lookup-tools/foliage/Foliage-Layout-C.pdf,TBD
38,D,https://one.walmart.com/content/dam/us-wire-wm1/documents/work/merchandise/seasonal/lawn-and-garden/spring-modular/lookup-tools/foliage/Foliage-Layout-D.pdf,TBD
39,C,https://one.walmart.com/content/dam/us-wire-wm1/documents/work/merchandise/seasonal/lawn-and-garden/spring-modular/lookup-tools/foliage/Foliage-Layout-C.pdf,Live
40,D,https://one.walmart.com/content/dam/us-wire-wm1/documents/work/merchandise/seasonal/lawn-and-garden/spring-modular/lookup-tools/foliage/Foliage-Layout-D.pdf,Live
41,D,https://one.walmart.com/content/dam/us-wire-wm1/documents/work/merchandise/seasonal/lawn-and-garden/spring-modular/lookup-tools/foliage/Foliage-Layout-D.pdf,Live
42,D,https://one.walmart.com/content/dam/us-wire-wm1/documents/work/merchandise/seasonal/lawn-and-garden/spring-modular/lookup-tools/foliage/Foliage-Layout-D.pdf,Live
43,D,https://one.walmart.com/content/dam/us-wire-wm1/documents/work/merchandise/seasonal/lawn-and-garden/spring-modular/lookup-tools/foliage/Foliage-Layout-D.pdf,Live
