Store Nbr,Host STO,line Number,Item Number,Item Description,WHPKs
1183,2127100215,1,599930754,5.5FT GRINCH INFLAT,6
1183,2127100215,2,599934019,18CT TRQ/SLV/WHT RND,9
1183,2127100215,3,599936591,18PC2PK FINIAL ORN,16
1183,2127100215,4,599938438,18CT TRQ/SLV/WHT PMK,13
1183,2127100215,5,599938508,50CT CPPR GNMTL ORN,11
1183,2127100215,6,599938509,50CT BLUSH WHITE ORN,12
1183,2127100215,7,599942979,6.5FT ANG TREE INFLAT,7
1183,2127100215,8,599943472,36PCBO 20CT MICRO L,31
1183,2127100215,9,599946961,34PCHOHOHO ORN ASST,76
1183,2127100215,10,599946985,14PCFABRIC SANTA ORN,13
1183,2127100215,11,599947488,300CT ICLE CLEAR-WW,11
1183,2127100215,12,599949193,18IN FA SANTA W LIST,6
1183,2127100215,13,599956633,64PCBO 20CT DOME LE,18
1183,2127100215,14,599971883,36PCBO 50CT MICRO 8,35
1183,2127100215,15,599971911,30PCBO 50CT 8FUNC A,9
1183,2127100215,16,599973634,GREENHOUSE,6
1183,2127100215,17,599973725,12PCLED 50CT C7 CSY,8
1183,2127100215,18,599977410,20PC25FT RED RIBBON,15
1183,2127100215,19,599977694,12PCLED 25 TKICICLE,11
1183,2127100215,20,599977780,18PCSMPL SEAS RBN T,17
1183,2127100215,21,650372740,IRID_ROSE GOLD GRLND,17
1183,2127100215,22,650835693,12PCCOPPER DECO ASTM,11
1183,2127100215,23,650835700,20PC25FT GOLD/SILVE,19
1183,2127100215,24,650854786,60PCBO 36 LED SUPER,6
1183,2127100215,25,650855344,12PCBO LED 100CT WI,8
1183,2127100215,26,651110578,24PCB/O 100CT MICR,45
1183,2127100215,27,651245810,28PCBIKE BAG POLY,27
1183,2127100215,28,651255681,SIMPLE SEASON TS AST,4
1183,2127100215,29,651256089,21PC8CT MBL/SLV GLS,20
1183,2127100215,30,652534428,21PC8CT DBL MATT GLS,20
1183,2127100215,31,653036984,21PC8CT CHP GLS ORN,20
1183,2127100215,32,653037064,21PC8CT CLR GLS ORN,20
