Store,Dept,Item Description,Feature Type,Feature Order Quantity,Feature Arrival WK,Comments
1,Dept 40,24PC EQ APAP 4OZ PDQ,PDQ,2,36,
1,Dept 40,CH TYL MTRN 36PC SDK,Sidekick,1,36,
1,Dept 40,EMC 10PC PDQ,PDQ,2,36,
1,Dept 40,EQ 40pc Allergy PDQ - Pills and Nasal Sprays,PDQ,2,36,
1,Dept 40,EQ Dayqul/Nyquil Compare to 15pc,PDQ,2,36,
1,Dept 40,EQ Epsom Salt 8lb Shipper 4ct,PDQ,1,36,
1,Dept 40,Eq Omep 42Ct 36Pc Pd,Full Endcap,1,36,
2,Dept 08,"1 Qt Round Heated Pet Bowl, 32 units",Full Endcap,2,36,
2,Dept 08,"6 Qt Round Heated Pet Bowl, Blue, 40 units",Full Endcap,2,36,
2,Dept 14,"Yellowstone Dinnerware, 12ps",Half Stack,2,36,
2,Dept 16,18IN SNOWSHVL COMBO (CASEPACK: 10),PDQ,4,36,
2,Dept 16,27IN SNOW ROLLER,PDQ,3,36,
2,Dept 16,"BABY SLED, 24 units",PDQ,1,36,
2,Dept 16,"BLUE SNOWFLAKE SLED, 12 units",PDQ,3,36,Item Replacement due to tariffs
2,Dept 16,PREM BLEND ICE MELT (100 Units),Full Stack,5,36,
2,Dept 17,MS 11.5oz Candles 450pc Half Pallet,Half Stack,1,36,
4,Dept 08,"1 Qt Round Heated Pet Bowl, 32 units",Full Endcap,1,36,
4,Dept 08,"6 Qt Round Heated Pet Bowl, Blue, 40 units",Full Endcap,1,36,
4,Dept 08,Vibrant Life 141L Cedar Shavings 50Ct,Full Stack,1,36,
4,Dept 08,Vibrant Life 141L Pine Shavings 50CT,Full Stack,1,36,
4,Dept 08,"Vibrant Life Pigglesworth Latex Dog Toy, 300pcs",Half Stack,1,36,
4,Dept 40,EQ Dayqul/Nyquil Compare to 15pc,PDQ,2,36,
5,Dept 02,"Jergens Lotion Loyalty Size, 52pcs",4-way,1,36,
5,Dept 08,Vibrant Life 141L Cedar Shavings 50Ct,Full Stack,1,36,
5,Dept 08,"Vibrant Life Pigglesworth Latex Dog Toy, 300pcs",Half Stack,1,36,
5,Dept 17,Religious 1/4 Pallet White 360pc,Side-stack,1,36,
5,Dept 26,"4 cc, Infant Beary Fleece Jacket",4-way,1,36,
5,Dept 32,Way to Celebrate Merry Market,Sidekick,2,36,
5,Dept 32,Way to Celebrate Merry Market Holiday,Sidekick,2,36,
5,Dept 32,Way to Celebrate Merry Market Holiday,Sidekick,2,36,
5,Dept 34,Heavyweight Outerwear Removable Hood (2 prices),4-way,1,36,
5,Dept 34,"Micro Fleece Jacket, Vest & FullZip Jkt (2 prices)",4-way,1,36,
5,Dept 34,Quilted Down Outerwear Vests (2 pricepoints),4-way,1,36,
5,Dept 34,Tec-One Hooded Faux Fur Lined Jacket and Legging,4-way,1,36,
5,Dept 40,24PC EQ APAP 4OZ PDQ,PDQ,1,36,
5,Dept 95,Hostess ScaryCakes Cupcakes Halloween Family Pack,Half Endcap,1,36,
7,Dept 08,Vibrant Life 141L Cedar Shavings 50Ct,Full Stack,1,36,
7,Dept 08,Vibrant Life 141L Pine Shavings 50CT,Full Stack,1,36,
7,Dept 09,"Coleman 120qt Cooler, 6 units",Full Stack,2,36,
7,Dept 17,MS 20oz Candles 300pc 1/2 Pallet,Half Stack,2,36,
7,Dept 23,Men's Athletic Works 12 Pack Socks 102 Pc,Half Stack,3,36,
7,Dept 46,"Assorted Beauty Sponge Sidekick, 126 pc",Sidekick,1,36,
7,Dept 71,"CANCEL - MS 5PC Folding Chairs & Table Set, 9 Unit",Full Endcap,2,36,Cancel due to tariffs.
7,Dept 92,"MOM SSZ Dyno Smores Flakes, 144 ct",Full Stack,1,36,
8,Dept 08,Nerf 2.5in 3pk Tennis Balls 49pc ,Sidekick,1,36,
8,Dept 08,Vibrant Life 141L Cedar Shavings 50Ct,Full Stack,1,36,
8,Dept 09,"Coleman 120qt Cooler, 6 units",Full Stack,1,36,
8,Dept 22,Oversize Realtree & Mossy Oak Throws,Full Stack,1,36,
8,Dept 22,Wild Frontier Throws,Half Stack,1,36,
8,Dept 40,24PC EQ APAP 4OZ PDQ,PDQ,1,36,
8,Dept 40,EQ Dayqul/Nyquil Compare to 15pc,PDQ,1,36,
10,Dept 02,"Jergens Lotion Loyalty Size, 52pcs",4-way,1,36,
10,Dept 08,Vibrant Life 141L Cedar Shavings 50Ct,Full Stack,1,36,
10,Dept 08,Vibrant Life 141L Pine Shavings 50CT,Full Stack,1,36,
10,Dept 08,"Vibrant Life Pigglesworth Latex Dog Toy, 300pcs",Half Stack,1,36,
10,Dept 16,"BLUE SNOWFLAKE SLED, 12 units",PDQ,1,36,Item Replacement due to tariffs
10,Dept 17,Scented Pinecones 145pc Dump Bin,Dump Bin,1,36,
10,Dept 23,98PC REEBOK SKI SYSTEMS JACKET AND BIBS,4-way,1,36,
