Store Nbr,Event 1 Total Pallets,Event 2 Total Pallets,Event 3 Total Pallets
1,47,50,107
2,46,37,114
3,70,62,167
4,44,42,118
5,50,48,117
7,56,40,131
8,30,27,69
9,42,34,105
10,59,65,118
11,52,40,125
12,54,49,141
13,36,30,87
14,45,40,101
15,60,54,123
16,46,46,107
17,51,41,114
18,28,28,68
19,75,56,162
20,36,36,99
21,44,42,105
22,42,39,114
23,49,36,108
24,39,32,97
25,37,37,90
26,45,38,96
27,33,34,73
28,42,39,113
29,52,33,127
30,45,30,108
31,47,54,114
32,30,23,69
33,34,29,71
34,36,30,90
35,68,56,137
36,58,45,137
37,50,37,114
38,32,31,84
39,34,28,77
40,46,31,104
41,71,64,172
42,30,32,83
43,46,33,111
44,26,25,61
45,61,45,143
46,39,31,107
47,42,33,96
48,31,31,87
49,37,38,101
50,29,33,84
51,33,29,74
52,42,30,86
54,36,34,97
55,34,31,81
56,30,30,67
57,27,25,56
58,73,54,165
59,51,52,152
60,45,35,90
61,41,39,103
62,28,29,89
63,40,36,87
64,31,28,63
65,41,34,78
66,30,31,85
67,32,37,83
68,32,28,74
69,60,53,138
70,49,31,107
71,36,38,93
72,46,38,105
73,40,52,117
74,34,26,65
75,45,34,108
76,26,26,73
77,41,34,95
78,34,32,85
79,41,39,105
80,34,24,82
81,27,30,75
82,28,28,63
83,43,29,80
85,42,32,106
86,41,32,87
87,39,27,95
88,38,30,74
89,37,35,83
90,49,44,113
91,34,26,95
92,26,28,73
93,45,31,101
94,46,42,123
95,40,35,110
96,40,42,97
97,35,36,75
98,38,26,78
99,35,32,70
100,58,47,136
101,48,40,107
102,35,32,89
103,82,70,140
104,38,41,108
105,56,53,134
106,38,26,66
107,32,39,83
108,30,31,80
109,31,29,67
110,48,31,91
111,29,33,70
112,61,36,126
113,39,40,96
114,43,39,96
115,33,30,92
116,30,23,59
117,28,31,65
118,42,37,98
119,59,48,129
120,39,31,92
121,34,35,103
122,34,31,76
123,45,48,91
124,46,30,92
125,53,60,137
126,34,28,84
127,38,32,89
128,43,36,98
129,60,46,146
130,62,43,130
131,49,47,123
132,27,24,66
133,28,30,68
134,51,40,103
135,41,29,80
136,27,26,54
137,37,39,90
138,37,29,84
139,37,31,83
140,83,63,218
141,52,41,135
143,39,39,89
144,51,36,117
145,31,33,56
146,35,30,85
147,52,55,115
148,62,56,149
149,33,26,71
150,34,35,89
151,48,49,123
152,42,33,97
153,39,37,113
154,42,34,102
155,32,28,82
157,54,50,136
158,35,35,104
159,36,33,84
160,32,36,83
161,30,31,67
162,26,27,74
163,56,49,129
164,49,43,97
165,47,38,102
166,31,27,65
167,33,28,76
168,63,54,156
169,29,24,67
170,40,32,90
171,36,29,86
172,41,43,117
173,29,28,65
174,36,32,116
175,39,26,92
176,33,30,69
177,38,39,101
178,23,23,57
179,40,37,103
180,40,39,105
181,39,37,93
182,47,27,95
183,43,38,81
184,65,45,146
185,51,46,122
186,37,33,95
188,72,52,167
189,49,43,103
190,37,32,91
192,62,53,118
194,61,55,153
195,36,33,84
196,38,30,76
197,52,42,83
198,36,40,74
199,42,38,90
200,55,55,112
201,42,32,95
202,29,26,61
203,28,29,67
204,36,36,101
205,48,41,109
206,40,34,86
207,27,26,67
209,27,26,58
210,27,30,74
211,35,31,94
212,53,50,157
213,39,33,93
214,47,35,127
216,49,44,124
217,35,35,77
218,36,30,74
219,51,41,118
220,82,47,186
221,52,51,129
222,37,29,80
224,47,44,99
225,33,28,84
226,41,31,88
227,42,33,103
228,58,42,143
229,36,30,77
230,28,24,54
231,53,43,136
232,34,27,73
233,30,28,63
234,45,38,108
236,35,26,93
237,42,37,91
238,47,33,95
239,47,56,105
240,29,28,75
242,32,30,67
243,44,39,106
244,26,25,67
246,26,28,64
247,30,34,78
248,37,35,120
249,61,45,139
250,28,33,66
251,37,41,92
252,30,27,63
253,36,38,82
254,32,25,72
256,67,41,134
257,31,24,59
258,64,55,154
259,57,40,133
260,56,49,167
261,59,38,125
262,35,34,88
264,59,50,130
265,42,34,113
266,41,27,83
267,38,32,103
