Club #,Workgroup,Role,FY23 FT HC Pln,FY23 PT HC Pln,FY23 Total HC Pln,YoY FT HC Change,YoY PT HC Change,YoY Total HC Change
4707,Fresh,Baker/Packager,2,4,6,0,1,1
4707,Fresh,Bakery Lead,1,0,1,0,0,0
4707,Fresh,Café,3,3,6,0,-1,-1
4707,Fresh,Cake Decorator,3,0,3,0,0,0
4707,Fresh,Freezer/Cooler/Deli,4,3,7,1,1,2
4707,Fresh,HMS/Rotisserie,3,4,7,0,0,0
4707,Fresh,Meat Cutter/Wrapper,4,1,5,0,0,0
4707,Fresh,Meat Lead,1,0,1,0,0,0
4707,Fresh,Prepared Food Lead,1,0,1,0,0,0
4707,Fresh,Produce,4,5,9,0,1,1
4707,Fresh,Produce Lead,1,0,1,0,0,0
4707,Fresh,Senior Meat Cutter,4,1,5,0,0,0
4707,Member Team,Member Assist,4,4,8,0,0,0
4707,Member Team,Member Frontline,5,16,21,0,2,2
4707,Member Team,Member Specialist,9,4,13,0,0,0
4707,Member Team,Member Support,0,0,0,0,0,0
4707,Member Team,Member Team Lead,5,0,5,0,0,0
4707,Merchandising Team,Backroom Associate,4,0,4,0,0,0
4707,Merchandising Team,Forklift Driver,4,0,4,0,0,0
4707,Merchandising Team,Merchandising,10,10,20,0,0,0
4707,Merchandising Team,Merchandising Lead,4,0,4,0,0,0
4707,Personal Shopper,Personal Shopper,9,5,14,-1,2,1
4707,Personal Shopper,Personal Shopper Lead,1,0,1,0,0,0
4707,Specialty,Fuel/Car Wash,2,1,3,0,0,0
4707,Specialty,Maintenance,3,2,5,0,0,0
4707,Specialty,Optical,2,0,2,0,0,0
4707,Specialty,Pharmacy Tech,2,2,4,0,0,0
4707,Specialty,TBC Lead,1,0,1,0,0,0
4707,Specialty,TBC Tire Tech,4,2,6,0,0,0
4791,Fresh,Baker/Packager,2,0,2,0,-1,-1
4791,Fresh,Bakery Lead,1,0,1,0,0,0
4791,Fresh,Café,3,3,6,1,0,1
4791,Fresh,Cake Decorator,2,1,3,0,0,0
4791,Fresh,Freezer/Cooler/Deli,3,1,4,0,0,0
4791,Fresh,HMS/Rotisserie,2,2,4,0,0,0
4791,Fresh,Meat Cutter/Wrapper,1,1,2,0,0,0
4791,Fresh,Meat Lead,1,0,1,0,0,0
4791,Fresh,Prepared Food Lead,1,0,1,0,0,0
4791,Fresh,Produce,2,3,5,0,1,1
4791,Fresh,Produce Lead,1,0,1,0,0,0
4791,Fresh,Senior Meat Cutter,3,1,4,0,0,0
4791,Member Team,Member Assist,2,3,5,0,0,0
4791,Member Team,Member Frontline,4,15,19,0,0,0
4791,Member Team,Member Specialist,5,2,7,0,1,1
4791,Member Team,Member Support,0,0,0,0,0,0
4791,Member Team,Member Team Lead,4,0,4,0,0,0
4791,Merchandising Team,Backroom Associate,4,0,4,0,0,0
4791,Merchandising Team,Forklift Driver,3,0,3,0,0,0
4791,Merchandising Team,Merchandising,7,5,12,0,0,0
4791,Merchandising Team,Merchandising Lead,4,0,4,0,0,0
4791,Personal Shopper,Personal Shopper,3,2,5,0,2,2
4791,Personal Shopper,Personal Shopper Lead,1,0,1,0,0,0
4791,Specialty,Fuel/Car Wash,2,1,3,0,0,0
4791,Specialty,Maintenance,2,2,4,0,0,0
4791,Specialty,Pharmacy Tech,1,2,3,0,0,0
4870,Fresh,Baker/Packager,2,3,5,0,1,1
4870,Fresh,Bakery Lead,1,0,1,0,0,0
4870,Fresh,Café,4,4,8,0,1,1
4870,Fresh,Cake Decorator,3,1,4,0,0,0
4870,Fresh,Freezer/Cooler/Deli,3,2,5,0,0,0
4870,Fresh,HMS/Rotisserie,3,3,6,0,0,0
4870,Fresh,Meat Cutter/Wrapper,1,3,4,0,0,0
4870,Fresh,Meat Lead,1,0,1,0,0,0
4870,Fresh,Prepared Food Lead,1,0,1,0,0,0
4870,Fresh,Produce,2,4,6,0,0,0
4870,Fresh,Produce Lead,1,0,1,0,0,0
4870,Fresh,Senior Meat Cutter,3,1,4,0,0,0
4870,Member Team,Member Assist,3,4,7,0,1,1
4870,Member Team,Member Frontline,5,17,22,0,0,0
4870,Member Team,Member Specialist,6,3,9,0,0,0
4870,Member Team,Member Support,0,0,0,0,0,0
4870,Member Team,Member Team Lead,5,0,5,0,0,0
4870,Merchandising Team,Backroom Associate,4,0,4,0,0,0
