Region,Market,Store Number,Percentage,
2,18,515,102.46%,
2,18,1070,68.49%,
2,18,1122,57.57%,
2,18,1403,70.91%,
2,18,2513,125.00%,
2,18,2753,54.10%,
2,18,3485,97.06%,
2,18,3874,81.63%,
2,18,4616,69.89%,
2,18,5786,77.70%,
2,18,5812,39.32%,
2,18,7185,75.97%,
2,19,594,56.03%,
2,19,745,65.42%,
2,19,787,68.44%,
2,19,3201,78.21%,
2,19,3402,64.48%,
2,19,3609,55.75%,
2,19,5709,87.71%,
2,20,855,113.04%,
2,20,1047,64.48%,
2,20,3118,83.58%,
2,20,3401,68.50%,
2,20,3709,109.10%,
2,20,3710,104.67%,
2,20,6998,111.24%,
2,21,3,45.47%,
2,21,510,78.71%,
2,21,520,50.24%,
2,21,780,77.90%,
2,21,1111,52.61%,
2,21,1121,59.71%,
2,21,1363,90.58%,
2,21,1400,89.55%,
2,21,1701,72.34%,
2,21,2811,86.56%,
2,21,3627,88.93%,
2,21,5482,70.63%,
2,22,615,95.71%,
2,22,722,110.78%,
2,22,727,73.54%,
2,22,856,77.75%,
2,22,1488,111.69%,
2,22,2732,62.96%,
2,22,3205,98.98%,
2,22,3741,78.79%,
2,22,4409,49.87%,
2,23,1184,61.07%,
2,23,1373,34.76%,
2,23,1720,34.46%,
2,23,2584,82.67%,
2,23,3067,69.42%,
2,23,3188,86.69%,
2,23,3621,125.00%,
2,24,518,90.58%,
2,24,878,52.31%,
2,24,1314,84.55%,
2,24,1578,100.53%,
2,24,1766,71.63%,
2,24,2154,71.48%,
2,24,2941,86.26%,
2,24,3462,70.43%,
2,24,4185,70.06%,
2,24,4436,76.84%,
2,24,5814,71.95%,
2,25,459,70.27%,
2,25,548,73.88%,
2,25,1340,99.46%,
2,25,2475,35.17%,
2,25,3388,61.91%,
2,25,3389,38.79%,
2,25,3786,62.01%,
2,25,4472,91.52%,
2,25,4558,56.79%,
2,25,5252,51.05%,
2,26,575,76.53%,
2,26,618,101.20%,
2,26,937,73.13%,
2,26,1181,108.05%,
2,26,1586,67.92%,
2,26,3403,64.49%,
2,26,3471,47.31%,
2,26,3611,56.61%,
2,26,3748,56.20%,
2,26,5275,68.45%,
2,26,5390,81.62%,
2,30,754,92.72%,
2,30,1024,70.34%,
2,30,1143,26.33%,
2,30,1227,125.00%,
2,30,1293,74.96%,
2,30,1658,76.54%,
2,30,2754,107.48%,
2,30,3570,125.00%,
2,30,4144,102.55%,
2,30,5735,125.00%,
2,32,555,117.97%,
2,32,758,67.93%,
2,32,907,65.38%,
2,32,1076,58.82%,
2,32,1153,122.14%,
2,32,1367,123.15%,
2,32,2733,54.53%,
2,32,2890,85.54%,
2,32,3750,67.24%,
2,32,7246,114.84%,
2,Region Total,,77.90%,
3,27,588,99.12%,
3,27,843,125.00%,
3,27,889,125.00%,
3,27,899,112.02%,
3,27,952,71.58%,
3,27,1006,83.71%,
3,27,1072,48.16%,
3,27,2615,125.00%,
3,27,5797,96.18%,
3,27,7194,72.24%,
3,27,7245,125.00%,
3,28,556,98.82%,
3,28,593,69.46%,
3,28,639,125.00%,
3,28,686,60.42%,
3,28,836,68.52%,
3,28,862,96.83%,
3,28,864,82.33%,
3,28,1018,80.50%,
3,28,1061,96.67%,
3,28,2630,62.04%,
3,28,5392,45.33%,
3,89,110,71.06%,
3,89,705,120.43%,
3,89,706,67.00%,
3,89,713,67.84%,
3,89,800,101.81%,
3,89,942,74.34%,
3,89,2695,67.47%,
3,89,5299,49.76%,
3,93,538,70.22%,
3,93,551,77.42%,
3,93,697,57.12%,
3,93,960,56.75%,
3,93,1081,55.99%,
3,93,1283,77.22%,
3,93,1297,73.37%,
3,93,1847,55.02%,
3,93,3877,104.90%,
3,93,4368,40.80%,
3,93,5326,48.86%,
3,94,563,48.81%,
3,94,579,63.68%,
3,94,582,47.81%,
3,94,613,77.89%,
3,94,857,68.49%,
3,94,860,97.37%,
3,94,1079,78.81%,
3,94,1182,77.93%,
3,94,1391,43.27%,
3,94,3207,91.73%,
3,94,3310,30.05%,
3,95,959,125.00%,
3,95,1029,34.69%,
3,95,1104,69.40%,
3,95,1213,28.22%,
3,95,2843,68.48%,
3,95,3526,74.34%,
3,95,4262,58.57%,
3,95,5772,69.18%,
3,98,928,36.63%,
3,98,977,44.44%,
3,98,1082,58.03%,
3,98,1172,51.89%,
3,98,1173,51.41%,
3,98,1444,108.79%,
3,98,3309,92.61%,
3,98,3702,55.31%,
3,98,4444,67.49%,
3,98,5037,77.24%,
3,98,5054,37.96%,
3,101,767,100.45%,
3,101,1083,76.46%,
3,101,1090,48.45%,
3,101,1205,53.91%,
3,101,1219,38.98%,
3,101,1225,59.25%,
3,101,2626,84.06%,
3,101,2920,35.12%,
3,101,3308,66.87%,
3,101,6978,63.52%,
3,104,967,30.22%,
3,104,988,68.32%,
3,104,994,69.03%,
3,104,1085,43.97%,
3,104,2740,60.07%,
3,104,3415,65.66%,
3,104,3418,78.38%,
3,104,5266,42.88%,
3,111,1390,113.24%,
3,111,1513,52.62%,
3,111,1536,89.12%,
3,111,1712,68.77%,
3,111,2081,113.16%,
3,111,2796,72.93%,
3,111,3372,63.82%,
3,111,4690,49.73%,
3,111,5218,68.75%,
3,112,925,36.61%,
3,112,1482,47.66%,
3,112,1501,13.13%,
3,112,1960,41.08%,
3,112,2627,44.01%,
3,112,3197,40.18%,
3,112,4681,61.38%,
3,112,5036,48.32%,
3,112,5220,103.43%,
