Store,Market,Feature Name ,"Feature Size (Half pallet, pallet, endcap, etc..)",Delivery Week
2660,157,Melissa & Doug Sticker Wow!,Half Pallet,39
805,340,Melissa & Doug Sticker Wow!,Half Pallet,39
2180,157,Melissa & Doug Sticker Wow!,Half Pallet,39
2502,231,Melissa & Doug Sticker Wow!,Half Pallet,39
1341,254,Melissa & Doug Sticker Wow!,Half Pallet,39
729,256,Melissa & Doug Sticker Wow!,Half Pallet,39
2318,231,Melissa & Doug Sticker Wow!,Half Pallet,39
3265,288,Melissa & Doug Sticker Wow!,Half Pallet,39
603,278,Melissa & Doug Sticker Wow!,Half Pallet,39
1301,312,Melissa & Doug Sticker Wow!,Half Pallet,39
2297,448,Melissa & Doug Sticker Wow!,Half Pallet,39
2054,450,Melissa & Doug Sticker Wow!,Half Pallet,39
990,14,Melissa & Doug Sticker Wow!,Half Pallet,39
4451,373,Melissa & Doug Sticker Wow!,Half Pallet,39
1126,506,Melissa & Doug Sticker Wow!,Half Pallet,39
4567,379,Melissa & Doug Sticker Wow!,Half Pallet,39
886,426,Melissa & Doug Sticker Wow!,Half Pallet,39
1757,419,Melissa & Doug Sticker Wow!,Half Pallet,39
936,272,Melissa & Doug Sticker Wow!,Half Pallet,39
1504,221,Melissa & Doug Sticker Wow!,Half Pallet,39
1532,369,Melissa & Doug Sticker Wow!,Half Pallet,39
2291,458,Melissa & Doug Sticker Wow!,Half Pallet,39
2059,231,Melissa & Doug Sticker Wow!,Half Pallet,39
3516,458,Melissa & Doug Sticker Wow!,Half Pallet,39
1935,231,Melissa & Doug Sticker Wow!,Half Pallet,39
1012,444,Melissa & Doug Sticker Wow!,Half Pallet,39
2803,352,Melissa & Doug Sticker Wow!,Half Pallet,39
2332,181,Melissa & Doug Sticker Wow!,Half Pallet,39
2052,453,Melissa & Doug Sticker Wow!,Half Pallet,39
3633,234,Melissa & Doug Sticker Wow!,Half Pallet,39
2551,280,Melissa & Doug Sticker Wow!,Half Pallet,39
892,414,Melissa & Doug Sticker Wow!,Half Pallet,39
2199,216,Melissa & Doug Sticker Wow!,Half Pallet,39
4279,44,Melissa & Doug Sticker Wow!,Half Pallet,39
689,257,Melissa & Doug Sticker Wow!,Half Pallet,39
3620,403,Melissa & Doug Sticker Wow!,Half Pallet,39
2206,466,Melissa & Doug Sticker Wow!,Half Pallet,39
10,347,Melissa & Doug Sticker Wow!,Half Pallet,39
29,336,Melissa & Doug Sticker Wow!,Half Pallet,39
31,351,Melissa & Doug Sticker Wow!,Half Pallet,39
37,335,Melissa & Doug Sticker Wow!,Half Pallet,39
69,335,Melissa & Doug Sticker Wow!,Half Pallet,39
101,336,Melissa & Doug Sticker Wow!,Half Pallet,39
103,351,Melissa & Doug Sticker Wow!,Half Pallet,39
112,138,Melissa & Doug Sticker Wow!,Half Pallet,39
141,321,Melissa & Doug Sticker Wow!,Half Pallet,39
172,340,Melissa & Doug Sticker Wow!,Half Pallet,39
188,335,Melissa & Doug Sticker Wow!,Half Pallet,39
216,271,Melissa & Doug Sticker Wow!,Half Pallet,39
231,351,Melissa & Doug Sticker Wow!,Half Pallet,39
243,339,Melissa & Doug Sticker Wow!,Half Pallet,39
272,153,Melissa & Doug Sticker Wow!,Half Pallet,39
310,132,Melissa & Doug Sticker Wow!,Half Pallet,39
372,406,Melissa & Doug Sticker Wow!,Half Pallet,39
398,46,Melissa & Doug Sticker Wow!,Half Pallet,39
452,80,Melissa & Doug Sticker Wow!,Half Pallet,39
481,273,Melissa & Doug Sticker Wow!,Half Pallet,39
492,580,Melissa & Doug Sticker Wow!,Half Pallet,39
500,505,Melissa & Doug Sticker Wow!,Half Pallet,39
512,505,Melissa & Doug Sticker Wow!,Half Pallet,39
531,132,Melissa & Doug Sticker Wow!,Half Pallet,39
532,130,Melissa & Doug Sticker Wow!,Half Pallet,39
549,71,Melissa & Doug Sticker Wow!,Half Pallet,39
554,88,Melissa & Doug Sticker Wow!,Half Pallet,39
559,418,Melissa & Doug Sticker Wow!,Half Pallet,39
577,362,Melissa & Doug Sticker Wow!,Half Pallet,39
579,94,Melissa & Doug Sticker Wow!,Half Pallet,39
581,414,Melissa & Doug Sticker Wow!,Half Pallet,39
592,406,Melissa & Doug Sticker Wow!,Half Pallet,39
632,36,Melissa & Doug Sticker Wow!,Half Pallet,39
645,433,Melissa & Doug Sticker Wow!,Half Pallet,39
670,2,Melissa & Doug Sticker Wow!,Half Pallet,39
682,151,Melissa & Doug Sticker Wow!,Half Pallet,39
694,254,Melissa & Doug Sticker Wow!,Half Pallet,39
701,254,Melissa & Doug Sticker Wow!,Half Pallet,39
721,118,Melissa & Doug Sticker Wow!,Half Pallet,39
734,7,Melissa & Doug Sticker Wow!,Half Pallet,39
746,76,Melissa & Doug Sticker Wow!,Half Pallet,39
766,137,Melissa & Doug Sticker Wow!,Half Pallet,39
775,279,Melissa & Doug Sticker Wow!,Half Pallet,39
776,432,Melissa & Doug Sticker Wow!,Half Pallet,39
