Store,OP Model Tier,Fashion Coach,Coach Movement ,Approved TL Headcount,RFID Tracking ,Link to Tracking
1,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
2,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881052016631,FedEx Tracking
4,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
5,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
7,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
8,3,NO,N/A,4,#N/A,FedEx Tracking
9,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
11,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
13,3,NO,N/A,4,#N/A,FedEx Tracking
16,2,YES,Move Existing Coach,4,https://www.fedex.com/wtrk/track/?tracknumbers=881052124128,FedEx Tracking
17,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
18,3,NO,N/A,3,#N/A,FedEx Tracking
19,1,YES,Hire,4,#N/A,FedEx Tracking
23,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
24,2,YES,Hire,4,#N/A,FedEx Tracking
30,3,NO,N/A,4,#N/A,FedEx Tracking
33,3,NO,N/A,3,#N/A,FedEx Tracking
34,3,NO,N/A,3,#N/A,FedEx Tracking
37,2,YES,Hire,4,#N/A,FedEx Tracking
48,3,NO,N/A,3,#N/A,FedEx Tracking
52,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
54,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881052276780,FedEx Tracking
55,3,NO,N/A,3,https://www.fedex.com/wtrk/track/?tracknumbers=881052366050,FedEx Tracking
57,3,NO,N/A,3,#N/A,FedEx Tracking
58,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
59,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
64,3,NO,N/A,3,#N/A,FedEx Tracking
66,3,NO,N/A,4,https://www.fedex.com/wtrk/track/?tracknumbers=881052454894,FedEx Tracking
67,3,NO,N/A,4,https://www.fedex.com/wtrk/track/?tracknumbers=881052566320,FedEx Tracking
69,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
71,3,NO,N/A,4,#N/A,FedEx Tracking
73,3,NO,N/A,4,#N/A,FedEx Tracking
76,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881052735246,FedEx Tracking
