Store,DC,Commodity,23-Dec,24-Dec,25-Dec,26-Dec,27-Dec,28-Dec,29-Dec
528,7023,MPDD,1,1,0,1,1,1,1
1004,7023,MPDD,1,1,0,1,1,1,1
1387,7023,MPDD,1,1,0,1,1,1,1
1438,6090,MPDD,1,1,0,1,1,1,1
1439,6090,MPDD,1,1,0,1,1,1,1
1440,6090,MPDD,1,1,0,1,1,1,1
1456,6090,MPDD,1,1,0,1,1,1,1
1461,6090,MPDD,1,1,0,1,1,1,1
1511,7023,MPDD,1,1,0,1,1,1,1
1517,7023,MPDD,1,1,0,1,1,1,1
1559,6090,MPDD,1,1,0,1,1,1,1
1560,8852,MPDD,1,1,0,1,1,1,1
1563,8852,MPDD,1,1,0,1,1,1,1
1572,6090,MPDD,1,1,0,1,1,1,1
1573,6090,MPDD,1,1,0,1,1,1,1
1574,8852,MPDD,1,1,0,1,1,1,1
1583,8852,MPDD,1,0,0,1,1,1,1
1584,8852,MPDD,1,1,0,1,1,1,1
1587,8852,MPDD,1,1,0,1,0,1,1
1590,7023,MPDD,1,1,0,1,1,1,1
1600,8852,MPDD,1,1,0,1,1,1,1
1624,8852,MPDD,1,1,0,1,1,1,1
1645,8852,MPDD,1,1,0,1,1,1,1
1660,8852,MPDD,1,1,0,1,1,1,1
1680,7023,MPDD,1,1,0,1,1,1,1
1686,6090,MPDD,1,1,0,1,1,1,1
1699,6090,MPDD,1,1,0,1,1,1,1
1708,6090,MPDD,1,1,0,1,1,1,1
1768,6090,MPDD,1,1,0,1,1,1,1
1815,8852,MPDD,1,1,0,1,1,1,1
1826,8852,MPDD,1,1,0,1,1,1,1
1827,6090,MPDD,1,1,0,1,1,1,1
1838,8852,MPDD,0,0,0,1,0,0,0
1840,8852,MPDD,1,1,0,1,1,1,1
1845,7023,MPDD,1,1,0,1,1,1,1
1851,7023,MPDD,1,1,0,1,1,1,1
1872,6090,MPDD,1,1,0,1,1,1,1
1874,7023,MPDD,1,1,0,1,1,1,1
1877,8852,MPDD,1,0,0,1,0,1,1
1878,6090,MPDD,1,1,0,1,1,1,1
1879,8852,MPDD,1,1,0,1,1,1,1
1882,8852,MPDD,1,1,0,1,1,1,1
1888,6090,MPDD,1,1,0,1,1,1,1
1900,6090,MPDD,1,1,0,1,1,1,1
1901,6090,MPDD,1,1,0,1,1,1,1
