Store Number,City,State,,,Add Hollow Metal Exterior Door to Breakroom (CI31669) SC/D1,Add HDPE Insulated Interior Door to Breakroom (CI31669) SC/D1, Interior Door impacts Entertainment. Yes or No                       (3rd Party sent for TV Wall Cabling),Add Hollow Metal Door to Breakroom (CI 31701) WNM,Add HDPE Insulated Interior Door to Breakroom (CI 31701)  WNM,Revise Breakroom Door Hardware CI31941,"Add Hollow Metal Exterior Door  - Customer Service, Money Center, Vacant Tenant (CI31686)","Add HDPE Insulated Interior Door  - Customer Service, Money Center, Vacant Tenant (CI31686)",Add Hollow Metal Exterior Door - Occupied Tenant CI31807,Add HDPE Interior  Door - Occupied Tenant CI31807,Add  In-lane Door to  In-Lane Money Center / Cosmetic Bullpens CI31624,Add Hollow Metal Exterior Door to Liquor Tenant CI31682,Add HDPE Interior Door to Liquor Tenant CI31682, Revise Alarm for ACC Door CI31733,Add or Revise Exterior Door at Vision Center CI31768
44,Eldon,MO,5/12/2024,5/24/2024,1,,No,,,,,,,,,,,,
446,Madisonville,TX,6/2/2024,6/14/2024,,1,No,,,,,,,,,,,,
133,Ashdown,AR,5/19/2024,5/26/2024,2,,No,,,,,,,,,,,,
296,Dardanelle,AR,5/19/2024,5/26/2024,1,,No,,,,,,,,,,,,
1550,Gunnison,CO,5/20/2024,5/26/2024,1,,No,,,,,,,,,,,,
977,Fernandina Beach,FL,5/12/2024,5/24/2024,,1,Yes,,,,,,,,,,,,
3372,Largo,FL,5/26/2024,6/7/2024,1,,No,,,,,,,,,,,,
567,Caldwell,TX,6/2/2024,6/14/2024,,1,No,,,,,,,,,,,,
2900,Rocky Hill,CT,6/7/2024,6/19/2024,1,1,No,,,,,,,,,,,,
951,Hempstead,TX,6/2/2024,6/14/2024,1,,No,,,,,,,,,,,,
1398,Lake Worth,FL,5/19/2024,5/26/2024,,1,Yes,,,,,,,,,,,,
1029,Homosassa,FL,5/19/2024,5/31/2024,,2,No,,,,,,,,,,,,
841,Tipton,IA,5/13/2024,5/19/2024,,1,No,,,,,,,,,,,,
1013,Clinton,IN,5/26/2024,6/7/2024,,1,No,,,,,,,,,,,,
1078,Ballinger,TX,6/2/2024,6/14/2024,1,,No,,,,,,,,,,,,
713,Dade City,FL,6/9/2024,6/21/2024,1,,No,,,,,,,,,,,,
