Store Number,NSW2 CONSOLE - QTY,NSW2 MARIO KART WLD - QTY,Total Estimate: In-store Launch (QTY) ,Time Zone,Event Type
690,3,11,14,EST,Morning Event- June 5
691,14,21,35,CST,Morning Event- June 5
692,4,11,15,EST,Morning Event- June 5
693,10,5,15,EST,Morning Event- June 5
694,6,11,17,CST,Morning Event- June 5
695,6,5,11,CST,Morning Event- June 5
696,3,5,8,EST,Morning Event- June 5
697,6,17,23,EST,Morning Event- June 5
698,3,11,14,EST,Morning Event- June 5
699,7,11,18,CST,Morning Event- June 5
700,3,5,8,CST,Morning Event- June 5
701,2,11,13,CST,Morning Event- June 5
702,6,11,17,EST,Morning Event- June 5
703,4,11,15,CST,Morning Event- June 5
705,2,11,13,EST,Morning Event- June 5
706,6,11,17,EST,Morning Event- June 5
707,4,5,9,CST,Morning Event- June 5
708,6,5,11,CST,Morning Event- June 5
709,6,11,17,EST,Morning Event- June 5
710,3,6,9,CST,Morning Event- June 5
711,11,16,27,CST,Morning Event- June 5
712,7,11,18,CST,Morning Event- June 5
713,5,5,10,EST,Morning Event- June 5
714,5,5,10,CST,Morning Event- June 5
715,5,11,16,CST,Morning Event- June 5
716,8,5,13,CST,Morning Event- June 5
718,6,11,17,EST,Morning Event- June 5
719,2,18,20,EST,Morning Event- June 5
720,4,11,15,EST,Morning Event- June 5
721,5,11,16,EST,Morning Event- June 5
722,2,11,13,EST,Morning Event- June 5
723,3,6,9,CST,Morning Event- June 5
724,2,11,13,EST,Morning Event- June 5
725,6,16,22,EST,Morning Event- June 5
726,7,5,12,CST,Morning Event- June 5
727,4,5,9,EST,Morning Event- June 5
728,6,5,11,EST,Morning Event- June 5
729,6,11,17,EST,Morning Event- June 5
730,6,5,11,CST,Morning Event- June 5
731,2,5,7,CST,Morning Event- June 5
733,3,5,8,EST,Morning Event- June 5
734,11,11,22,CST,Morning Event- June 5
735,7,11,18,CST,Morning Event- June 5
736,6,6,12,CST,Morning Event- June 5
737,4,11,15,CST,Morning Event- June 5
738,10,5,15,CST,Morning Event- June 5
739,4,11,15,EST,Morning Event- June 5
740,4,5,9,CST,Morning Event- June 5
741,4,11,15,EST,Morning Event- June 5
742,3,16,19,EST,Morning Event- June 5
743,4,11,15,CST,Morning Event- June 5
744,6,11,17,CST,Morning Event- June 5
745,3,5,8,EST,Morning Event- June 5
746,6,11,17,CST,Morning Event- June 5
748,2,6,8,CST,Morning Event- June 5
749,5,5,10,CST,Morning Event- June 5
750,5,5,10,CST,Morning Event- June 5
751,6,5,11,CST,Morning Event- June 5
752,5,11,16,CST,Morning Event- June 5
753,3,11,14,CST,Morning Event- June 5
754,5,11,16,EST,Morning Event- June 5
755,5,16,21,CST,Morning Event- June 5
756,6,5,11,EST,Morning Event- June 5
757,8,11,19,CST,Morning Event- June 5
758,6,5,11,EST,Morning Event- June 5
759,6,5,11,EST,Morning Event- June 5
760,5,5,10,CST,Morning Event- June 5
761,8,5,13,CST,Morning Event- June 5
762,5,5,10,CST,Morning Event- June 5
764,5,5,10,CST,Morning Event- June 5
765,4,11,15,CST,Morning Event- June 5
766,11,16,27,CST,Morning Event- June 5
767,12,11,23,EST,Morning Event- June 5
768,5,11,16,CST,Morning Event- June 5
769,4,6,10,EST,Morning Event- June 5
770,8,11,19,CST,Morning Event- June 5
771,2,11,13,EST,Morning Event- June 5
772,5,6,11,CST,Morning Event- June 5
773,6,6,12,CST,Morning Event- June 5
774,11,11,22,CST,Morning Event- June 5
775,6,11,17,CST,Morning Event- June 5
776,11,11,22,CST,Morning Event- June 5
777,4,11,15,CST,Morning Event- June 5
778,6,6,12,EST,Morning Event- June 5
779,2,11,13,EST,Morning Event- June 5
780,4,11,15,EST,Morning Event- June 5
781,8,11,19,CST,Morning Event- June 5
782,8,11,19,CST,Morning Event- June 5
783,2,5,7,CST,Morning Event- June 5
784,6,5,11,CST,Morning Event- June 5
785,10,5,15,CST,Morning Event- June 5
786,4,11,15,CST,Morning Event- June 5
787,5,5,10,EST,Morning Event- June 5
788,5,5,10,CST,Morning Event- June 5
789,3,11,14,CST,Morning Event- June 5
790,6,5,11,CST,Morning Event- June 5
791,9,11,20,CST,Morning Event- June 5
792,5,5,10,CST,Morning Event- June 5
793,6,6,12,CST,Morning Event- June 5
794,14,11,25,CST,Morning Event- June 5
795,5,5,10,EST,Morning Event- June 5
796,3,11,14,CST,Morning Event- June 5
797,5,11,16,CST,Morning Event- June 5
798,4,5,9,CST,Morning Event- June 5
799,8,11,19,CST,Morning Event- June 5
800,6,11,17,EST,Morning Event- June 5
801,7,5,12,CST,Morning Event- June 5
802,7,11,18,CST,Morning Event- June 5
803,10,5,15,CST,Morning Event- June 5
804,6,6,12,CST,Morning Event- June 5
805,2,11,13,CST,Morning Event- June 5
807,5,11,16,CST,Morning Event- June 5
808,7,11,18,CST,Morning Event- June 5
809,7,11,18,CST,Morning Event- June 5
810,10,16,26,CST,Morning Event- June 5
811,7,5,12,EST,Morning Event- June 5
812,11,11,22,CST,Morning Event- June 5
813,10,11,21,CST,Morning Event- June 5
814,16,11,27,EST,Morning Event- June 5
815,8,11,19,CST,Morning Event- June 5
816,4,6,10,CST,Morning Event- June 5
817,4,17,21,EST,Morning Event- June 5
818,5,11,16,CST,Morning Event- June 5
819,2,11,13,EST,Morning Event- June 5
820,6,5,11,CST,Morning Event- June 5
822,9,11,20,CST,Morning Event- June 5
823,8,11,19,CST,Morning Event- June 5
825,6,5,11,EST,Morning Event- June 5
827,10,11,21,CST,Morning Event- June 5
828,6,16,22,EST,Morning Event- June 5
830,6,5,11,CST,Morning Event- June 5
833,6,5,11,CST,Morning Event- June 5
834,5,5,10,CST,Morning Event- June 5
836,2,16,18,EST,Morning Event- June 5
837,3,5,8,CST,Morning Event- June 5
838,3,11,14,CST,Morning Event- June 5
839,5,5,10,CST,Morning Event- June 5
841,5,5,10,CST,Morning Event- June 5
843,4,5,9,EST,Morning Event- June 5
844,4,11,15,CST,Morning Event- June 5
845,5,5,10,CST,Morning Event- June 5
846,6,5,11,CST,Morning Event- June 5
847,6,5,11,CST,Morning Event- June 5
848,5,5,10,CST,Morning Event- June 5
849,5,11,16,CST,Morning Event- June 5
852,6,11,17,CST,Morning Event- June 5
853,2,12,14,CST,Morning Event- June 5
854,2,5,7,EST,Morning Event- June 5
855,4,5,9,EST,Morning Event- June 5
856,2,11,13,EST,Morning Event- June 5
857,4,6,10,EST,Morning Event- June 5
858,3,5,8,EST,Morning Event- June 5
859,5,11,16,EST,Morning Event- June 5
860,5,11,16,EST,Morning Event- June 5
861,2,11,13,CST,Morning Event- June 5
862,12,18,30,EST,Morning Event- June 5
863,3,5,8,CST,Morning Event- June 5
864,8,11,19,EST,Morning Event- June 5
865,4,16,20,CST,Morning Event- June 5
866,2,11,13,CST,Morning Event- June 5
870,2,11,13,EST,Morning Event- June 5
871,5,5,10,CST,Morning Event- June 5
872,3,11,14,CST,Morning Event- June 5
874,8,5,13,CST,Morning Event- June 5
875,6,5,11,CST,Morning Event- June 5
876,5,5,10,CST,Morning Event- June 5
877,6,11,17,EST,Morning Event- June 5
878,4,11,15,EST,Morning Event- June 5
879,6,11,17,CST,Morning Event- June 5
880,6,11,17,CST,Morning Event- June 5
881,4,11,15,EST,Morning Event- June 5
882,8,6,14,CST,Morning Event- June 5
884,5,11,16,EST,Morning Event- June 5
885,6,5,11,CST,Morning Event- June 5
886,5,11,16,CST,Morning Event- June 5
887,6,5,11,CST,Morning Event- June 5
888,5,5,10,CST,Morning Event- June 5
889,2,5,7,EST,Morning Event- June 5
890,6,18,24,EST,Morning Event- June 5
891,6,11,17,CST,Morning Event- June 5
892,6,11,17,CST,Morning Event- June 5
893,5,5,10,CST,Morning Event- June 5
894,5,16,21,CST,Morning Event- June 5
895,4,5,9,CST,Morning Event- June 5
896,4,11,15,CST,Morning Event- June 5
897,6,5,11,CST,Morning Event- June 5
898,15,11,26,CST,Morning Event- June 5
899,6,11,17,EST,Morning Event- June 5
900,5,5,10,CST,Morning Event- June 5
901,6,11,17,CST,Morning Event- June 5
902,11,11,22,EST,Morning Event- June 5
903,5,5,10,CST,Morning Event- June 5
904,3,11,14,CST,Morning Event- June 5
907,5,6,11,EST,Morning Event- June 5
908,5,18,23,EST,Morning Event- June 5
909,2,5,7,CST,Morning Event- June 5
910,5,5,10,CST,Morning Event- June 5
911,3,5,8,CST,Morning Event- June 5
912,6,5,11,CST,Morning Event- June 5
913,5,11,16,CST,Morning Event- June 5
914,7,5,12,CST,Morning Event- June 5
915,2,11,13,CST,Morning Event- June 5
916,6,11,17,CST,Morning Event- June 5
917,4,5,9,CST,Morning Event- June 5
918,11,11,22,CST,Morning Event- June 5
919,2,16,18,CST,Morning Event- June 5
922,4,11,15,EST,Morning Event- June 5
923,3,11,14,EST,Morning Event- June 5
925,2,5,7,EST,Morning Event- June 5
927,9,11,20,CST,Morning Event- June 5
928,3,18,21,EST,Morning Event- June 5
929,3,11,14,EST,Morning Event- June 5
930,6,5,11,CST,Morning Event- June 5
931,2,11,13,EST,Morning Event- June 5
932,6,11,17,EST,Morning Event- June 5
933,4,5,9,CST,Morning Event- June 5
934,6,6,12,CST,Morning Event- June 5
935,6,11,17,CST,Morning Event- June 5
936,12,17,29,CST,Morning Event- June 5
937,3,11,14,EST,Morning Event- June 5
938,6,5,11,CST,Morning Event- June 5
939,2,11,13,CST,Morning Event- June 5
940,6,11,17,CST,Morning Event- June 5
941,6,11,17,EST,Morning Event- June 5
942,2,16,18,EST,Morning Event- June 5
943,6,11,17,EST,Morning Event- June 5
944,3,17,20,CST,Morning Event- June 5
945,6,11,17,CST,Morning Event- June 5
947,3,11,14,CST,Morning Event- June 5
948,3,11,14,EST,Morning Event- June 5
950,5,5,10,CST,Morning Event- June 5
951,5,5,10,CST,Morning Event- June 5
952,8,5,13,EST,Morning Event- June 5
954,4,5,9,CST,Morning Event- June 5
955,5,11,16,EST,Morning Event- June 5
956,4,6,10,EST,Morning Event- June 5
957,6,5,11,CST,Morning Event- June 5
958,3,11,14,CST,Morning Event- June 5
959,6,5,11,EST,Morning Event- June 5
960,2,11,13,EST,Morning Event- June 5
961,4,5,9,CST,Morning Event- June 5
963,5,11,16,CST,Morning Event- June 5
965,6,11,17,CST,Morning Event- June 5
967,3,11,14,EST,Morning Event- June 5
968,5,11,16,EST,Morning Event- June 5
969,6,11,17,CST,Morning Event- June 5
970,6,11,17,CST,Morning Event- June 5
971,6,5,11,CST,Morning Event- June 5
972,2,11,13,CST,Morning Event- June 5
973,2,11,13,EST,Morning Event- June 5
974,3,11,14,EST,Morning Event- June 5
975,15,11,26,CST,Morning Event- June 5
976,5,5,10,CST,Morning Event- June 5
977,6,5,11,EST,Morning Event- June 5
978,8,5,13,CST,Morning Event- June 5
979,2,5,7,CST,Morning Event- June 5
981,11,11,22,CST,Morning Event- June 5
982,6,5,11,CST,Morning Event- June 5
985,6,5,11,CST,Morning Event- June 5
987,6,5,11,EST,Morning Event- June 5
988,2,11,13,EST,Morning Event- June 5
989,6,11,17,CST,Morning Event- June 5
990,2,18,20,CST,Morning Event- June 5
991,6,5,11,CST,Morning Event- June 5
992,5,6,11,CST,Morning Event- June 5
993,6,5,11,CST,Morning Event- June 5
994,4,11,15,EST,Morning Event- June 5
995,6,11,17,EST,Morning Event- June 5
996,5,5,10,EST,Morning Event- June 5
999,6,11,17,CST,Morning Event- June 5
1000,9,18,27,CST,Morning Event- June 5
1002,2,5,7,EST,Morning Event- June 5
1003,4,6,10,CST,Morning Event- June 5
1004,5,11,16,EST,Morning Event- June 5
1005,5,11,16,CST,Morning Event- June 5
1006,8,5,13,EST,Morning Event- June 5
1007,6,5,11,CST,Morning Event- June 5
1009,2,11,13,CST,Morning Event- June 5
1010,10,11,21,EST,Morning Event- June 5
1011,4,11,15,EST,Morning Event- June 5
1012,4,11,15,CST,Morning Event- June 5
1013,3,5,8,EST,Morning Event- June 5
1014,6,11,17,CST,Morning Event- June 5
1016,3,11,14,CST,Morning Event- June 5
1017,5,5,10,EST,Morning Event- June 5
1018,8,5,13,EST,Morning Event- June 5
1020,3,6,9,CST,Morning Event- June 5
1021,5,11,16,CST,Morning Event- June 5
1022,9,11,20,CST,Morning Event- June 5
1023,6,11,17,EST,Morning Event- June 5
1024,9,5,14,EST,Morning Event- June 5
1025,9,11,20,CST,Morning Event- June 5
1026,3,11,14,EST,Morning Event- June 5
1027,4,11,15,EST,Morning Event- June 5
1028,3,11,14,CST,Morning Event- June 5
1029,6,5,11,EST,Morning Event- June 5
1030,6,11,17,EST,Morning Event- June 5
1032,2,11,13,CST,Morning Event- June 5
1033,5,11,16,EST,Morning Event- June 5
1034,6,11,17,EST,Morning Event- June 5
1035,2,11,13,EST,Morning Event- June 5
1036,4,11,15,EST,Morning Event- June 5
1037,15,11,26,EST,Morning Event- June 5
1038,5,5,10,CST,Morning Event- June 5
1039,8,11,19,EST,Morning Event- June 5
1040,3,11,14,CST,Morning Event- June 5
1041,8,18,26,CST,Morning Event- June 5
1042,2,11,13,CST,Morning Event- June 5
1043,10,5,15,CST,Morning Event- June 5
1044,2,11,13,CST,Morning Event- June 5
1046,10,5,15,CST,Morning Event- June 5
1047,6,6,12,EST,Morning Event- June 5
1048,7,11,18,EST,Morning Event- June 5
1051,7,5,12,CST,Morning Event- June 5
1052,4,5,9,CST,Morning Event- June 5
1053,5,11,16,EST,Morning Event- June 5
1054,2,5,7,CST,Morning Event- June 5
1055,5,11,16,CST,Morning Event- June 5
1056,6,6,12,CST,Morning Event- June 5
1057,2,5,7,CST,Morning Event- June 5
1059,8,5,13,CST,Morning Event- June 5
1060,4,16,20,EST,Morning Event- June 5
1061,3,5,8,EST,Morning Event- June 5
1062,4,11,15,CST,Morning Event- June 5
1063,5,5,10,CST,Morning Event- June 5
1064,6,11,17,EST,Morning Event- June 5
1065,5,5,10,CST,Morning Event- June 5
1066,6,11,17,CST,Morning Event- June 5
1067,5,5,10,CST,Morning Event- June 5
1068,6,6,12,EST,Morning Event- June 5
1069,3,5,8,CST,Morning Event- June 5
1070,10,11,21,EST,Morning Event- June 5
1071,5,11,16,CST,Morning Event- June 5
1072,7,11,18,EST,Morning Event- June 5
1073,3,5,8,CST,Morning Event- June 5
1074,6,5,11,CST,Morning Event- June 5
1075,6,16,22,CST,Morning Event- June 5
1076,5,5,10,EST,Morning Event- June 5
1077,2,5,7,EST,Morning Event- June 5
1079,6,11,17,EST,Morning Event- June 5
1080,2,16,18,EST,Morning Event- June 5
1081,5,11,16,EST,Morning Event- June 5
1082,4,11,15,EST,Morning Event- June 5
1083,2,11,13,EST,Morning Event- June 5
1084,5,11,16,EST,Morning Event- June 5
1085,6,11,17,EST,Morning Event- June 5
1086,3,17,20,EST,Morning Event- June 5
1087,2,11,13,EST,Morning Event- June 5
1088,2,5,7,CST,Morning Event- June 5
1089,5,11,16,CST,Morning Event- June 5
1090,5,6,11,EST,Morning Event- June 5
1091,9,11,20,CST,Morning Event- June 5
1093,6,5,11,CST,Morning Event- June 5
1094,5,5,10,CST,Morning Event- June 5
1096,6,11,17,EST,Morning Event- June 5
1097,6,11,17,EST,Morning Event- June 5
1098,6,6,12,CST,Morning Event- June 5
1099,4,11,15,CST,Morning Event- June 5
1100,5,5,10,CST,Morning Event- June 5
1101,6,6,12,CST,Morning Event- June 5
1102,6,5,11,CST,Morning Event- June 5
1103,2,11,13,CST,Morning Event- June 5
1104,5,11,16,EST,Morning Event- June 5
1105,4,6,10,CST,Morning Event- June 5
1106,5,5,10,CST,Morning Event- June 5
1107,2,5,7,CST,Morning Event- June 5
1108,5,5,10,CST,Morning Event- June 5
1109,3,5,8,CST,Morning Event- June 5
1110,3,5,8,CST,Morning Event- June 5
1111,6,11,17,EST,Morning Event- June 5
1112,6,5,11,EST,Morning Event- June 5
1113,3,17,20,EST,Morning Event- June 5
1114,5,5,10,CST,Morning Event- June 5
1115,6,5,11,CST,Morning Event- June 5
1116,8,11,19,CST,Morning Event- June 5
1117,6,11,17,CST,Morning Event- June 5
1118,5,11,16,CST,Morning Event- June 5
1119,6,5,11,EST,Morning Event- June 5
1120,2,11,13,CST,Morning Event- June 5
1121,7,11,18,EST,Morning Event- June 5
1122,8,11,19,EST,Morning Event- June 5
1123,2,16,18,EST,Morning Event- June 5
1124,6,5,11,CST,Morning Event- June 5
1125,2,16,18,CST,Morning Event- June 5
1126,5,6,11,CST,Morning Event- June 5
1128,2,5,7,CST,Morning Event- June 5
1129,3,11,14,CST,Morning Event- June 5
1130,3,5,8,EST,Morning Event- June 5
1131,6,5,11,EST,Morning Event- June 5
1132,11,16,27,EST,Morning Event- June 5
1133,6,11,17,EST,Morning Event- June 5
1134,2,11,13,CST,Morning Event- June 5
1135,5,5,10,EST,Morning Event- June 5
1136,6,5,11,CST,Morning Event- June 5
1137,5,11,16,CST,Morning Event- June 5
1138,2,11,13,CST,Morning Event- June 5
1139,11,17,28,EST,Morning Event- June 5
1140,6,11,17,EST,Morning Event- June 5
1141,6,11,17,EST,Morning Event- June 5
1142,6,5,11,EST,Morning Event- June 5
1143,5,5,10,EST,Morning Event- June 5
1144,6,6,12,EST,Morning Event- June 5
1146,2,11,13,EST,Morning Event- June 5
1147,3,5,8,CST,Morning Event- June 5
1148,6,11,17,CST,Morning Event- June 5
1150,5,11,16,CST,Morning Event- June 5
1151,3,11,14,CST,Morning Event- June 5
1152,10,6,16,CST,Morning Event- June 5
1153,6,5,11,EST,Morning Event- June 5
1154,5,6,11,CST,Morning Event- June 5
1155,10,11,21,EST,Morning Event- June 5
1156,2,16,18,EST,Morning Event- June 5
1157,2,5,7,EST,Morning Event- June 5
1158,2,5,7,CST,Morning Event- June 5
1159,6,5,11,EST,Morning Event- June 5
1160,6,16,22,EST,Morning Event- June 5
1161,5,11,16,CST,Morning Event- June 5
1162,9,11,20,EST,Morning Event- June 5
1163,2,5,7,CST,Morning Event- June 5
1164,6,6,12,EST,Morning Event- June 5
1165,4,11,15,EST,Morning Event- June 5
1166,4,5,9,EST,Morning Event- June 5
1167,2,11,13,CST,Morning Event- June 5
1168,8,5,13,CST,Morning Event- June 5
1169,4,5,9,CST,Morning Event- June 5
1170,3,6,9,EST,Morning Event- June 5
1171,5,6,11,EST,Morning Event- June 5
1172,4,11,15,EST,Morning Event- June 5
1173,4,11,15,EST,Morning Event- June 5
1174,5,5,10,CST,Morning Event- June 5
1176,2,5,7,CST,Morning Event- June 5
1177,3,11,14,CST,Morning Event- June 5
1178,3,11,14,CST,Morning Event- June 5
1179,4,11,15,EST,Morning Event- June 5
1180,2,11,13,EST,Morning Event- June 5
1181,2,6,8,EST,Morning Event- June 5
1182,2,11,13,EST,Morning Event- June 5
1183,6,11,17,EST,Morning Event- June 5
1184,4,5,9,EST,Morning Event- June 5
1185,3,11,14,CST,Morning Event- June 5
1186,8,11,19,CST,Morning Event- June 5
1187,4,5,9,CST,Morning Event- June 5
1188,4,6,10,CST,Morning Event- June 5
1189,5,5,10,EST,Morning Event- June 5
1190,4,11,15,EST,Morning Event- June 5
1191,3,11,14,EST,Morning Event- June 5
1192,6,6,12,CST,Morning Event- June 5
1193,6,5,11,CST,Morning Event- June 5
1194,2,11,13,EST,Morning Event- June 5
1195,9,11,20,CST,Morning Event- June 5
1196,2,5,7,CST,Morning Event- June 5
1197,6,5,11,EST,Morning Event- June 5
1198,6,11,17,CST,Morning Event- June 5
1201,2,11,13,CST,Morning Event- June 5
1202,5,11,16,CST,Morning Event- June 5
1203,2,18,20,EST,Morning Event- June 5
1204,6,11,17,CST,Morning Event- June 5
1205,8,11,19,EST,Morning Event- June 5
1206,6,6,12,CST,Morning Event- June 5
1207,6,11,17,CST,Morning Event- June 5
1209,3,11,14,EST,Morning Event- June 5
1210,6,11,17,EST,Morning Event- June 5
1211,6,5,11,CST,Morning Event- June 5
1212,3,11,14,CST,Morning Event- June 5
1213,4,11,15,EST,Morning Event- June 5
1214,2,5,7,CST,Morning Event- June 5
1215,2,16,18,EST,Morning Event- June 5
1216,4,11,15,CST,Morning Event- June 5
1217,7,11,18,EST,Morning Event- June 5
1219,5,6,11,EST,Morning Event- June 5
1220,6,11,17,EST,Morning Event- June 5
1221,2,11,13,CST,Morning Event- June 5
1222,5,11,16,CST,Morning Event- June 5
1223,4,6,10,EST,Morning Event- June 5
1224,6,11,17,CST,Morning Event- June 5
1225,2,11,13,EST,Morning Event- June 5
1226,6,5,11,CST,Morning Event- June 5
1227,6,11,17,EST,Morning Event- June 5
1228,4,11,15,CST,Morning Event- June 5
1229,4,5,9,CST,Morning Event- June 5
1232,4,11,15,CST,Morning Event- June 5
1233,2,11,13,EST,Morning Event- June 5
1234,6,6,12,EST,Morning Event- June 5
1235,4,5,9,CST,Morning Event- June 5
1236,6,6,12,EST,Morning Event- June 5
1237,2,11,13,EST,Morning Event- June 5
1238,6,11,17,EST,Morning Event- June 5
1239,6,11,17,EST,Morning Event- June 5
1241,5,16,21,CST,Morning Event- June 5
1242,3,18,21,EST,Morning Event- June 5
1243,3,11,14,EST,Morning Event- June 5
1244,2,11,13,EST,Morning Event- June 5
1245,6,11,17,EST,Morning Event- June 5
1247,5,11,16,EST,Morning Event- June 5
1248,4,5,9,CST,Morning Event- June 5
1249,2,5,7,CST,Morning Event- June 5
1253,5,11,16,CST,Morning Event- June 5
1254,5,11,16,CST,Morning Event- June 5
1255,5,5,10,EST,Morning Event- June 5
1256,3,11,14,CST,Morning Event- June 5
1257,5,5,10,CST,Morning Event- June 5
1259,6,11,17,EST,Morning Event- June 5
1260,15,11,26,CST,Morning Event- June 5
1261,6,11,17,EST,Morning Event- June 5
1263,4,11,15,CST,Morning Event- June 5
1264,15,11,26,EST,Morning Event- June 5
1265,2,5,7,CST,Morning Event- June 5
1266,4,5,9,CST,Morning Event- June 5
1267,2,11,13,CST,Morning Event- June 5
1268,7,11,18,EST,Morning Event- June 5
1270,6,11,17,EST,Morning Event- June 5
1271,6,5,11,CST,Morning Event- June 5
1272,10,5,15,CST,Morning Event- June 5
1274,5,5,10,CST,Morning Event- June 5
1275,5,11,16,EST,Morning Event- June 5
1276,6,11,17,CST,Morning Event- June 5
1277,5,5,10,CST,Morning Event- June 5
1279,5,11,16,CST,Morning Event- June 5
1281,6,11,17,EST,Morning Event- June 5
1282,2,5,7,CST,Morning Event- June 5
1283,2,11,13,EST,Morning Event- June 5
1284,6,11,17,CST,Morning Event- June 5
1285,3,11,14,CST,Morning Event- June 5
1286,5,5,10,EST,Morning Event- June 5
1287,2,11,13,EST,Morning Event- June 5
1288,5,6,11,EST,Morning Event- June 5
1289,6,11,17,EST,Morning Event- June 5
1290,6,11,17,EST,Morning Event- June 5
1292,5,11,16,EST,Morning Event- June 5
1293,4,6,10,EST,Morning Event- June 5
1294,6,11,17,EST,Morning Event- June 5
1295,4,5,9,CST,Morning Event- June 5
1296,3,11,14,CST,Morning Event- June 5
1297,6,11,17,EST,Morning Event- June 5
1298,7,11,18,EST,Morning Event- June 5
1300,3,11,14,EST,Morning Event- June 5
1301,6,11,17,EST,Morning Event- June 5
1302,8,16,24,EST,Morning Event- June 5
1303,3,11,14,CST,Morning Event- June 5
1304,3,16,19,EST,Morning Event- June 5
1305,2,16,18,CST,Morning Event- June 5
1307,4,11,15,CST,Morning Event- June 5
1309,6,11,17,EST,Morning Event- June 5
1310,9,11,20,EST,Morning Event- June 5
1311,5,11,16,EST,Morning Event- June 5
1312,6,11,17,EST,Morning Event- June 5
1313,6,11,17,CST,Morning Event- June 5
1314,6,6,12,EST,Morning Event- June 5
1316,4,5,9,CST,Morning Event- June 5
1317,3,5,8,EST,Morning Event- June 5
1318,5,11,16,EST,Morning Event- June 5
1319,2,16,18,EST,Morning Event- June 5
1320,6,11,17,EST,Morning Event- June 5
1321,6,11,17,EST,Morning Event- June 5
1322,2,11,13,EST,Morning Event- June 5
1323,4,5,9,CST,Morning Event- June 5
1326,11,11,22,CST,Morning Event- June 5
1327,11,11,22,EST,Morning Event- June 5
1329,7,11,18,EST,Morning Event- June 5
1330,6,11,17,EST,Morning Event- June 5
1331,2,11,13,EST,Morning Event- June 5
1332,2,11,13,CST,Morning Event- June 5
1333,11,11,22,EST,Morning Event- June 5
1335,2,11,13,EST,Morning Event- June 5
1336,6,5,11,EST,Morning Event- June 5
1337,14,16,30,EST,Morning Event- June 5
1338,6,6,12,EST,Morning Event- June 5
1339,5,6,11,EST,Morning Event- June 5
1340,5,5,10,EST,Morning Event- June 5
1341,6,11,17,CST,Morning Event- June 5
1342,3,5,8,CST,Morning Event- June 5
1344,6,11,17,EST,Morning Event- June 5
1345,4,5,9,EST,Morning Event- June 5
1346,4,11,15,CST,Morning Event- June 5
1347,5,6,11,CST,Morning Event- June 5
1348,6,11,17,EST,Morning Event- June 5
1349,2,6,8,EST,Morning Event- June 5
1350,4,11,15,EST,Morning Event- June 5
1351,4,11,15,EST,Morning Event- June 5
1352,6,5,11,EST,Morning Event- June 5
1353,4,6,10,CST,Morning Event- June 5
1354,9,5,14,EST,Morning Event- June 5
1355,6,11,17,EST,Morning Event- June 5
1356,5,11,16,EST,Morning Event- June 5
1358,9,6,15,EST,Morning Event- June 5
1359,3,5,8,EST,Morning Event- June 5
1360,8,11,19,EST,Morning Event- June 5
1361,8,11,19,CST,Morning Event- June 5
1362,3,11,14,CST,Morning Event- June 5
1363,4,6,10,EST,Morning Event- June 5
1365,5,5,10,CST,Morning Event- June 5
1366,5,5,10,CST,Morning Event- June 5
1367,5,17,22,EST,Morning Event- June 5
1368,8,5,13,EST,Morning Event- June 5
1371,6,11,17,EST,Morning Event- June 5
1372,3,6,9,EST,Morning Event- June 5
1373,3,11,14,EST,Morning Event- June 5
1374,5,11,16,EST,Morning Event- June 5
1375,10,11,21,CST,Morning Event- June 5
1376,2,17,19,CST,Morning Event- June 5
1377,4,11,15,CST,Morning Event- June 5
1378,5,11,16,EST,Morning Event- June 5
1379,6,6,12,EST,Morning Event- June 5
1382,6,11,17,EST,Morning Event- June 5
1383,7,11,18,EST,Morning Event- June 5
1385,4,11,15,EST,Morning Event- June 5
1386,5,11,16,CST,Morning Event- June 5
1387,5,6,11,EST,Morning Event- June 5
1388,2,11,13,EST,Morning Event- June 5
1389,6,5,11,CST,Morning Event- June 5
1390,3,11,14,EST,Morning Event- June 5
1391,5,11,16,EST,Morning Event- June 5
1392,3,11,14,EST,Morning Event- June 5
1393,7,11,18,CST,Morning Event- June 5
1394,2,11,13,CST,Morning Event- June 5
1395,2,6,8,CST,Morning Event- June 5
1396,5,11,16,CST,Morning Event- June 5
1398,3,5,8,EST,Morning Event- June 5
1399,2,5,7,EST,Morning Event- June 5
1400,2,11,13,EST,Morning Event- June 5
1401,2,11,13,CST,Morning Event- June 5
1403,8,11,19,EST,Morning Event- June 5
1404,3,5,8,CST,Morning Event- June 5
1405,9,11,20,CST,Morning Event- June 5
1406,5,11,16,EST,Morning Event- June 5
1407,3,11,14,EST,Morning Event- June 5
1408,6,6,12,EST,Morning Event- June 5
1409,5,11,16,CST,Morning Event- June 5
1410,2,11,13,EST,Morning Event- June 5
1413,6,11,17,CST,Morning Event- June 5
1415,9,11,20,CST,Morning Event- June 5
1416,6,5,11,EST,Morning Event- June 5
1418,2,11,13,CST,Morning Event- June 5
1419,4,16,20,EST,Morning Event- June 5
1420,2,11,13,CST,Morning Event- June 5
1421,6,11,17,CST,Morning Event- June 5
1422,6,6,12,EST,Morning Event- June 5
1423,4,11,15,EST,Morning Event- June 5
1424,4,11,15,EST,Morning Event- June 5
1425,5,11,16,EST,Morning Event- June 5
1426,3,17,20,EST,Morning Event- June 5
1427,6,11,17,EST,Morning Event- June 5
1428,6,17,23,EST,Morning Event- June 5
1429,5,11,16,EST,Morning Event- June 5
1430,2,11,13,CST,Morning Event- June 5
