Store Number,NSW2 CONSOLE - QTY,NSW2 MARIO KART WLD - QTY,Total Estimate: In-store Launch (QTY) ,Time Zone,Event Type
63,4,5,9,CST,Morning Event- June 5
64,3,5,8,CST,Morning Event- June 5
65,10,11,21,CST,Morning Event- June 5
66,5,5,10,CST,Morning Event- June 5
67,7,5,12,CST,Morning Event- June 5
68,3,5,8,CST,Morning Event- June 5
69,3,17,20,CST,Morning Event- June 5
70,3,5,8,CST,Morning Event- June 5
71,8,5,13,CST,Morning Event- June 5
72,10,11,21,CST,Morning Event- June 5
73,2,5,7,CST,Morning Event- June 5
74,4,5,9,CST,Morning Event- June 5
75,4,11,15,CST,Morning Event- June 5
76,6,5,11,CST,Morning Event- June 5
77,3,6,9,CST,Morning Event- June 5
78,4,6,10,CST,Morning Event- June 5
79,3,11,14,CST,Morning Event- June 5
80,3,6,9,CST,Morning Event- June 5
81,3,5,8,CST,Morning Event- June 5
82,4,5,9,CST,Morning Event- June 5
83,5,5,10,CST,Morning Event- June 5
85,6,11,17,CST,Morning Event- June 5
86,5,11,16,CST,Morning Event- June 5
87,8,5,13,CST,Morning Event- June 5
88,8,5,13,CST,Morning Event- June 5
89,9,11,20,CST,Morning Event- June 5
90,8,6,14,CST,Morning Event- June 5
91,5,5,10,CST,Morning Event- June 5
92,7,5,12,CST,Morning Event- June 5
93,4,6,10,CST,Morning Event- June 5
94,6,11,17,CST,Morning Event- June 5
95,9,11,20,CST,Morning Event- June 5
96,5,11,16,CST,Morning Event- June 5
97,2,5,7,CST,Morning Event- June 5
98,2,5,7,CST,Morning Event- June 5
99,6,6,12,CST,Morning Event- June 5
100,3,23,26,CST,Morning Event- June 5
101,16,17,33,CST,Morning Event- June 5
102,5,5,10,CST,Morning Event- June 5
103,16,17,33,CST,Morning Event- June 5
104,6,6,12,CST,Morning Event- June 5
105,3,11,14,CST,Morning Event- June 5
106,3,5,8,CST,Morning Event- June 5
107,2,5,7,CST,Morning Event- June 5
108,6,5,11,CST,Morning Event- June 5
109,6,5,11,CST,Morning Event- June 5
110,4,11,15,EST,Morning Event- June 5
