STORE,Alignment Week,Alignment Date,Delivery Type,Current DC,New DC,MPDD SD/ND,MPDD Delivery Window,First Day MPDD Comments
672,33,9/16/2025,MPDD,6097,3010,Next Day Delivery,09:00:00-22:00:00,No MPDD Mismatch Delivery from 3010 on 8/19/25. Additional Freight will be added to deliveries before alignment date
676,33,9/16/2025,MPDD,6097,3010,Next Day Delivery,09:00:00-23:59:00,No MPDD Mismatch Delivery from 3010 on 8/19/25. Additional Freight will be added to deliveries before alignment date
741,33,9/16/2025,MPDD,6097,3010,Next Day Delivery,09:00:00-23:59:00,No MPDD Mismatch Delivery from 3010 on 8/19/25. Additional Freight will be added to deliveries before alignment date
1320,33,9/16/2025,MPDD,6097,3010,Next Day Delivery,09:00:00-23:59:00,No MPDD Mismatch Delivery from 3010 on 8/19/25. Additional Freight will be added to deliveries before alignment date
2065,33,9/16/2025,MPDD,6097,3010,Next Day Delivery,16:00:00-22:00:00,No MPDD Mismatch Delivery from 3010 on 8/19/25. Additional Freight will be added to deliveries before alignment date
2932,33,9/16/2025,MPDD,6097,3010,Next Day Delivery,09:00:00-23:59:00,No MPDD Mismatch Delivery from 3010 on 8/19/25. Additional Freight will be added to deliveries before alignment date
4223,33,9/16/2025,MPDD,6097,3010,Next Day Delivery,09:00:00-23:59:00,No MPDD Mismatch Delivery from 3010 on 8/19/25. Additional Freight will be added to deliveries before alignment date
