Market ,Store Number,Vehicle Count,Install Date,Install Time
215,1911,2,6/24/2025,7:00 AM
209,1927,1,6/25/2025,7:00 AM
209,2313,2,6/23/2025,8:30 PM
215,2323,1,6/24/2025,7:00 AM
208,2506,1,6/23/2025,6:30 PM
208,3722,1,6/24/2025,8:15 AM
188,1940,1,6/17/2025,8:15 AM
188,2056,1,6/18/2025,7:00 AM
190,2135,1,6/16/2025,7:00 AM
188,2152,2,6/17/2025,8:00 PM
188,2370,1,6/17/2025,6:30 PM
188,2844,1,6/16/2025,6:30 PM
189,2874,2,6/16/2025,8:00 PM
188,3583,1,6/17/2025,7:00 AM
469,4474,2,6/21/2025,7:00 AM
25,548,1,6/14/2025,6:30 PM
26,575,1,6/13/2025,6:30 PM
19,594,1,6/10/2025,6:30 PM
26,618,1,7/3/2025,8:00 AM
19,745,1,6/12/2025,8:45 PM
19,787,1,6/10/2025,7:45 PM
24,878,1,6/24/2025,8:00 AM
26,937,1,7/9/2025,7:00 AM
20,1047,2,6/10/2025,7:00 AM
26,1181,1,6/20/2025,7:00 AM
23,1184,1,6/13/2025,6:30 PM
24,1314,1,6/17/2025,8:00 AM
23,1373,1,7/1/2025,7:00 AM
22,1488,2,6/18/2025,7:45 PM
24,1578,1,6/11/2025,6:30 PM
26,1586,1,6/26/2025,7:30 AM
23,1720,1,6/23/2025,7:00 AM
24,2154,2,6/19/2025,7:00 AM
25,2475,1,6/28/2025,7:00 AM
24,2941,2,6/11/2025,8:30 PM
23,3067,1,6/18/2025,8:00 AM
554,3071,1,6/18/2025,7:00 AM
20,3118,1,6/27/2025,7:00 AM
23,3188,2,6/13/2025,7:00 AM
19,3201,1,6/12/2025,6:30 PM
22,3205,1,6/18/2025,6:30 PM
25,3388,3,6/14/2025,7:45 PM
25,3389,1,6/23/2025,8:00 AM
20,3401,1,6/10/2025,9:00 PM
19,3402,1,6/12/2025,7:30 PM
26,3403,2,6/16/2025,7:00 AM
16,3461,1,7/2/2025,7:00 AM
24,3462,1,6/30/2025,7:00 AM
26,3471,2,6/12/2025,7:00 AM
19,3609,1,7/7/2025,7:00 AM
26,3611,1,7/9/2025,8:00 AM
23,3621,2,6/11/2025,7:00 AM
20,3709,1,6/17/2025,8:00 AM
22,3741,2,6/17/2025,6:30 PM
26,3748,2,6/10/2025,7:00 AM
25,3786,1,6/17/2025,7:00 AM
24,4185,1,6/24/2025,7:00 AM
