Store #,Install Date,Install Time
3,2/22/23,At Store Close
16,2/26/23,At Store Close
24,2/19/23,At Store Close
30,2/2/23,2:00 AM
31,2/26/23,11:00 PM
33,2/5/23,At store close
35,1/23/2023,At Store Close
36,1/23/2023,At Store Close
43,2/19/23,At Store Close
47,2/26/23,At Store Close
55,2/5/23,At store close
68,2/8/23,11:30 PM
69,2/19/23,At Store Close
70,2/8/23,11:30 PM
72,2/28/23,11:30 PM
93,1/29/23,11:30 PM
94,1/31/23,11:30 PM
97,2/2/23,11:30 PM
102,2/7/23,11:30 PM
104,2/23/23,At Store Close
106,1/26/2023,At Store Close
110,1/23/2023,12:00 AM
112,3/1/23,At Store Close
116,1/30/23,5:00 AM
124,2/1/23,1:30 AM
125,2/26/23,At Store Close
126,2/1/23,11:30 PM
133,2/6/23,12:00 AM
134,2/22/23,2:45 AM
136,2/20/23,At Store Close
137,2/21/23,2:00 AM
139,2/20/23,2:00 AM
141,2/27/23,2:00 AM
143,1/26/2023,At Store Close
146,3/2/23,2:00 AM
148,1/31/23,3:45 AM
154,2/26/23,At Store Close
158,1/22/2023,At Store Close
161,2/28/23,At Store Close
162,2/21/23,At Store Close
164,2/19/23,At Store Close
171,1/30/23,At store close
172,1/22/2023,At Store Close
175,1/29/23,11:30 PM
177,1/30/23,At store close
178,2/20/23,At Store Close
180,2/19/23,At Store Close
181,2/2/23,3:45 AM
183,2/20/23,2:00 AM
185,2/21/23,11:30 PM
186,2/26/23,11:30 PM
196,2/27/23,At Store Close
199,2/6/23,11:30 PM
200,2/5/23,11:30 PM
202,2/26/23,5:00 AM
204,2/21/23,11:30 PM
205,1/22/2023,At Store Close
209,3/1/23,At Store Close
211,2/21/23,11:30 PM
212,1/9/23,10:00 PM
213,2/6/23,11:30 PM
216,2/28/23,11:15 PM
226,2/2/23,1:00 AM
227,2/22/23,At Store Close
229,1/22/2023,At Store Close
230,2/6/23,2:00 AM
231,2/23/23,2:30 AM
232,2/20/23,At Store Close
233,3/2/23,At Store Close
237,2/2/23,11:30 PM
238,2/2/23,11:30 PM
239,2/19/23,At Store Close
240,2/20/23,At Store Close
244,2/21/23,At Store Close
248,2/23/23,11:30 PM
252,2/21/23,At Store Close
253,2/5/23,11:30 PM
254,2/7/23,11:30 PM
257,2/21/23,11:30 PM
258,2/20/23,12:00 AM
259,1/23/2023,5:00 AM
262,2/22/23,At Store Close
264,1/22/2023,At Store Close
265,3/2/23,5:00 AM
272,2/20/23,10:15 PM
276,3/1/23,At Store Close
278,1/23/2023,5:00 AM
279,2/5/23,11:00 PM
281,1/31/23,11:30 PM
282,2/19/23,11:30 PM
287,2/20/23,At Store Close
292,2/7/23,2:00 AM
293,1/19/23,5:00 AM
296,1/29/23,11:30 PM
297,1/4/23,1:00 AM
298,1/31/23,11:30 PM
300,2/7/23,11:30 PM
304,1/30/23,11:30 PM
306,2/21/23,At Store Close
307,1/22/2023,At Store Close
311,1/29/23,11:30 PM
314,1/22/2023,11:45 PM
316,1/29/23,11:30 PM
320,2/5/23,At store close
321,2/7/23,At store close
322,1/18/23,10:00 PM
323,TBD,TBD
331,2/6/23,11:30 PM
332,2/5/23,3:30 AM
335,1/23/2023,At Store Close
344,2/1/23,5:00 AM
351,1/4/23,3:00 AM
352,1/29/23,11:30 PM
353,2/21/23,11:30 PM
356,1/30/23,11:30 PM
360,2/23/23,At Store Close
361,1/30/23,11:30 PM
362,2/9/23,At store close
364,2/28/23,11:00 PM
365,2/23/23,11:30 PM
370,3/1/23,11:30 PM
371,2/19/23,At Store Close
377,1/9/23,10:00 PM
381,2/1/23,5:00 AM
384,2/23/23,11:30 PM
385,2/8/23,At store close
386,1/29/23,11:30 PM
389,2/22/23,12:00 AM
390,1/11/23,10:00 PM
391,2/23/23,At Store Close
393,3/2/23,At Store Close
394,2/22/23,At Store Close
397,1/4/23,5:00 AM
398,1/9/23,12:00 AM
399,1/9/23,2:00 AM
400,1/31/23,3:00 AM
404,2/7/23,12:00 AM
408,2/22/23,11:30 PM
410,1/26/2023,At Store Close
412,1/19/23,9:00 PM
417,2/28/23,2:00 AM
419,3/1/23,11:30 PM
420,2/5/23,At store close
421,2/20/23,11:30 PM
424,1/8/23,10:00 PM
425,1/30/23,2:00 AM
428,2/6/23,11:30 PM
429,1/24/2023,5:00 AM
432,2/22/23,At Store Close
