STORE_NBR,MARKET_AREA_NBR,REGION_NBR,InHome Van Count,InHome Van VIN(s),InHome Van VIN(s),InHome Van VIN(s),
54,322,42,2,3C6MRVJG9PE566439,,,
54,322,42,2,1FTBW3XK3NKA14437,,,
100,323,42,4,1FTBW1X88LKA80486,,,
100,323,42,4,1FTBW3XK9NKA22476,,,
100,323,42,4,1FTBW3XK2NKA00464,,,
100,323,42,4,3C6MRVJG0PE526363,,,
144,322,42,4,1FTBR1X86LKB81078,,,
144,322,42,4,1FTBR3X8XMKA17927,,,
144,322,42,4,1FTBW3XK7NKA14196,,,
144,322,42,4,3C6MRVJG5PE526357,,,
184,361,40,1,1FTBW3XK0NKA14377,,,
194,60,6,1,1FTBW3XK3NKA30394,,,
201,341,40,1,1FTBW3XK5NKA30431,,,
202,51,5,1,1FTBW3XK9NKA08271,,,
206,52,5,1,1FTBW3XK1NKA14453,,,
212,353,44,1,1FTBW3XK8NKA30374,,,
217,53,5,1,1FTBW3XK7NKA22539,,,
220,48,5,1,1FTBW3XK5NKA09630,,,
228,48,5,1,3C6MRVJG8PE592000,,,
234,360,40,3,1FTBW3X80MKA40853,,,
234,360,40,3,3C6MRVJG5PE592066,,,
234,360,40,3,3C6MRVJG3PE592065,,,
256,341,40,1,1FTBW3XK0NKA30420,,,
266,50,5,2,1FTBW3XK2NKA14154,,,
266,50,5,2,1FTBW3XK3NKA22487,,,
272,153,12,1,1FTBW3XK5NKA28422,,,
277,353,44,2,3C6MRVJG9ME551970,,,
277,353,44,2,3C6MRVJG5PE526360,,,
284,49,5,2,1FTBW3XK7NKA00508,,,
284,49,5,2,3C6MRVJG8PE566366,,,
297,59,6,1,1FTBW3XK0NKA30384,,,
319,361,40,1,1FTBW3XK2NKA14381,,,
351,68,13,1,1FTBW3XK5NKA30378,,,
359,322,42,2,1FTBR3X81MKA17928,,,
359,322,42,2,3C6MRVJGXPE526354,,,
361,341,40,2,1FTBW3XK9NKA46759,,,
361,341,40,2,1FTBW3XK1NKA30412,,,
371,48,5,1,3C6MRVJG6PE591945,,,
389,352,44,1,1FTBW3XK9NKA30352,,,
406,151,12,1,1FTBW3XK2NKA14204,,,
426,53,5,1,1FTBW3XK2NKA14431,,,
467,52,5,1,1FTBW3XK5NKA22507,,,
471,49,5,1,1FTBW3XKXNKA09641,,,
472,356,44,3,1FTBW3XK9NKA22493,1FTBW3XK0NKA00575,3C6MRVJGXPE526371,
475,83,7,2,1FTBW3XK6NKA00614,3C6MRVJG8PE546280,,
500,505,7,1,1FTBW3XK9NKA30481,,,
512,505,7,1,1FTBW3XK2NKA30130,,,
526,242,41,1,1FTBW3XK4NKA28363,,,
528,115,9,2,1FTBW3XK6NKA22533,3C6MRVJG9PE566313,,
529,61,6,1,1FTBW3XK8NKA31637,,,
541,128,13,2,1FTBW3XK4NKA30100,3C6MRVJG2PE592056,,
544,353,44,1,1FTBW3XK4NKA28508,,,
546,62,6,1,1FTBW3XK1NKA30099,,,
548,25,2,1,1FTBW3XK5NKA14438,,,
553,125,13,1,1FTBW3XKXNKA30098,,,
564,344,44,1,1FTBW3XK8NKA35798,,,
573,361,40,1,1FTBW3XK4NKA14382,,,
575,26,2,1,1FTBW3XK2NKA28426,,,
576,345,44,1,1FTBW3XK7NKA30477,,,
577,362,40,1,1FTBW3XK5NKA14388,,,
585,42,4,1,1FTBW3XKXNKA35530,,,
589,256,41,1,1FTBW3XKXNKA35592,,,
590,48,5,1,1FTBW3XK3NKA08282,,,
592,406,47,1,1FTBW3XK6NKA00502,,,
594,19,2,1,1FTBW3XK5NKA28355,,,
602,68,13,1,1FTBW3XK6NKA28414,,,
618,26,2,1,1FTBW3XK3NKA14213,,,
622,344,44,2,1FTBW3XK8NKA30469,3C6MRVJG3PE526373,,
648,339,40,1,1FTBW3XK8NKA30407,,,
659,153,12,1,1FTBW3XK5NKA14407,,,
682,151,12,1,1FTBW3XKXNKA00471,,,
688,153,12,1,1FTBW3XK8NKA46705,,,
695,149,12,1,1FTBW3XK6NKA30454,,,
703,67,6,1,1FTBW3XK3NKA28435,,,
705,89,3,1,1FTBW3XK3NKA14342,,,
710,153,12,1,1FTBW3XKXNKA30442,,,
743,353,44,1,1FTBW3XKXNKA30425,,,
744,59,6,1,1FTBW3XK3NKA46708,,,
745,19,2,1,1FTBR1X83MKA42088,,,
752,63,6,1,1FTBW3XK2NKA30385,,,
765,87,7,1,1FTBW3XK6NKA30129,,,
768,65,6,1,1FTBW3XK9NKA35695,,,
769,115,9,1,1FTBW3XK1NKA22486,,,
772,64,6,1,1FTBW3XK1NKA35576,,,
787,19,2,1,1FTBW3XK6NKA14237,,,
789,583,5,1,1FTBW3XK3NKA22506,,,
800,89,3,1,1FTBW3XK5NKA14410,,,
805,340,40,2,1FTBW3XK6NKA30390,3C6MRVJG7PE592067,,
807,50,5,1,1FTBW3XKXNKA00521,,,
817,90,9,1,1FTBW3XK8NKA22517,,,
828,251,41,1,1FTBW3XK1NKA46755,,,
839,130,13,1,1FTBW3XK3NKA28483,,,
848,144,11,1,1FTBW3XK2NKA22514,,,
849,59,6,1,1FTBW3XK2NKA35604,,,
857,94,3,2,1FTBW3XK1NKA14405,3C6MRVJG5PE566308,,
872,62,6,1,1FTBW3XK0NKA35536,,,
878,24,2,1,1FTBW3XK7NKA14439,,,
880,50,5,1,1FTBW3XK4NKA22515,,,
890,91,9,1,1FTBW3XK7NKA08236,,,
894,356,44,1,1FTBW3XK2NKA00559,,,
896,49,5,1,1FTBW3XK3NKA14115,,,
905,379,54,2,1FTBW3XK9NKA30478,3C6MRVJGXPE575361,,
908,90,9,1,1FTBW3XK1NKA00472,,,
909,125,13,1,1FTBW3XK6NKA30079,,,
911,128,13,1,1FTBW3XK4NKA30078,,,
915,62,6,2,1FTBW3XK4NKA30484,1FTBW3XK0NKA30479,,
923,482,41,1,1FTBW3XK2NKA46750,,,
931,92,9,1,1FTBW3XK5NKA08266,,,
935,130,13,1,1FTBW3XK8NKA28530,,,
937,26,2,1,1FTBW3XK0NKA28540,,,
940,479,5,2,1FTBW3XK5NKA00541,1FTBW3XK9NKA00493,,
941,116,9,1,1FTBW3XK8NKA22503,,,
942,89,3,3,1FTBW3XK3NKA14339,1FTBW3XK8NKA14367,1FTBW3XKXNKA30330,
943,91,9,4,1FTBW3XK2NKA14459,1FTBW3XK9NKA14247,1FTBW3XK5NKA28579,3C6MRVJG3PE566307
950,145,11,2,1FTBW3XK4NKA14432,1FTBW3XK8NKA22548,,
953,378,54,1,1FTBW3XKXNKA30473,,,
955,91,9,1,1FTBW3XK0NKA14122,,,
963,48,5,1,Rental Van,,,
964,505,7,1,1FTBW3XK1NKA30118,,,
967,104,3,2,1FTBW3XK1NKA09642,3C6MRVJG2PE566394,,
972,479,5,1,1FTBW3XK7NKA00556,,,
988,104,3,3,1FTBW3XK8NKA14465,1FTBW3XK3NKA28564,3C6MRVJG9PE563170,
989,128,13,1,1FTBW3XK2NKA30077,,,
992,356,44,1,1FTBW3XK4NKA00529,,,
994,104,3,2,1FTBW3XK8NKA14224,3C6MRVJG1PE563180,,
998,485,59,2,1FTBW3XK7NKA14389,1FTBW3XK9NKA14393,,
999,86,7,1,1FTBW3XK9NKA30111,,,
1004,115,9,2,1FTBW3XK4NKA22482,3C6MRVJG2PE592106,,
1014,361,40,1,1FTBW3XK0NKA14394,,,
1015,505,7,2,1FTBW3XKXNKA30117,3C6MRVJGXPE575358,,
1027,306,26,1,1FTBW3XK9NKA35762,,,
1040,65,6,1,1FTBW3XK4NKA30131,,,
1047,20,2,2,1FTBW3XK1NKA46691,1FTBW3XK5NKA28453,,
1055,583,5,1,1FTBW3XK2NKA00545,,,
1062,63,6,1,1FTBW3XK9NKA28410,,,
1068,92,9,1,1FTBW3XKXNKA08277,,,
1082,98,3,1,1FTBW3XK5NKA22510,,,
1083,101,3,1,1FTBW3XK6NKA22516,,,
1085,104,3,2,1FTBW3XK4NKA14446,1FTBW3XK8NKA08259,,
1087,107,9,2,1FTBW3XK8NKA08262,3C6MRVJGXPE592113,,
1090,101,3,1,1FTBW3XK9NKA22526,,,
1094,361,40,1,1FTBW3XK4NKA14396,,,
1099,409,44,2,1FTBW3XK1NKA08233,1FTBW3XK2NKA00609,,
1102,130,13,1,Rental Van,,,
1103,59,6,1,1FTBW3XK2NKA28541,,,
1117,51,5,1,1FTBW3XK7NKA00511,,,
1118,55,5,1,1FTBW3XK7NKA08270,,,
1120,360,40,2,1FTBW3XK8NKA14398,3C6MRVJG0PE573702,,
1129,82,7,1,1FTBW3XK6NKA00483,,,
1136,131,13,1,1FTBW3XK5NKA46760,,,
1137,60,6,2,1FTBW3XK5NKA35709,1FTBW3XK5NKA35757,,
1151,362,40,1,1FTBW3XKXNKA14385,,,
1156,306,26,1,1FTBW3XK3NKA46756,,,
1161,339,40,2,1FTBW3XK3NKA30461,3C6MRVJG0PE547391,,
1163,125,13,1,1FTBW3XK3NKA28533,,,
1167,435,53,1,1FTBW3XK0NKA14153,,,
1170,256,41,1,1FTBW3XK7NKA30415,,,
1171,115,9,1,1FTBW3XK5NKA14486,,,
1172,98,3,1,1FTBW3XK4NKA22529,,,
1173,98,3,1,1FTBW3XK8NKA22534,,,
1177,340,40,2,1FTBW3XK8NKA30343,3C6MRVJG7PE592084,,
1178,50,5,1,1FTBW3XK4NKA00577,,,
1181,26,2,1,1FTBW3XK7NKA14442,,,
1184,23,2,1,1FTBW3XK8NKA14451,,,
1185,83,7,1,1FTBW3XK2NKA00528,,,
1198,506,7,1,1FTBW3XK4NKA00613,,,
1200,391,54,1,1FTBW3XKXNKA30120,,,
1206,130,13,1,1FTBW3XKXNKA46706,,,
1209,305,26,1,1FTBW3XK8NKA14238,,,
1213,104,3,3,1FTBW3XK4NKA22479,1FTBW3XK5NKA14228,3C6MRVJG3PE592115,
1216,53,5,1,1FTBW3XK3NKA00490,,,
1219,101,3,1,1FTBW3XK0NKA09633,,,
1220,90,9,2,1FTBW3XKXNKA00504,1FTBW3XKXNKA30361,,
1221,409,44,1,1FTBW3XK3NKA00554,,,
1225,101,3,2,1FTBW3XK9NKA00610,1FTBW3XK2NKA30127,,
1228,269,25,1,1FTBW3XK9NKA00591,,,
1229,13,14,1,1FTBW3XK1NKA28465,,,
1231,379,54,1,1FTBW3XK2NKA30452,,,
1248,144,11,1,1FTBW3XKXNKA22521,,,
1252,380,54,1,1FTBW3XK6NKA30132,,,
