CLUB,ITEM,ON HAND QTY
4712,990324388 - GOYA PINTO BEANS,367
4713,990324388 - GOYA PINTO BEANS,586
4720,990324388 - GOYA PINTO BEANS,434
4764,990324388 - GOYA PINTO BEANS,370
4769,990324388 - GOYA PINTO BEANS,1068
4791,990324388 - GOYA PINTO BEANS,394
4798,990324388 - GOYA PINTO BEANS,415
4843,990324388 - GOYA PINTO BEANS,386
4948,990324388 - GOYA PINTO BEANS,367
6235,990324388 - GOYA PINTO BEANS,1357
6269,990324388 - GOYA PINTO BEANS,399
6367,990324388 - GOYA PINTO BEANS,477
6408,990324388 - GOYA PINTO BEANS,490
6455,990324388 - GOYA PINTO BEANS,465
6501,990324388 - GOYA PINTO BEANS,783
6570,990324388 - GOYA PINTO BEANS,337
6643,990324388 - GOYA PINTO BEANS,1320
6672,990324388 - GOYA PINTO BEANS,468
7189,990324388 - GOYA PINTO BEANS,356
8156,990324388 - GOYA PINTO BEANS,786
8166,990324388 - GOYA PINTO BEANS,355
8202,984198502 - HEINEKEN,154
8224,990324388 - GOYA PINTO BEANS,347
8226,990324388 - GOYA PINTO BEANS,342
8227,990324388 - GOYA PINTO BEANS,438
8244,990324388 - GOYA PINTO BEANS,491
8245,990324388 - GOYA PINTO BEANS,662
8248,990324388 - GOYA PINTO BEANS,494
8262,990324388 - GOYA PINTO BEANS,454
8264,990324388 - GOYA PINTO BEANS,633
8269,990324388 - GOYA PINTO BEANS,384
8270,990324388 - GOYA PINTO BEANS,604
8274,990324388 - GOYA PINTO BEANS,444
8277,990324388 - GOYA PINTO BEANS,477
8284,990324388 - GOYA PINTO BEANS,634
8288,990324388 - GOYA PINTO BEANS,635
8174,980156391 - BUSCH LIGHT,114
4703,980250647 - 10 LB SUGAR,274
4704,980250647 - 10 LB SUGAR,674
4709,980250647 - 10 LB SUGAR,529
4718,980250647 - 10 LB SUGAR,500
4728,980250647 - 10 LB SUGAR,613
4729,980250647 - 10 LB SUGAR,546
4730,980250647 - 10 LB SUGAR,360
4732,980250647 - 10 LB SUGAR,455
4738,980250647 - 10 LB SUGAR,488
4741,980250647 - 10 LB SUGAR,420
4745,980250647 - 10 LB SUGAR,692
4750,980250647 - 10 LB SUGAR,543
4768,980250647 - 10 LB SUGAR,622
4770,980250647 - 10 LB SUGAR,572
4771,980250647 - 10 LB SUGAR,515
4774,980250647 - 10 LB SUGAR,358
4777,980250647 - 10 LB SUGAR,701
4778,980250647 - 10 LB SUGAR,587
4781,980250647 - 10 LB SUGAR,504
4784,980250647 - 10 LB SUGAR,571
4786,980250647 - 10 LB SUGAR,481
4787,980250647 - 10 LB SUGAR,421
4805,980250647 - 10 LB SUGAR,400
4815,980250647 - 10 LB SUGAR,478
4816,980250647 - 10 LB SUGAR,527
4829,980250647 - 10 LB SUGAR,502
4830,980250647 - 10 LB SUGAR,592
4840,980250647 - 10 LB SUGAR,482
4846,980250647 - 10 LB SUGAR,463
4847,980250647 - 10 LB SUGAR,490
4851,980250647 - 10 LB SUGAR,590
4853,980250647 - 10 LB SUGAR,488
4859,980250647 - 10 LB SUGAR,359
4860,980250647 - 10 LB SUGAR,402
4870,980250647 - 10 LB SUGAR,436
4873,980250647 - 10 LB SUGAR,640
4875,980250647 - 10 LB SUGAR,598
4876,980250647 - 10 LB SUGAR,666
4878,980250647 - 10 LB SUGAR,496
4908,980250647 - 10 LB SUGAR,542
4915,980250647 - 10 LB SUGAR,620
4920,980250647 - 10 LB SUGAR,700
4926,980250647 - 10 LB SUGAR,267
4933,980250647 - 10 LB SUGAR,353
4936,980250647 - 10 LB SUGAR,536
4942,980250647 - 10 LB SUGAR,636
4947,980250647 - 10 LB SUGAR,449
4952,980250647 - 10 LB SUGAR,269
4955,980250647 - 10 LB SUGAR,702
4956,980250647 - 10 LB SUGAR,398
4962,980250647 - 10 LB SUGAR,459
4963,980250647 - 10 LB SUGAR,450
4973,980250647 - 10 LB SUGAR,483
