Market,Store,Fashion Coach,Team Lead,VizPick Fashion Kit ,RFID Containment Box 
356,472,Yes,4,Week 16,Week 16
85,473,No,3,Week 16,Week 16
61,482,No,2,Week 16,Week 16
97,488,No,3,Week 16,Week 16
78,490,Yes,4,Week 16,Week 16
580,492,Yes,4,Week 16,Week 16
84,503,No,3,Week 16,Week 16
61,504,Yes,4,Week 16,Week 16
45,516,Yes,4,Week 16,Week 16
60,522,Yes,4,Week 16,Week 16
84,524,No,3,Week 16,Week 16
61,527,Yes,4,Week 16,Week 16
115,528,Yes,4,Week 16,Week 16
61,529,Yes,4,Week 16,Week 16
327,530,Yes,4,Week 16,Week 16
132,531,Yes,4,Week 16,Week 16
132,533,Yes,4,Week 16,Week 16
132,543,Yes,4,Week 16,Week 16
62,546,Yes,4,Week 16,Week 16
76,561,No,3,Week 16,Week 16
55,565,Yes,4,Week 16,Week 16
580,566,No,4,Week 16,Week 16
85,567,No,3,Week 16,Week 16
26,575,Yes,4,Week 16,Week 16
116,580,Yes,4,Week 16,Week 16
48,590,Yes,4,Week 16,Week 16
569,595,Yes,4,Week 16,Week 16
76,610,Yes,4,Week 16,Week 16
580,617,No,3,Week 16,Week 16
26,618,Yes,4,Week 16,Week 16
118,623,Yes,4,Week 16,Week 16
92,649,Yes,4,Week 16,Week 16
151,656,Yes,4,Week 16,Week 16
116,666,Yes,4,Week 16,Week 16
151,667,No,4,Week 16,Week 16
151,668,Yes,4,Week 16,Week 16
146,675,No,4,Week 16,Week 16
146,677,Yes,4,Week 16,Week 16
151,682,Yes,4,Week 16,Week 16
67,703,Yes,4,Week 16,Week 16
327,714,No,3,Week 16,Week 16
116,718,Yes,4,Week 16,Week 16
118,721,Yes,4,Week 16,Week 16
116,725,Yes,4,Week 16,Week 16
151,735,Yes,4,Week 16,Week 16
151,737,No,4,Week 16,Week 16
59,744,Yes,4,Week 16,Week 16
76,746,Yes,4,Week 16,Week 16
63,752,Yes,4,Week 16,Week 16
116,759,No,3,Week 16,Week 16
87,765,Yes,4,Week 16,Week 16
65,768,Yes,4,Week 16,Week 16
115,769,Yes,4,Week 16,Week 16
92,771,Yes,4,Week 16,Week 16
64,772,Yes,4,Week 16,Week 16
118,778,Yes,4,Week 16,Week 16
328,788,No,3,Week 16,Week 16
583,789,Yes,4,Week 16,Week 16
78,791,Yes,4,Week 16,Week 16
48,804,Yes,4,Week 16,Week 16
50,807,Yes,4,Week 16,Week 16
61,808,Yes,4,Week 16,Week 16
426,810,Yes,4,Week 16,Week 16
118,811,Yes,4,Week 16,Week 16
107,814,Yes,4,Week 16,Week 16
90,817,Yes,4,Week 16,Week 16
105,819,Yes,4,Week 16,Week 16
45,827,Yes,4,Week 16,Week 16
389,842,Yes,4,Week 16,Week 16
85,846,No,3,Week 16,Week 16
59,849,Yes,4,Week 16,Week 16
97,858,No,2,Week 16,Week 16
116,859,Yes,4,Week 16,Week 16
87,865,Yes,4,Week 16,Week 16
580,870,Yes,4,Week 16,Week 16
62,872,Yes,4,Week 16,Week 16
127,876,No,3,Week 16,Week 16
50,880,Yes,4,Week 16,Week 16
426,886,Yes,4,Week 16,Week 16
334,888,No,3,Week 16,Week 16
91,890,Yes,4,Week 16,Week 16
356,894,Yes,4,Week 16,Week 16
49,896,Yes,4,Week 16,Week 16
379,905,Yes,4,Week 16,Week 16
90,908,Yes,4,Week 16,Week 16
322,914,Yes,4,Week 16,Week 16
62,915,Yes,4,Week 16,Week 16
388,921,No,4,Week 16,Week 16
378,924,No,4,Week 16,Week 16
98,928,Yes,4,Week 16,Week 16
107,929,Yes,4,Week 16,Week 16
92,931,Yes,4,Week 16,Week 16
26,937,Yes,4,Week 16,Week 16
76,939,Yes,4,Week 16,Week 16
479,940,Yes,4,Week 16,Week 16
91,943,Yes,4,Week 16,Week 16
85,951,No,3,Week 16,Week 16
378,953,Yes,4,Week 16,Week 16
91,955,Yes,4,Week 16,Week 16
92,956,No,3,Week 16,Week 16
389,962,Yes,4,Week 16,Week 16
48,963,Yes,4,Week 16,Week 16
116,968,Yes,4,Week 16,Week 16
479,972,Yes,4,Week 16,Week 16
92,973,Yes,4,Week 16,Week 16
92,974,Yes,4,Week 16,Week 16
135,976,No,3,Week 16,Week 16
98,977,No,3,Week 16,Week 16
378,980,Yes,4,Week 16,Week 16
376,984,Yes,4,Week 16,Week 16
388,986,Yes,3,Week 16,Week 16
105,987,Yes,4,Week 16,Week 16
356,992,Yes,4,Week 16,Week 16
569,1000,Yes,4,Week 16,Week 16
389,1001,Yes,4,Week 16,Week 16
580,1002,No,4,Week 16,Week 16
115,1004,Yes,4,Week 16,Week 16
426,1005,No,4,Week 16,Week 16
378,1008,Yes,4,Week 16,Week 16
389,1019,Yes,4,Week 16,Week 16
45,1022,Yes,4,Week 16,Week 16
580,1026,Yes,4,Week 16,Week 16
65,1040,Yes,4,Week 16,Week 16
569,1041,Yes,4,Week 16,Week 16
85,1042,Yes,4,Week 16,Week 16
45,1044,Yes,4,Week 16,Week 16
379,1045,No,4,Week 16,Week 16
583,1055,Yes,4,Week 16,Week 16
388,1058,Yes,4,Week 16,Week 16
63,1062,Yes,4,Week 16,Week 16
325,1065,No,4,Week 16,Week 16
84,1067,No,3,Week 16,Week 16
92,1068,Yes,4,Week 16,Week 16
97,1077,Yes,4,Week 16,Week 16
98,1082,Yes,4,Week 16,Week 16
91,1084,Yes,4,Week 16,Week 16
90,1086,Yes,4,Week 16,Week 16
107,1087,Yes,4,Week 16,Week 16
388,1095,Yes,4,Week 16,Week 16
84,1098,No,4,Week 16,Week 16
59,1103,Yes,4,Week 16,Week 16
326,1105,Yes,4,Week 16,Week 16
135,1108,No,3,Week 16,Week 16
135,1109,No,3,Week 16,Week 16
135,1110,No,3,Week 16,Week 16
328,1114,No,3,Week 16,Week 16
51,1117,Yes,4,Week 16,Week 16
55,1118,Yes,4,Week 16,Week 16
105,1119,Yes,4,Week 16,Week 16
298,1132,Yes,4,Week 16,Week 16
60,1137,Yes,4,Week 16,Week 16
328,1147,No,3,Week 16,Week 16
85,1150,Yes,4,Week 16,Week 16
426,1152,No,3,Week 16,Week 16
580,1162,Yes,4,Week 16,Week 16
300,1166,No,3,Week 16,Week 16
127,1169,No,3,Week 16,Week 16
115,1171,Yes,4,Week 16,Week 16
98,1172,Yes,4,Week 16,Week 16
98,1173,Yes,4,Week 16,Week 16
50,1178,Yes,4,Week 16,Week 16
26,1181,Yes,4,Week 16,Week 16
60,1186,Yes,4,Week 16,Week 16
135,1193,Yes,4,Week 16,Week 16
388,1199,Yes,4,Week 16,Week 16
391,1200,Yes,4,Week 16,Week 16
53,1216,Yes,4,Week 16,Week 16
90,1220,Yes,4,Week 16,Week 16
97,1223,Yes,4,Week 16,Week 16
269,1228,Yes,4,Week 16,Week 16
379,1231,Yes,4,Week 16,Week 16
56,1250,Yes,4,Week 16,Week 16
380,1252,Yes,4,Week 16,Week 16
76,1254,Yes,4,Week 16,Week 16
222,1264,Yes,4,Week 16,Week 16
300,1268,Yes,4,Week 16,Week 16
389,1273,Yes,4,Week 16,Week 16
59,1279,Yes,4,Week 16,Week 16
388,1280,Yes,4,Week 16,Week 16
569,1296,Yes,4,Week 16,Week 16
380,1308,No,4,Week 16,Week 16
222,1330,Yes,4,Week 16,Week 16
426,1332,Yes,4,Week 16,Week 16
222,1333,No,4,Week 16,Week 16
315,1335,No,4,Week 16,Week 16
315,1344,Yes,4,Week 16,Week 16
87,1347,Yes,4,Week 16,Week 16
300,1348,Yes,4,Week 16,Week 16
109,1349,Yes,4,Week 16,Week 16
315,1350,Yes,4,Week 16,Week 16
300,1352,No,3,Week 16,Week 16
426,1361,Yes,4,Week 16,Week 16
440,1366,No,3,Week 16,Week 16
580,1371,Yes,4,Week 16,Week 16
91,1374,Yes,4,Week 16,Week 16
97,1375,Yes,4,Week 16,Week 16
389,1384,No,4,Week 16,Week 16
108,1387,Yes,4,Week 16,Week 16
300,1392,Yes,4,Week 16,Week 16
108,1398,Yes,4,Week 16,Week 16
269,1404,No,4,Week 16,Week 16
61,1405,Yes,4,Week 16,Week 16
97,1408,Yes,4,Week 16,Week 16
65,1409,Yes,4,Week 16,Week 16
207,1416,No,3,Week 16,Week 16
204,1422,Yes,4,Week 16,Week 16
203,1423,No,4,Week 16,Week 16
204,1428,Yes,4,Week 16,Week 16
213,1429,Yes,4,Week 16,Week 16
204,1432,Yes,4,Week 16,Week 16
222,1433,Yes,4,Week 16,Week 16
391,1434,Yes,4,Week 16,Week 16
107,1436,Yes,4,Week 16,Week 16
403,1440,Yes,4,Week 16,Week 16
98,1444,Yes,4,Week 16,Week 16
213,1445,No,4,Week 16,Week 16
213,1448,Yes,4,Week 16,Week 16
440,1453,Yes,4,Week 16,Week 16
44,1455,Yes,4,Week 16,Week 16
238,1479,Yes,4,Week 16,Week 16
51,1484,Yes,4,Week 16,Week 16
238,1487,Yes,4,Week 16,Week 16
269,1489,No,3,Week 16,Week 16
376,1492,Yes,4,Week 16,Week 16
78,1494,Yes,4,Week 16,Week 16
298,1498,No,4,Week 16,Week 16
553,1511,Yes,4,Week 16,Week 16
108,1517,Yes,4,Week 16,Week 16
320,1522,Yes,4,Week 16,Week 16
426,1526,No,4,Week 16,Week 16
233,1529,Yes,4,Week 16,Week 16
234,1537,Yes,3,Week 16,Week 16
213,1539,Yes,4,Week 16,Week 16
201,1540,No,4,Week 16,Week 16
107,1541,Yes,4,Week 16,Week 16
320,1544,Yes,4,Week 16,Week 16
426,1546,No,3,Week 16,Week 16
388,1550,No,2,Week 16,Week 16
463,1555,Yes,4,Week 16,Week 16
298,1558,Yes,4,Week 16,Week 16
229,1568,Yes,4,Week 16,Week 16
582,1572,Yes,4,Week 16,Week 16
238,1576,Yes,4,Week 16,Week 16
26,1586,Yes,4,Week 16,Week 16
108,1589,Yes,4,Week 16,Week 16
553,1590,Yes,4,Week 16,Week 16
234,1591,Yes,4,Week 16,Week 16
205,1592,No,4,Week 16,Week 16
202,1593,Yes,4,Week 16,Week 16
356,1597,Yes,4,Week 16,Week 16
370,1598,Yes,4,Week 16,Week 16
237,1607,Yes,4,Week 16,Week 16
205,1611,Yes,4,Week 16,Week 16
238,1618,Yes,4,Week 16,Week 16
213,1622,Yes,4,Week 16,Week 16
426,1625,No,3,Week 16,Week 16
213,1628,Yes,4,Week 16,Week 16
432,1637,Yes,4,Week 16,Week 16
237,1640,No,4,Week 16,Week 16
202,1642,No,4,Week 16,Week 16
232,1644,Yes,4,Week 16,Week 16
320,1653,No,3,Week 16,Week 16
379,1659,Yes,4,Week 16,Week 16
269,1668,Yes,4,Week 16,Week 16
168,1670,Yes,4,Week 16,Week 16
432,1671,Yes,4,Week 16,Week 16
110,1680,Yes,4,Week 16,Week 16
237,1684,No,3,Week 16,Week 16
403,1686,Yes,4,Week 16,Week 16
376,1689,Yes,4,Week 16,Week 16
401,1699,Yes,4,Week 16,Week 16
92,1702,Yes,4,Week 16,Week 16
401,1708,Yes,4,Week 16,Week 16
320,1714,Yes,4,Week 16,Week 16
285,1715,No,3,Week 16,Week 16
222,1718,Yes,4,Week 16,Week 16
204,1719,Yes,4,Week 16,Week 16
582,1725,Yes,4,Week 16,Week 16
315,1726,Yes,4,Week 16,Week 16
203,1733,Yes,4,Week 16,Week 16
269,1735,Yes,4,Week 16,Week 16
284,1736,Yes,4,Week 16,Week 16
284,1741,Yes,4,Week 16,Week 16
165,1742,Yes,4,Week 16,Week 16
222,1750,Yes,4,Week 16,Week 16
204,1752,Yes,4,Week 16,Week 16
203,1754,Yes,4,Week 16,Week 16
582,1768,Yes,4,Week 16,Week 16
237,1769,Yes,4,Week 16,Week 16
229,1770,Yes,4,Week 16,Week 16
202,1771,No,4,Week 16,Week 16
168,1777,Yes,4,Week 16,Week 16
315,1780,Yes,4,Week 16,Week 16
580,1783,Yes,4,Week 16,Week 16
197,1790,Yes,4,Week 16,Week 16
200,1791,No,3,Week 16,Week 16
237,1792,No,4,Week 16,Week 16
232,1794,Yes,4,Week 16,Week 16
205,1798,No,4,Week 16,Week 16
583,1800,Yes,4,Week 16,Week 16
44,1801,Yes,4,Week 16,Week 16
87,1803,Yes,4,Week 16,Week 16
463,1805,Yes,4,Week 16,Week 16
558,1807,Yes,4,Week 16,Week 16
388,1808,No,4,Week 16,Week 16
202,1809,Yes,4,Week 16,Week 16
229,1820,No,4,Week 16,Week 16
234,1823,Yes,4,Week 16,Week 16
582,1827,No,3,Week 16,Week 16
463,1832,Yes,4,Week 16,Week 16
202,1836,Yes,4,Week 16,Week 16
59,1837,Yes,4,Week 16,Week 16
298,1842,Yes,4,Week 16,Week 16
178,1844,Yes,4,Week 16,Week 16
109,1845,Yes,4,Week 16,Week 16
234,1850,Yes,4,Week 16,Week 16
109,1851,Yes,4,Week 16,Week 16
463,1859,Yes,4,Week 16,Week 16
284,1860,Yes,4,Week 16,Week 16
558,1869,Yes,4,Week 16,Week 16
187,1871,Yes,4,Week 16,Week 16
118,1874,No,4,Week 16,Week 16
229,1883,Yes,4,Week 16,Week 16
229,1885,Yes,4,Week 16,Week 16
234,1886,Yes,4,Week 16,Week 16
232,1887,Yes,4,Week 16,Week 16
401,1888,Yes,4,Week 16,Week 16
285,1890,Yes,4,Week 16,Week 16
391,1896,Yes,4,Week 16,Week 16
440,1908,Yes,4,Week 16,Week 16
207,1913,Yes,4,Week 16,Week 16
463,1915,Yes,4,Week 16,Week 16
108,1916,Yes,4,Week 16,Week 16
178,1921,Yes,4,Week 16,Week 16
200,1923,Yes,4,Week 16,Week 16
205,1928,Yes,4,Week 16,Week 16
440,1931,Yes,4,Week 16,Week 16
200,1942,Yes,4,Week 16,Week 16
187,1946,Yes,4,Week 16,Week 16
105,1957,Yes,4,Week 16,Week 16
80,1958,Yes,4,Week 16,Week 16
432,1965,Yes,4,Week 16,Week 16
178,1977,Yes,4,Week 16,Week 16
213,1986,Yes,4,Week 16,Week 16
205,1987,Yes,4,Week 16,Week 16
187,1994,Yes,4,Week 16,Week 16
553,1996,Yes,4,Week 16,Week 16
451,2002,Yes,4,Week 16,Week 16
229,2008,No,3,Week 16,Week 16
201,2010,Yes,4,Week 16,Week 16
204,2014,Yes,4,Week 16,Week 16
233,2023,Yes,4,Week 16,Week 16
320,2027,Yes,4,Week 16,Week 16
558,2040,Yes,4,Week 16,Week 16
284,2041,Yes,4,Week 16,Week 16
237,2049,Yes,4,Week 16,Week 16
201,2061,No,4,Week 16,Week 16
201,2062,Yes,4,Week 16,Week 16
64,2066,Yes,4,Week 16,Week 16
170,2068,Yes,4,Week 16,Week 16
202,2080,Yes,4,Week 16,Week 16
320,2083,Yes,4,Week 16,Week 16
56,2086,Yes,4,Week 16,Week 16
110,2091,Yes,4,Week 16,Week 16
187,2092,No,3,Week 16,Week 16
170,2096,No,3,Week 16,Week 16
200,2102,No,4,Week 16,Week 16
53,2105,Yes,4,Week 16,Week 16
165,2108,Yes,4,Week 16,Week 16
165,2109,Yes,4,Week 16,Week 16
370,2113,Yes,4,Week 16,Week 16
187,2116,Yes,4,Week 16,Week 16
451,2117,Yes,4,Week 16,Week 16
380,2125,Yes,4,Week 16,Week 16
440,2127,Yes,4,Week 16,Week 16
237,2129,No,4,Week 16,Week 16
166,2141,Yes,4,Week 16,Week 16
168,2145,Yes,4,Week 16,Week 16
109,2151,Yes,4,Week 16,Week 16
167,2167,Yes,4,Week 16,Week 16
232,2169,Yes,4,Week 16,Week 16
107,2176,Yes,4,Week 16,Week 16
463,2181,Yes,4,Week 16,Week 16
232,2185,Yes,4,Week 16,Week 16
207,2191,Yes,4,Week 16,Week 16
178,2195,Yes,4,Week 16,Week 16
233,2205,Yes,4,Week 16,Week 16
403,2207,No,3,Week 16,Week 16
585,2223,Yes,4,Week 16,Week 16
237,2230,Yes,4,Week 16,Week 16
167,2236,No,3,Week 16,Week 16
118,2237,Yes,4,Week 16,Week 16
200,2238,Yes,4,Week 16,Week 16
484,2251,Yes,4,Week 16,Week 16
168,2252,Yes,4,Week 16,Week 16
165,2254,No,3,Week 16,Week 16
232,2255,Yes,4,Week 16,Week 16
67,2257,Yes,4,Week 16,Week 16
167,2263,No,4,Week 16,Week 16
440,2271,Yes,4,Week 16,Week 16
285,2272,No,4,Week 16,Week 16
205,2273,Yes,4,Week 16,Week 16
238,2276,Yes,4,Week 16,Week 16
451,2280,Yes,4,Week 16,Week 16
229,2287,Yes,4,Week 16,Week 16
484,2292,Yes,4,Week 16,Week 16
585,2293,No,3,Week 16,Week 16
403,2307,Yes,4,Week 16,Week 16
233,2334,Yes,4,Week 16,Week 16
233,2340,Yes,4,Week 16,Week 16
207,2350,Yes,4,Week 16,Week 16
205,2354,Yes,4,Week 16,Week 16
514,2385,Yes,4,Week 16,Week 16
484,2401,Yes,4,Week 16,Week 16
514,2403,Yes,4,Week 16,Week 16
87,2404,Yes,4,Week 16,Week 16
285,2419,Yes,4,Week 16,Week 16
187,2424,No,3,Week 16,Week 16
53,2427,Yes,4,Week 16,Week 16
60,2439,Yes,4,Week 16,Week 16
170,2445,Yes,4,Week 16,Week 16
170,2446,Yes,4,Week 16,Week 16
451,2458,Yes,4,Week 16,Week 16
115,2459,Yes,4,Week 16,Week 16
285,2460,Yes,4,Week 16,Week 16
56,2463,No,4,Week 16,Week 16
320,2474,No,4,Week 16,Week 16
232,2481,Yes,4,Week 16,Week 16
118,2484,Yes,4,Week 16,Week 16
200,2493,Yes,4,Week 16,Week 16
62,2505,Yes,4,Week 16,Week 16
440,2510,Yes,4,Week 16,Week 16
582,2511,Yes,4,Week 16,Week 16
285,2514,No,4,Week 16,Week 16
370,2515,Yes,4,Week 16,Week 16
514,2516,Yes,4,Week 16,Week 16
178,2518,Yes,4,Week 16,Week 16
233,2519,Yes,4,Week 16,Week 16
232,2528,Yes,4,Week 16,Week 16
232,2535,Yes,4,Week 16,Week 16
229,2540,No,4,Week 16,Week 16
222,2542,No,2,Week 16,Week 16
238,2544,Yes,4,Week 16,Week 16
284,2555,Yes,4,Week 16,Week 16
206,2558,Yes,4,Week 16,Week 16
206,2559,Yes,4,Week 16,Week 16
285,2560,Yes,4,Week 16,Week 16
580,2563,No,3,Week 16,Week 16
315,2565,No,4,Week 16,Week 16
200,2567,Yes,4,Week 16,Week 16
514,2571,Yes,4,Week 16,Week 16
234,2574,Yes,4,Week 16,Week 16
326,2575,No,4,Week 16,Week 16
